10.8,8.4,-50.95,-44.308,-36.5,-40.772,-44.722,-70.152,-57.4,-52.413,-49.747,-49.506,-39.938,-60.814,-44.513,-71.238,-64.19,-73.481,-72,-64.327,3.7345,11.903,1.9681,7.9678,2.1058,3.832,1.5959,2.5739,6.6592,6.7556,8.868,4.4406,1.2728,1.8291,3.6482,0.97548,0.97014,4.301
13.2,8.4,-46.177,-45.237,-42.138,-46.975,-44.175,-72.718,-61.362,-53.961,-46.75,-50.987,-40.25,-61.557,-47.163,-75.526,-61.333,-76.417,-74.5,-64.385,4.8668,5.5353,1.6206,7.9492,1.5733,3.1452,2.8385,3.8643,1.6801,6.695,2.5828,1.9453,4.1444,2.6933,2.7314,1.4015,1.4272,3.7778
15.6,8.4,-50.41,-37.2,-46.587,-46.573,-52.962,-69.906,-53.85,-54.938,-45.025,-50.087,-32.513,-64.614,-47.975,-59.067,-55.785,-71.806,-74.857,-62.786,1.9701,2.2748,1.9597,5.2843,1.8856,2.3604,2.2224,4.8165,1.9147,3.0406,5.9385,2.9505,4.1582,2.6321,3.6422,3.9868,2.3812,2.2961
18,8.4,-53.795,-44,-50.638,-50.712,-62.653,-67.224,-53.212,-58.152,-40.1,-50.525,-39.875,-56.066,-49.513,-53.737,-53.112,-69.685,-67.246,-61.639,3.0295,6.4317,0.81511,5.1119,2.3567,3.038,1.6816,2.732,1.1092,2.3599,5.3637,1.8282,3.431,2.3262,2.7002,3.9565,0.67468,4.0186
15.6,10.8,-52.278,-49.038,-50.112,-45.9,-51.975,-65.186,-57.563,-62.438,-55.785,-61.899,-33.154,-55.948,-45.333,-60.475,-63.071,-70.259,-65.458,-58.949,2.2184,4.7319,2.1524,5.4508,1.414,2.2152,1.6977,3.1657,7.1874,5.2345,5.5714,4.6308,5.388,1.3405,4.3383,2.3735,1.4302,2.3033
18,10.8,-49.9,-46.577,-51.95,-52.087,-60.077,-60.647,-57.313,-52.462,-38.269,-49.475,-33.675,-55.787,-52.936,-53.525,-52.014,-75.727,-71.583,-62.078,1.5394,4.9896,2.0922,3.7423,1.1596,2.5083,1.3081,2.4127,0.90702,2.5357,7.5251,1.8328,1.4975,3.6387,2.0805,3.1056,2.7813,3.9827
15.6,13.2,-55.5,-60.112,-53.6,-50.091,-63.922,-61.699,-58.375,-63.408,-46.45,-58.759,-41.025,-51.25,-57.833,-57.837,-51.883,-75.818,-67.855,-58.025,2.5343,3.0975,1.4106,3.7034,1.8621,2.5857,2.2011,3.5358,2.5353,2.5126,2.3437,2.4037,2.9735,2.4466,2.2651,2.162,1.3933,4.0502
18,13.2,-55.519,-50.12,-49.05,-52.829,-55.886,-63.918,-60.688,-62.338,-41.35,-55.913,-38.013,-50.263,-53.125,-57.5,-46.447,-68.986,-67.958,-54.563,1.4833,3.5677,0.99238,2.6552,1.1982,3.0311,1.7617,4.0688,2.8556,4.264,3.7641,1.3987,1.6792,3.9618,2.346,3.138,2.4053,3.7106
18,15.6,-63.197,-54.883,-61.825,-51.987,-68.313,-64.677,-64.237,-69.083,-34.925,-65.75,-47.375,-55.667,-64.468,-49.087,-44.987,-69.616,-65.136,-53.688,2.2863,1.7545,2.03,3.5048,0.94927,2.9107,1.911,5.0899,4.9931,2.4313,2.3242,4.4314,1.8935,7.5895,2.1411,3.3109,1.8332,3.5493
18,18,-64.583,-62.521,-64.188,-61.848,-70.563,-60.737,-63.304,-72.762,-39.638,-67.675,-42.837,-51.119,-64.6,-52.962,-52.118,-74.191,-70.667,-55.076,2.7566,3.9233,2.1647,3.8467,0.97881,2.7177,2.3985,6.1717,1.2553,3.0798,3.5057,5.7486,1.5752,2.2917,4.9825,3.0967,1.9959,2.4273
