GLOBAL MAGNETIC FIELD X,GLOBAL MAGNETIC FIELD Y,GLOBAL MAGNETIC FIELD Z,REF_POINT
-9.93E-07,17.3779724669,-22.0581271723,3
1.42E-06,17.1115203875,-21.9727729116,3
-9.22E-07,17.2147992566,-21.9740969055,3
3.35E-07,17.3573245691,-21.7912717566,3
-3.63E-07,17.118626736,-22.1583046687,3
4.62E-07,16.9386552411,-21.8835660466,3
-9.76E-07,17.2415666274,-21.7058915342,3
-1.68E-06,16.6315530657,-21.7850665884,3
-2.03E-07,16.9110545538,-21.8746513931,3
8.89E-07,17.0951074436,-22.2424374929,3
2.74E-07,17.736855642,-21.972089773,3
-2.28E-07,17.8213555809,-22.0644486925,3
-5.49E-07,17.2640363756,-22.3369775906,3
-2.30E-07,17.566477202,-21.7946086749,3
-6.92E-07,17.5817348885,-22.3408176044,3
-3.13E-07,17.245586117,-22.4390067904,3
-1.74E-06,17.0567930539,-22.2493132882,3
2.83E-07,17.0538298331,-21.9801323676,3
2.60E-07,13.7206156632,-24.4421089102,4
5.51E-07,13.112261779,-24.1765975656,4
-5.35E-08,12.7562883109,-23.8074535109,4
9.41E-07,13.1568480808,-23.9154633216,4
-1.27E-06,13.5197982177,-23.4812386291,4
6.19E-07,13.326368806,-23.2645338896,4
-4.88E-07,13.131237957,-23.2621875024,4
-4.21E-08,13.5869070121,-23.263710699,4
6.00E-07,13.8272557125,-23.9933398459,4
5.34E-07,13.1280365171,-23.5351414803,4
4.09E-07,13.4362788459,-23.5375553091,4
-4.17E-07,13.3538650503,-23.1741126985,4
6.99E-08,13.1514229707,-23.7191720674,4
-7.68E-07,13.1484707437,-23.9010291837,4
5.23E-07,13.71590594,-23.9022597021,4
-4.62E-07,13.0710678973,-23.6263730087,4
-2.12E-07,13.2197352844,-23.9860452918,4
5.58E-07,13.081560324,-23.7151679696,4
7.67E-07,13.2056934785,-23.6297323864,4
6.64E-07,13.5188825971,-23.1779440182,4
1.21E-06,13.2266087585,-23.5438135828,4
-4.76E-07,13.5121297357,-23.7240206923,4
-6.19E-07,13.0712585677,-23.2644046697,4
-9.10E-07,12.7903366716,-23.7146519991,4
-5.90E-07,13.7349714527,-23.9086456188,4
5.39E-08,13.7867914068,-23.8198073421,4
2.25E-07,13.700531745,-23.4616883033,4
-6.01E-07,14.1159934316,-23.725371982,4
5.51E-07,13.4125780292,-23.5378842474,4
-5.93E-07,13.5104437355,-23.9087537177,4
-8.13E-07,13.9004900005,-24.0028920298,4
-9.82E-08,13.2835939057,-23.8157780061,4
1.05E-06,13.5845915877,-24.0929389705,4
-5.07E-08,13.182417905,-23.1747159399,4
-3.56E-07,13.7021549385,-22.721224173,4
-1.80E-07,13.6239200383,-23.724847211,4
-2.52E-07,13.7113727534,-23.5436872758,4
-3.98E-07,13.8170284226,-23.5497743125,4
2.60E-07,13.6578763509,-23.2713894524,4
-4.55E-07,13.2213219269,-23.8212790754,4
-2.31E-08,12.283725056,-28.6462142337,5
-3.14E-07,12.717806429,-28.6263805691,5
-7.72E-09,12.4226391047,-28.4024399296,5
-1.10E-07,12.4255506814,-28.310288355,5
-1.54E-07,12.3389804588,-28.855186371,5
-2.27E-07,12.5688411666,-28.6788897166,5
-4.85E-07,12.1857379389,-28.5002140538,5
4.91E-07,12.4376478275,-28.5929771221,5
-1.28E-07,12.2931765739,-28.2260208563,5
-3.65E-07,12.0461153067,-28.2232659267,5
-6.41E-07,12.2407484588,-28.7781844408,5
-6.59E-09,11.8716676768,-28.5084588969,5
-3.20E-07,11.582962733,-28.498552201,5
3.57E-07,11.8745381139,-28.4943850942,5
-1.14E-07,11.8863819609,-28.5845766244,5
5.33E-07,11.7247337721,-28.7654683235,5
-2.61E-07,11.9886041435,-28.5829332578,5
5.03E-07,12.1091447564,-28.4986402192,5
-4.82E-07,11.6128702165,-28.1447463187,5
3.61E-08,11.922006144,-28.2275515359,5
6.54E-07,12.6013639735,-28.3229400053,5
8.17E-07,12.7241154893,-28.1350519696,5
3.44E-07,12.6014278608,-28.4916007152,5
5.89E-07,12.938726786,-28.5836421552,5
-8.36E-07,12.8177031235,-28.5903527178,5
6.49E-07,12.6082817234,-28.9584781661,5
1.19E-08,12.5848757983,-28.221747904,5
-3.78E-07,12.5090020855,-28.0497654548,5
2.94E-07,12.3054515416,-28.146659376,5
-6.35E-08,12.2237336408,-28.3271415154,5
-3.53E-07,12.3354908749,-27.9603304271,5
-5.89E-07,11.6177452377,-28.3244051944,5
2.53E-07,11.8077035122,-28.4143176706,5
6.97E-07,12.4997213048,-27.6905055254,5
5.55E-07,12.4090840508,-27.50764618,5
-6.56E-07,12.9680000408,-28.591680541,5
-7.18E-07,12.7769082028,-29.0365227711,5
-8.92E-08,12.0366732103,-28.4958667316,5
-6.70E-07,12.1518599716,-28.9467636293,5
-3.54E-07,11.9582364492,-28.4959929418,5
-9.42E-07,9.6970419344,-27.4457113492,6
4.03E-08,9.511663484,-26.6346460949,6
-9.57E-07,9.560133038,-26.9042667925,6
-2.51E-07,9.8150242802,-27.1745800424,6
1.79E-07,9.7144702039,-26.8988678928,6
7.38E-07,9.0737401956,-27.5333737558,6
-1.65E-06,9.3153983123,-26.8039714983,6
1.37E-06,9.0928125963,-26.8965437662,6
9.62E-07,9.7413793627,-26.7195741386,6
7.91E-07,9.8173414987,-27.1739942945,6
-6.45E-07,9.4432938364,-27.538287732,6
-5.88E-07,9.7501525342,-27.2702248226,6
2.34E-07,9.759895838,-27.1763166891,6
-6.07E-07,9.0440653439,-26.8118581647,6
6.27E-07,9.5195437169,-26.722445837,6
1.02E-06,9.6757147098,-26.8057256469,6
-2.43E-07,9.3484226867,-27.0804049122,6
6.46E-07,8.8372025386,-27.0866058239,6
-2.65E-07,9.3436768129,-27.5356836785,6
-1.16E-06,9.5702104908,-26.9934046215,6
-7.09E-07,9.5600498457,-27.1764726736,6
9.32E-07,9.04879203,-27.1680945031,6
2.85E-07,9.5920095655,-27.261974105,6
4.82E-07,9.487992823,-27.4391689937,6
6.36E-07,9.120957144,-27.1653739524,6
-3.98E-07,9.5960391128,-27.1774891802,6
-6.67E-07,9.2283778361,-27.3623979683,6
5.55E-07,9.4325582156,-26.8155689433,6
3.97E-07,8.7127998037,-26.5430713128,6
9.94E-08,8.5228217029,-27.2659430905,6
1.17E-07,9.5596856175,-27.3582726785,6
2.69E-07,9.7350748138,-26.9878628721,6
2.75E-07,10.0966643041,-26.616997475,6
-5.76E-07,9.2085900214,-26.9018816503,6
7.89E-08,8.9890328994,-26.6353681543,6
1.00E-06,9.1138144212,-26.9968583926,6
-6.10E-07,9.3021547213,-27.0812478354,6
8.02E-07,8.8896372703,-26.9922776192,6
-1.23E-07,9.2209788142,-27.2637311843,6
3.55E-07,9.3935588599,-26.9843248794,6
-3.36E-07,9.7933177215,-31.1614379981,7
5.11E-07,9.8655354835,-30.7053160061,7
5.73E-07,10.07172765,-30.2530324972,7
3.05E-07,10.1688392178,-30.5274458025,7
-5.11E-07,9.5868592276,-31.2433311354,7
3.04E-07,9.9171158946,-30.9690354013,7
3.69E-07,9.6322852972,-30.7930307995,7
-3.44E-07,8.9567484088,-30.9711059006,7
