06:18:d6:c2:98:24(inonet),04:18:d6:c1:98:24(inonet),4c:5e:0c:6f:20:b2(RFKON2014-Mesh),d4:ca:6d:c9:f1:c5(RFKON2014-Mesh),4c:5e:0c:70:52:5a(RFKON2014-Mesh),e8:37:7a:6c:7f:55(PYR),dc:02:8e:c2:23:52(ILKSEM),d4:ca:6d:bc:1d:73(RFKON2014-Mesh),4c:5e:0c:71:aa:15(RFKON2014-Mesh),c0:4a:00:0f:03:51(BilTAY Teknoloji),18:28:61:9e:ab:5c(MMD),04:bf:6d:d8:e8:a4(Evosoft),4c:5e:0c:6f:20:fa(RFKON2014-Mesh),00:0f:f7:2e:0a:d0(ESOGU-WIFI),4c:5e:0c:71:a8:bf(RFKON2014-Mesh),e4:8d:8c:20:4d:c1(UPLAT),c4:6e:1f:58:40:d2(DLink_D01),00:26:5a:52:0b:8c(RFKON_115),4c:5e:0c:23:44:33(RFKON2014-Mesh),18:28:61:58:78:6a(Dlink_DAP-1360),1c:87:2c:7e:23:9c(EROGLU-PRI),1c:87:2c:7e:23:9d(EROGLU-PUB),REF_POINT
-74,-60,-50,-59,-37,-67,-67,-71,-54,-60,-70,-56,-72,NaN,-81,-76,NaN,-87,-79,NaN,NaN,NaN,1
-74,-57,-50,-59,-36,-58,-66,-71,-53,-63,-69,-55,-72,NaN,-81,-75,NaN,-88,-77,NaN,NaN,NaN,1
-74,-57,-51,-59,-37,-58,-68,-72,-54,-63,-69,-56,-72,NaN,-83,-75,NaN,-88,-76,NaN,NaN,NaN,1
-74,-61,-50,-59,-37,-52,-67,-71,-54,-63,-69,-55,-72,-83,-80,NaN,NaN,NaN,-76,NaN,NaN,NaN,1
-74,-57,-47,-58,-37,-52,-68,-71,-53,-63,-70,-56,-73,-89,-80,-76,NaN,NaN,NaN,NaN,NaN,NaN,1
-74,-64,-49,-59,-37,-58,-68,-71,-55,-63,-70,-55,-72,-87,-82,-77,NaN,NaN,-75,NaN,NaN,NaN,1
-75,-58,-52,-59,-37,-67,NaN,-76,-55,-63,-70,-55,-72,-87,-82,-77,NaN,NaN,-76,NaN,NaN,NaN,1
-74,-60,-50,-59,-37,-58,NaN,-68,-53,-63,-69,-55,-72,NaN,-81,-76,NaN,NaN,-76,NaN,NaN,NaN,1
-74,-58,-50,-58,-37,-59,-67,-67,-53,-66,-70,-55,-72,-85,-81,-76,-89,NaN,-76,NaN,NaN,NaN,1
-74,-59,-50,-58,-36,-58,-67,-70,-53,-63,-70,-56,-72,-85,-81,-76,-89,NaN,NaN,NaN,NaN,NaN,1
-74,-57,-49,-58,-37,-57,-67,-71,-53,-64,-70,-56,-73,NaN,-81,-76,-89,NaN,-76,NaN,-91,-91,1
-73,-59,-50,-58,-35,-58,-68,-70,-51,-62,-70,-56,-72,-87,-81,-76,-89,NaN,-76,NaN,-91,-91,1
-74,-60,-50,-59,-37,-58,-68,-70,-52,-61,-70,-55,-72,-87,-81,-75,-87,-87,-78,NaN,NaN,NaN,1
-74,-57,-50,-57,-39,-58,-68,-70,-51,-63,-73,-55,-72,-89,-81,-75,-87,-87,-76,NaN,NaN,NaN,1
-74,-60,-50,-58,-36,-57,-68,-70,-52,-63,-91,-55,-73,-91,-81,-75,NaN,-89,-78,NaN,NaN,NaN,1
-74,-60,-52,-58,-37,-57,-68,-72,-52,-60,-69,-54,-72,-91,-82,-75,NaN,-89,-78,NaN,NaN,NaN,1
-73,-57,-51,-58,-36,-58,-69,-71,-51,-62,-69,-55,-72,-84,-85,-75,NaN,NaN,-79,NaN,NaN,NaN,1
-73,-60,-51,-58,-38,-57,-70,-70,-52,-65,-69,-55,-72,-88,-85,-76,NaN,NaN,-81,NaN,NaN,NaN,1
-73,-57,-51,-58,-37,-58,-74,-70,-52,-57,-69,-55,-72,-88,NaN,-75,NaN,NaN,-81,NaN,NaN,NaN,1
-72,-60,-51,-58,-37,-57,-68,-70,-52,-65,-70,-55,-71,NaN,-80,-75,NaN,-87,-78,NaN,NaN,NaN,1
-72,-57,-51,-57,-38,-57,-68,-71,-53,-66,-69,-55,-73,NaN,-82,-75,NaN,-87,-78,NaN,NaN,NaN,1
-66,-66,-51,-62,-29,-72,-70,-72,-36,-58,-66,-58,-65,-86,-70,-79,-90,NaN,-79,NaN,NaN,NaN,2
-68,-67,-52,-64,-31,-61,-66,-67,-41,-64,-67,-60,-66,-84,-74,-81,-88,NaN,NaN,NaN,NaN,NaN,2
-68,-60,-48,-64,-32,-61,-66,-69,-42,-64,-70,-58,-65,-84,-74,-81,-88,NaN,NaN,NaN,NaN,NaN,2
-69,-67,-48,-66,-32,-60,-67,-73,-41,-58,-68,-56,-66,NaN,-70,-84,-86,-84,NaN,NaN,NaN,NaN,2
-69,-66,-48,-68,-33,-61,-67,-74,-40,-63,-69,-59,-66,-77,-74,-77,-86,-85,-84,NaN,NaN,NaN,2
-69,-63,-47,-66,-33,-61,-66,-72,-41,-63,-69,-58,-66,-77,-75,-87,NaN,-85,-84,NaN,NaN,NaN,2
-69,-64,-47,-70,-32,-61,-65,-75,-40,-63,-69,-55,-66,-83,-73,-87,-87,NaN,NaN,NaN,NaN,NaN,2
-68,-64,-48,-68,-31,-61,-67,-72,-40,-64,-69,-56,-66,-83,-74,NaN,-87,NaN,NaN,NaN,NaN,NaN,2
-69,-63,-47,-66,-33,-59,-65,-74,-41,-64,-69,-58,-67,NaN,-73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
-69,-63,-47,-70,-32,-60,-66,-73,-41,-59,-68,-57,-67,NaN,-74,-84,NaN,NaN,NaN,NaN,NaN,NaN,2
-69,-63,-47,-70,-32,-61,-65,-73,-41,-63,-69,-57,-67,NaN,-74,-84,NaN,-88,-89,NaN,NaN,NaN,2
-69,-62,-47,-67,-32,-60,-66,-74,-41,-63,-69,-56,-66,NaN,NaN,-83,NaN,-88,-77,NaN,NaN,NaN,2
-68,-63,-47,-66,-31,-66,-66,-73,-41,-63,-69,-56,-66,NaN,-73,-84,NaN,-91,-77,NaN,NaN,NaN,2
-69,-66,-46,-67,-33,-59,-65,-73,-42,-65,-69,-57,-64,NaN,-73,-82,-89,-91,NaN,NaN,NaN,NaN,2
-69,-69,-47,-67,-32,-60,-65,-74,-42,-64,-69,-56,-66,-82,-74,-82,-89,NaN,NaN,NaN,NaN,NaN,2
-69,-68,-47,-66,-32,-59,-65,-73,-42,-64,-69,-57,-67,-82,-74,NaN,-89,NaN,-77,-87,NaN,-91,2
-69,-63,-47,-69,-33,-60,-66,-74,-40,-63,-69,-57,-67,NaN,-73,-86,NaN,-83,-78,-87,NaN,-91,2
-69,-66,-48,-65,-30,-61,-66,-74,-42,-63,-69,-56,-66,NaN,-73,-86,NaN,-87,-78,NaN,NaN,NaN,2
-68,-65,-48,-68,-32,-63,-66,-74,-40,-58,-70,-58,-66,-85,-74,-84,NaN,-87,-86,NaN,NaN,NaN,2
-69,-70,-48,-64,-31,-63,-66,-75,-40,-61,-70,-57,-67,-81,-74,-84,NaN,-81,-85,NaN,NaN,NaN,2
-68,-63,-46,-65,-32,-61,-63,-74,-40,-65,-69,-56,-67,-82,-74,NaN,-87,-86,-85,NaN,NaN,NaN,2
-68,-64,-46,-67,-32,-60,-64,-74,-41,-65,-69,-55,-66,-82,-73,-86,-87,-86,NaN,NaN,NaN,NaN,2
-68,-66,NaN,-66,-33,-61,-65,-76,-42,-64,-69,-57,-67,NaN,-73,-86,NaN,-85,-85,NaN,NaN,NaN,2
-68,-66,-47,-66,-32,-67,-65,-76,-41,-63,-68,-60,-67,NaN,NaN,NaN,NaN,-85,-85,NaN,NaN,NaN,2
-68,-63,-67,-68,-33,-60,-65,-75,-41,-64,-70,-58,-65,-84,-74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
-68,-62,-47,-67,-33,-60,-65,-75,-41,-64,-69,-59,-65,-84,-74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
-69,-64,-47,-68,-32,-60,-67,-75,-40,-64,-69,-58,-66,-84,-74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
-68,-63,-47,-68,-31,-58,-65,-75,-41,-63,-68,-59,-67,-84,-74,-82,NaN,-84,-85,NaN,NaN,NaN,2
-68,-61,-66,-68,-32,-61,-65,-73,-41,-57,-69,-59,-67,-83,-74,-83,NaN,-84,-83,NaN,NaN,NaN,2
-68,-65,-66,-66,-33,-60,-66,-73,-41,-66,-68,-59,NaN,-83,-78,-83,NaN,-84,-82,-86,NaN,NaN,2
-68,-64,-48,-65,-33,-62,-65,-71,-41,-64,-67,-60,-66,-82,-74,NaN,-89,-83,-82,-89,NaN,NaN,2
-67,-64,-47,-72,-30,-68,-67,-73,-40,-64,-67,-58,-66,-82,-74,-80,-89,-83,-85,-87,NaN,NaN,2
-67,-65,-48,-69,-32,-65,-67,-73,-41,-66,-68,-57,-67,-83,-75,-80,-86,NaN,-81,-88,NaN,NaN,2
-67,-63,-51,-69,-78,-64,-68,-72,-48,-66,-69,-59,-67,-77,-75,NaN,-86,NaN,-81,-88,NaN,NaN,2
-68,-60,-48,-64,-32,-66,-69,-72,-39,-67,-72,-58,-67,-82,-75,NaN,NaN,NaN,-79,NaN,-87,NaN,2
-68,-67,-48,-66,-32,-63,-66,-71,-41,-66,-70,-58,NaN,-84,NaN,NaN,NaN,NaN,-79,NaN,-87,NaN,2
-68,-69,-47,-65,-29,-59,-67,-75,-40,-66,-69,-59,-66,-84,NaN,NaN,NaN,-83,-80,NaN,NaN,NaN,2
-68,-64,-48,-65,-33,-60,-67,-75,-41,-65,-69,-58,-66,NaN,-74,-84,NaN,-83,-80,NaN,NaN,NaN,2
-68,-64,-48,-68,-33,-59,-67,-73,-41,-65,-69,-58,-66,-84,-74,-84,NaN,NaN,NaN,NaN,NaN,NaN,2
-69,-65,-47,-67,-33,-59,-66,-74,-42,-65,-69,-58,-66,-84,-74,NaN,-89,-82,NaN,NaN,NaN,NaN,2
-69,-63,-48,-67,-33,-59,-67,-74,-42,-65,-68,-57,-65,-82,-74,-84,-89,-82,NaN,NaN,NaN,NaN,2
-68,-64,-47,-65,-33,-65,-66,-75,-41,-59,-74,-58,-65,-84,-74,-84,-85,-85,-78,NaN,NaN,NaN,2
-67,-61,-48,-68,-32,-60,-65,-71,-42,-66,-70,-57,-66,-84,-74,-83,-83,-85,-78,NaN,NaN,NaN,2
-67,-61,-48,-74,-32,-59,-65,-72,-40,-64,-74,-58,-66,NaN,-73,-83,-84,-84,NaN,NaN,-90,-91,2
-67,-63,-48,-74,-29,-64,-66,-73,-42,-65,-70,-58,-66,-83,-74,-83,-84,-84,NaN,NaN,-90,-91,2
