@relation 'Sony_Xperia_Train_WiFi_MF-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Remove-R18,25-30'

@attribute 4c:5e:0c:70:52:5a_RFKON2014-Mesh numeric
@attribute 4c:5e:0c:71:aa:15_RFKON2014-Mesh numeric
@attribute 04:18:d6:c1:98:24_inonet numeric
@attribute 4c:5e:0c:6f:20:b2_RFKON2014-Mesh numeric
@attribute 06:18:d6:c2:98:24_inonet numeric
@attribute 4c:5e:0c:6f:20:fa_RFKON2014-Mesh numeric
@attribute dc:02:8e:c2:23:52_ILKSEM numeric
@attribute 'c0:4a:00:0f:03:51_BilTAY Teknoloji' numeric
@attribute d4:ca:6d:bc:1d:73_RFKON2014-Mesh numeric
@attribute e8:37:7a:6c:7f:55_PYR numeric
@attribute d4:ca:6d:c9:f1:c5_RFKON2014-Mesh numeric
@attribute 4c:5e:0c:71:a8:bf_RFKON2014-Mesh numeric
@attribute 18:28:61:9e:ab:5c_MMD numeric
@attribute 00:26:5a:52:0b:8c_RFKON_115 numeric
@attribute 4c:5e:0c:23:44:33_RFKON2014-Mesh numeric
@attribute 64:66:b3:d0:4a:8d_Cisco_KRD numeric
@attribute 18:28:61:58:78:6a_Dlink_DAP-1360 numeric
@attribute e4:8d:8c:20:4d:c1_UPLAT numeric
@attribute 18:28:61:13:0d:9d_EROGLU numeric
@attribute 18:28:61:1c:0b:69_EVOSOFT numeric
@attribute 00:66:4b:1f:08:23_TeknoTAM numeric
@attribute 1c:87:2c:7e:23:9c_EROGLU-PRI numeric
@attribute 1c:87:2c:7e:23:9d_EROGLU-PUB numeric
@attribute X numeric
@attribute Y numeric
@attribute Z numeric
@attribute REF_POINT {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}

@data
-31,-37,-55,-52,-68,-69,-69,-62,-73,-62,-60,-79,-71,?,-78,?,?,?,?,?,?,?,?,-16.567802,-7.96833,-15.011597,1
-31,-39,-55,-51,-59,-70,-68,-62,-75,-63,-59,-80,-69,-89,-78,?,?,?,?,?,?,?,?,-16.30249,-7.514191,-15.193176,1
-32,-37,-54,-52,-67,-70,-77,-61,-73,-63,-60,-80,-70,-89,-78,?,?,?,?,?,?,?,?,-17.010498,-7.69577,-15.193176,1
-32,-37,-54,-52,-68,-70,-69,-61,-76,-63,-60,?,-68,?,?,-86,?,-78,?,?,?,?,?,-17.098999,-7.423592,-15.374756,1
-31,-37,-54,-51,-67,-70,-80,-61,-76,-63,-65,?,-68,?,-77,-86,?,-80,?,?,?,?,?,-16.744995,-7.423782,-15.465546,1
-31,-37,-55,-52,-68,-71,-71,-62,?,-62,-60,-79,-70,?,-79,-86,-88,-80,?,?,?,?,?,-17.098808,-7.514381,-15.283966,1
-31,-37,-55,-51,-69,-70,-70,-60,-73,-62,-59,-79,-70,-89,-79,-86,-88,-80,?,?,?,?,?,-16.833305,-7.786751,-15.193176,1
-32,-38,-54,-51,-69,-70,-70,-61,-75,-70,-60,-80,-69,-89,-78,?,?,?,?,?,?,?,?,-16.213989,-7.605171,-15.193176,1
-31,-37,-54,-51,-67,-70,-68,-62,-76,-63,-60,-80,-68,?,-78,?,?,-81,?,?,?,?,?,-16.744995,-7.514381,-15.828705,1
-32,-37,-54,?,-67,-70,-71,-62,-77,-63,-61,-81,-70,-88,?,?,?,-81,?,?,?,?,?,-17.364311,-7.514381,-15.919495,1
-31,-37,-54,-53,-63,-70,-75,-62,-79,-63,-91,-81,-71,-88,-78,-85,?,-81,?,?,?,?,?,-17.717934,-7.151031,-16.191864,1
-31,-37,-54,-53,-59,?,-72,-62,-79,-62,-60,-81,-71,?,-79,-85,?,-81,?,?,?,?,?,-17.540932,-7.241821,-15.556335,1
-31,-37,-55,-52,-62,?,-70,-62,-72,-62,-63,-81,-70,?,-79,?,?,?,?,?,?,?,?,-17.098999,-6.606293,-15.374756,1
-32,-37,-54,-51,-68,-70,-73,-60,-75,-63,-62,-80,-70,?,-75,?,?,?,?,?,?,?,?,-17.098999,-7.242012,-15.647125,1
-32,-37,-55,-51,-64,-70,-70,-61,-75,-69,-62,-79,-70,-88,-75,-84,?,?,?,?,?,?,?,-17.010498,-8.059502,-16.192055,1
-31,-37,-54,-51,-68,-69,-69,-60,-76,-63,-61,-79,-70,-88,-78,-84,-87,?,?,?,?,?,?,-17.010307,-7.605171,-15.374756,1
-31,-40,-54,-52,-68,-70,-72,-60,-73,-63,-61,-79,-71,?,-78,-86,-87,?,?,?,?,?,?,-17.27581,-7.241821,-15.737915,1
-31,-37,-54,-50,-63,-70,-69,-60,-74,-63,?,-80,-71,?,-77,-86,?,-80,?,?,?,?,?,-17.364311,-7.060242,-15.556335,1
-30,-37,-54,-50,-69,-70,-68,-61,-74,-63,-58,-79,-71,?,-77,-85,?,-80,?,?,?,?,?,-17.010498,-7.060242,-15.647125,1
-31,-38,-55,-50,-68,-70,-70,-62,-74,-62,-61,-79,-71,?,-76,-86,?,-80,?,?,?,?,?,-17.452812,-6.969452,-15.556335,1
-31,-37,-55,-50,-68,-70,-71,-62,-77,-62,-61,-79,-70,-87,-76,-85,?,?,?,?,?,?,?,-17.36412,-6.878853,-15.647125,1
-31,-38,-59,-50,-68,-70,-70,-61,-76,-62,-62,-80,-71,-87,-77,-85,?,?,?,?,?,?,?,-16.921806,-7.423592,-15.465546,1
-31,-39,-54,-50,-68,-70,-71,-61,-76,-63,-60,-80,-71,-86,-77,-85,?,?,?,?,?,?,?,-17.098618,-7.060242,-15.283966,1
-31,-38,-55,-52,-68,-70,-71,-62,-75,-63,-63,-80,-70,-86,?,-85,-86,?,?,?,?,?,?,-17.452431,-6.787872,-15.283966,1
-32,-38,-55,-52,-69,-70,-71,-62,-75,-62,-59,?,-69,?,-79,?,-86,?,?,?,?,?,?,-17.27581,-7.332802,-15.556335,1
-31,-37,-56,-51,-68,-70,-73,-47,-74,-61,-61,?,-69,?,-79,?,?,?,?,?,?,?,?,-17.098999,-7.605171,-15.737915,1
-31,-38,-54,-50,-69,-70,-71,-63,-75,-63,-61,-79,-69,?,?,?,?,-77,?,?,?,?,?,-17.1875,-7.877541,-15.919495,1
-31,-38,-54,-51,-68,-69,-75,-63,-75,-63,-59,-81,-69,?,-83,?,?,-77,?,?,?,?,?,-16.833496,-7.96814,-15.828705,1
-31,-38,-55,-50,-68,-69,-75,-63,-75,-63,-61,-81,-69,?,-83,-87,?,-77,?,?,?,?,?,-16.833305,-7.423401,-15.556335,1
-40,-51,-54,-59,-73,-75,-64,-70,-73,-58,-68,-75,-78,?,-83,-85,-87,?,?,-58,?,?,?,-17.983246,-2.973175,-16.373634,2
-33,-47,-52,-59,-62,-75,-70,-66,-68,-57,-67,-75,-78,?,-83,?,?,?,?,-63,?,?,?,-17.717934,-3.245544,-16.464233,2
-32,-46,-55,-64,-74,?,-64,-68,-70,-57,-67,-76,?,-90,?,?,?,-82,?,-60,?,?,?,-17.806244,-3.427124,-16.464233,2
-32,-49,-55,-56,-73,?,-64,-68,-67,-59,-66,-77,-88,-90,-78,?,?,-82,?,-60,?,?,?,-17.36412,-2.882576,-16.101074,2
-33,-48,-55,-77,-73,-77,-65,-65,-67,-59,-68,-76,-88,?,-77,?,?,?,?,-59,?,?,?,-17.629433,-2.610397,-15.919495,2
-33,-50,-55,-58,-62,-77,-65,-66,-67,-59,-66,-76,?,?,-77,?,?,?,?,-60,?,?,?,-17.187309,-3.427315,-16.191864,2
-33,-49,-53,-57,-73,-78,-64,-67,-67,-70,-66,?,?,?,-80,-89,?,?,?,-58,?,?,?,-17.452621,-3.608894,-16.373634,2
-34,-46,-55,-57,-72,-75,-63,-68,-69,-59,-70,?,?,-79,-84,-89,?,?,?,-65,-90,?,?,-17.806435,-3.154755,-16.373825,2
-33,-43,-55,-57,-72,-75,-64,-67,-67,-59,-65,-76,?,-79,-84,-87,?,-82,?,-55,-90,?,?,-17.718124,-2.610016,-16.192055,2
-33,-41,-55,-59,-73,?,-64,-68,-68,-60,-64,-76,-73,?,-84,-87,?,-82,?,-55,?,?,?,-17.452621,-2.973366,-16.464424,2
-33,-42,-55,-57,-73,?,-63,-68,-67,-66,-64,-76,-73,?,-83,-90,?,?,?,-58,?,?,?,-17.36412,-2.791786,-16.191864,2
-32,-42,-55,-57,-73,?,-64,-67,-68,-60,-64,-76,-73,?,-83,-90,?,?,?,-58,?,?,?,-18.071556,-3.063965,-15.919495,2
-33,-41,-54,-56,-72,-77,-64,-67,-67,-60,-66,-76,-73,?,?,-89,?,?,?,-57,?,?,?,-17.894745,-3.063965,-16.282654,2
-32,-43,-54,-56,-72,-80,-63,-68,-67,-59,-66,-76,-73,?,?,-89,?,?,?,-59,?,?,?,-17.894745,-3.336716,-16.555023,2
-32,-45,-55,-57,-72,-80,-63,-68,-68,-62,-69,-76,-75,?,?,?,?,?,?,-57,?,?,?,-17.717743,-2.882385,-16.464424,2
-32,-43,-54,-55,-71,?,-64,-67,-68,-66,-64,-76,-75,?,-77,?,?,?,?,-59,-91,?,?,-17.540932,-2.882576,-16.282654,2
-33,-42,-54,-56,-71,-78,-63,-68,-68,-66,-71,?,?,?,-77,-86,?,-74,?,-57,-91,?,?,-17.629623,-2.882576,-16.010284,2
-34,-43,-55,-57,-71,-78,-63,-69,-67,-58,-65,?,?,-88,?,-86,?,-75,?,-56,?,?,?,-18.160439,-2.610016,-15.919495,2
-33,-43,-55,-57,-71,?,-62,-69,-67,-59,-67,-76,?,-90,-77,?,?,-75,?,-59,?,?,?,-17.717743,-2.882385,-16.010284,2
-33,-45,-55,-58,-71,-75,-63,-68,-66,-63,-67,-76,?,-90,-77,?,?,?,?,-61,?,?,?,-18.160057,-2.610016,-16.282654,2
-33,-40,-54,-58,-72,-75,-63,-69,-67,-63,-64,?,?,?,-76,?,?,?,?,-59,?,?,?,-18.33725,-3.154945,-16.464233,2
-32,-40,-54,-54,-72,?,-63,-67,-67,-58,-64,?,-73,?,-76,?,?,-75,?,-62,?,?,?,-17.717934,-3.518295,-15.919495,2
-32,-39,-54,-56,-72,-78,-64,-68,-68,-58,-67,-76,-73,?,?,?,?,-75,?,-62,?,?,?,-17.629623,-3.245735,-15.919495,2
-32,-44,-55,-57,-71,-78,-63,-67,-67,-58,-66,-76,-71,?,?,?,?,-75,?,-60,?,?,?,-18.248558,-3.427505,-16.464424,2
-33,-44,-54,-62,-72,-77,-63,-67,-67,-57,-65,-76,-71,?,?,?,?,-75,?,-59,?,?,?,-18.248558,-3.155136,-16.282845,2
-33,-44,-55,-58,-71,-77,-62,-67,?,-57,-65,-76,-74,?,?,-91,?,-75,?,-59,?,?,?,-17.541122,-2.337646,-16.282654,2
-33,-44,-55,-57,-72,-77,-64,-66,-66,-58,-66,-77,-74,?,-82,-89,?,-75,?,-59,?,?,?,-17.452621,-2.882576,-16.646004,2
-33,-44,-55,-58,-73,-77,-66,-67,-67,-57,-65,-76,-73,?,-82,-89,?,-76,?,-59,?,?,?,-17.806244,-3.064156,-16.373825,2
-33,-43,-55,-57,-73,-75,-62,-67,-66,-62,-66,-76,-73,?,-76,?,?,-76,?,-59,?,?,?,-18.071556,-2.973175,-15.919495,2
?,-42,-55,-61,-73,-81,-67,-67,-66,-62,-65,?,?,?,-76,?,?,?,?,-59,?,?,?,-17.894745,-3.154755,-15.919495,2
-34,-43,-56,-58,-74,-81,-63,-66,-67,?,-67,?,?,-90,-76,?,?,-79,?,-58,?,?,?,-17.452812,-2.791595,-15.828705,2
-33,-45,-54,-57,-72,-76,-62,-66,-66,?,-67,-76,?,-90,?,?,?,-83,?,-60,?,?,?,-17.718124,-3.245735,-16.646194,2
-33,-43,-54,-59,-72,-77,-63,-67,-68,?,-67,-76,?,?,?,?,-88,-80,?,-60,?,?,?,-17.983246,-3.336525,-16.464424,2
-74,-46,-55,-57,-71,-77,-64,-68,-67,?,-66,?,?,?,?,?,-88,-80,?,-57,?,?,?,-17.36412,-2.973366,-16.555023,2
-32,-42,-56,-56,-73,?,-64,-69,-67,-58,-66,-77,-73,-90,?,?,?,?,-88,-61,?,?,?,-17.717934,-2.791595,-16.827583,2
-33,-42,-55,-59,-73,-76,-65,-67,-67,-65,-65,-76,-73,-90,?,?,?,-78,-88,-58,?,?,?,-18.514252,-2.973175,-16.827774,2
-33,-45,-55,-56,-71,-76,-64,-67,-67,-65,-67,-76,-77,?,-81,-87,?,-78,?,-58,?,?,?,-17.718124,-3.336334,-16.373634,2
-34,-47,-54,-56,-72,?,-66,-67,-69,-65,-72,?,-77,?,-81,-87,?,?,?,-62,?,?,?,-17.36412,-3.154755,-16.373444,2
-34,-49,-54,-56,-72,?,-66,-75,-69,?,-67,-78,?,?,?,-87,?,?,?,-61,?,?,?,-17.629433,-2.973175,-16.191864,2
-34,-45,-55,-56,-72,?,-73,-64,-67,-58,-67,-78,-75,?,?,?,?,?,?,-59,?,?,?,-17.894936,-3.154755,-16.101074,2
-39,-37,-59,-51,-70,?,-73,-60,-78,-58,-63,-77,?,?,-78,-89,?,-78,?,-68,?,?,?,-10.832024,7.087898,-21.272278,3
-37,-38,-61,-52,-70,-69,-74,-64,-78,-70,-63,-77,?,?,-78,-89,?,-78,?,-90,?,?,?,-11.009026,7.269478,-20.636559,3
-39,-38,-57,-58,-71,-69,-65,-59,-74,-61,-68,-78,?,?,-76,?,?,?,?,-65,?,?,?,-10.47802,7.178497,-20.636559,3
-33,-40,-61,-53,-70,-69,-68,-58,-68,-70,-62,-78,?,-70,-76,?,?,?,?,-57,?,?,?,-11.274338,7.360077,-20.999908,3
-36,-40,-65,-51,-70,?,-70,-58,-68,-70,-60,-80,-72,-70,-73,?,?,-81,?,-58,?,?,?,-11.362839,6.996918,-20.454979,3
-34,-38,-62,-51,-69,?,-70,-58,-73,-83,-58,-80,-83,?,-73,?,?,-81,?,-57,?,?,?,-10.47802,7.723618,-20.999718,3
-33,-37,-63,-52,-70,?,-68,-56,-71,-74,-58,-80,-83,?,-73,?,?,?,?,-57,?,?,?,-10.389519,7.360268,-20.817947,3
-36,-39,-64,-54,-70,-70,-69,-58,-71,-74,-59,?,?,?,?,?,-84,?,?,-57,?,?,?,-10.566521,6.906128,-20.818138,3
-36,-40,-62,-69,-70,-70,-71,-60,-75,?,-60,?,?,?,-76,-90,-84,?,?,-60,?,?,?,-10.389709,6.452179,-21.181488,3
-37,-41,-61,-54,-71,-70,-71,-59,-76,-64,-60,?,-74,-87,-76,-90,?,?,?,-59,?,?,?,-10.301208,7.087708,-20.545769,3
-36,-40,-64,-56,-71,-70,-70,-59,-77,-69,-59,-79,-70,-87,?,?,-85,?,?,-58,?,?,?,-10.47802,7.178497,-20.727539,3
-37,-41,-62,-57,-71,-70,-70,-59,-75,-65,-60,-80,-70,-81,?,?,-85,-80,?,-59,?,?,?,-10.389519,6.996918,-21.181488,3
-37,-41,-63,-55,-69,-69,-71,-60,-75,-63,-59,-80,-72,-85,?,-87,?,-79,?,-57,?,?,?,-10.47821,7.178497,-21.453857,3
-36,-38,-64,-55,-71,-69,-72,-60,-75,-65,-59,?,-71,-85,-77,-87,?,-80,?,-57,?,?,?,-10.655212,6.542969,-21.090698,3
-36,-37,-63,-55,-72,-69,-72,-59,-75,-65,-59,?,-71,?,-77,-86,?,-80,?,-56,?,?,?,-10.920525,6.633759,-20.727348,3
-35,-39,-61,-55,-71,?,-72,-58,-75,-69,-59,?,-69,?,?,-86,?,?,?,-57,?,?,?,-11.097527,6.815529,-20.999527,3
-34,-39,-61,-53,-71,-69,-71,-58,-75,-68,-59,?,-73,?,?,?,?,-77,?,-57,?,?,?,-11.362648,7.087898,-20.636559,3
-35,-38,-61,-53,-71,-69,-70,-59,-75,-65,-58,?,-73,?,-76,?,?,-77,?,-57,?,?,?,-11.185837,7.087708,-20.999908,3
-33,-39,-61,-53,-72,-66,-70,-59,-75,-65,-59,?,-70,-88,-76,?,?,-80,?,-57,?,?,?,-10.566711,7.269478,-20.818329,3
-36,-38,-63,-54,-71,-69,-71,-58,?,-65,-57,?,-72,-88,-76,-87,?,-80,?,-56,?,?,?,-10.389709,6.906128,-21.272278,3
-35,-37,-58,-54,-72,-67,-72,-59,-75,-69,-59,-88,-72,?,-74,-90,?,-78,?,-56,?,?,?,-10.389709,6.996918,-21.453857,3
-36,-40,-59,-54,-65,-67,-72,-57,-75,-67,-59,-88,-62,?,-74,-90,?,-77,?,-56,?,?,?,-10.566711,7.269287,-20.727539,3
-34,-36,-59,-55,-72,-69,-70,-58,-78,-62,?,?,-70,?,-74,?,?,-77,?,-55,?,?,?,-10.655022,6.996918,-20.727348,3
-34,-35,-61,-53,-72,-69,-71,-58,-78,-60,-56,-78,-70,-84,-74,?,?,?,?,-56,?,?,?,-10.301208,6.815338,-20.364189,3
-35,-37,-61,-53,-71,-68,-71,-59,-75,-64,-56,-78,-70,-84,-74,?,?,?,?,-57,?,?,?,-10.389519,6.724548,-20.727348,3
-35,-37,-62,-52,-70,-68,-71,-57,-75,-62,-57,?,-71,-84,-76,-87,?,-77,?,-56,?,?,?,-10.655022,6.724548,-20.999718,3
-36,-38,-60,-52,-70,-69,-71,-58,-73,-66,-64,-82,-71,?,-76,-87,?,-79,?,-56,?,?,?,-10.47821,6.633759,-20.727158,3
-38,-36,-60,-54,-71,-67,-72,-62,-73,-62,-59,-82,?,?,-76,?,?,-79,?,-57,?,?,?,-10.655022,7.360268,-20.454979,3
-36,-33,-57,-60,-70,-67,-68,-65,-78,-58,-68,-84,-70,?,-75,?,?,-78,?,-67,?,?,?,-10.832024,7.451057,-20.909119,3
-36,-34,-57,-61,-70,-66,-69,-62,-78,-59,-66,-84,-67,-86,-72,?,?,-75,?,-67,?,?,?,-11.009026,7.178497,-20.727348,3
-36,-34,-58,-60,-70,-66,-78,-62,?,-59,-66,?,-68,-86,-72,?,?,-75,?,?,?,?,?,-10.655212,6.542969,-20.545769,3
-38,-34,-61,-63,-72,-66,-71,-64,-68,-60,-66,?,-67,?,?,?,?,?,?,-69,?,?,?,-10.920715,6.542969,-21.090508,3
-38,-32,-58,-63,-71,-70,-69,-48,-67,-61,-69,?,-67,?,?,?,?,?,?,-69,-91,?,?,-10.920715,6.815338,-20.999527,3
-37,-35,-58,-60,-74,-65,-70,-63,-69,-61,-69,?,?,?,?,-92,?,-81,?,-69,-91,?,?,-10.389519,6.996918,-21.090698,3
-37,-34,-59,-58,-72,-67,-69,-62,-65,-62,-65,-81,-67,?,?,-92,?,-81,?,-67,?,-91,?,-10.655022,6.906128,-20.909119,3
-37,-34,-58,-63,-71,-66,-68,-62,-65,-62,-65,-81,-67,?,?,?,?,?,?,-66,?,-91,?,-10.566521,6.724548,-20.727539,3
-37,-33,-60,-62,-71,-67,-69,-62,-69,-64,-64,?,-67,?,?,?,?,?,?,-68,?,?,?,-10.655212,6.542969,-20.182419,3
-36,-34,-58,-60,-70,-67,-68,-63,-66,-63,-65,-79,-67,-87,?,?,-84,-77,-86,-67,?,?,?,-10.212708,6.452179,-20.091629,3
-37,-34,-58,-63,-70,-67,-70,-63,-66,-65,-65,-79,?,-87,?,?,-84,-78,-86,-67,?,?,?,-10.566521,6.815529,-20.636559,3
-37,-33,-60,-63,-70,-66,-67,-62,-64,-62,-64,-81,-66,?,-74,?,?,-78,-87,-62,?,?,?,-10.655212,6.543159,-20.454788,3
-70,-37,-61,-50,-69,-69,-71,-64,-77,-63,-60,-82,?,?,-71,?,?,?,?,-58,?,?,?,-9.868813,-5.224419,-22.217751,4
-40,-41,-60,-51,-70,-70,-71,-63,-72,-63,-60,-82,?,?,?,?,-88,?,?,-58,?,?,?,-9.337234,-5.44529,-22.667503,4
-44,-37,-62,-51,-69,-77,-74,-69,-72,-62,-60,?,?,?,?,?,-88,?,?,-56,?,?,?,-9.907341,-5.513382,-22.293854,4
-47,-40,-60,-50,-67,-70,-71,-69,-76,-62,-64,-79,?,?,?,?,?,?,?,-58,?,?,?,-10.301208,-4.900169,-22.089577,4
-47,-38,-60,-49,-68,-70,-73,-70,-76,-59,-64,-78,-76,?,?,?,?,?,?,-54,?,?,?,-9.416199,-4.627609,-22.361946,4
-44,-38,-57,-53,-68,-71,-72,-66,-80,-63,-64,-77,-76,?,?,?,?,?,?,-54,?,?,?,-9.327698,-5.172348,-22.089386,4
-46,-38,-59,-53,-67,-71,-73,-65,-77,-60,-65,-80,-76,?,-80,?,?,?,?,-57,?,?,?,-9.681702,-5.62706,-21.998596,4
-45,-37,-60,-53,-69,?,-71,-69,-75,-61,-62,-80,-79,-90,-80,?,?,?,?,-58,?,?,?,-9.327698,-5.354691,-21.726227,4
-46,-37,-58,-51,-70,-70,-72,-69,-66,-59,-63,?,-79,-90,?,?,?,?,?,-55,?,?,?,-9.681702,-4.80938,-22.089386,4
-45,-38,-59,-52,-69,-70,-72,-72,-74,-59,-63,?,?,?,?,?,?,?,?,-57,?,?,?,-10.212517,-5.172539,-21.726227,4
-47,-34,-60,-50,-70,?,-73,-68,-77,?,-64,-78,-76,?,-81,?,?,?,?,-58,?,?,?,-10.035515,-5.08194,-21.817017,4
-45,-37,-59,-51,-69,-70,-75,-69,-77,-60,-61,-78,-76,?,-81,?,?,?,?,-60,?,?,?,-9.947014,-4.809189,-21.272278,4
-45,-37,-58,-52,-69,-68,-74,-70,-76,-61,-64,?,-79,-82,?,?,?,?,?,-55,?,?,?,-9.858513,-4.899979,-21.907806,4
-44,-38,-58,-51,-70,-70,-74,-68,-75,-61,-62,-76,-79,-82,-81,-86,?,-77,?,-57,?,?,?,-9.593201,-4.990959,-22.452545,4
-44,-38,-57,-51,-70,-70,-74,-64,-75,-63,-66,-76,?,?,-81,-86,?,-77,?,-55,?,?,?,-10.124207,-4.80938,-22.180176,4
-44,-37,-58,-52,-69,?,-79,-67,?,-63,-64,?,?,?,?,?,?,-76,?,-60,?,?,?,-9.770203,-5.354309,-22.271156,4
-45,-37,-58,-52,-70,?,-79,-69,-77,-59,-63,?,?,-90,-79,?,?,-76,?,-58,?,?,?,-9.239197,-4.627419,-22.361946,4
-46,-37,-59,-51,-69,?,?,-69,-77,-63,-63,?,?,-90,-79,?,?,?,?,-57,?,?,?,-9.5047,-5.081558,-22.089386,4
-49,-39,-58,-63,-68,-71,-73,-66,?,-61,-63,-77,?,?,?,?,?,?,?,-55,?,?,?,-10.124207,-5.172539,-22.452545,4
-44,-39,-59,-52,-70,-75,-76,-66,?,-64,-63,-77,?,?,?,?,?,?,?,-55,?,?,?,-10.389709,-4.808998,-22.270966,4
-45,-40,-56,-52,-69,-70,-77,-66,-75,-64,-61,-77,?,?,?,?,?,?,?,-60,?,?,?,-9.770203,-5.172539,-22.270966,4
-46,-39,-57,-51,-68,-68,-73,-66,-74,-65,-61,-77,-74,?,?,?,?,?,?,-55,?,?,?,-9.770203,-5.354309,-22.543526,4
-46,-40,-58,-49,-69,-69,-73,-68,-73,-63,-63,-75,-74,?,-84,?,?,?,?,-57,?,?,?,-10.212708,-4.899979,-22.180367,4
-46,-40,-60,-51,-68,-69,-75,-66,-73,-65,-63,-76,-70,?,-84,?,?,?,?,-55,?,?,?,-10.035706,-5.081749,-21.907806,4
-46,-41,-58,-51,-70,-69,-72,-66,-79,-64,-62,-76,-72,?,-83,?,?,?,?,-56,?,?,?,-9.327698,-4.718399,-22.634125,4
-44,-41,-58,-50,-69,?,-73,-67,-83,-64,-63,-76,-72,?,-84,?,?,?,?,-54,?,?,?,-9.858704,-5.263519,-22.452545,4
-46,-40,-57,-49,-68,-66,-71,-67,-73,-63,-63,-76,-71,?,-84,?,-87,?,?,-58,?,?,?,-9.593201,-5.53627,-21.817017,4
-44,-39,-59,-49,-68,-70,-71,-66,-73,-63,-63,?,-71,?,?,?,-87,?,?,-55,?,?,?,-9.858704,-4.80938,-21.635437,4
-46,-40,-60,-49,-68,-70,-74,-67,-74,-63,-64,-77,-70,?,?,?,?,?,?,-57,?,?,?,-10.301208,-4.445839,-22.180176,4
-45,-39,-63,-50,-67,?,-72,-68,-74,-65,-64,-76,-70,?,?,?,?,?,?,-57,?,?,?,-10.212708,-5.354309,-22.270966,4
