LOCAL MAGNETIC FIELD X,LOCAL MAGNETIC FIELD Y,LOCAL MAGNETIC FIELD Z,ORIENTATION X,ORIENTATION Y,ORIENTATION Z,GLOBAL MAGNETIC FIELD X,GLOBAL MAGNETIC FIELD Y,GLOBAL MAGNETIC FIELD Z,REF_POINT
-15.95611572,3.142547607,-19.2741394,-0.951884191,-0.255782607,77.68866166,8.04E-08,16.24345678,-19.29030316,1
-16.22161865,3.233337402,-19.27452087,-0.96961835,-0.241889575,77.5608415,8.05E-07,16.52809413,-19.28534785,1
-15.95630646,2.960586548,-19.4562912,-0.967008258,-0.302173839,78.27629015,-8.71E-07,16.19124234,-19.48742485,1
-15.7793045,2.869987488,-19.54708099,-0.937839294,-0.294144658,78.49653643,5.02E-07,16.00014698,-19.57822644,1
-15.60211182,2.688407898,-19.63806152,-0.959632294,-0.291493451,78.98229949,-6.81E-07,15.79309653,-19.66939228,1
-15.4253006,2.234268188,-19.81945038,-0.960648925,-0.25949799,80.49583526,8.16E-07,15.5488078,-19.84885493,1
-15.69080353,2.506637573,-19.36511993,-0.944427225,-0.278652642,79.72707697,-8.01E-07,15.85053084,-19.39724437,1
-16.22161865,2.506637573,-19.18392181,-0.956960196,-0.294127396,80.0511353,-7.08E-07,16.36907737,-19.22239074,1
-17.83065796,0.747680664,-20.44181824,-1.005254969,-0.229686375,86.42956893,5.26E-07,17.78308508,-20.49685848,2
-17.83313751,0.997161865,-20.18089294,-0.982974358,-0.232273283,85.66872683,-2.66E-07,17.80202068,-20.23293417,2
-18.25714111,0.689697266,-20.18299103,-0.961026613,-0.215718532,86.75982223,-7.37E-07,18.2101341,-20.23716944,2
-18.25714111,0.417327881,-20.36476135,-0.970506915,-0.248757411,87.59354244,9.03E-07,18.18458989,-20.4338337,2
-18.25714111,0.598907471,-20.63713074,-0.970957494,-0.249610117,87.00698629,2.71E-07,18.1918775,-20.70334876,2
-18.08013916,0.780487061,-20.36437988,-0.990826835,-0.231613316,86.39536334,-7.95E-07,18.03334672,-20.42074843,2
-18.16864014,1.23462677,-19.91043091,-0.959133263,-0.220990197,85.04371671,-8.07E-07,18.15961091,-19.956893,2
-17.81463623,0.962257385,-19.63787079,-0.991044013,-0.241270616,85.79702511,4.07E-07,17.77959929,-19.69312117,2
-17.72613525,0.962638855,-20.00141144,-0.990245628,-0.222226181,85.75695922,-3.23E-07,17.69692916,-20.05037911,2
-17.90313721,1.3256073,-20.0012207,-1.007863141,-0.200108975,84.6236191,-5.06E-07,17.91197324,-20.03720541,2
