GLOBAL MAGNETIC FIELD X,GLOBAL MAGNETIC FIELD Y,GLOBAL MAGNETIC FIELD Z,REF_POINT
4.23E-07,9.7095120906,-27.6108064096,6
7.56E-08,9.4625325648,-27.6046993796,6
-6.98E-07,9.943795244,-27.1578383026,6
1.14E-07,9.575280705,-27.6002896185,6
7.41E-07,9.774226796,-27.4278993963,6
1.04E-06,9.4739151633,-27.2369193868,6
6.41E-07,9.1278400937,-27.4113209906,6
1.19E-06,9.1862033302,-27.0504643886,6
8.69E-07,9.5548621207,-27.2354321105,6
-9.38E-07,9.50920595,-27.1429803312,6
4.55E-07,9.132324529,-27.6811302465,6
4.78E-07,9.0784467122,-27.4115198696,6
2.82E-07,9.3454866648,-26.9628514379,6
1.20E-06,9.6996039147,-27.4218096851,6
1.12E-06,9.5196018288,-27.0579775723,6
-1.34E-07,9.5042547045,-26.9675983272,6
-3.04E-07,8.8715433897,-26.7720900715,6
8.16E-07,9.6222871099,-27.2433655683,6
-2.13E-07,9.9069776838,-27.1565037091,6
1.09E-08,9.5662716139,-26.7837302999,6
-1.47E-06,9.2916605475,-26.7766122762,6
-1.63E-06,9.7343677864,-26.8755684128,6
-3.56E-07,9.9900888454,-26.9725181623,6
-1.43E-07,9.5655904216,-26.7803054906,6
-6.13E-07,9.7388252927,-27.3221537748,6
-4.49E-07,9.8051055788,-27.3286605761,6
8.45E-07,9.4865443457,-27.0520513888,6
2.39E-07,9.9443892489,-27.6049588396,6
-4.87E-07,10.0721416334,-27.6059754108,6
6.42E-07,9.7014872724,-27.2406001743,6
1.45E-06,9.6821750576,-27.0556881451,6
5.10E-07,9.426972431,-27.5056801134,6
-5.83E-07,9.6298731501,-26.9682788032,6
-1.25E-06,9.4440491631,-27.2298878421,6
7.00E-07,9.4582670855,-27.4135780146,6
1.48E-06,9.4308330524,-27.6851376448,6
5.08E-07,9.4994425216,-27.0594596844,6
1.60E-07,9.1346062595,-31.0630938547,7
1.92E-07,9.8720743318,-30.8852083781,7
-1.51E-07,9.9160938953,-30.7094239875,7
-1.92E-07,9.4493033308,-30.7995227454,7
2.96E-07,9.7771120418,-31.0676122468,7
-1.44E-07,9.6143315425,-31.4384957421,7
4.77E-07,9.8843950047,-31.2593971551,7
-5.14E-07,9.7440150727,-31.0704415252,7
-1.50E-08,9.3663654442,-30.7078272999,7
-3.85E-07,9.8193415316,-30.3474472462,7
-1.84E-07,9.555486591,-30.3447982786,7
3.71E-07,9.403680798,-30.7016599231,7
-4.19E-07,9.5143791955,-30.7001625555,7
-7.03E-08,9.7776086152,-30.8836240297,7
-4.09E-07,9.8095464419,-30.6207222671,7
8.27E-08,10.1097196288,-30.3473470591,7
-2.68E-07,10.0818068867,-30.8048590713,7
-2.57E-07,10.0126416237,-30.8021571864,7
-2.33E-07,10.0908468115,-30.4398483181,7
5.26E-07,9.9655331815,-30.7167575231,7
-5.50E-07,9.0310643837,-30.702499632,7
3.16E-07,9.1279161311,-30.5214846612,7
4.18E-07,9.7643583059,-30.9046571798,7
9.13E-08,9.8635930393,-31.1724308736,7
-5.90E-07,9.8030927555,-30.9848319228,7
3.45E-07,10.0913947811,-30.1680954799,7
1.32E-07,9.8073458109,-30.1676660427,7
4.95E-07,9.0783126714,-30.0751330184,7
3.69E-07,9.5008782316,-30.2488474508,7
3.93E-07,9.9072511581,-31.0743387063,7
-3.79E-07,9.9674162026,-30.8073757871,7
-5.51E-07,9.7321612218,-30.708499403,7
1.68E-07,9.8826582106,-30.3521254981,7
3.69E-07,9.8039178864,-30.802519635,7
4.94E-07,8.9501867645,-31.335770356,7
-3.32E-07,9.1130478945,-31.0672831142,7
1.60E-07,9.8921864499,-30.8948770163,7
-5.35E-08,9.7089068838,-30.5321072808,7
-2.11E-07,9.3769941361,-30.162731696,7
-4.65E-07,9.5372602113,-30.8922984116,7
-1.42E-08,10.4335597901,-33.262693592,8
-5.89E-07,10.2515522788,-33.0748544901,8
1.50E-07,10.7098695483,-33.2608622834,8
6.49E-07,10.3620328868,-33.3494641242,8
1.99E-07,10.1347598813,-33.0739599418,8
-5.21E-07,9.7015166572,-33.341565855,8
1.93E-08,10.0193740977,-32.5315554119,8
5.32E-07,10.3285445773,-32.8966678596,8
-2.99E-07,10.0743913599,-32.8934484718,8
1.76E-07,9.8466998643,-33.7044478173,8
6.45E-07,10.143521087,-33.3511619165,8
-2.88E-07,9.7030023622,-32.9790757662,8
-6.82E-07,9.8397457444,-32.6136209957,8
5.42E-08,10.5802090981,-32.9887361301,8
-8.80E-08,10.07920426,-33.4428995274,8
-4.81E-07,9.90969031,-33.6208560717,8
2.22E-07,10.2090520841,-33.4361890577,8
-5.24E-09,10.0189456348,-33.1640797592,8
-4.57E-07,9.8828701369,-33.6207427062,8
1.63E-08,10.1760558945,-33.4408896203,8
-1.12E-07,10.1408189543,-33.0677058305,8
1.22E-07,10.4937737529,-32.9873433759,8
2.32E-07,10.5292897571,-33.2625910907,8
-5.37E-07,10.4019576437,-33.4441426424,8
-5.13E-07,10.3263705685,-32.807342338,8
1.35E-07,10.452871957,-33.1685834747,8
-2.65E-07,10.513093517,-33.0790688257,8
5.53E-07,10.4120794544,-33.0796770175,8
-5.04E-07,10.2069266436,-33.0784140966,8
2.48E-07,9.8595562809,-32.3403588846,8
-1.94E-07,10.1104218273,-32.3502789362,8
2.01E-07,9.7968743875,-32.2579569629,8
4.85E-07,10.4076448158,-32.6297057387,8
-1.44E-07,10.4573019345,-32.993299982,8
1.01E-07,10.198139967,-33.7136390169,8
6.72E-08,9.782633255,-33.1573126588,8
