06:18:d6:c2:98:24(inonet),4c:5e:0c:71:a8:bf(RFKON2014-Mesh),d4:ca:6d:bc:1d:73(RFKON2014-Mesh),18:28:61:9e:ab:5c(MMD),04:18:d6:c1:98:24(inonet),4c:5e:0c:6f:20:b2(RFKON2014-Mesh),4c:5e:0c:70:52:5a(RFKON2014-Mesh),d4:ca:6d:c9:f1:c5(RFKON2014-Mesh),c0:4a:00:0f:03:51(BilTAY Teknoloji),4c:5e:0c:71:aa:15(RFKON2014-Mesh),18:28:61:1c:0b:69(EVOSOFT),dc:02:8e:c2:23:52(ILKSEM),e8:37:7a:6c:7f:55(PYR),4c:5e:0c:6f:20:fa(RFKON2014-Mesh),c4:6e:1f:58:40:d2(DLink_D01),18:28:61:58:78:6a(Dlink_DAP-1360),4c:5e:0c:23:44:33(RFKON2014-Mesh),e4:8d:8c:20:4d:c1(UPLAT),00:26:5a:52:0b:8c(RFKON_115),18:28:61:13:0d:9d(EROGLU),REF_POINT
-73,NaN,-76,-75,-61,-54,-38,-59,-64,-46,-58,-67,-64,-71,NaN,NaN,-74,-77,NaN,NaN,1
-72,NaN,-76,-75,-64,-54,-37,-59,-64,-47,-58,-64,-63,-71,NaN,NaN,NaN,-77,-89,NaN,1
-73,NaN,-83,NaN,-61,-54,-38,-59,-66,-46,-58,-64,-63,-70,NaN,NaN,-72,-76,-89,NaN,1
-72,NaN,-83,-70,-64,-56,-38,-63,-66,-46,-58,NaN,-63,-71,NaN,NaN,-72,-77,NaN,NaN,1
-69,NaN,-83,-70,-67,-54,-77,-70,-65,-58,-58,NaN,-63,-71,-87,NaN,NaN,-77,NaN,NaN,2
-70,-78,-71,-76,-68,-51,-86,-67,-60,-53,-67,-69,-63,-81,-86,NaN,NaN,-77,NaN,-90,2
-70,-78,-71,-75,-70,-54,-38,-69,-61,-54,-65,-70,-63,-76,-86,NaN,NaN,-77,NaN,-89,2
-70,-80,NaN,-75,-70,-53,-39,-69,-62,-57,-67,-69,-64,-76,-87,NaN,NaN,-77,NaN,-89,2
-71,-80,-66,-74,-66,-52,-73,-69,-62,-61,-65,-74,-64,-76,-87,NaN,NaN,-77,NaN,NaN,2
-71,-80,-70,-74,-68,-52,-38,-68,-65,-59,-65,-72,-64,-77,NaN,NaN,-59,-75,NaN,NaN,2
-70,-85,-69,-74,-69,-50,-38,-69,-64,-61,-65,-72,-64,-77,-87,NaN,-59,-75,NaN,NaN,2
