06:18:d6:c2:98:24(inonet),04:18:d6:c1:98:24(inonet),d4:ca:6d:c9:f1:c5(RFKON2014-Mesh),4c:5e:0c:70:52:5a(RFKON2014-Mesh),18:28:61:9e:ab:5c(MMD),d4:ca:6d:bc:1d:73(RFKON2014-Mesh),4c:5e:0c:71:aa:15(RFKON2014-Mesh),4c:5e:0c:6f:20:b2(RFKON2014-Mesh),c0:4a:00:0f:03:51(BilTAY Teknoloji),e8:37:7a:6c:7f:55(PYR),dc:02:8e:c2:23:52(ILKSEM),04:bf:6d:d8:e8:a4(Evosoft),4c:5e:0c:6f:20:fa(RFKON2014-Mesh),4c:5e:0c:71:a8:bf(RFKON2014-Mesh),64:66:b3:d0:4a:8d(DLINK_D04A8D),e4:8d:8c:20:4d:c1(UPLAT),00:0f:f7:2e:0a:d0(ESOGU-WIFI),18:28:61:58:78:6a(Dlink_DAP-1360),4c:5e:0c:23:44:33(RFKON2014-Mesh),00:26:5a:52:0b:8c(RFKON_115),c4:6e:1f:58:40:d2(DLink_D01),18:28:61:13:0d:9d(EROGLU),REF_POINT
-74,-59,-57,-51,-69,-64,-40,-52,-57,-55,-71,-48,-67,-74,-87,-86,-87,-86,-79,-79,-86,NaN,5
-74,-58,-65,-50,-68,-64,-38,-52,-59,-55,-70,-48,-68,-75,NaN,NaN,-83,NaN,-79,-79,-86,NaN,5
-73,-58,-58,-50,-69,-61,-39,-52,-58,-63,-71,-48,-68,-75,-86,NaN,-79,NaN,NaN,-78,-86,NaN,5
-72,-59,-59,-50,-70,-61,-40,-51,-58,-54,-70,-47,-67,-76,-88,NaN,-82,NaN,NaN,-80,-88,NaN,5
-74,-58,-54,-50,-68,-63,-40,-52,-59,-55,-74,-47,-67,-75,-88,NaN,-82,NaN,NaN,-87,-88,NaN,5
-77,-59,-57,-50,-69,-65,-40,-52,-58,-55,-70,-48,-67,-76,-87,-83,-81,NaN,-77,-79,-82,-87,5
-72,-59,-56,-49,-68,-64,-39,-54,-58,-56,-69,-48,-67,-76,-87,-85,-83,NaN,-77,-79,-79,-87,5
-70,-58,-59,-49,-70,-63,-40,-52,-59,-55,-69,-48,NaN,-74,-88,-85,-83,NaN,NaN,-73,-87,NaN,5
-77,-61,-58,-50,-68,-64,-40,-54,-60,-55,-70,-48,-67,-75,-89,NaN,-85,-85,NaN,-79,-87,NaN,5
-75,-57,-58,-50,-68,-63,-41,-68,-60,-56,-70,-48,-67,-76,-88,-83,-85,-85,NaN,-79,NaN,NaN,5
-75,-58,-57,-50,-70,-63,-38,-51,-58,-56,-70,-48,-67,-76,-87,-82,-84,NaN,NaN,-73,-82,NaN,5
-75,-58,-58,-49,-68,-63,-40,-52,-57,-55,-70,-51,-67,NaN,-87,-82,-85,-83,-78,-79,-82,NaN,5
-74,-59,-56,-50,-69,-60,-40,-53,-59,-64,-69,-48,-68,-76,-88,NaN,-85,-87,-78,-78,NaN,NaN,5
-71,-59,-57,-49,-69,-64,-40,-52,-59,-54,-69,-48,-68,-76,-88,NaN,-85,-85,NaN,-80,NaN,NaN,5
-74,-57,-58,-50,-69,-63,-40,-84,-58,-52,-69,-48,-70,-75,-88,-84,-82,-83,NaN,-80,-87,NaN,5
-73,-59,-57,-52,-68,-67,-40,-52,-59,-55,-69,-48,-70,-78,-88,-83,-83,-83,-77,-80,-87,NaN,5
-73,-59,-57,-49,-69,-63,-39,-52,-59,-54,-69,-47,NaN,-78,-88,-83,-83,NaN,-78,-79,-87,NaN,5
-73,-60,-58,-51,-68,-63,-41,-54,-59,-56,-70,-48,-67,NaN,NaN,-83,-83,-85,-78,-79,-87,NaN,5
-73,-60,-58,-50,-68,-64,-39,-51,-59,-64,-68,-47,-67,-75,-86,-84,-83,-85,-78,-79,-87,NaN,5
-74,-60,-57,-48,-68,-63,-38,-51,-59,-63,-69,-47,-68,-75,-86,-84,-83,-86,-78,-72,NaN,NaN,5
-76,-58,-59,-49,-69,-63,-40,-50,-58,-65,-72,-48,-68,-77,-88,-84,-82,-86,NaN,-71,NaN,NaN,5
-72,-58,-57,-86,-69,-64,-40,-51,-58,-54,-71,-48,-66,-77,-88,-84,-83,-87,NaN,-82,-87,NaN,5
-71,-59,-57,-47,-70,-64,-39,-50,-57,-54,-71,-47,-66,-77,-87,-80,-81,-87,-75,-80,-87,NaN,5
-73,-59,-56,-49,-67,-61,-38,-50,-58,-53,-68,-47,-63,NaN,-86,-80,-84,NaN,-75,-78,-86,NaN,5
-74,-61,-59,-50,-69,-61,-40,-52,-59,-65,-69,-48,-68,NaN,-86,NaN,-82,-88,NaN,-80,-88,NaN,5
-72,-62,-57,-49,-68,-64,-38,-52,-58,-54,-69,-47,-67,-75,-86,NaN,-80,-88,-76,-73,-88,NaN,5
-73,-61,-56,-48,-69,-65,-41,-52,-58,-65,-70,-47,-67,-75,-86,-82,-81,NaN,-76,-85,-89,NaN,5
-72,-60,-87,-50,-69,-63,-41,-52,-58,-55,-70,-48,-66,-80,-79,-80,-87,NaN,-78,-81,-89,-88,5
-73,-59,-62,-50,-71,-67,-79,-54,-59,-55,-71,-47,-66,-80,-79,-83,-84,NaN,-78,-83,NaN,-88,5
-74,-59,-58,-51,-68,-63,-37,-51,-57,-86,-68,-52,-67,NaN,NaN,-81,-81,-86,-76,-80,NaN,NaN,5
-74,-59,-60,-50,-70,-67,-39,-52,-59,-56,-71,-48,-65,-75,-85,-81,-85,-86,-76,-80,NaN,NaN,5
-74,-60,-57,-68,-71,-63,-40,-51,-59,-64,-69,-51,-59,-68,-85,NaN,-85,NaN,NaN,-80,NaN,NaN,5
-75,-60,-57,-51,-89,-63,-39,-53,-58,-54,-69,-48,-67,-68,NaN,NaN,-84,NaN,NaN,-80,NaN,-88,5
-74,-62,-57,-56,-71,-63,-82,-51,-59,-54,-69,-47,-67,NaN,-88,NaN,-81,NaN,NaN,NaN,-81,-88,5
-74,-59,-58,-49,-71,-63,-38,-51,-59,-54,-68,-48,-68,NaN,-87,NaN,-81,-79,NaN,-80,-81,NaN,5
-75,-59,-56,-50,-70,-63,-39,-52,-59,-54,-77,-48,-68,NaN,-85,NaN,-82,-79,NaN,-80,-87,-89,5
-75,-59,-58,-49,-72,-65,-39,-52,-58,-54,-77,-48,-64,NaN,-86,NaN,-84,NaN,NaN,-73,-87,-89,5
-75,-59,-60,-50,-75,-65,-39,-52,-58,-54,-69,-48,-68,NaN,-86,NaN,-82,NaN,NaN,-80,NaN,NaN,5
-76,-61,-67,-50,-71,-61,-39,-52,-58,-54,-69,-48,-63,-74,NaN,NaN,-82,NaN,NaN,-72,NaN,NaN,5
-69,-59,-57,-51,-72,-63,-40,-50,-59,-50,-68,-47,-64,-78,NaN,-83,-83,-85,NaN,-72,NaN,NaN,5
-75,-58,-57,-50,-72,-63,-39,-51,-58,-63,-68,-48,-67,-76,NaN,-83,-83,-85,-77,NaN,NaN,NaN,5
-75,-58,-58,-50,-72,-64,-40,-51,-58,-62,-68,-48,-67,-78,NaN,NaN,NaN,NaN,-79,NaN,NaN,NaN,5
-74,-58,-59,-88,NaN,-64,-39,-76,-59,-63,-69,-48,-67,-78,NaN,NaN,-82,NaN,-79,NaN,NaN,NaN,5
-74,-59,-57,-51,-71,-61,-39,-52,-58,-61,-68,-48,-66,NaN,NaN,-80,-83,NaN,NaN,NaN,NaN,NaN,5
-74,-58,-56,-51,-71,-61,-39,-54,-58,-55,-68,-48,-67,NaN,NaN,-80,-85,NaN,NaN,NaN,-84,NaN,5
-74,-58,-57,-50,-73,-64,-39,-54,-59,-54,-68,-47,-64,-76,NaN,-79,-85,NaN,-68,-81,-84,NaN,5
-74,-58,-57,-49,-73,-63,-86,-52,-59,-54,-68,-47,-67,-76,-87,-79,-84,NaN,-68,-80,-81,-86,5
-72,-56,-61,-37,-68,-80,-33,-55,-62,-57,-72,-52,-73,-75,-86,-78,-82,NaN,-77,-80,-88,-86,6
-72,-61,-61,-38,-66,-68,-29,-57,-69,-62,-74,-50,-74,-74,-86,NaN,-85,NaN,-77,NaN,-85,NaN,6
-71,-61,-66,-38,-66,-68,-28,-60,-67,-64,-74,-50,-75,-76,-86,NaN,-85,NaN,NaN,-82,-85,NaN,6
-71,-57,-64,-38,-66,-68,-26,-56,-68,-65,-69,-49,-75,-74,-87,-80,NaN,NaN,-81,-82,-84,NaN,6
-71,-59,-66,-38,-66,-69,-28,-58,-69,-63,-71,-56,-75,-74,-84,-80,-84,NaN,-81,NaN,-84,NaN,6
-72,-61,-63,-38,-67,-66,-26,-56,-68,-63,-71,-49,-75,-74,-84,NaN,-84,-86,-81,-89,-84,NaN,6
-71,-60,-63,-38,-67,-68,-27,-58,-69,-62,-70,-52,-75,NaN,-84,-78,-85,-86,-79,-89,-84,NaN,6
-71,-58,-64,-38,-65,-68,-26,-56,-68,-64,-70,-50,-77,-74,-86,-78,-84,-89,-80,NaN,-85,NaN,6
-70,-61,-63,-38,-67,-66,-28,-57,-68,-66,-70,-49,-74,-74,-88,-78,-86,-89,-80,-88,-86,NaN,6
-70,-58,-63,-73,-66,-68,-28,-56,-69,-63,-70,-50,-73,-73,-88,-77,-88,NaN,NaN,-89,-86,NaN,6
-70,-58,-60,-38,-65,-69,-28,-56,-69,-63,-70,-50,-75,-74,NaN,-79,-86,NaN,NaN,-90,-85,NaN,6
-70,-59,-60,-41,-67,-70,-88,-56,-69,-64,-70,-50,-75,-74,NaN,-79,-84,NaN,-76,-81,-85,NaN,6
-71,-61,-64,-38,-67,-70,-29,-56,-69,-66,-75,-49,-75,-72,-89,-79,-85,NaN,-75,-81,-85,NaN,6
-71,-57,-65,-38,-66,-70,-27,-56,-69,-60,-71,-49,NaN,-81,-88,-78,-86,NaN,-77,NaN,NaN,NaN,6
-70,-61,-68,-38,-66,-70,-28,-56,-66,-61,-70,-49,-75,-75,-88,-77,-86,NaN,-82,NaN,-84,NaN,6
-70,-61,-62,-38,-65,-70,-28,-56,-66,-68,-70,-57,-75,-73,-88,-77,-88,NaN,-82,NaN,-85,NaN,6
-70,-57,-61,-37,-86,-69,-28,-56,-63,-67,-70,-49,-75,-69,-86,-78,-88,NaN,-79,-91,-85,NaN,6
-71,-59,-61,-39,-65,-70,-28,-57,-67,-67,-70,-57,-75,-73,-86,-78,-86,NaN,-81,-91,NaN,NaN,6
-63,-62,-62,-38,-65,-69,-28,-55,-63,-67,-70,-50,-75,-72,-86,-78,-83,NaN,-81,NaN,-85,NaN,6
-69,-59,-62,-38,-65,-72,-26,-58,-69,-60,-71,-49,-75,-74,-86,NaN,-89,NaN,-81,NaN,-83,NaN,6
-69,-58,-63,-38,-66,-69,-28,-57,-68,-62,-70,-49,-75,-77,NaN,-80,-88,NaN,-81,NaN,-85,NaN,6
-65,-61,-62,-38,-66,-67,-28,-57,-68,-66,-69,-50,-75,-74,-87,-78,-89,NaN,NaN,NaN,-82,NaN,6
-70,-61,-64,-38,-65,-70,-28,-56,-68,-62,-70,-50,-69,-70,-87,-78,-86,-87,NaN,NaN,-82,NaN,6
-70,-57,-62,-38,-65,-68,-29,-59,-68,-63,-69,-49,-76,-74,NaN,-78,-86,-87,-81,NaN,-84,NaN,6
-69,-57,-63,-38,-65,-66,-28,-57,-69,-62,-71,-50,-76,-75,-85,-78,-84,NaN,-81,NaN,-84,NaN,6
-70,-62,-62,-37,-66,-69,-28,-55,-63,-62,-70,-49,-75,-74,-87,-79,-85,NaN,-81,NaN,-85,NaN,6
-70,-58,-65,-38,-66,-70,-28,-57,-69,-62,-70,-49,-74,-75,-87,-77,-85,NaN,-80,-81,-84,NaN,6
-67,-60,-65,-38,-65,-68,-28,-56,-68,-67,-72,-49,-74,-75,-87,-78,-87,NaN,-80,-90,-86,NaN,6
-70,-62,-65,-40,-66,-69,-28,-54,-69,-65,-71,-49,NaN,-75,NaN,-78,-86,NaN,-79,-90,-86,NaN,6
-70,-62,-64,-38,-64,-69,-29,-58,-68,-66,-73,-49,NaN,-75,NaN,NaN,-85,NaN,-82,NaN,NaN,NaN,6
-70,-62,-64,-38,-65,-69,-28,-56,-68,-65,-71,-50,-75,-74,NaN,NaN,-84,NaN,-82,NaN,-85,NaN,6
-70,-58,-65,-38,-65,-69,-28,-58,-66,-63,-72,-50,-68,-74,-82,-79,-84,NaN,NaN,NaN,-86,NaN,6
-69,-58,-64,-38,-65,-70,-28,-62,-68,-64,-74,-49,-74,-74,-85,-79,-86,NaN,NaN,NaN,-86,NaN,6
-70,-58,-64,-38,-65,-70,-28,-58,-67,-64,-69,-49,-74,-74,-85,-78,-85,NaN,-76,-89,-86,NaN,6
-70,-58,-63,-38,-67,-69,-28,-58,-68,-65,-69,-49,-75,-74,NaN,-79,-85,-89,-75,-89,-86,NaN,6
-71,-58,-65,-38,-65,-69,-28,-59,-68,-65,-71,-50,-75,-73,-82,-79,NaN,-89,-75,NaN,-84,NaN,6
-70,-58,-64,-38,-66,-71,-28,-59,-68,-67,-74,-50,-75,-75,-82,-84,-81,NaN,NaN,NaN,-85,NaN,6
-71,-57,-64,-40,-65,-70,-29,-58,-67,-65,-75,-50,-76,-73,NaN,-84,-81,NaN,NaN,NaN,-85,NaN,6
-71,-57,-63,-38,-64,-70,-29,-57,-67,-64,-74,-57,-74,-74,-85,-80,NaN,NaN,-77,-89,NaN,NaN,6
-71,-57,-71,-38,-65,-70,-28,-59,-68,-64,-71,-50,-69,-74,-87,-79,-87,NaN,-76,-89,-86,-91,6
-70,-58,-66,-38,-66,-70,-28,-58,-68,-64,-71,-50,-75,-73,-88,-78,-86,NaN,-79,-87,-85,-91,6
-70,-61,-66,-39,-66,-71,-28,-60,-68,-63,-74,-49,-75,-73,-88,-79,-85,NaN,-79,-87,-86,NaN,6
-71,-61,-66,-38,-89,-71,-29,-58,-69,-69,-73,-57,-75,-73,-85,-79,-84,NaN,NaN,NaN,-86,NaN,6
-71,-57,-65,-38,-66,-70,-28,-58,-67,-62,-73,-50,-76,NaN,-86,-81,-84,NaN,NaN,NaN,-85,NaN,6
-71,-61,-60,-39,-65,-72,-28,-59,-67,-61,-71,-50,-75,-72,-86,-81,-84,NaN,-69,-91,-85,NaN,6
-71,-60,-67,-38,-65,-71,-29,-61,-69,-59,-73,-49,-75,-72,-87,NaN,-84,-87,-69,-91,-82,NaN,6
-71,-58,-64,-38,-67,-71,-28,-62,-63,-59,-70,-50,-75,-72,-87,NaN,NaN,-87,-79,NaN,-82,NaN,6
-69,-60,-65,-39,-66,-73,-24,-62,-67,-66,-72,-50,-75,-71,NaN,-77,-87,NaN,-79,NaN,-85,NaN,6
-70,-60,-67,-38,-66,-75,-29,-57,-65,-64,-72,-50,-70,-72,NaN,-77,-87,NaN,-79,NaN,-85,NaN,6
-68,-61,-63,-37,NaN,-72,-28,-57,-63,-66,-69,-57,-77,-74,NaN,-80,-88,-88,NaN,-89,NaN,NaN,6
-68,-59,-63,-37,-64,-70,-28,-55,-63,-65,-67,-50,-77,-74,NaN,-80,-88,-88,NaN,-89,NaN,-80,6
-68,-60,NaN,-37,-64,-75,-29,-58,-65,-67,-69,-50,NaN,NaN,NaN,-75,-90,NaN,-75,NaN,NaN,-80,6
-68,-58,-67,-38,-65,-73,-28,-60,-64,-62,-68,-50,NaN,NaN,NaN,-77,-88,NaN,-77,NaN,NaN,NaN,6
-67,-57,-67,-38,-63,-74,-28,-57,-64,-62,-68,-50,-69,-73,NaN,-77,-89,NaN,-77,NaN,-84,NaN,6
-69,-59,-67,-38,-64,-74,-29,-58,-64,-65,-67,-49,-69,-73,NaN,NaN,-89,NaN,-77,NaN,-84,NaN,6
-68,-57,-65,-38,-63,-72,-28,-59,-64,-62,-68,-50,NaN,-73,NaN,NaN,NaN,NaN,-77,NaN,-88,NaN,6
-66,-57,-66,-38,-63,-72,-28,-59,-64,-63,-68,-50,-76,-74,NaN,NaN,-89,NaN,-74,NaN,-85,NaN,6
-68,-59,-65,-37,-64,-72,-29,-58,-65,-62,-71,-49,-74,-74,NaN,NaN,-89,NaN,-74,NaN,-85,NaN,6
-68,-57,-66,-38,-63,-72,-28,-60,-65,-60,-69,-50,-74,-74,NaN,-76,-89,-89,NaN,-89,-84,NaN,6
-68,-59,-66,-38,-63,-72,-29,-58,-65,-64,-69,-49,-75,-74,NaN,-78,-88,-89,NaN,-89,-84,NaN,6
-68,-61,-65,-38,-64,-72,-71,-58,-59,-63,-67,-50,-76,-74,-88,-77,-87,NaN,-85,NaN,-83,NaN,6
-68,-59,-61,-38,-64,-71,-28,-61,-69,-63,-70,-50,-75,-73,-87,-78,-86,NaN,-85,NaN,-83,-89,6
-68,-57,-61,-37,-64,-73,-27,-59,-65,-66,-70,-50,-75,-73,-88,-77,-89,-86,-70,NaN,NaN,-89,6
-66,-61,NaN,-37,-65,-73,-28,-59,-60,-63,-68,-50,-75,-74,-88,-78,-89,-87,-82,NaN,-85,NaN,6
-67,-61,-65,-37,-64,-69,-28,-58,-63,-65,-68,-50,-68,-73,-85,-78,-89,-85,-82,NaN,-85,NaN,6
-68,-60,-65,-37,-62,-74,-27,-58,-63,-63,-68,-56,-75,-73,-85,NaN,-89,-85,-76,NaN,-84,NaN,6
-67,-58,-67,-36,-66,-71,-27,-60,-60,-65,-70,-50,-70,NaN,-85,-79,-85,NaN,-73,-90,-85,NaN,6
-69,-60,-67,-37,-66,-71,-29,-63,-63,-64,-69,-49,-76,NaN,-85,-79,-88,NaN,-77,-90,-85,NaN,6
-69,-58,NaN,-38,NaN,-70,-28,-58,-65,-63,-70,-50,-75,-76,-87,-79,-88,NaN,-78,NaN,-86,NaN,6
-69,-58,-66,-37,-65,-71,-29,-59,-65,-63,-67,-50,-76,-74,-85,-80,NaN,NaN,-78,-91,-81,NaN,6
-70,-59,-61,-36,-67,-69,-29,-59,-65,-64,-69,-50,-76,-74,-83,-76,NaN,NaN,NaN,-88,-84,NaN,6
-68,-61,-66,-37,-63,-72,-29,-57,-65,-67,-68,-50,-75,-74,-86,-76,-89,NaN,-76,-74,-86,NaN,6
-69,-60,-63,-37,-64,-74,-28,-64,-64,-63,-69,-57,-75,-74,-86,-78,-88,NaN,-80,-74,-86,NaN,6
-70,-59,-66,-37,-65,-73,-26,-57,-66,-65,-69,-50,-76,-75,NaN,-78,-88,NaN,-80,NaN,NaN,NaN,6
-66,-61,-66,-38,-65,-73,-28,-60,-66,-65,-68,-50,-70,-73,NaN,-84,-83,NaN,NaN,NaN,NaN,NaN,6
-70,-57,-65,-37,-65,-72,-27,-58,-64,-60,-69,-56,-70,-91,-85,-84,-82,-88,NaN,NaN,-85,NaN,6
-65,-59,-65,-37,-65,-71,-28,-56,-69,-67,-69,-50,-68,-76,-85,-79,-82,-88,NaN,NaN,-85,NaN,6
-70,-60,-64,-37,-66,-71,-29,-59,-68,-64,-68,-56,-75,-75,NaN,-79,-88,NaN,-91,NaN,NaN,NaN,6
-72,-58,-66,-37,-65,-71,-28,-60,-68,-64,-70,-50,-76,-75,-78,-79,-88,NaN,-91,-88,-84,NaN,6
-69,-57,-66,-37,-65,-74,-28,-57,-68,-65,-70,-49,-76,-74,-78,-79,NaN,-88,-83,-88,-84,NaN,6
-70,-56,-61,-81,-58,-56,-43,-59,-58,-58,-67,-53,-73,-72,-85,-72,-73,-83,-72,NaN,-86,NaN,7
-71,-57,-60,-38,-58,-55,-37,-57,-60,-55,-73,-47,-71,-74,NaN,-72,-73,-81,-72,NaN,-86,NaN,7
-70,-53,-66,-39,-58,-57,-41,-52,-63,-54,-71,-51,-63,-76,NaN,-75,-76,-81,-65,NaN,NaN,NaN,7
-72,-54,-64,-38,-58,-55,-37,-52,-60,-55,-69,-47,-63,-75,-80,-74,-72,-82,-78,-82,NaN,NaN,7
-70,-57,-61,-39,-58,-55,-37,-51,-56,-55,-84,-47,-71,-75,-79,-74,-78,-82,-78,-76,NaN,NaN,7
-64,-55,-60,-38,-58,-55,-37,-56,-59,-56,-68,-46,-72,NaN,-84,NaN,-75,NaN,NaN,-76,-90,NaN,7
-72,-52,-56,-39,-58,-57,-37,-56,-63,-58,-70,-46,-72,-71,-84,-75,-72,NaN,-74,NaN,-90,NaN,7
-70,-55,-61,-40,-57,-55,-37,-57,-59,-57,-72,-48,-71,-71,NaN,-74,-72,NaN,-66,NaN,NaN,NaN,7
-72,-56,-55,-38,-56,-55,-38,-54,-59,-55,-72,-46,-71,NaN,NaN,-78,-72,NaN,-66,NaN,-88,NaN,7
-70,-54,-61,-41,-58,-55,-37,-53,-56,-55,-72,-45,-71,-73,NaN,-75,-73,NaN,-75,NaN,-88,NaN,7
-71,-57,-57,-39,-57,-55,-37,-52,-59,-58,-75,-47,-71,-73,-82,-79,-71,NaN,-78,-78,NaN,NaN,7
-69,-54,-57,-39,-59,-60,-39,-57,-64,-55,-68,-47,-74,NaN,-77,-75,-74,NaN,-78,-78,NaN,-88,7
-71,-54,-63,-39,-55,-58,-36,-59,-54,-56,-73,-47,-63,NaN,-77,-74,-75,NaN,NaN,NaN,NaN,-88,7
-60,-52,-61,-38,-57,-58,-37,-54,-60,-55,-73,-45,-71,NaN,NaN,-74,-74,NaN,-75,NaN,NaN,NaN,7
-71,-55,-61,-38,-58,-55,-37,-54,-57,-57,-68,-47,-71,NaN,NaN,NaN,-74,NaN,-75,NaN,NaN,NaN,7
-72,-53,-60,-38,-57,-56,-36,-56,-59,-56,-68,-46,-69,NaN,NaN,NaN,-75,NaN,NaN,NaN,NaN,NaN,7
-72,-54,-61,-38,-57,-55,-37,-55,-57,-58,-68,-46,-72,-66,NaN,-75,-72,NaN,NaN,-82,NaN,NaN,7
-72,-54,-59,-38,-59,-54,-37,-72,-57,-57,-68,-46,-71,-75,NaN,-74,-72,NaN,-77,-82,NaN,NaN,7
-71,-55,-60,-38,-58,-54,-37,-64,-57,-56,-67,-46,-66,-75,-84,-74,-72,NaN,-71,-82,NaN,NaN,7
-72,-57,-61,-38,-59,-54,-37,-63,-56,-57,-66,-46,-67,-75,-84,-74,-72,NaN,-71,-82,-75,NaN,7
-71,-55,-61,-38,-59,-54,-37,-64,-60,-56,-79,-46,-71,NaN,NaN,-73,-72,NaN,NaN,-82,-75,NaN,7
-72,-55,-61,-38,-59,-54,-37,-69,-56,-57,-69,-46,-71,NaN,NaN,-73,-72,NaN,NaN,NaN,NaN,NaN,7
-71,-56,-68,-39,-59,NaN,-37,-69,-57,-57,-67,-46,-72,NaN,NaN,-73,-73,NaN,-75,NaN,NaN,NaN,7
-70,-54,-56,-38,-57,-59,-37,-54,-55,-57,-65,-46,-70,-72,-86,-77,-73,-83,-73,NaN,-85,-89,7
-70,-56,-59,-38,-59,-54,-35,-55,-57,-57,-70,-51,-73,-73,-73,-75,-75,-79,-73,NaN,-85,-89,7
-71,-54,-62,-38,-59,-55,-37,-54,-58,-57,-70,-46,-73,-73,-73,-76,-76,-79,NaN,-84,-86,NaN,7
-70,-55,-61,-39,-58,-55,-35,-55,-63,-58,-72,-46,-65,-73,NaN,-75,-72,NaN,NaN,-81,-85,NaN,7
-71,-57,-63,-39,-57,-55,-37,-53,-61,-57,-68,-46,-72,-73,-84,-75,-71,NaN,-77,-83,-85,NaN,7
-64,-55,-61,-38,-58,-56,-37,-52,-62,-57,-69,-46,-72,-74,-83,-75,-71,NaN,-77,-81,-85,NaN,7
-70,-56,-61,-38,-57,-55,-38,-53,-62,-57,-69,-47,-72,-71,-83,-76,-76,NaN,NaN,-81,-85,NaN,7
-70,-55,-82,-38,-57,-56,-37,-57,-60,-56,-68,-47,-72,-70,NaN,-73,-76,NaN,NaN,NaN,NaN,NaN,7
-72,-56,-82,-38,-57,-54,-36,-56,-57,-56,-69,-46,-72,-70,NaN,-77,-74,NaN,-78,-84,-86,NaN,7
-70,-54,-60,-38,-58,-56,-37,-52,-58,-57,-67,-45,-71,NaN,NaN,-74,-74,NaN,-76,-84,-89,NaN,7
-70,-53,-60,-38,-58,-55,-35,-57,-58,-56,-69,-46,-70,-71,NaN,-74,-76,NaN,-76,-82,-89,NaN,7
-71,-61,-61,-39,-57,-55,-37,-54,-56,-57,-71,-47,-66,-70,NaN,-74,-75,NaN,NaN,-82,NaN,NaN,7
-71,-53,-62,-44,-58,-55,-38,-53,-55,-57,-70,-46,-64,-64,NaN,NaN,-73,NaN,NaN,NaN,-86,NaN,7
-70,-53,-59,-38,-58,-55,-36,-53,-58,-57,-70,-46,-74,-64,NaN,-78,-74,NaN,-76,NaN,-86,NaN,7
-70,-55,-62,-38,-57,-54,-34,-52,-59,-56,NaN,-47,-64,NaN,NaN,-78,-74,NaN,-76,-84,NaN,NaN,7
-58,-54,-60,-34,-57,-55,-37,-52,-57,-57,-68,-47,-64,NaN,NaN,-74,-72,NaN,NaN,-85,-87,NaN,7
-70,-55,-61,-39,-57,-56,-37,-53,-60,-55,-69,-47,NaN,NaN,-82,-74,-73,NaN,-79,-85,-87,NaN,7
-59,-55,-60,-39,-57,-55,-37,-51,-59,-57,-69,-46,-74,-73,-82,-75,-73,NaN,-79,-85,-88,-86,7
-71,-56,-60,-38,-57,-55,-37,-53,-56,-58,-69,-46,-64,-72,-83,-75,-74,NaN,NaN,NaN,-88,-86,7
-72,-55,-61,-39,-57,-55,-35,-54,-61,-56,-69,-51,-75,-72,-83,-74,-72,-84,-74,-83,NaN,NaN,7
-70,-57,-61,-44,-57,-55,-37,-54,-65,-58,-71,-47,-71,NaN,NaN,-74,-75,-84,-74,-83,NaN,NaN,7
-70,-56,-61,-39,-61,-55,-36,-57,-62,-57,-71,-47,-72,NaN,NaN,-74,-75,NaN,-73,NaN,NaN,-84,7
-72,-55,-60,-39,-57,-55,-37,-54,-58,-53,-71,-46,-72,NaN,NaN,-74,-75,NaN,-73,NaN,NaN,-84,7
-70,-55,-61,-38,-56,-57,-36,-54,-56,-57,-69,-47,NaN,-73,NaN,-74,-73,NaN,-76,NaN,NaN,NaN,7
-70,-59,-61,-38,-58,-55,-37,-55,-60,-57,-88,-46,-72,-73,-85,-74,-76,NaN,-74,NaN,NaN,NaN,7
-70,-58,-61,-38,-56,-54,-75,-55,-58,-57,-88,-47,-72,-71,-84,-73,-75,NaN,-74,NaN,NaN,NaN,7
-70,-55,-61,-38,-56,-57,-37,-52,-52,-56,-69,-46,-72,-72,-84,-73,-75,NaN,NaN,NaN,-87,-86,7
-63,-56,-63,-74,-58,-55,-37,-54,-57,-57,-69,-46,-73,-74,-84,-73,-72,NaN,-75,-83,-87,-86,7
-70,-55,-62,-39,-89,-56,-37,-54,-59,-57,-68,-46,-73,-74,NaN,-74,-76,NaN,-75,-83,NaN,NaN,7
-70,-56,-63,-43,-58,-55,-37,-51,-57,-58,-72,-50,-72,-71,NaN,-71,-75,NaN,NaN,NaN,NaN,NaN,7
-69,-56,-60,-38,-58,-56,-35,-52,-64,-57,-69,-46,-71,-72,-84,-73,-72,NaN,NaN,NaN,-86,-86,7
-70,-54,-61,-38,-56,-56,-37,-53,-57,-56,-70,-46,-71,-72,-83,-72,-75,NaN,NaN,NaN,-87,-85,7
-69,-54,-63,-38,-57,-56,-39,-53,-56,-56,-71,-46,NaN,NaN,-83,-72,-72,NaN,NaN,NaN,-87,-85,7
-70,-56,-63,-38,-57,-56,-37,-52,-63,-56,-70,-46,-75,-72,-83,-73,-72,-81,-77,-82,-87,NaN,7
-69,-58,-60,-43,-57,-58,-38,-52,-63,-69,-69,-46,-75,-73,-83,-73,-72,-81,-77,-83,-86,NaN,7
-69,-55,-62,-38,-57,-56,-37,-52,-60,-57,-70,-47,-65,-73,-82,NaN,-72,NaN,NaN,-83,-86,NaN,7
-71,-58,-60,-38,-57,-55,-37,-51,-58,-55,-70,-46,-71,NaN,-82,-71,-76,-83,-78,-83,NaN,NaN,7
-61,-57,-59,-36,-58,-55,-38,-53,-57,-57,-70,-46,-71,NaN,NaN,-74,-75,-83,-78,-83,NaN,NaN,7
