06:18:d6:c2:98:24(inonet),04:18:d6:c1:98:24(inonet),d4:ca:6d:c9:f1:c5(RFKON2014-Mesh),4c:5e:0c:70:52:5a(RFKON2014-Mesh),18:28:61:9e:ab:5c(MMD),d4:ca:6d:bc:1d:73(RFKON2014-Mesh),4c:5e:0c:71:aa:15(RFKON2014-Mesh),4c:5e:0c:6f:20:b2(RFKON2014-Mesh),c0:4a:00:0f:03:51(BilTAY Teknoloji),e8:37:7a:6c:7f:55(PYR),dc:02:8e:c2:23:52(ILKSEM),04:bf:6d:d8:e8:a4(Evosoft),4c:5e:0c:6f:20:fa(RFKON2014-Mesh),4c:5e:0c:71:a8:bf(RFKON2014-Mesh),64:66:b3:d0:4a:8d(DLINK_D04A8D),e4:8d:8c:20:4d:c1(UPLAT),00:0f:f7:2e:0a:d0(ESOGU-WIFI),18:28:61:58:78:6a(Dlink_DAP-1360),4c:5e:0c:23:44:33(RFKON2014-Mesh),00:26:5a:52:0b:8c(RFKON_115),c4:6e:1f:58:40:d2(DLink_D01),18:28:61:13:0d:9d(EROGLU),REF_POINT
-67,-59,-65,-29,-68,-73,NaN,-53,-57,-60,-77,-51,-73,NaN,-91,NaN,-89,NaN,NaN,-82,NaN,NaN,2
-66,-58,-65,-29,-69,-78,-37,-53,-57,-60,-73,-50,-72,NaN,NaN,-80,-89,NaN,-72,-88,NaN,NaN,2
-66,-58,-66,-27,-68,-69,-38,-53,-57,-62,-75,-51,-72,-76,NaN,-79,-84,NaN,-72,-88,NaN,NaN,2
-67,-63,-66,-27,-67,-69,-37,-53,-57,-59,-73,-51,-72,-77,NaN,-80,-84,NaN,-72,-80,NaN,NaN,2
-66,-64,-75,-27,-68,-72,-37,-53,-57,-60,-74,-51,-72,-76,NaN,-79,-85,NaN,-72,-80,-91,-87,2
-66,-63,-75,-27,-68,-72,-36,-53,-57,-61,-74,-50,-73,-76,NaN,-79,-85,NaN,-72,NaN,-90,-87,2
-66,-59,-65,-27,-68,-71,-37,-54,-57,-60,-73,-51,-73,-76,-91,-79,-85,NaN,NaN,-85,-90,NaN,2
-67,-60,-65,-28,-68,-70,-37,-53,-57,-60,-73,-57,-73,-76,-91,-80,-88,NaN,NaN,-85,NaN,NaN,2
-67,-60,-65,-27,-68,-71,-80,-52,-57,-62,-74,-51,-72,-76,NaN,-79,-87,NaN,-72,-86,-90,NaN,2
-64,-59,-64,-28,-69,-72,-37,-53,-58,-60,-73,-51,-67,-75,NaN,-77,-86,NaN,-72,-85,-90,NaN,2
-67,-59,-76,-27,-69,-71,-37,-52,-57,-62,-74,-51,-73,-76,NaN,-81,-86,-87,NaN,-87,-89,NaN,2
-66,-61,-64,-27,-68,-73,-37,-53,-57,-61,-74,-51,-73,-76,NaN,-79,-87,-87,NaN,-88,-89,NaN,2
-66,-62,-64,-27,-70,-71,-37,-52,-58,-67,-74,-51,-72,-76,NaN,-79,-87,-85,-71,-88,NaN,NaN,2
-66,-59,-63,-27,-67,-70,-37,-60,-58,-62,-74,-51,-72,-76,NaN,-79,-88,-85,-71,-86,NaN,NaN,2
-68,-55,-73,-45,-68,-66,-34,-53,-63,-64,-69,-59,-75,-76,NaN,NaN,-88,NaN,-72,-87,NaN,NaN,3
-68,-54,-60,-45,-70,-67,-35,-54,-59,-63,-75,-64,-77,NaN,NaN,NaN,NaN,NaN,-78,-90,-90,NaN,3
-69,-54,-64,-48,-71,-68,-33,-53,-58,-64,-74,-63,-70,-74,-84,-84,NaN,NaN,-78,-90,-90,NaN,3
-69,-56,-62,-48,-68,-68,-33,-52,-58,-62,-71,-63,-75,-74,-86,-84,-87,NaN,NaN,NaN,-89,NaN,3
-69,-54,-63,-48,-68,-69,-34,-52,-58,-62,-70,-63,-75,-68,-86,NaN,-87,NaN,-74,-89,-89,NaN,3
