X,Y,Z
-12.78553009,-5.084602356,-22.382164
-13.05084229,-5.62953186,-22.56393433
-12.87384033,-5.356971741,-22.83630371
-12.87384033,-5.720321655,-22.20077515
-12.78533936,-5.90209198,-21.92840576
-13.13934326,-5.447952271,-22.38235474
-13.22784424,-5.356781006,-22.10979462
-12.87403107,-4.902641296,-22.65472412
-12.96253204,-4.721252441,-22.65472412
-12.5202179,-5.538551331,-22.74551392
-13.05084229,-5.538551331,-21.92783356
-13.13934326,-4.721061707,-21.92821503
-13.40484619,-4.902641296,-22.01881409
-13.58184814,-5.538742065,-21.56467438
-13.67034912,-5.357162476,-21.92821503
-12.96234131,-4.539672852,-22.83630371
-13.7588501,-4.903022766,-22.47314453
-13.05122375,-5.720321655,-22.10960388
-13.05103302,-5.356781006,-22.10960388
-13.13934326,-5.72013092,-22.83630371
-13.31634521,-5.266181946,-23.0178833
-12.87403107,-5.266181946,-22.65472412
-13.05084229,-5.175392151,-22.56393433
-13.58184814,-5.175392151,-22.38235474
-13.31634521,-4.630462646,-22.20058441
-13.22784424,-4.993621826,-22.20058441
-13.139534,-5.447570801,-22.65472412
-12.96253204,-5.447570801,-22.47314453
-13.05103302,-5.447952271,-22.47314453
-12.87403107,-5.538742065,-22.65472412
-12.69721985,-5.720321655,-22.20077515
-13.05103302,-5.62953186,-22.10998535
-12.96253204,-5.447952271,-22.74551392
-12.8742218,-4.721061707,-22.20077515
-12.69721985,-5.266181946,-22.20077515
-12.07790375,-4.902832031,-22.20058441
-12.52002716,-5.356781006,-22.65472412
-12.96234131,-5.447761536,-22.382164
-12.34321594,-3.540794373,-27.37731934
-12.34321594,-3.722373962,-27.01416016
-11.72409058,-3.813163757,-26.74179077
-11.98959351,-3.631584167,-27.55889893
-12.34321594,-3.359214783,-27.64968872
-12.07790375,-3.450004578,-27.28652954
-12.16640472,-3.449813843,-27.10494995
-12.43171692,-2.905075073,-26.92337036
-12.60871887,-3.631584167,-27.01416016
-12.69702911,-3.813163757,-27.55889893
-12.43152618,-3.359214783,-27.01416016
-12.87384033,-3.177635193,-27.01416016
-12.34340668,-3.359024048,-27.55889893
-11.81259155,-3.540603638,-27.55889893
-12.16602325,-3.450004578,-27.19573975
-12.25471497,-3.177635193,-27.19573975
-12.34321594,-3.086845398,-27.64968872
-12.51983643,-3.450004578,-26.65100098
-12.16621399,-3.631584167,-26.37863159
-11.72409058,-3.086845398,-26.92337036
-11.98940277,-3.994743347,-27.19573975
-12.07790375,-3.994743347,-27.19573975
-12.16659546,-3.722373962,-27.01416016
-11.90109253,-3.994743347,-26.74179077
-11.98940277,-3.813163757,-27.10494995
-12.07790375,-3.086845398,-27.37731934
-12.16621399,-3.177635193,-27.01416016
-12.69702911,-3.450004578,-27.28652954
-12.60852814,-3.540794373,-27.46810913
-12.34321594,-3.268424988,-27.10494995
-12.34321594,-3.450004578,-27.10494995
-12.60852814,-3.177444458,-27.19573975
-12.87403107,-3.359024048,-27.19573975
-12.96253204,-3.540794373,-26.83258057
-12.5202179,-3.086845398,-26.83258057
-12.16621399,-3.359024048,-27.10494995
-12.34302521,-3.268234253,-26.92337036
-12.07790375,-3.359214783,-27.28652954
-12.16621399,-3.359214783,-27.01416016
-12.07771301,-3.540794373,-27.19573975
-8.361816406,-5.901901245,-24.83406067
-8.538818359,-6.447021484,-24.83406067
-8.715820313,-5.902282715,-25.56095123
-8.804321289,-6.083862305,-25.28839111
-8.0078125,-6.265632629,-25.01583099
-8.0078125,-6.356231689,-25.28839111
-8.096313477,-5.90209198,-25.5607605
-8.361816406,-6.356422424,-25.10643005
-8.184814453,-6.992141724,-25.65155029
-8.715820313,-7.173721313,-25.37918091
-9.246826172,-6.537811279,-25.28839111
-8.892822266,-6.26525116,-24.92485046
-8.715820313,-6.1746521,-24.83406067
-8.715820313,-6.356422424,-24.92523193
-8.361816406,-6.538002014,-25.65174103
-8.627319336,-5.99307251,-25.01564026
-8.981323242,-5.992881775,-24.9250412
-8.981323242,-6.447212219,-25.83351135
-8.715820313,-5.81111145,-25.37899017
-8.715820313,-5.72013092,-25.19741058
-8.538818359,-6.1746521,-25.19741058
