04:18:d6:c1:98:24_inonet,e8:37:7a:6c:7f:55_PYR,18:28:61:1c:0b:69_EVOSOFT,18:28:61:9e:ab:5c_MMD,4c:5e:0c:70:52:5a_RFKON2014-Mesh,4c:5e:0c:71:aa:15_RFKON2014-Mesh,4c:5e:0c:6f:20:b2_RFKON2014-Mesh,c0:4a:00:0f:03:51_BilTAY Teknoloji,dc:02:8e:c2:23:52_ILKSEM,4c:5e:0c:6f:20:fa_RFKON2014-Mesh,d4:ca:6d:c9:f1:c5_RFKON2014-Mesh,4c:5e:0c:71:a8:bf_RFKON2014-Mesh,4c:5e:0c:23:44:33_RFKON2014-Mesh,64:66:b3:d0:4a:8d_Cisco_KRD,d4:ca:6d:bc:1d:73_RFKON2014-Mesh,4c:5e:0c:67:ab:cf_evarobot,18:28:61:58:78:6a_Dlink_DAP-1360,e4:8d:8c:20:4d:c1_UPLAT,00:26:5a:52:0b:8c_RFKON_115,REF_POINT
-55,-53,-54,-63,-41,-34,-46,-61,-62,NaN,-59,-72,NaN,NaN,-63,NaN,NaN,NaN,NaN,5
-53,-53,-52,-65,-43,-36,-44,-59,-63,-68,-54,-72,NaN,NaN,-67,NaN,NaN,NaN,NaN,5
-53,-55,-55,-65,-41,-36,-50,-60,-63,-68,-54,NaN,NaN,NaN,-67,NaN,NaN,NaN,NaN,5
-56,-55,-54,-65,-40,-35,-45,-61,-64,-68,-56,-82,-69,NaN,-67,NaN,NaN,NaN,NaN,5
-53,-54,-53,-59,-42,-35,-50,-61,-63,NaN,-55,-69,-69,NaN,NaN,NaN,NaN,NaN,NaN,5
-54,-54,-55,-59,-40,-27,-45,-60,-63,-69,-56,-70,-69,NaN,NaN,-77,NaN,NaN,NaN,5
-56,-53,-57,-59,-42,-34,-44,-61,-65,-67,-55,-81,-71,-80,-64,-77,NaN,-74,NaN,5
-53,-57,-53,-59,-41,-36,-45,-61,-64,-75,-56,-81,-75,-81,-64,-74,-82,-85,NaN,5
-53,-57,-54,-64,-41,-36,-45,-61,-64,-75,-56,-81,-75,-81,-64,-74,-82,-85,NaN,5
-53,-56,-50,-64,-41,-35,-50,-62,-64,-67,-56,-69,-73,-81,-64,-78,-82,-85,NaN,5
-53,-51,-52,-64,-40,-35,-44,-62,-64,-67,-93,-73,-73,-81,-61,-81,-82,-85,-88,5
-53,-56,-52,-64,-40,-36,-44,-62,-63,-67,-56,-73,-73,NaN,-61,-81,NaN,NaN,-88,5
-52,-53,-52,-60,-40,-35,-50,-60,-63,-70,-55,-68,-75,NaN,-63,-73,-86,-88,-88,5
-53,-56,-53,-63,-40,-36,-45,-61,-63,-75,-56,-67,-77,-79,-63,-72,-86,-88,-88,5
-56,-55,-53,-63,-40,-35,-50,-61,-65,-75,-55,-68,-70,-79,-62,-72,-86,-76,-87,5
-54,-52,-51,-60,-42,-35,-44,-61,-65,-68,-54,-68,-70,-79,-62,-72,-86,-76,-82,5
-54,-52,-53,-58,-42,-34,-44,-60,-63,-70,-56,-68,-67,-79,-62,-74,-86,-75,-82,5
-53,-51,-54,-60,-42,-34,-43,-60,-65,-69,-55,-68,-66,-81,-62,-74,NaN,-74,-82,5
-53,-55,-51,-60,-39,-34,-45,-60,-62,-68,-56,-79,-76,-81,-62,-74,-86,-74,-82,5
-49,-40,-51,-66,-15,-27,-46,-49,-64,-68,-51,-70,-70,-81,-54,-74,-86,-74,-88,6
-47,-42,-54,-58,-16,-18,-44,-50,-63,NaN,-54,NaN,NaN,NaN,-56,NaN,NaN,NaN,NaN,6
-46,-43,-52,-58,-17,-37,-47,-50,-58,NaN,-52,NaN,NaN,NaN,-57,-72,NaN,NaN,NaN,6
-46,-42,-52,-58,-14,-36,-44,-50,-57,NaN,-52,NaN,NaN,NaN,-57,-72,NaN,NaN,NaN,6
-46,-42,-52,-58,-14,-35,-44,-49,-57,NaN,-53,NaN,NaN,NaN,-56,-72,NaN,NaN,NaN,6
-48,-44,-52,NaN,-16,-38,-44,-51,-58,-63,-52,NaN,NaN,NaN,-56,-72,NaN,NaN,NaN,6
-46,-44,-52,NaN,-15,-36,-45,-51,-56,-63,-53,NaN,NaN,NaN,-56,NaN,NaN,NaN,NaN,6
-46,-43,-52,-56,-14,-36,-44,-51,-61,-64,-53,-75,NaN,NaN,-57,NaN,NaN,NaN,NaN,6
-48,-51,-53,-56,-17,-35,-44,-50,-58,-64,-52,-75,NaN,NaN,-56,NaN,NaN,NaN,NaN,6
-46,-44,-52,-58,-15,-36,-44,-51,-58,-64,-51,-69,NaN,NaN,-56,-72,NaN,NaN,NaN,6
-46,-43,-51,-57,-15,-36,-44,-50,-59,-63,-51,-69,NaN,NaN,-56,-72,NaN,NaN,NaN,6
-48,-44,-52,-59,-15,-36,-44,-50,-59,-63,-52,-69,NaN,NaN,-57,-72,NaN,NaN,NaN,6
-46,-43,-52,-64,-14,-35,-44,-51,-59,-65,-52,-72,NaN,NaN,-57,-72,NaN,-75,NaN,6
-46,-42,-54,-55,-21,-36,-44,-50,-60,-64,-53,-81,NaN,NaN,-57,-72,NaN,-75,NaN,6
-46,-44,-52,-55,-16,-36,-44,-49,-59,-62,-53,-81,NaN,NaN,-56,NaN,NaN,-75,NaN,6
-48,-42,-52,-55,-21,-36,-43,-50,-59,-63,-54,-73,NaN,NaN,-56,NaN,NaN,-75,NaN,6
-46,-43,-52,-56,-15,-36,-43,-50,-59,-63,-54,-81,NaN,NaN,-57,NaN,NaN,NaN,-72,6
-47,-43,-53,-56,-15,-36,-45,-50,-59,-63,-51,-70,NaN,-83,-56,NaN,NaN,NaN,-72,6
-46,-51,-52,-56,-15,-36,-47,-46,-60,-63,-52,-70,-75,-83,-56,-76,NaN,NaN,-72,6
-47,-43,-50,-57,-15,-38,-47,-49,-59,-63,-52,-70,-75,-83,-56,-76,NaN,NaN,-72,6
-46,-42,-52,-57,-15,-36,-47,-51,-60,-62,-53,-70,-75,-83,-56,-76,NaN,NaN,NaN,6
-46,-43,-52,-64,-21,-36,-42,-50,-58,-62,-51,NaN,-75,NaN,-56,-77,NaN,NaN,NaN,6
-46,-44,-53,-56,-15,-36,-43,-50,-60,-63,-51,NaN,NaN,NaN,-56,-77,NaN,NaN,NaN,6
-51,-48,-51,-65,-16,-36,-43,-50,-59,-62,-52,NaN,-63,NaN,-57,-73,NaN,NaN,NaN,6
-46,-43,-53,-55,-15,-36,-43,-50,-59,-64,-52,NaN,-63,NaN,-57,-73,NaN,NaN,NaN,6
-46,-43,-52,-56,-15,-36,-45,-50,-57,-64,-52,-73,-63,-84,-61,-73,NaN,-72,NaN,6
-46,-43,-51,-56,-15,-36,-45,-46,-57,-64,-52,-73,-63,-84,-61,-74,NaN,-72,NaN,6
-46,-43,-52,-59,-21,-36,-43,-50,-57,-63,-50,-73,NaN,-84,-61,-74,NaN,-72,NaN,6
-49,-43,-58,-68,-21,-36,-43,-50,-57,-63,-50,-73,NaN,-84,-61,-74,NaN,-72,NaN,6
-46,-43,-52,-55,-15,-36,-44,-47,-57,-63,-51,-73,NaN,-84,-57,-76,NaN,-72,NaN,6
-46,-43,-52,-56,-14,-35,-45,-49,-58,-63,-51,-73,NaN,NaN,-57,-76,NaN,NaN,NaN,6
-45,-49,-52,-56,-15,-36,-45,-49,-57,-63,-52,NaN,NaN,NaN,-56,-72,NaN,NaN,NaN,6
-47,-44,-52,-57,-15,-36,-46,-50,-57,-63,-51,NaN,NaN,NaN,-59,-72,NaN,NaN,-73,6
-46,-42,-53,-56,-16,-36,-44,-50,-59,-63,-51,NaN,-70,NaN,-56,-73,NaN,NaN,-80,6
-47,-43,-53,-57,-17,-36,-44,-50,-58,-63,-51,NaN,-76,NaN,-59,-73,NaN,NaN,-80,6
-47,-43,-53,-55,-16,-36,-44,-51,-58,-65,-51,NaN,-75,NaN,-58,-73,NaN,NaN,-80,6
-47,-43,-52,-64,-15,-36,-47,-50,-58,-63,-51,-71,-77,NaN,-60,-73,NaN,-74,-80,6
-46,-49,-50,-56,-15,-36,-47,-56,-58,-63,-51,-71,-68,NaN,-56,NaN,NaN,-74,NaN,6
-46,-44,-52,-56,-17,-36,-47,-50,-59,-62,-51,-71,-68,NaN,-59,NaN,NaN,-74,NaN,6
-47,-43,-51,-57,-15,-35,-44,-51,-57,-62,-51,-71,-68,NaN,-56,-74,NaN,-74,NaN,6
-45,-42,-55,-64,-15,-37,-43,-49,-57,-62,-51,NaN,-68,NaN,-56,-74,-86,NaN,NaN,6
-46,-42,-50,-55,-15,-35,-45,-50,-57,-62,-50,-71,NaN,NaN,-55,-74,-86,NaN,NaN,6
-46,-43,-53,-64,-21,-36,-48,-50,-61,NaN,-51,-71,NaN,-83,-58,-74,-86,NaN,NaN,6
-47,-43,-53,-65,-15,-36,-47,-50,-57,-63,-51,-72,NaN,-83,-56,NaN,-86,NaN,NaN,6
-46,-43,-55,-55,-15,-36,-44,-50,-58,-63,-51,-72,NaN,-82,-55,NaN,NaN,-77,-73,6
-48,-57,-55,-55,-15,-36,-44,-50,-58,-63,-51,-72,NaN,-82,-55,NaN,NaN,-77,-73,6
-48,-43,-58,-57,-15,-36,-45,-50,-59,-63,-51,-75,-74,-82,-55,NaN,NaN,-77,-73,6
-46,-43,-53,-57,-15,-36,-45,-50,-65,NaN,-51,-75,-74,-82,-55,NaN,NaN,-77,-73,6
-46,-44,-53,-56,-15,-36,-44,-49,-65,NaN,-54,-75,-74,NaN,-57,NaN,NaN,NaN,NaN,6
-46,-50,-51,-55,-15,-36,-44,-50,-56,NaN,-51,-75,-77,NaN,-57,-76,NaN,NaN,NaN,6
-48,-50,-59,-55,-15,-36,-44,-50,-58,-62,-51,NaN,-77,NaN,-54,-76,NaN,NaN,NaN,6
-46,-49,-53,-55,-15,-36,-44,-48,-60,-63,-51,NaN,-77,NaN,-55,-76,NaN,NaN,NaN,6
-47,-43,-52,-56,-15,-36,-44,-50,-59,-64,-52,NaN,-77,NaN,-60,-76,NaN,NaN,NaN,6
-46,-43,-52,-56,-15,-36,-43,-49,-58,-64,-52,NaN,NaN,NaN,-56,NaN,NaN,NaN,NaN,6
-46,-43,-50,-56,-15,-36,-43,-49,-57,-64,-52,NaN,NaN,NaN,-56,NaN,NaN,NaN,NaN,6
-46,-43,-50,-56,-15,-35,-44,-49,-57,-64,-51,NaN,NaN,NaN,-56,NaN,NaN,NaN,NaN,6
-46,-47,-50,-59,-15,-36,-43,-51,-59,-64,-51,NaN,NaN,NaN,-56,NaN,NaN,NaN,NaN,6
-46,-51,-52,-59,-15,-36,-43,-49,-57,-64,-52,NaN,NaN,NaN,-58,NaN,NaN,NaN,NaN,6
-46,-43,-53,-58,-16,-36,-44,-50,-57,NaN,-52,NaN,NaN,NaN,-58,NaN,NaN,NaN,NaN,6
-45,-43,-56,-58,-14,-36,-43,-50,-57,NaN,-52,NaN,NaN,NaN,-55,NaN,NaN,NaN,-74,6
-45,-50,-52,-66,-15,-36,-44,-49,-58,NaN,-50,-71,NaN,NaN,-55,NaN,NaN,NaN,-74,6
-45,-57,-58,-66,-15,-36,-44,-49,-58,NaN,-50,-71,NaN,NaN,-55,NaN,NaN,NaN,-74,6
-45,-44,-53,-56,-15,-36,-47,-50,-57,-63,-51,-71,NaN,NaN,-55,NaN,NaN,NaN,-74,6
-45,-57,-54,-56,-15,-35,-44,-48,-64,-63,-54,-71,NaN,NaN,-54,NaN,NaN,NaN,-74,6
-46,-43,-52,-56,-15,-35,-44,-50,-62,-63,-52,-71,NaN,NaN,-54,NaN,NaN,NaN,NaN,6
-45,-42,-52,-56,-14,-35,-44,-50,-59,-63,-52,NaN,NaN,NaN,-55,NaN,NaN,NaN,NaN,6
-46,-44,-53,NaN,-16,-37,-44,-50,-59,-63,-52,NaN,-70,NaN,-56,NaN,NaN,NaN,NaN,6
-44,-42,-54,-55,-15,-35,-48,-51,-58,-63,-52,NaN,-70,NaN,-56,NaN,NaN,NaN,-73,6
-45,-43,-53,-55,-14,-36,-44,-50,-58,-63,-52,-75,-76,NaN,-55,NaN,NaN,NaN,-70,6
-45,-41,-55,-64,-15,-35,-45,-50,-57,-63,-52,-75,-74,NaN,-55,NaN,NaN,NaN,-73,6
-45,-50,-54,-56,-15,-36,-45,-50,-58,-63,-52,-75,-74,NaN,-55,NaN,NaN,NaN,-73,6
-46,-45,-55,-56,-14,-35,-47,-46,-58,-63,-52,-76,-74,NaN,-55,NaN,NaN,NaN,-76,6
-46,-44,-56,-55,-14,-36,-47,-50,-65,NaN,-52,-72,-74,NaN,-55,NaN,NaN,-73,-76,6
-46,-44,-52,-55,-15,-36,-43,-51,-57,NaN,-52,-72,NaN,NaN,-56,NaN,NaN,-73,-76,6
-46,-45,-55,-56,-15,-36,-44,-51,-59,NaN,-53,-72,-68,NaN,-56,NaN,NaN,-73,-76,6
-47,-45,-54,-57,-15,-35,-44,-50,-60,-64,-51,-72,-68,NaN,-56,NaN,NaN,-73,NaN,6
-47,-43,-54,-57,-16,-35,-43,-51,-59,-60,-51,-72,-68,NaN,-55,NaN,NaN,-71,-73,6
-45,-43,-54,-56,-15,-35,-43,-51,-59,-60,-50,-72,-68,NaN,-60,-76,NaN,-71,-73,6
-46,-45,-54,-56,-14,-35,-44,-51,-58,-60,-52,-72,-68,NaN,-60,-76,NaN,-71,-74,6
-46,-45,-54,-56,-14,-35,-44,-51,-58,-60,-52,-72,-68,NaN,-60,-76,NaN,-71,-74,6
-52,-49,-39,-63,-40,-16,-48,-60,-59,-60,-52,-79,-77,NaN,-56,-76,NaN,-71,-74,7
-50,-49,-39,-61,-35,-34,-52,-57,-63,NaN,-55,NaN,-67,NaN,-54,NaN,NaN,NaN,NaN,7
-62,-54,-41,-59,-35,-22,-51,-55,-63,-63,-54,NaN,-67,NaN,-54,-72,NaN,NaN,NaN,7
-52,-49,-36,-56,-37,-18,-51,-51,-70,-60,-50,-69,-67,NaN,-56,-72,NaN,-69,NaN,7
-52,-47,-37,-55,-36,-25,-46,-53,-70,-60,-48,-66,-67,NaN,-57,-72,NaN,-69,NaN,7
-50,-47,-43,-55,-36,-25,-46,-53,-70,-60,-48,-66,-67,NaN,-57,-72,NaN,-69,NaN,7
-54,-48,-37,-56,-36,-18,-50,-57,-59,-60,-48,-66,NaN,NaN,-58,-72,NaN,-78,NaN,7
-52,-47,-36,-56,-35,-20,-48,-57,-63,-60,-50,-66,NaN,NaN,-52,NaN,NaN,-78,NaN,7
-53,-50,-36,-55,-36,-17,-51,-55,-64,NaN,-51,-60,NaN,NaN,-60,NaN,-78,-78,NaN,7
-53,-52,-36,-55,-35,-17,-53,-53,-64,NaN,-51,-60,NaN,NaN,-58,NaN,-79,-78,NaN,7
-53,-54,-36,-63,-36,-24,-47,-53,-63,-62,-50,-60,NaN,NaN,-60,NaN,-81,NaN,NaN,7
-53,-48,-36,-59,-36,-16,-51,-54,-64,-62,-50,-59,-62,NaN,-57,NaN,-81,NaN,NaN,7
-56,-49,-38,-59,-35,-18,-45,-52,-64,-62,-50,-59,-64,-84,-56,NaN,-81,NaN,NaN,7
-53,-49,-36,-55,-27,-15,-49,-54,-63,-62,-49,-63,-64,-84,-56,NaN,-80,NaN,NaN,7
-52,-52,-36,-54,-35,-17,-48,-55,-65,NaN,-50,-63,-62,-84,-57,-73,-80,NaN,NaN,7
-51,-56,-35,-56,-35,-25,-50,-55,-63,-60,-50,-60,-65,-84,-57,-73,-80,-74,-71,7
-52,-49,-36,-60,-35,-17,-51,-55,-63,-60,-49,-60,-64,NaN,-57,-73,-80,-74,-71,7
-51,-54,-35,-65,-34,-15,-51,-55,-63,-60,-50,-64,-64,NaN,-56,-73,NaN,-74,-71,7
-52,-52,-36,-62,-36,-18,-51,-52,-63,-60,-50,-64,-64,NaN,-56,-73,NaN,-73,-72,7
-53,-52,-38,-63,-34,-17,-50,-53,-61,-61,-49,-65,-64,NaN,-58,-73,NaN,-73,-72,7
-53,-49,-36,-63,-34,-25,-50,-55,-69,-61,-49,-64,-65,NaN,-61,-73,NaN,-73,-72,7
-51,-49,-36,-63,-35,-19,-56,-55,-69,-61,-50,-64,-61,NaN,-61,NaN,NaN,-73,-72,7
-53,-52,-36,-57,-35,-18,-53,-54,-69,-60,-51,-64,-61,NaN,-59,NaN,NaN,NaN,NaN,7
-53,-61,-43,-57,-35,-18,-53,-54,-69,-60,-51,-64,-61,NaN,-59,NaN,NaN,NaN,NaN,7
-54,-48,-36,-58,-34,-37,-50,-54,-62,-60,-52,-64,-65,NaN,-66,NaN,NaN,NaN,NaN,7
-55,-53,-37,-58,-34,-18,-49,-55,-62,-60,-44,-63,-65,NaN,-54,NaN,NaN,NaN,NaN,7
-52,-58,-36,-68,-34,-18,-49,-55,-63,-62,-51,-64,-60,NaN,-57,NaN,NaN,NaN,NaN,7
-53,-50,-40,-68,-34,-17,-45,-53,-63,-62,-51,-64,-60,NaN,-65,NaN,NaN,NaN,-74,7
-55,-52,-36,-56,-34,-17,-45,-53,-63,-62,-50,-64,-60,NaN,-62,NaN,NaN,NaN,-74,7
-55,-47,-37,-61,-34,-36,-45,-54,-64,-62,-50,-61,-60,NaN,-62,NaN,NaN,NaN,-74,7
-53,-52,-36,-58,-37,-36,-46,-54,-62,-62,-42,-61,-60,NaN,-62,-70,NaN,-76,-71,7
-53,-53,-36,-62,-35,-18,-46,-54,-60,-61,-45,-59,-64,NaN,-59,-70,NaN,-71,-70,7
-56,-49,-36,-59,-35,-15,-44,-55,-62,-61,-45,-59,-63,NaN,-64,-70,NaN,-71,-70,7
-56,-55,-36,-59,-36,-15,-53,-55,-60,-61,-49,-59,-63,NaN,-59,-70,NaN,-71,-70,7
-56,-51,-35,-54,-36,-17,-47,-53,-61,-60,-48,-59,-63,NaN,-57,NaN,NaN,-71,-70,7
-57,-50,-37,-54,-36,-37,-56,-59,-61,-60,-48,NaN,-63,NaN,-57,NaN,NaN,NaN,NaN,7
-53,-49,-35,-54,-35,-36,-49,-51,-65,-60,-47,-65,NaN,NaN,-62,NaN,NaN,NaN,NaN,7
-52,-52,-36,-51,-35,-19,-54,-55,-60,-60,-50,-61,NaN,NaN,-62,NaN,NaN,-80,NaN,7
-54,-49,-37,-51,-35,-25,-60,-56,-60,-61,-50,-61,-62,NaN,-63,NaN,NaN,-80,NaN,7
-52,-52,-35,-51,-39,-36,-52,-55,-76,-61,-56,-64,-62,NaN,-58,NaN,NaN,-80,NaN,7
-52,-55,-36,-51,-35,-25,-50,-54,-62,-61,-50,-64,-61,NaN,-58,NaN,NaN,-80,-72,7
-54,-55,-42,-51,-35,-25,-50,-54,-62,-61,-50,-64,-61,NaN,-58,NaN,NaN,-80,-72,7
-52,-47,-36,NaN,-35,-21,-55,-55,-70,-61,-50,-59,-61,NaN,-58,NaN,NaN,NaN,-72,7
-52,-49,-36,-64,-35,-19,-53,-56,-63,-62,-50,-61,-61,NaN,-58,-72,NaN,NaN,-72,7
-52,-52,-36,-55,-36,-17,-54,-55,-62,-60,-50,-62,-60,NaN,-56,-72,NaN,NaN,-72,7
-52,-52,-37,-54,-34,-17,-50,-54,-60,-61,-50,-60,-60,NaN,-56,-72,NaN,-78,-72,7
-55,-48,-36,-54,-34,-21,-52,-54,-62,-60,-49,-60,-64,NaN,-57,-72,NaN,-75,-72,7
-55,-47,-35,-63,-35,-17,-50,-61,-62,-60,-50,-60,-64,NaN,-73,NaN,NaN,-75,NaN,7
-54,-54,-37,-63,-36,-17,-52,-54,-60,-60,-49,-60,-67,-91,-58,NaN,NaN,-75,NaN,7
-53,-52,-37,-55,-34,-17,-56,-55,-62,-60,-50,-60,-63,-91,-58,NaN,NaN,-75,NaN,7
-55,-50,-37,-63,-35,-17,-55,-55,-62,NaN,-50,-64,-63,-91,-57,-72,NaN,NaN,-72,7
-55,-53,-35,-56,-36,-17,-55,-53,-62,NaN,-59,-59,-63,-91,-56,-72,NaN,NaN,-72,7
-54,-45,-37,-57,-35,-23,-56,-55,-63,NaN,-47,-61,-65,-83,-59,-72,NaN,-74,-72,7
-55,-51,-36,-55,-39,-17,-55,-54,-63,-60,-50,-62,-66,-83,-59,-72,-80,-74,-72,7
-53,-49,-36,-59,-39,-19,-55,-54,-72,-60,-50,-62,-66,-83,-56,NaN,-80,-74,NaN,7
-54,-51,-35,-56,-35,-17,-60,-52,-63,-60,-48,-66,-66,-83,-53,NaN,-80,-73,NaN,7
-54,-49,-39,-62,-35,-18,-49,-53,-64,-60,-53,-64,-64,NaN,-58,NaN,-80,-73,NaN,7
-52,-48,-36,-61,-35,-18,-49,-57,-64,NaN,-47,-64,-64,-85,-62,NaN,NaN,-73,NaN,7
-53,-49,-40,-57,-36,-17,-53,-60,-62,-63,-52,-60,-64,-85,-60,NaN,NaN,-76,NaN,7
-53,-56,-41,-57,-36,-17,-53,-60,-62,-63,-52,-60,-64,-85,-60,NaN,NaN,-76,NaN,7
-52,-49,-36,-55,-36,-17,-50,-59,-63,-61,-47,-60,-64,-85,-62,NaN,-81,-76,NaN,7
-53,-53,-36,-58,-34,-17,-49,-57,-72,-61,-46,-60,-64,-85,-60,NaN,-81,-76,-70,7
-54,-55,-37,-64,-35,-17,-55,-51,-72,-61,-52,-60,-64,NaN,-60,NaN,-81,-76,-74,7
-52,-51,-36,-65,-36,-18,-46,-55,-72,-61,-55,-59,NaN,NaN,-60,NaN,-81,-74,-74,7
-49,-50,-36,-57,-36,-23,-52,-55,-67,-60,-55,-59,-68,NaN,-57,NaN,NaN,-76,-76,7
-57,-51,-37,-55,-35,-18,-51,-54,-64,-60,-52,-64,-68,NaN,-59,NaN,NaN,-76,-76,7
-53,-52,-37,-56,-35,-17,-51,-54,-59,-60,-46,-60,-69,NaN,-61,NaN,NaN,-76,-76,7
-51,-58,-35,-60,-36,-17,-51,-56,-59,-60,-48,-60,-69,NaN,-60,NaN,NaN,-76,-76,7
-55,-51,-36,-56,-36,-17,-58,-55,-69,NaN,-51,-60,-69,NaN,-59,-72,NaN,NaN,-72,7
-54,-49,-36,-57,-35,-20,-58,-54,-69,NaN,-48,-60,-69,NaN,-59,-77,NaN,NaN,-72,7
-55,-49,-36,-60,-35,-22,-56,-54,-63,-60,-49,-60,-66,NaN,-61,-77,NaN,NaN,-72,7
-56,-51,-37,-65,-35,-17,-56,-56,-63,-60,-50,-60,-64,NaN,-59,-77,NaN,NaN,-72,7
-56,-52,-37,-57,-35,-65,-56,-55,-61,-60,-50,-60,-64,NaN,-58,-71,NaN,NaN,-72,7
-57,-49,-37,-57,-35,-36,-56,-54,-61,-60,-50,-59,-64,NaN,-58,-71,NaN,NaN,NaN,7
-54,-48,-38,-58,-35,-17,-47,-55,-63,-60,-50,-59,-66,NaN,-58,-71,NaN,-84,NaN,7
-52,-52,-36,-55,-40,-17,-52,-54,-61,NaN,-50,-59,-66,NaN,-59,-71,-79,-75,-73,7
-55,-48,-37,-57,-36,-37,-52,-55,-62,-61,-50,-64,-66,NaN,-57,NaN,-79,-75,-73,7
-55,-48,-41,-57,-36,-37,-52,-55,-62,-61,-50,-64,-66,NaN,-57,NaN,-79,-75,-73,7
-53,-51,-35,-57,-36,-36,-48,-55,-62,-61,-49,-59,-65,NaN,-57,NaN,-79,-75,-73,7
-53,-53,-37,-58,-34,-18,-48,-54,-65,-61,-50,-59,-65,NaN,-59,NaN,-79,-75,-73,7
-53,-48,-39,-63,-33,-33,-39,-52,-55,-63,-44,-59,-65,-83,-49,-72,NaN,NaN,-65,8
-48,-49,-39,NaN,-26,-15,-40,-48,-55,-62,-47,-63,NaN,NaN,-61,NaN,NaN,NaN,-66,8
-49,-44,-40,NaN,-33,-14,-41,-49,-55,-61,-46,-56,-65,NaN,-61,NaN,NaN,NaN,-66,8
-50,-49,-46,NaN,-33,-17,-41,-51,-56,-61,-44,-56,-65,NaN,-65,NaN,NaN,NaN,-66,8
-50,-50,-47,NaN,-33,-17,-41,-51,-56,-61,-44,-56,-65,NaN,-65,NaN,NaN,NaN,-66,8
-47,-44,-41,-59,-34,-18,-37,-51,-55,-60,-48,-59,-65,NaN,-60,NaN,NaN,NaN,-63,8
-48,-42,-40,-56,-34,-19,-38,-50,-53,-69,-45,-66,-65,-77,-53,-64,NaN,NaN,-63,8
-48,-48,-44,-56,-34,-17,-37,-50,-54,-59,-47,-56,-72,-78,-52,-64,NaN,-62,-69,8
-49,-44,-38,-59,-34,-15,-38,-50,-53,-59,-42,-57,-71,-78,-51,-64,NaN,-62,-66,8
-49,-43,-38,-59,-34,-16,-37,-50,-55,-59,-45,-56,-71,-78,-51,-67,NaN,-61,-66,8
-49,-48,-38,-58,-34,-19,-38,-49,-53,-68,-44,-57,-68,-79,-52,-67,NaN,-73,-64,8
-50,-45,-39,-59,-33,-17,-38,-51,-56,-60,-45,-54,-70,-79,-52,-63,NaN,-62,-65,8
-49,-44,-45,-59,-33,-18,-40,-50,-55,-60,-45,-66,-70,-78,-52,-63,NaN,-62,-64,8
-51,-45,-43,-58,-26,-17,-43,-51,-55,-60,-45,-57,-70,-82,-54,-64,NaN,-62,-63,8
-49,-43,-39,-57,-25,-17,-38,-50,-56,-59,-45,-57,-73,-79,-62,-62,NaN,-62,-65,8
-50,-48,-45,-57,-34,-17,-39,-50,-54,-59,-44,-64,-73,-79,-51,-62,NaN,-60,-63,8
-48,-49,-40,-58,-34,-17,-38,-49,-55,-59,-45,-64,-73,-79,-53,-62,NaN,-62,-64,8
-50,-43,-38,-53,-34,-17,-38,-50,-55,-59,-44,-59,-72,-85,-53,-61,NaN,-63,-64,8
-48,-46,-43,-57,-33,-16,-39,-49,-55,-59,-44,-59,-72,-85,-54,-63,NaN,-64,-64,8
-49,-45,-38,-52,-33,-22,-39,-51,-55,-60,-53,-59,-71,-85,-55,-62,NaN,-64,-64,8
-52,-45,-47,-52,-33,-22,-39,-51,-55,-60,-53,-59,-71,-85,-55,-62,NaN,-64,-64,8
-49,-47,-45,-57,-35,-17,-39,-50,-55,-70,-45,-55,-71,-80,-53,-61,NaN,-61,-63,8
-48,-45,-43,-57,-35,-18,-39,-51,-57,-69,-45,-57,-71,-80,-53,-62,NaN,-62,-64,8
-49,-46,-39,-58,-35,-17,-40,-51,-55,-59,-43,-57,-72,-79,-53,-66,NaN,-60,-64,8
-48,-44,-38,-54,-40,-23,-42,-51,-55,-59,-43,-57,-73,-79,-59,-62,NaN,-62,-63,8
-52,-43,-41,-57,-34,-17,-38,-54,-55,-59,-46,-63,-73,-80,-52,-62,NaN,-66,-63,8
-52,-44,-40,-58,-35,-22,-40,-50,-55,-59,-45,-64,-71,-80,-53,-71,NaN,-66,-64,8
-48,-49,-38,-55,-35,-17,-38,-50,-61,-59,-45,-64,-70,-80,-52,-71,NaN,-62,-66,8
-50,-50,-45,-57,-35,-15,-39,-52,-55,-69,-45,-64,-70,-80,-53,-63,NaN,-63,-64,8
-51,-48,-40,-52,-34,-17,-39,-51,-55,-59,-45,-64,-70,NaN,-53,-63,NaN,-62,-64,8
-51,-45,-45,-58,-35,-18,-38,-52,-55,-59,-44,NaN,-70,NaN,-52,-62,NaN,-62,-64,8
-50,-43,-38,-53,-36,-17,-39,-53,-57,-60,-44,-64,-71,NaN,-53,-62,NaN,-63,-64,8
-48,-45,-44,-55,-35,-17,-38,-52,-55,-60,-44,-64,-71,NaN,-53,-62,NaN,-63,-59,8
-49,-44,-42,-53,-35,-17,-40,-51,-53,-60,-45,-59,-71,-79,-48,-62,NaN,-62,-65,8
-50,-49,-42,-53,-35,-18,-38,-49,-62,-71,-45,-57,-71,-79,-52,-63,NaN,-63,-64,8
-48,-46,-46,-57,-39,-22,-40,-51,-56,-71,-45,-64,NaN,-79,-55,-62,NaN,-61,-64,8
-56,-49,-44,-57,-39,-22,-40,-51,-56,-71,-45,-64,NaN,-79,-55,-62,NaN,-61,-64,8
