04:18:d6:c1:98:24_inonet,e8:37:7a:6c:7f:55_PYR,18:28:61:1c:0b:69_EVOSOFT,18:28:61:9e:ab:5c_MMD,4c:5e:0c:70:52:5a_RFKON2014-Mesh,4c:5e:0c:71:aa:15_RFKON2014-Mesh,4c:5e:0c:6f:20:b2_RFKON2014-Mesh,c0:4a:00:0f:03:51_BilTAY Teknoloji,dc:02:8e:c2:23:52_ILKSEM,4c:5e:0c:6f:20:fa_RFKON2014-Mesh,d4:ca:6d:c9:f1:c5_RFKON2014-Mesh,4c:5e:0c:71:a8:bf_RFKON2014-Mesh,4c:5e:0c:23:44:33_RFKON2014-Mesh,64:66:b3:d0:4a:8d_Cisco_KRD,d4:ca:6d:bc:1d:73_RFKON2014-Mesh,4c:5e:0c:67:ab:cf_evarobot,18:28:61:58:78:6a_Dlink_DAP-1360,e4:8d:8c:20:4d:c1_UPLAT,00:26:5a:52:0b:8c_RFKON_115,REF_POINT
-55,-64,-52,-72,-13,-27,-51,-56,-59,-63,-65,NaN,-69,NaN,-67,-72,NaN,NaN,NaN,2
-55,-63,-51,-66,-12,-27,-53,-55,-58,-63,-63,NaN,-82,NaN,-67,-72,NaN,NaN,NaN,2
-55,-70,-50,-66,-11,-27,-51,-55,-57,-63,-65,NaN,-82,NaN,-66,NaN,NaN,-75,NaN,2
-55,-65,-51,-66,-13,-27,-52,-56,-58,-64,-66,NaN,-68,NaN,-68,NaN,NaN,-75,-84,2
-57,-65,-52,-66,-12,-27,-50,-56,-55,-64,-67,NaN,-74,NaN,-68,NaN,NaN,-72,-88,2
-56,-66,-52,-65,-11,-27,-54,-56,-58,-64,-74,NaN,-74,NaN,-68,NaN,NaN,-72,-88,2
-55,-69,-53,-71,-11,-34,-51,-56,-58,-62,-66,NaN,-74,NaN,-67,NaN,NaN,-72,-86,2
-55,-64,-51,-71,-12,-27,-50,-55,-58,-63,-74,NaN,-74,NaN,-67,NaN,NaN,-72,-86,2
-55,-70,-50,-71,-13,-27,-49,-56,-57,-63,-66,NaN,-81,NaN,-69,NaN,NaN,NaN,-86,2
-58,-70,-48,-71,-12,-27,-52,-57,-57,-63,-66,NaN,-81,NaN,-69,NaN,NaN,NaN,-86,2
-55,-70,-53,-71,-12,-27,-51,-56,-61,-64,-66,NaN,-81,NaN,-73,NaN,NaN,NaN,NaN,2
-57,-70,-50,NaN,-12,-27,-52,-56,-59,-64,-64,NaN,-81,NaN,-68,NaN,NaN,NaN,NaN,2
-56,NaN,-51,NaN,-12,-27,-52,-56,-58,-64,-64,NaN,NaN,NaN,-68,NaN,NaN,NaN,NaN,2
-56,-65,-51,NaN,-12,-26,-51,-56,-58,-64,-64,NaN,NaN,NaN,-68,NaN,NaN,NaN,NaN,2
-56,-65,-53,NaN,-13,-27,-52,-56,-57,NaN,-64,NaN,NaN,NaN,-68,NaN,NaN,NaN,NaN,2
-55,-65,-50,NaN,-13,-34,-50,-56,-57,NaN,NaN,NaN,-74,NaN,NaN,NaN,NaN,NaN,NaN,2
-56,-65,-51,NaN,-12,-27,-50,-56,-58,NaN,-72,NaN,-67,NaN,-67,NaN,NaN,NaN,NaN,2
-56,-65,-51,NaN,-12,-27,-50,-56,-58,NaN,-72,NaN,-67,NaN,-67,NaN,NaN,NaN,NaN,2
-56,NaN,-52,NaN,-11,-27,-51,-57,-57,NaN,-63,NaN,-67,NaN,-68,NaN,NaN,NaN,NaN,2
-55,-62,-52,-69,-13,-27,-50,-57,-58,-62,-64,-71,-67,NaN,-68,NaN,NaN,NaN,NaN,2
-55,-63,-50,-74,-18,-34,-51,-55,-58,-76,-64,-72,-69,NaN,-72,NaN,NaN,NaN,NaN,2
-55,-70,-51,-69,-13,-27,-51,-56,-57,-62,-66,-72,-66,NaN,-72,NaN,NaN,NaN,NaN,2
-55,-65,-51,-69,-11,-27,-51,-58,-57,-62,-66,-79,-66,NaN,-72,NaN,NaN,-72,NaN,2
-56,-65,-51,-65,-11,-27,-51,-55,-58,-62,-70,-70,-66,NaN,-72,NaN,NaN,-72,NaN,2
-58,-66,-52,-65,-17,-38,-52,-55,-58,-63,-65,-78,-66,NaN,-68,NaN,NaN,-72,NaN,2
-56,-69,-51,-65,-17,-27,-52,-56,-59,-63,-65,-72,-64,NaN,-68,NaN,NaN,-72,NaN,2
-54,-65,-51,-65,-12,-34,-51,-56,-57,-63,-68,-72,-64,NaN,-68,NaN,NaN,-72,NaN,2
-56,-70,-53,NaN,-11,-34,-51,-57,-56,-63,-62,-77,-73,NaN,-67,NaN,NaN,-72,NaN,2
-54,-65,-52,-71,-12,-27,-52,-57,-58,-63,-63,-78,-73,NaN,-67,NaN,NaN,NaN,NaN,2
-56,-71,-52,-69,-11,-27,-51,-57,-59,-63,-63,-78,-70,NaN,-68,NaN,NaN,NaN,NaN,2
