4c:5e:0c:71:aa:15_RFKON2014-Mesh,4c:5e:0c:70:52:5a_RFKON2014-Mesh,4c:5e:0c:6f:20:b2_RFKON2014-Mesh,e8:37:7a:6c:7f:55_PYR,d4:ca:6d:c9:f1:c5_RFKON2014-Mesh,04:18:d6:c1:98:24_inonet,c0:4a:00:0f:03:51_BilTAY Teknoloji,4c:5e:0c:71:a8:bf_RFKON2014-Mesh,dc:02:8e:c2:23:52_ILKSEM,18:28:61:9e:ab:5c_MMD,00:26:5a:52:0b:8c_RFKON_115,4c:5e:0c:23:44:33_RFKON2014-Mesh,e4:8d:8c:20:4d:c1_UPLAT,d4:ca:6d:bc:1d:73_RFKON2014-Mesh,64:66:b3:d0:4a:8d_Cisco_KRD,4c:5e:0c:6f:20:fa_RFKON2014-Mesh,18:28:61:58:78:6a_Dlink_DAP-1360,18:28:61:13:0d:9d_EROGLU,4c:5e:0c:67:ab:cf_evarobot,18:28:61:1c:0b:69_EVOSOFT,00:66:4b:1f:08:23_TeknoTAM,1c:87:2c:7e:23:9c_EROGLU-PRI,1c:87:2c:7e:23:9d_EROGLU-PUB,4e:0b:3a:ce:61:92_coskun,e4:8d:8c:95:5c:60_evarobot,4c:5e:0c:69:1c:51_evarobot,4c:5e:0c:69:1c:4b_evarobot,4c:5e:0c:70:53:6e_evarobot,4c:5e:0c:6f:20:2e_evarobot,REF_POINT
-39,-35,-52,-59,-59,-62,-60,-73,-62,-60,-81,-78,-74,-75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-38,-35,-53,-59,-58,-62,-60,-73,-62,-61,-79,-78,-74,-75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-37,-35,-52,-59,-58,-55,-60,NaN,-61,-61,-79,-78,-74,-80,NaN,NaN,-78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-37,-35,-53,-58,-57,-59,-59,-71,-63,-61,-80,NaN,-72,-80,NaN,NaN,-78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-38,-35,-51,-56,-62,-57,-59,-71,-62,-61,-80,-72,-72,-73,NaN,NaN,-78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-37,-35,-52,-68,-61,-61,-57,-71,-61,-67,-81,-74,-72,-78,NaN,NaN,-78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-38,-35,-52,-68,-59,-56,-57,-71,-61,-60,-79,-75,-72,-72,NaN,NaN,-78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-37,-35,-53,-58,-58,-62,-58,-71,-61,-60,-79,-75,-74,-72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-40,-35,-53,-60,-64,-61,-59,-70,-62,-61,-79,-77,-74,-74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-38,-35,-51,-63,-55,-57,-59,-78,-62,-61,-79,-77,-75,-67,NaN,NaN,NaN,NaN,-77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
