04:18:d6:c1:98:24_inonet,4c:5e:0c:71:aa:15_RFKON2014-Mesh,4c:5e:0c:70:52:5a_RFKON2014-Mesh,d4:ca:6d:c9:f1:c5_RFKON2014-Mesh,18:28:61:1c:0b:69_EVOSOFT,c0:4a:00:0f:03:51_BilTAY Teknoloji,4c:5e:0c:6f:20:b2_RFKON2014-Mesh,e8:37:7a:6c:7f:55_PYR,dc:02:8e:c2:23:52_ILKSEM,06:18:d6:c2:98:24_inonet,d4:ca:6d:bc:1d:73_RFKON2014-Mesh,18:28:61:9e:ab:5c_MMD,4c:5e:0c:23:44:33_RFKON2014-Mesh,4c:5e:0c:6f:20:fa_RFKON2014-Mesh,4c:5e:0c:71:a8:bf_RFKON2014-Mesh,64:66:b3:d0:4a:8d_Cisco_KRD,00:26:5a:52:0b:8c_RFKON_115,18:28:61:58:78:6a_Dlink_DAP-1360,e4:8d:8c:20:4d:c1_UPLAT,REF_POINT
-62,-40,-31,-54,-57,-58,-49,-63,NaN,-70,-68,-68,-71,-70,-77,-78,-84,NaN,-72,1
-60,-39,-30,-54,-57,-58,-49,-65,-64,-70,-69,-66,NaN,-69,-77,-77,NaN,NaN,NaN,1
-60,-39,-30,-54,-56,-59,-50,-68,-62,-70,NaN,-68,-69,-69,-76,NaN,NaN,NaN,NaN,1
-64,-36,-30,-54,-57,-58,-48,NaN,-60,-71,-68,-70,-70,-70,-75,-82,-84,NaN,NaN,1
-63,-41,-31,-54,NaN,-57,-48,NaN,-65,-69,NaN,-70,NaN,NaN,-75,-79,-86,NaN,NaN,1
-62,-38,-31,-54,-62,-58,-51,-62,-61,-69,-68,-71,-70,-70,-76,NaN,NaN,NaN,-72,1
-62,-41,-30,-53,-58,-60,-49,-70,-61,-70,-68,NaN,NaN,-69,NaN,NaN,-86,NaN,-72,1
-53,-29,-33,-54,-54,-65,-50,-60,-78,-69,-67,-59,-78,-63,-72,-82,-83,NaN,NaN,2
-52,-32,-30,-54,-55,-54,-51,-53,-72,-68,-69,-65,-79,-61,NaN,NaN,NaN,NaN,NaN,2
-51,-31,-32,-56,-54,-56,-51,-55,-73,-67,-67,-64,NaN,-64,-74,NaN,NaN,NaN,NaN,2
-50,-32,-30,-54,-65,NaN,-49,-61,-76,-66,-65,NaN,NaN,-60,-74,NaN,NaN,NaN,NaN,2
-53,-32,-31,-60,NaN,NaN,-54,-53,-73,-67,NaN,NaN,NaN,NaN,-77,NaN,NaN,NaN,NaN,2
-50,-37,-31,-62,-60,NaN,-51,-53,-70,-68,-67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
-54,-37,-31,-60,-58,-66,-49,-55,-67,NaN,-68,-70,-71,-60,-72,NaN,NaN,NaN,NaN,2
-56,-37,-31,NaN,-58,-68,-50,-53,-66,-69,-68,NaN,NaN,-61,NaN,NaN,NaN,NaN,-74,2
-54,-37,-31,-60,-59,-67,-51,-53,-66,-59,-67,NaN,NaN,-63,-70,-90,NaN,NaN,-73,2
-53,-37,-32,-57,-57,-63,-50,-53,-67,-68,-67,NaN,NaN,-61,NaN,NaN,NaN,NaN,NaN,2
-52,-36,-31,-60,-60,-67,-51,NaN,-70,-67,-63,NaN,-71,NaN,NaN,NaN,NaN,NaN,NaN,2
-53,-36,-30,-59,-59,-62,-51,-55,-68,-67,-66,NaN,-72,NaN,-71,NaN,NaN,NaN,NaN,2
-53,-36,-30,-61,-58,-62,-50,-54,-69,-68,-68,-71,-71,-62,-70,NaN,-87,NaN,NaN,2
-52,-36,-31,NaN,-59,-61,NaN,-53,-66,-67,-66,-74,NaN,-62,-71,NaN,NaN,-89,-72,2
-53,-36,-31,-60,-59,-61,-51,-54,-67,-67,-66,-73,NaN,-62,NaN,-90,-86,-90,-72,2
-53,-37,-30,-60,-59,-63,-51,-53,-68,-67,-65,NaN,-73,NaN,-71,-87,-86,NaN,-71,2
-52,-37,-31,-59,-60,-61,-52,-52,-68,-68,-85,-71,-72,-61,-71,NaN,NaN,NaN,NaN,2
-51,-37,-31,-59,NaN,-63,-48,-54,-67,-68,-67,NaN,NaN,-62,-71,-83,NaN,NaN,-74,2
-51,-36,-31,-61,-67,-65,-49,-52,-69,-68,-68,-68,NaN,-62,NaN,NaN,NaN,NaN,-75,2
