04:18:d6:c1:98:24_inonet,4c:5e:0c:71:aa:15_RFKON2014-Mesh,4c:5e:0c:70:52:5a_RFKON2014-Mesh,d4:ca:6d:c9:f1:c5_RFKON2014-Mesh,18:28:61:1c:0b:69_EVOSOFT,c0:4a:00:0f:03:51_BilTAY Teknoloji,4c:5e:0c:6f:20:b2_RFKON2014-Mesh,e8:37:7a:6c:7f:55_PYR,dc:02:8e:c2:23:52_ILKSEM,06:18:d6:c2:98:24_inonet,d4:ca:6d:bc:1d:73_RFKON2014-Mesh,18:28:61:9e:ab:5c_MMD,4c:5e:0c:23:44:33_RFKON2014-Mesh,4c:5e:0c:6f:20:fa_RFKON2014-Mesh,4c:5e:0c:71:a8:bf_RFKON2014-Mesh,64:66:b3:d0:4a:8d_Cisco_KRD,00:26:5a:52:0b:8c_RFKON_115,18:28:61:58:78:6a_Dlink_DAP-1360,e4:8d:8c:20:4d:c1_UPLAT,REF_POINT
-60,-31,-39,-52,-45,-52,-48,-45,-65,-63,-64,-62,NaN,NaN,-73,NaN,NaN,NaN,-67,5
-62,-32,-39,-54,-44,-53,-48,-45,-63,-63,-66,-63,-69,-82,-68,-80,-74,NaN,NaN,5
-59,NaN,-38,-51,-46,-51,-48,-44,-66,-63,-64,NaN,-70,NaN,-68,NaN,NaN,NaN,NaN,5
-62,-32,-38,-52,-46,-52,NaN,-46,-65,-63,-66,-62,NaN,-71,-68,NaN,-74,NaN,NaN,5
-60,-31,-39,-52,-46,-52,-47,-48,-65,-63,-67,-64,-70,NaN,-68,NaN,NaN,NaN,NaN,5
-60,-31,-38,NaN,-45,-52,-47,-44,NaN,-65,-65,-64,NaN,NaN,-69,NaN,-75,-84,-68,5
-61,-31,-38,-52,-45,-52,-47,-46,-63,-63,-66,-62,-70,-69,-69,NaN,-90,-83,-69,5
-61,-32,-38,-52,-45,-52,-47,-45,NaN,-63,NaN,NaN,-70,NaN,-73,NaN,NaN,NaN,NaN,5
-61,-32,-39,-53,-44,-52,-47,-41,-65,-54,-66,-62,-74,-70,NaN,NaN,-74,NaN,NaN,5
-62,-31,-38,-52,-45,-52,-48,-45,-66,-64,NaN,-63,-69,-70,NaN,-75,-74,NaN,NaN,5
-60,-31,-39,-52,-45,-51,-48,-45,-66,-65,NaN,-63,-70,-71,NaN,NaN,-73,NaN,NaN,5
-59,-31,-40,-53,-43,-52,-48,-46,-66,-64,-63,-62,NaN,-69,NaN,-81,-73,NaN,-66,5
-59,-32,-39,-52,-45,-52,-69,-51,-65,-64,-63,-64,NaN,-70,-69,NaN,NaN,NaN,NaN,5
-59,-31,-39,-52,-46,-53,NaN,-46,-65,-64,NaN,-64,NaN,-69,NaN,-79,NaN,NaN,NaN,5
-67,-31,-38,-52,-45,-52,-48,-45,NaN,-54,NaN,-63,-70,-69,NaN,NaN,-73,NaN,-66,5
-59,-32,NaN,-60,-45,-51,NaN,-50,NaN,-65,NaN,NaN,NaN,-70,-69,NaN,NaN,NaN,NaN,5
-60,-32,-40,-52,-46,-51,-52,-45,NaN,-51,-68,-62,NaN,-69,NaN,NaN,NaN,NaN,NaN,5
-69,-31,-38,NaN,-45,-52,-49,-46,-64,-63,-66,-60,-76,NaN,-69,NaN,-74,NaN,-68,5
-60,-32,-38,-52,-43,-52,-49,-46,-66,-64,NaN,-62,NaN,-70,NaN,NaN,NaN,NaN,NaN,5
-67,-26,-44,-51,-40,-52,-58,-45,-66,-65,-59,-59,-74,-69,NaN,NaN,-76,NaN,-71,6
-68,-27,-46,-56,-34,-60,NaN,-47,-66,-68,-63,-57,-72,NaN,-71,NaN,-77,NaN,NaN,6
-68,-30,-40,-60,-34,-59,-79,-46,-66,-68,-61,-57,-70,-66,-74,NaN,NaN,-81,-67,6
-68,-27,-42,-59,-34,-58,-54,-47,-62,-67,-60,-57,-72,NaN,NaN,NaN,-89,NaN,-60,6
-68,-27,-42,-59,-34,-51,NaN,-46,NaN,-67,NaN,-57,-70,NaN,-68,NaN,NaN,NaN,-66,6
-70,-27,-43,-60,-34,-53,-54,-46,-64,-68,-60,-57,-70,NaN,NaN,NaN,NaN,-80,-66,6
-72,-27,-42,-61,-34,-56,-54,-49,-63,-69,-60,NaN,-72,NaN,NaN,NaN,-78,NaN,NaN,6
-67,-27,NaN,-63,-32,-74,-54,-46,-68,-67,NaN,-58,NaN,NaN,NaN,NaN,-77,NaN,NaN,6
-67,-28,-42,-61,-31,-53,-54,-47,-72,-68,-60,-58,-69,NaN,NaN,NaN,-88,NaN,NaN,6
-68,-27,-60,NaN,-31,-52,-52,-49,-70,-67,-60,NaN,-66,-65,NaN,NaN,NaN,NaN,NaN,6
-69,-27,-42,-61,-34,-59,-52,-49,-69,-67,-59,-57,NaN,NaN,NaN,-81,-77,NaN,-65,6
-69,-27,-49,-60,-31,-57,NaN,-46,-63,-68,-60,-56,-69,NaN,NaN,-78,-77,NaN,NaN,6
-70,-28,NaN,-63,-32,-58,-51,-46,NaN,-69,-60,-58,-69,NaN,NaN,NaN,NaN,NaN,NaN,6
-67,-27,-42,-60,-34,-58,-52,-45,-68,-69,-61,-58,NaN,NaN,NaN,NaN,NaN,NaN,-68,6
-68,-27,-42,-61,-34,-63,-54,-46,-64,-68,-61,-56,-69,-67,NaN,NaN,-76,NaN,NaN,6
-66,-27,-41,-60,-31,-51,-55,-48,-62,-68,-59,-57,NaN,-66,NaN,NaN,-77,NaN,-65,6
-67,-27,-42,-60,-34,-61,-53,-46,-63,-67,-59,-57,-69,-66,-68,-80,-77,NaN,-66,6
-65,-27,-42,-60,-34,-53,-54,-44,-63,-68,-62,-56,NaN,-66,-68,-78,NaN,NaN,-66,6
-67,-26,-42,-62,-34,-63,-53,-49,-65,-68,-60,-56,NaN,-65,-68,NaN,-76,NaN,NaN,6
-70,-27,-42,-60,-34,-55,-59,-44,-65,-67,-60,-57,-69,-66,-68,NaN,NaN,NaN,NaN,6
-68,-28,-41,-57,-34,-56,-56,-48,-67,-69,-59,-57,NaN,-66,-69,NaN,NaN,-80,NaN,6
-74,-27,-42,-59,-34,-59,-53,-46,-65,-69,NaN,-56,-70,-61,-69,NaN,NaN,NaN,NaN,6
-70,-28,-42,NaN,-34,-52,-54,-45,-67,-68,-60,-57,NaN,-66,NaN,NaN,NaN,NaN,NaN,6
-69,-27,-41,-60,-32,-52,-51,-46,-63,-65,-61,-58,-70,NaN,NaN,NaN,NaN,NaN,NaN,6
-72,-27,-41,-60,-31,-53,-51,-46,-65,-67,-61,-58,-70,-66,NaN,-82,NaN,NaN,NaN,6
-71,-27,-41,-59,-34,-57,-50,-45,-63,-68,-61,NaN,NaN,-66,-70,NaN,NaN,NaN,NaN,6
-72,-26,-41,-61,-34,-56,-54,-46,-63,-67,-60,NaN,-69,-66,-69,NaN,NaN,NaN,NaN,6
-70,-27,-41,-60,-32,-57,-52,-49,-63,-68,-59,NaN,-68,-67,-67,NaN,NaN,NaN,-66,6
-68,-27,-42,-60,-33,-57,-53,-46,-71,-62,-61,-56,NaN,-66,-68,NaN,-77,NaN,NaN,6
-68,-27,-42,-59,-33,-53,-54,-46,-64,-69,-61,-56,-70,-67,-68,NaN,NaN,NaN,NaN,6
-71,-27,-42,-59,-32,-57,-54,-50,-67,-69,-60,-56,-70,-68,NaN,-78,-77,NaN,-71,6
-68,-26,-41,-61,-34,-57,-53,-46,-64,-68,-59,-58,NaN,-66,NaN,NaN,-77,NaN,-71,6
-68,-56,-41,-62,-31,-56,NaN,-46,-72,-69,-59,-48,-69,NaN,NaN,NaN,-77,NaN,NaN,6
-68,-27,-41,-60,-32,-56,NaN,-45,-65,-69,-58,-55,-69,-66,-68,NaN,NaN,NaN,NaN,6
-69,-27,-41,-59,-31,-54,-55,-49,-65,-68,-60,NaN,NaN,NaN,NaN,NaN,NaN,-80,NaN,6
-79,-27,-42,-62,-33,-52,-52,-49,-69,-68,-59,-57,-72,-67,NaN,NaN,NaN,NaN,NaN,6
-68,-27,-41,-59,-32,-58,NaN,-48,-65,-67,-63,-56,-71,NaN,NaN,NaN,NaN,NaN,NaN,6
-66,-27,-41,-60,-32,-51,-52,-46,-64,-67,-59,-57,-70,-69,NaN,NaN,NaN,NaN,NaN,6
-69,-29,-41,NaN,-31,-52,NaN,-45,-64,-67,-60,-57,NaN,-63,-71,NaN,NaN,NaN,NaN,6
-67,-27,-40,-62,-34,-57,-55,-49,-65,-68,-59,-57,-69,-67,NaN,NaN,NaN,NaN,NaN,6
-69,-27,-40,NaN,-32,-56,-53,-45,-64,-69,-60,-56,-71,-68,-69,NaN,NaN,NaN,NaN,6
-68,-31,-41,-60,-33,-57,-53,-45,-65,-70,-59,NaN,NaN,NaN,NaN,NaN,-77,NaN,NaN,6
-70,-27,-41,-62,-31,-56,-52,-45,-62,-69,-61,NaN,-69,NaN,NaN,NaN,NaN,NaN,NaN,6
-69,-31,-40,-67,-32,-52,-55,-46,NaN,-68,-62,-56,-71,NaN,NaN,NaN,NaN,NaN,NaN,6
-67,-27,-40,-62,-33,-52,-52,-46,-63,-68,-59,-56,-73,-66,NaN,-81,NaN,NaN,NaN,6
-70,-27,-40,NaN,-32,-56,-52,-46,-67,-69,-61,-57,NaN,NaN,NaN,NaN,-74,NaN,NaN,6
-70,-72,-45,-60,-34,-51,-53,-46,-64,-70,NaN,-59,-71,NaN,-72,NaN,-75,NaN,-70,6
-67,-27,-40,-61,-32,-56,-53,-48,-65,-69,-60,-57,-71,-67,-76,NaN,NaN,-78,-71,6
-67,-27,-40,-63,-33,-56,-52,-46,NaN,-68,NaN,-57,-74,-67,NaN,NaN,NaN,-81,NaN,6
-68,-27,-40,-62,-31,-56,-51,-47,-63,-68,-60,-57,-76,-66,NaN,NaN,NaN,NaN,NaN,6
-71,-27,-40,-70,-34,-54,NaN,-50,-63,-69,NaN,NaN,-72,NaN,-73,NaN,NaN,NaN,-66,6
-67,-27,-41,-60,-33,-52,-53,-47,-63,-68,-60,-57,NaN,NaN,NaN,NaN,NaN,NaN,-65,6
-68,-27,-47,-60,-33,-57,-54,-46,-66,-69,-60,-58,NaN,-66,NaN,NaN,NaN,NaN,-65,6
-69,-27,-41,-60,-34,-52,-53,-46,-63,-70,-58,-85,-71,-65,NaN,NaN,-75,NaN,NaN,6
-68,-29,-42,-63,-34,-54,NaN,-46,-62,-57,-61,-62,-71,NaN,NaN,NaN,NaN,NaN,-66,6
-68,-27,-42,NaN,-34,-57,-53,-49,-63,-70,-61,-58,NaN,NaN,NaN,NaN,NaN,NaN,-64,6
-73,-29,-41,-62,-32,-55,-56,-46,-63,-70,-61,-57,NaN,-67,-69,NaN,NaN,NaN,-68,6
-67,-31,-40,-61,-31,-57,-53,-50,-63,-70,-60,-58,-71,NaN,-65,NaN,NaN,NaN,NaN,6
-67,-27,-41,-60,-33,-52,-53,-51,-63,-70,-62,NaN,NaN,-66,NaN,NaN,NaN,NaN,-52,6
-68,-27,-41,-61,-34,-57,-53,-48,-64,-71,-60,-58,-71,-66,NaN,NaN,NaN,-82,-66,6
-63,-27,-41,-58,-34,-52,-53,-46,-63,-70,NaN,-58,-71,NaN,NaN,NaN,NaN,NaN,-67,6
-69,-27,-41,-64,-34,-57,-53,-54,-62,-62,NaN,-57,-70,-67,NaN,NaN,-74,NaN,NaN,6
-66,-28,-41,-61,-34,-57,-53,-46,-63,-70,-60,-57,NaN,NaN,NaN,-83,-75,NaN,NaN,6
-67,-28,-41,-61,-34,-57,-54,-49,-65,-67,-60,-69,NaN,-67,NaN,-79,NaN,NaN,NaN,6
-64,-27,-41,-62,-34,-58,-53,-45,-63,-68,-59,NaN,-70,-66,NaN,-84,-75,NaN,NaN,6
-70,-27,-40,-62,-31,-56,-55,-49,-64,-70,-58,-57,-70,-66,NaN,NaN,NaN,NaN,NaN,6
-66,-29,-41,-54,-33,-52,-50,-48,-65,-71,-57,-54,-71,-65,NaN,NaN,-80,NaN,-69,6
-74,-29,-41,-54,-34,-54,-52,-49,-67,-68,-59,-60,NaN,NaN,-77,NaN,NaN,NaN,NaN,6
-66,-28,-41,-59,-33,-56,-52,-50,-65,-71,-64,-53,-73,-67,NaN,NaN,NaN,NaN,NaN,6
-68,-28,-41,-54,-31,-56,-51,-45,-65,-71,-60,-57,-72,NaN,NaN,NaN,-71,NaN,NaN,6
-68,-28,-41,-60,-31,-56,-52,-46,-65,-71,-59,-55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-68,-28,-46,-62,-31,-50,-54,-46,-63,-71,-63,-58,-71,-67,-68,NaN,NaN,NaN,-66,6
-67,-29,-41,-62,-31,-49,-53,-47,-63,-72,-60,-74,-70,-67,-74,NaN,NaN,NaN,-67,6
-68,-27,-41,-61,-31,-53,NaN,-49,-66,-71,-60,-56,-74,NaN,NaN,NaN,NaN,NaN,-66,6
-68,-27,-42,-59,-32,-56,-54,-54,-62,-73,-88,NaN,-71,-67,NaN,NaN,-76,NaN,NaN,6
-66,-27,-41,-59,-33,-55,-56,-46,-63,-69,-58,NaN,-71,-66,NaN,NaN,NaN,NaN,NaN,6
-68,-27,-40,-59,-31,-53,-55,-47,NaN,-69,-61,NaN,NaN,-68,-70,NaN,NaN,NaN,-59,6
-72,-27,-41,-58,-31,-55,-59,-47,-63,-70,-60,NaN,-69,-65,NaN,NaN,NaN,-79,NaN,6
-67,-27,-41,-59,-33,-52,-54,-47,-63,-66,-60,NaN,-70,-63,NaN,-72,NaN,NaN,-66,6
-68,-27,-41,-59,-31,-55,NaN,-48,-63,-70,NaN,-57,-71,NaN,NaN,NaN,NaN,NaN,-65,6
-59,-37,-39,-47,-48,-50,-47,-43,-64,-58,-51,NaN,-71,-66,-66,NaN,-76,NaN,-66,7
-60,-32,-43,-52,-43,-48,-45,-44,-65,-57,-48,-60,-72,NaN,NaN,NaN,-77,NaN,NaN,7
-58,NaN,NaN,-52,-45,-50,-46,-44,-63,-58,NaN,NaN,-72,NaN,NaN,NaN,-75,NaN,NaN,7
-59,-33,-41,-51,-43,-49,-47,-45,-69,-58,-48,NaN,NaN,NaN,-67,NaN,NaN,NaN,NaN,7
-58,-31,-40,-51,-45,-49,-45,-45,-69,-58,-49,-63,-73,NaN,-66,NaN,-74,NaN,NaN,7
-59,-31,-42,-51,-45,-49,-45,-43,-66,-59,-49,-60,-71,NaN,NaN,NaN,NaN,NaN,NaN,7
-58,-31,-42,-57,-45,-49,-46,-44,-67,-58,-64,-59,-68,NaN,NaN,NaN,-73,NaN,NaN,7
-58,-30,-40,-51,-45,-43,-45,-45,-68,-59,NaN,NaN,NaN,NaN,NaN,-80,-71,NaN,NaN,7
-58,-33,-40,-51,-45,-48,-46,-44,-68,-59,-50,-58,NaN,NaN,NaN,NaN,-77,NaN,NaN,7
-59,-30,-64,-51,-46,-44,-45,-43,NaN,-58,-49,-61,-69,-64,NaN,NaN,-72,NaN,NaN,7
-58,-31,-40,-52,-44,-48,-46,-45,-65,-59,-49,-62,NaN,NaN,NaN,-72,NaN,NaN,NaN,7
-58,-31,-40,-51,-45,-49,-46,-44,-65,-59,-49,-60,-70,-64,NaN,NaN,NaN,NaN,-70,7
-55,NaN,NaN,-52,-46,-49,-48,-45,-63,-59,-49,-61,-71,NaN,-67,NaN,NaN,NaN,NaN,7
-58,-31,-40,NaN,-45,-49,-47,-45,NaN,-59,-50,NaN,-69,NaN,-66,NaN,NaN,NaN,NaN,7
-58,-31,-40,-52,-45,-48,-48,-45,-68,-58,-49,-61,NaN,-64,-76,NaN,NaN,NaN,NaN,7
-58,-30,-74,-52,-45,-48,NaN,-44,-66,-58,NaN,-59,-68,NaN,NaN,NaN,NaN,NaN,NaN,7
-59,-30,-40,-50,-45,-49,-47,-44,-64,-58,-46,-58,NaN,-65,-66,NaN,NaN,NaN,NaN,7
-58,-31,-40,-52,-44,-48,-47,-44,-64,-58,NaN,-59,-72,NaN,NaN,-86,NaN,NaN,NaN,7
-49,-31,-39,-52,-44,-49,-48,-43,-67,-58,-49,-58,-66,NaN,NaN,NaN,-73,NaN,NaN,7
-61,-30,-41,-52,-45,-49,-48,-83,-69,-58,-64,-59,-66,NaN,NaN,NaN,NaN,NaN,NaN,7
-56,-30,-41,-51,-45,-48,-47,-45,-64,-58,-51,-59,-66,NaN,-66,NaN,NaN,NaN,NaN,7
-59,-30,-40,-50,-44,-49,-46,-44,-68,-58,NaN,-59,NaN,NaN,-65,NaN,-74,NaN,-70,7
-60,-33,-40,-52,-44,-49,-46,-45,-64,-58,-49,-60,-66,-64,NaN,NaN,-75,NaN,-69,7
-58,-30,-39,-51,-43,-49,-47,-43,-65,-58,-49,-57,NaN,NaN,-64,NaN,NaN,NaN,-72,7
-59,-33,NaN,NaN,-45,-49,-48,-45,-64,-58,NaN,-59,-69,-65,NaN,NaN,-79,NaN,NaN,7
-58,-30,-39,-52,-45,-50,-47,-44,-64,-57,-49,-58,-70,-65,NaN,NaN,NaN,NaN,-70,7
-55,-30,-42,-52,-45,-49,-48,-44,-70,-58,-49,-60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7
-58,-30,-41,-52,-44,-49,-48,-44,-65,-58,-50,-57,-69,NaN,NaN,NaN,-73,NaN,NaN,7
-55,-30,-42,-52,-44,-49,-50,-44,-70,-58,NaN,-85,-68,NaN,-67,NaN,-73,NaN,NaN,7
-58,-30,-41,-52,-44,-49,-48,-44,-65,-58,-49,-58,-71,NaN,-74,NaN,NaN,NaN,NaN,7
-58,-30,-41,-51,-44,-52,-48,-43,-64,-58,-49,-56,-66,-65,-65,NaN,-74,NaN,NaN,7
-58,-30,-40,NaN,-45,-49,-44,-44,-72,-59,-49,-52,-66,NaN,-72,NaN,-78,NaN,NaN,7
-58,-30,-40,-50,-45,-49,-45,-42,-66,-59,-48,NaN,NaN,-65,-66,NaN,NaN,NaN,NaN,7
-59,-30,-40,-49,-45,-49,-44,-45,-68,-59,-48,-61,-68,-64,-75,NaN,NaN,NaN,NaN,7
-55,-30,-38,-50,-44,-48,-46,-44,-64,-62,-50,-60,-67,-64,-64,NaN,-75,NaN,NaN,7
-58,-30,-39,-51,-44,-40,-47,-43,-68,-59,-48,-55,-65,NaN,NaN,NaN,NaN,NaN,NaN,7
-64,-30,-40,-50,-44,-48,-46,-44,-65,-60,-49,-57,-70,NaN,-67,NaN,-77,NaN,NaN,7
-59,-30,-39,-50,-42,-49,-47,NaN,-65,-61,-49,-57,-71,-64,-73,NaN,NaN,NaN,NaN,7
-59,-30,-39,-50,-45,-49,-46,-44,-65,-60,-50,-56,-75,NaN,NaN,NaN,NaN,NaN,-73,7
-59,-30,-40,-51,-42,-49,-44,-44,-64,-59,-50,NaN,-70,NaN,NaN,NaN,NaN,NaN,NaN,7
-57,-30,-40,-53,-45,-49,-49,-44,-66,-58,-49,-54,-68,NaN,-62,NaN,-74,NaN,NaN,7
-60,-30,-41,-53,-44,-49,-46,-43,-66,-58,-49,-58,-71,-65,NaN,NaN,NaN,NaN,NaN,7
-57,-30,-40,-51,-45,-48,-46,-45,-65,-58,-50,-56,-72,NaN,-65,NaN,NaN,NaN,NaN,7
-60,-30,-40,-51,-44,-49,-46,-43,-67,-59,-49,NaN,-70,NaN,-64,NaN,NaN,NaN,NaN,7
-57,-30,-40,-51,-44,-49,-45,-47,-68,-59,-50,NaN,NaN,NaN,NaN,NaN,-73,NaN,NaN,7
-60,-30,-40,-51,-44,-48,-45,-44,-64,-59,-49,NaN,-71,NaN,NaN,NaN,NaN,NaN,NaN,7
-56,-30,NaN,-54,-42,-49,NaN,-45,-63,-59,-49,-59,NaN,NaN,NaN,NaN,-76,NaN,NaN,7
-61,-33,-38,-51,-44,-43,-52,-44,NaN,-60,-51,-57,-67,NaN,-65,NaN,NaN,NaN,NaN,7
-62,-30,-38,-52,-44,-49,-50,-43,NaN,-60,NaN,-58,NaN,NaN,-65,NaN,NaN,NaN,NaN,7
-61,-30,-38,-51,-44,-43,-50,-43,NaN,-59,-49,-58,-66,NaN,-65,NaN,NaN,NaN,NaN,7
-60,-30,-39,-52,-44,-48,-48,-43,-65,-60,-50,-57,-76,NaN,-66,NaN,NaN,NaN,NaN,7
-60,-31,-39,-51,-42,-48,-47,-45,-64,-34,-49,-68,NaN,NaN,-65,NaN,NaN,NaN,NaN,7
-63,-30,-40,-53,-46,-48,-50,-43,-64,-59,-49,NaN,-66,NaN,NaN,NaN,-67,NaN,NaN,7
-62,-30,-39,-51,-46,-48,-49,-43,-67,-59,-50,-60,-65,NaN,NaN,NaN,NaN,NaN,NaN,7
-63,-30,-39,-51,-46,-48,-50,-44,-65,-59,-49,NaN,NaN,-65,NaN,NaN,-75,NaN,NaN,7
-61,-30,NaN,-51,-46,-48,-49,-42,-65,-59,-49,-58,-69,NaN,NaN,NaN,NaN,NaN,NaN,7
-62,-31,-39,-51,-43,-48,-47,-44,-66,-59,-49,-59,-69,NaN,-65,NaN,NaN,NaN,NaN,7
-63,-31,-40,-51,-45,-48,-50,-44,-64,-59,NaN,-58,NaN,NaN,-64,NaN,NaN,NaN,NaN,7
-64,-33,-40,-50,-45,-49,-50,-44,-64,-59,NaN,-69,-71,-64,-72,NaN,-76,NaN,NaN,7
-63,-30,-39,-50,-45,-48,-51,-44,-63,-58,-49,-60,-71,-65,-66,-67,NaN,NaN,NaN,7
-61,-33,-40,-50,-45,-48,-50,-43,-66,-58,-49,-60,-66,NaN,-74,NaN,NaN,NaN,NaN,7
-62,-30,-40,-51,-45,-43,-52,-44,NaN,-58,-49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7
-63,-30,-40,-51,-45,-48,-51,-44,-65,-59,-48,-60,-66,-64,-73,NaN,-78,NaN,NaN,7
-62,-30,-39,-52,-46,-48,-50,-43,-65,-59,-48,NaN,-66,-64,NaN,NaN,-77,-79,NaN,7
-57,-30,-39,-52,-45,-48,-50,-45,-60,-58,-49,-61,-66,-64,-65,-80,NaN,NaN,-66,7
-61,-30,-40,-52,-44,-49,-50,-44,-66,-58,-49,-72,-68,-65,-65,NaN,-66,NaN,NaN,7
-59,-30,-39,-51,-45,-49,-49,-43,-65,-58,-52,-61,-67,-64,NaN,NaN,NaN,NaN,NaN,7
-57,-30,-39,-51,-45,-46,-49,-44,-65,-59,-49,-62,-72,-63,NaN,-76,NaN,-79,-68,7
-62,-30,-39,-52,-45,-48,-48,-44,-64,-57,-49,NaN,NaN,-63,-65,NaN,-75,NaN,-68,7
-62,-33,NaN,-50,-45,-48,-54,-44,-64,-57,-49,-58,-67,-62,-72,NaN,-76,NaN,NaN,7
-62,-31,-39,-51,-45,-49,-48,-44,-61,-57,-50,-61,-69,NaN,NaN,NaN,NaN,NaN,-69,7
-61,-30,NaN,-51,-46,-49,-47,-43,-66,-58,-49,-60,-68,NaN,-70,NaN,NaN,NaN,NaN,7
-64,-30,-41,-52,-45,-48,-46,-43,NaN,-58,NaN,-60,NaN,NaN,-66,NaN,NaN,NaN,NaN,7
-63,-30,-42,-51,-45,-48,-47,-44,-67,-58,-50,-61,NaN,-63,NaN,NaN,-65,NaN,NaN,7
-62,-30,-40,-52,-45,-49,-46,-43,-66,-58,NaN,-59,NaN,NaN,-74,NaN,-77,NaN,NaN,7
-62,-30,-42,-52,-46,-49,-47,-44,-66,-58,-49,NaN,-64,NaN,-74,NaN,NaN,NaN,NaN,7
-60,-30,-41,-51,-44,-48,-47,-44,-64,-55,-48,NaN,-66,NaN,-65,NaN,NaN,NaN,NaN,7
-60,-33,-40,-52,-45,-48,-48,-45,-65,-59,-50,NaN,NaN,-63,NaN,NaN,NaN,NaN,NaN,7
-61,-30,-41,NaN,-44,-48,-46,-44,-67,-60,-48,-60,NaN,NaN,-67,NaN,-74,NaN,NaN,7
-63,-30,-41,-51,-46,-49,-50,-44,-66,-59,-48,-61,NaN,NaN,-65,NaN,NaN,NaN,-69,7
-59,-34,-42,-42,-42,-52,-38,-53,-71,-58,-58,-51,-70,-64,-65,NaN,-85,NaN,NaN,8
-65,-33,-47,-49,-45,-53,NaN,-43,NaN,-58,NaN,NaN,-72,NaN,NaN,NaN,NaN,NaN,NaN,8
-68,-33,-45,-48,-44,-49,NaN,-43,-65,-58,NaN,-50,NaN,NaN,NaN,-75,-72,NaN,NaN,8
-66,-33,-48,-47,-44,-54,NaN,-43,-66,-58,-56,-49,-71,NaN,-69,NaN,NaN,NaN,-66,8
-60,-32,-44,NaN,-44,-53,-39,-43,NaN,-58,NaN,-50,-64,NaN,-68,NaN,-72,NaN,NaN,8
-60,-33,-43,-48,-44,-53,-40,-44,-65,-59,-56,-51,-64,-69,-69,NaN,NaN,NaN,-70,8
-60,-33,-50,-47,-43,-53,-40,-42,-66,-59,-56,NaN,-65,-70,-70,NaN,NaN,NaN,NaN,8
-57,-33,-43,-47,-42,-48,-40,-43,-71,-58,NaN,-50,-63,NaN,NaN,NaN,NaN,NaN,NaN,8
-59,-33,-47,-47,-42,-54,-40,-43,-69,-59,-56,-50,-65,-70,-69,NaN,NaN,NaN,NaN,8
-57,-33,-48,-48,-44,-54,-39,-44,-70,-59,-72,-50,-71,NaN,-70,NaN,NaN,NaN,NaN,8
-62,-32,-43,-50,-44,-50,-42,-43,-62,-59,-59,-48,-76,-72,-69,-78,-81,NaN,-71,8
-65,-32,-44,-46,-43,-53,-39,-44,-71,-59,-54,-51,-73,NaN,-68,-75,-71,NaN,NaN,8
-57,-32,-44,-46,-44,-56,-42,-47,-66,-59,-63,NaN,NaN,NaN,NaN,-75,NaN,NaN,NaN,8
-61,-33,-44,-47,-44,-50,-41,-80,-66,-57,-69,-49,-70,-69,NaN,NaN,NaN,NaN,NaN,8
-57,-31,-43,-45,-43,-50,-41,-45,-65,-59,-61,-50,-65,NaN,-71,NaN,-65,NaN,NaN,8
-60,-32,-45,-46,-43,-55,-43,-43,-69,-59,-55,-49,-66,NaN,NaN,NaN,-71,NaN,NaN,8
-61,-32,-70,-46,-59,-49,-41,-43,-65,-58,-54,NaN,NaN,NaN,-70,NaN,-65,NaN,NaN,8
-59,-33,NaN,-52,-43,-59,-41,-45,NaN,-56,-67,-50,-68,NaN,-69,NaN,NaN,NaN,-63,8
-58,-32,-44,-48,-41,-53,-40,-43,NaN,-57,-56,-52,-65,NaN,NaN,NaN,NaN,NaN,NaN,8
-56,-33,-46,-47,-43,-50,NaN,-44,-65,-60,-55,-50,-67,-72,-70,NaN,-72,NaN,-65,8
-60,-32,-44,-45,-45,-47,NaN,-43,-63,-59,-56,-67,-73,-72,-77,NaN,NaN,NaN,NaN,8
-60,-33,-49,-47,-43,-51,-40,-47,-63,-60,-55,NaN,NaN,NaN,NaN,NaN,-72,NaN,NaN,8
-57,-32,-48,-46,-42,-52,-39,NaN,-63,-60,-57,NaN,-75,-75,NaN,NaN,NaN,NaN,NaN,8
-62,-33,-47,-47,-44,-53,-40,-45,-65,-60,-53,-48,NaN,-72,-70,NaN,NaN,NaN,NaN,8
-64,-33,-47,NaN,-44,-52,-40,-45,NaN,-59,NaN,-49,-70,NaN,-69,NaN,-70,NaN,NaN,8
-64,-33,-49,NaN,-44,-53,-39,-44,-82,-59,-54,-50,-68,-71,-68,NaN,NaN,NaN,NaN,8
-63,-31,-42,-44,-48,-48,-39,-46,-61,-57,-56,-59,-68,NaN,-66,NaN,-72,NaN,-68,8
-65,-33,-50,-48,-42,-52,-40,-45,-65,-57,-53,-49,-68,-69,NaN,NaN,-77,-85,NaN,8
-64,-33,-48,-45,-43,-53,NaN,-45,-73,-58,-55,-48,-68,NaN,NaN,NaN,-70,NaN,-63,8
-56,-33,-45,NaN,-44,-52,-41,-45,NaN,-58,-66,-48,-67,NaN,NaN,NaN,-73,NaN,NaN,8
-63,-33,-44,-48,-43,-53,NaN,-47,-65,-59,-55,-49,-65,NaN,NaN,NaN,NaN,NaN,-66,8
