04:18:d6:c1:98:24_inonet,06:18:d6:c2:98:24_inonet,4c:5e:0c:71:aa:15_RFKON2014-Mesh,c0:4a:00:0f:03:51_BilTAY Teknoloji,4c:5e:0c:70:52:5a_RFKON2014-Mesh,18:28:61:1c:0b:69_EVOSOFT,e8:37:7a:6c:7f:55_PYR,d4:ca:6d:c9:f1:c5_RFKON2014-Mesh,dc:02:8e:c2:23:52_ILKSEM,4c:5e:0c:6f:20:b2_RFKON2014-Mesh,4c:5e:0c:23:44:33_RFKON2014-Mesh,18:28:61:9e:ab:5c_MMD,d4:ca:6d:bc:1d:73_RFKON2014-Mesh,4c:5e:0c:67:ab:cf_evarobot,e4:8d:8c:20:4d:c1_UPLAT,4c:5e:0c:6f:20:fa_RFKON2014-Mesh,4c:5e:0c:71:a8:bf_RFKON2014-Mesh,00:26:5a:52:0b:8c_RFKON_115,64:66:b3:d0:4a:8d_Cisco_KRD,18:28:61:13:0d:9d_EROGLU,REF_POINT
-58,-70,-41,-55,-43,-58,-68,-64,-68,-57,-78,-73,-75,-83,-80,-69,-80,-86,NaN,-88,2
-57,-70,-42,-65,-43,-58,-66,-64,-68,-69,NaN,-69,-75,NaN,-82,-69,-81,NaN,NaN,NaN,2
-59,-70,-40,-65,-42,-59,-66,-65,-68,-58,NaN,-69,-76,-81,-82,-69,-81,-88,NaN,NaN,2
-58,-70,-41,-65,-43,-58,-65,-65,-68,-59,-76,-72,-75,-81,NaN,-69,-80,-88,-87,NaN,2
-59,-70,-41,-65,-47,-58,-65,-66,-68,-69,-76,-73,-74,-82,NaN,NaN,-81,NaN,-87,NaN,2
-58,-70,-42,-65,-42,-60,-66,-66,-66,-69,NaN,-73,-74,-82,NaN,-70,-81,NaN,NaN,NaN,2
-58,-70,-41,-65,-44,-60,-66,-65,-67,-58,NaN,-73,-74,-81,-79,-69,-82,-88,NaN,NaN,2
-58,-69,-47,-54,-38,-52,-60,-59,-64,NaN,NaN,-68,-72,-78,NaN,-69,-81,-86,NaN,NaN,3
-60,-69,-44,-67,-44,-63,-60,-59,-68,-50,-76,-68,-71,-78,-80,NaN,-82,-85,NaN,NaN,3
-60,-70,-44,-64,-44,-65,-89,-59,-64,-49,-76,NaN,-71,NaN,-80,NaN,-82,-85,NaN,NaN,3
-58,-69,-43,-64,-46,-65,-61,-59,-65,-50,NaN,NaN,NaN,-83,NaN,NaN,NaN,-86,NaN,NaN,3
-59,-69,-44,NaN,-45,-65,-61,-61,-62,-49,NaN,NaN,NaN,-83,NaN,NaN,NaN,-86,NaN,NaN,3
-64,-68,-41,-60,-45,-67,-63,-61,-66,-48,-75,-69,NaN,-81,NaN,NaN,NaN,NaN,NaN,NaN,3
-60,-69,-55,-57,-45,-61,-62,-61,-66,-48,-75,-69,NaN,-81,NaN,NaN,NaN,NaN,NaN,NaN,3
-61,-68,-45,-67,-47,-64,-63,-61,-65,-51,-74,-70,-71,NaN,-78,NaN,-82,NaN,NaN,NaN,3
-58,-69,-42,-67,-45,-63,-62,-60,-62,-46,-75,-70,-73,NaN,-78,-68,-82,NaN,NaN,NaN,3
-63,-68,-43,-67,-45,-60,-63,-60,-65,-46,-76,-70,-73,NaN,NaN,-69,NaN,NaN,-69,NaN,3
-63,-69,-44,-62,-45,-60,-63,-59,-64,-47,-76,NaN,NaN,NaN,-78,-69,NaN,NaN,-69,NaN,3
-61,-70,-44,-64,-45,-63,-63,-59,-64,-47,-75,-70,NaN,-79,-78,-68,-82,-86,-82,NaN,3
-62,-69,-45,-69,-45,-61,-62,-59,-64,-46,-75,-73,NaN,-79,-80,-87,-82,-86,-82,NaN,3
-58,-64,-42,-65,-45,-61,-61,-59,-63,-46,NaN,-73,-71,-80,-80,-87,NaN,NaN,-79,NaN,3
-59,-68,-45,-65,-43,-63,-60,-61,-62,-51,-77,-72,-71,-80,NaN,-69,NaN,NaN,-79,NaN,3
-60,-68,-45,-69,-44,-61,-62,-59,-64,-47,-76,-69,-68,NaN,NaN,-69,NaN,NaN,-82,NaN,3
-58,-70,-55,-65,-44,-62,-62,-59,-68,-46,-76,-70,-70,-82,NaN,-73,NaN,NaN,-82,NaN,3
-46,-70,-45,-68,-44,-62,-61,-59,-68,-46,NaN,-70,-72,-82,NaN,-69,NaN,NaN,NaN,NaN,3
-59,-70,-44,-67,-45,-64,-62,-59,-68,NaN,NaN,NaN,-73,NaN,-81,-69,NaN,NaN,NaN,NaN,3
-60,-70,-44,-67,-43,-63,-62,-59,NaN,NaN,NaN,NaN,-73,NaN,-81,NaN,NaN,NaN,NaN,NaN,3
-59,-70,-43,-68,-41,-61,-60,-60,-65,-47,-75,NaN,-75,-81,NaN,-68,NaN,NaN,NaN,NaN,3
-58,-70,-43,-67,-42,-63,-60,-58,-65,-46,-76,-69,-73,-78,-77,-68,NaN,NaN,-84,NaN,3
-58,-70,-42,-66,-42,-62,-62,-58,-63,-46,-75,-70,-72,-78,-79,-68,-63,-79,-83,NaN,3
-59,-71,-42,-68,-44,-64,-62,-59,-65,-48,-75,-70,-70,-82,-79,-68,-63,-84,-83,NaN,3
-61,-71,-42,-68,-43,-61,-64,-60,-64,-47,-75,-71,-73,-82,-82,-68,NaN,-84,NaN,NaN,3
-57,-71,-42,-62,-43,-63,-63,-58,-64,-47,NaN,-70,-72,-78,-82,-68,-82,-84,NaN,NaN,3
-59,-70,-41,-66,-41,-63,-69,-57,-64,-46,-75,-72,-72,-78,-83,-70,-82,-84,-85,-86,3
-60,-70,-39,-66,-40,-67,-62,-59,-64,-47,-75,-72,-71,-78,-83,-70,-80,-85,-85,-86,3
-59,-72,-41,-67,-41,-65,-62,-59,-64,-46,-75,NaN,-71,NaN,NaN,-70,-81,-85,-84,NaN,3
