04:18:d6:c1:98:24_inonet,4c:5e:0c:71:aa:15_RFKON2014-Mesh,18:28:61:1c:0b:69_EVOSOFT,4c:5e:0c:70:52:5a_RFKON2014-Mesh,4c:5e:0c:6f:20:b2_RFKON2014-Mesh,c0:4a:00:0f:03:51_BilTAY Teknoloji,d4:ca:6d:c9:f1:c5_RFKON2014-Mesh,e8:37:7a:6c:7f:55_PYR,06:18:d6:c2:98:24_inonet,18:28:61:9e:ab:5c_MMD,d4:ca:6d:bc:1d:73_RFKON2014-Mesh,e4:8d:8c:20:4d:c1_UPLAT,4c:5e:0c:69:1c:51_evarobot,dc:02:8e:c2:23:52_ILKSEM,4c:5e:0c:67:ab:cf_evarobot,e8:50:8b:6e:ec:95_Aksins,4c:5e:0c:69:1c:4b_evarobot,4c:5e:0c:6f:20:fa_RFKON2014-Mesh,4c:5e:0c:70:53:6e_evarobot,4c:5e:0c:23:44:33_RFKON2014-Mesh,4c:5e:0c:6f:20:2e_evarobot,4c:5e:0c:71:a8:bf_RFKON2014-Mesh,00:66:4b:1f:08:23_TeknoTAM,18:28:61:58:78:6a_Dlink_DAP-1360,64:66:b3:d0:4a:8d_Cisco_KRD,00:26:5a:52:0b:8c_RFKON_115,18:28:61:13:0d:9d_EROGLU,1c:87:2c:7e:23:9d_EROGLU-PUB,1c:87:2c:7e:23:9c_EROGLU-PRI,66:9a:be:03:d1:e8_iPhone,08:62:66:03:0f:1a_My ASUS,REF_POINT
-51,-29,-38,-39,-53,-60,-59,-53,-60,-65,-70,-70,-72,-72,-77,NaN,NaN,-70,NaN,-73,-74,NaN,-84,NaN,-79,NaN,NaN,NaN,NaN,NaN,NaN,1
-52,-29,-38,-39,-53,-56,-60,-54,-60,-65,-66,-75,NaN,-73,-78,NaN,NaN,-65,NaN,NaN,-75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-52,-30,-38,-38,-53,-60,-61,-52,-61,-66,-66,-76,-72,-73,NaN,NaN,NaN,-66,NaN,-74,NaN,NaN,NaN,NaN,NaN,-84,NaN,-90,NaN,NaN,NaN,1
-51,-29,-38,-39,-52,-60,-59,-55,-60,-65,NaN,NaN,NaN,-72,NaN,NaN,NaN,-66,NaN,-72,NaN,-70,NaN,-88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-51,-29,-38,-39,-53,-56,-60,-53,-60,-66,-70,NaN,-72,-73,-78,NaN,NaN,-66,-71,-76,-79,-69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-52,-29,-38,-39,-54,-60,-60,-53,-60,-65,NaN,-68,-72,-72,-77,NaN,NaN,-65,-71,NaN,NaN,NaN,NaN,-86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-51,-29,-38,-39,-53,NaN,-60,-53,-60,NaN,-66,-73,-73,-73,-58,NaN,-75,NaN,NaN,-75,-56,-69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-51,-29,-39,-39,-55,-55,-59,-53,-60,-64,-67,-75,NaN,-72,NaN,NaN,NaN,-67,-71,-74,-57,-69,NaN,NaN,NaN,-87,NaN,NaN,NaN,NaN,NaN,1
-51,-29,-38,-40,-53,-60,-60,-53,-56,-65,-67,-75,NaN,-72,NaN,NaN,-75,-65,NaN,NaN,NaN,NaN,-86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-53,-30,-38,-39,-53,-60,-60,-48,-60,-65,NaN,NaN,NaN,-71,NaN,NaN,NaN,NaN,-70,-74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
