04:18:d6:c1:98:24_inonet,4c:5e:0c:71:aa:15_RFKON2014-Mesh,18:28:61:1c:0b:69_EVOSOFT,4c:5e:0c:70:52:5a_RFKON2014-Mesh,4c:5e:0c:6f:20:b2_RFKON2014-Mesh,c0:4a:00:0f:03:51_BilTAY Teknoloji,d4:ca:6d:c9:f1:c5_RFKON2014-Mesh,e8:37:7a:6c:7f:55_PYR,06:18:d6:c2:98:24_inonet,18:28:61:9e:ab:5c_MMD,d4:ca:6d:bc:1d:73_RFKON2014-Mesh,e4:8d:8c:20:4d:c1_UPLAT,4c:5e:0c:69:1c:51_evarobot,dc:02:8e:c2:23:52_ILKSEM,4c:5e:0c:67:ab:cf_evarobot,e8:50:8b:6e:ec:95_Aksins,4c:5e:0c:69:1c:4b_evarobot,4c:5e:0c:6f:20:fa_RFKON2014-Mesh,4c:5e:0c:70:53:6e_evarobot,4c:5e:0c:23:44:33_RFKON2014-Mesh,4c:5e:0c:6f:20:2e_evarobot,4c:5e:0c:71:a8:bf_RFKON2014-Mesh,00:66:4b:1f:08:23_TeknoTAM,18:28:61:58:78:6a_Dlink_DAP-1360,64:66:b3:d0:4a:8d_Cisco_KRD,00:26:5a:52:0b:8c_RFKON_115,18:28:61:13:0d:9d_EROGLU,1c:87:2c:7e:23:9d_EROGLU-PUB,1c:87:2c:7e:23:9c_EROGLU-PRI,66:9a:be:03:d1:e8_iPhone,08:62:66:03:0f:1a_My ASUS,REF_POINT
-48,-27,-46,-45,-52,-59,-59,-51,-68,-61,-60,-73,NaN,-65,NaN,-88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11
-56,-42,-44,-33,-49,-52,-53,-59,-68,-70,-71,-67,NaN,-67,-81,-79,NaN,-61,NaN,-81,NaN,-76,NaN,NaN,NaN,NaN,NaN,-88,NaN,NaN,NaN,12
-58,-44,-45,-30,-47,-51,-51,-57,-71,-71,NaN,NaN,NaN,-70,-74,-80,NaN,-77,NaN,-76,NaN,-74,-83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12
-58,-45,-43,-30,-48,-51,-52,-59,-70,NaN,-70,-77,NaN,-66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-75,NaN,NaN,-79,NaN,NaN,NaN,NaN,NaN,NaN,12
-50,-45,-45,-31,-48,-51,-54,-57,-63,NaN,-72,-75,NaN,-70,-72,-82,NaN,-68,NaN,NaN,NaN,-74,NaN,NaN,-84,-86,NaN,NaN,NaN,NaN,NaN,12
-62,-41,-45,-30,-49,-50,-53,-59,-68,NaN,-73,NaN,NaN,-65,-76,-83,NaN,-68,NaN,-79,NaN,-75,NaN,NaN,NaN,-85,NaN,NaN,NaN,NaN,NaN,12
-59,-41,-45,-30,-49,-45,NaN,-58,-69,-70,NaN,NaN,NaN,-72,NaN,-81,NaN,-75,NaN,NaN,NaN,-76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12
-57,-43,-43,-30,-46,-51,-53,-58,-73,NaN,-73,-78,NaN,-69,NaN,-85,NaN,-64,NaN,NaN,NaN,-74,NaN,NaN,-84,NaN,NaN,NaN,NaN,NaN,NaN,12
-60,-42,-44,-30,-49,-50,-51,NaN,-72,-84,-73,NaN,NaN,-65,NaN,-81,NaN,NaN,NaN,-72,NaN,NaN,NaN,NaN,NaN,NaN,-80,NaN,NaN,NaN,NaN,12
-60,-40,-45,-30,-44,-50,-52,-60,-71,-71,-72,NaN,NaN,-67,-75,-81,NaN,-68,NaN,-74,NaN,-74,-85,NaN,NaN,NaN,-78,NaN,NaN,NaN,NaN,12
-58,-40,-46,-30,-48,-49,-53,-59,-71,NaN,-70,-77,NaN,-68,-75,NaN,NaN,-68,NaN,NaN,NaN,-74,NaN,NaN,-84,-68,NaN,NaN,NaN,NaN,NaN,12
-61,-41,-45,-31,-48,-50,-53,-59,-69,-71,-73,-85,NaN,-68,-74,-81,NaN,-67,NaN,NaN,NaN,-76,-84,NaN,NaN,NaN,-77,NaN,NaN,NaN,NaN,12
-56,-39,-46,-30,-48,-50,-53,-58,-70,-65,-73,NaN,NaN,-70,-76,-80,NaN,-68,NaN,-81,NaN,-72,NaN,NaN,-84,NaN,-77,NaN,NaN,NaN,NaN,12
-58,-41,-45,-33,-48,-50,-52,-57,-69,-70,-70,NaN,NaN,-68,NaN,NaN,NaN,-68,NaN,-80,NaN,-74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12
-58,-40,-45,-30,-46,-50,-52,-58,-70,NaN,-71,NaN,NaN,-69,NaN,-80,NaN,-66,NaN,-78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12
-60,-43,-46,-30,-47,-51,-55,-60,-70,-68,-70,-79,NaN,-69,-76,NaN,NaN,NaN,NaN,-73,NaN,NaN,NaN,NaN,-84,-85,NaN,NaN,NaN,NaN,NaN,12
-58,-42,-46,-30,NaN,-51,-52,-58,-69,-72,-71,NaN,NaN,-66,-76,-80,NaN,-66,NaN,NaN,NaN,-72,-83,NaN,-86,-88,NaN,NaN,NaN,NaN,NaN,12
-55,-42,-46,-31,-51,-51,-53,-56,-69,-69,-71,NaN,NaN,-68,-76,-82,NaN,NaN,NaN,-74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12
-55,-41,-46,-30,NaN,-51,-51,-57,-72,-71,-72,NaN,NaN,-68,-78,-81,NaN,-67,NaN,-74,NaN,-74,-82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12
-58,-42,-44,-31,-50,-51,-54,-57,-70,NaN,-72,-78,NaN,-68,NaN,-81,NaN,-67,NaN,NaN,NaN,-77,-83,NaN,-83,NaN,NaN,NaN,NaN,NaN,NaN,12
-54,-41,-46,-31,-49,-52,-53,-57,-70,NaN,NaN,NaN,NaN,-68,NaN,NaN,NaN,NaN,NaN,-73,NaN,-76,NaN,-88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12
-55,-41,-46,-31,-50,-52,-52,-56,-70,-71,-70,NaN,NaN,-68,-73,NaN,NaN,NaN,NaN,NaN,NaN,-74,-81,NaN,NaN,-87,NaN,NaN,NaN,NaN,NaN,12
-57,-41,-46,-30,-49,-52,-55,-58,-71,NaN,-71,NaN,NaN,-67,-75,NaN,NaN,-67,NaN,-75,NaN,NaN,NaN,NaN,-83,NaN,NaN,NaN,NaN,NaN,NaN,12
-57,-41,-47,-31,-48,-52,-53,-58,-70,NaN,NaN,-81,NaN,-67,-77,-85,NaN,-75,NaN,-74,NaN,-74,NaN,NaN,-82,NaN,NaN,NaN,NaN,NaN,NaN,12
-59,-42,-46,-30,-49,-51,-52,-58,-71,-64,-73,NaN,NaN,-67,NaN,-83,NaN,-67,NaN,NaN,NaN,-75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12
-59,NaN,-46,-31,-48,-51,-53,-58,-71,-73,NaN,-80,NaN,NaN,NaN,-85,NaN,-67,NaN,-69,NaN,-73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12
-61,-42,-45,-30,-49,-51,-52,-57,-70,-71,-70,NaN,NaN,-67,-75,-82,NaN,-67,NaN,-76,NaN,NaN,NaN,NaN,NaN,NaN,-79,NaN,NaN,NaN,NaN,12
-57,-42,-46,-30,-48,-51,-53,-57,-70,-69,-74,-80,NaN,-67,-69,-79,NaN,-67,NaN,-74,NaN,-75,-85,NaN,-83,-84,-78,NaN,NaN,NaN,NaN,12
-57,-42,-46,-31,-48,-51,-52,-57,-70,-87,-73,NaN,NaN,-67,-76,-80,NaN,-67,NaN,-73,NaN,-75,-86,NaN,NaN,-85,NaN,NaN,NaN,NaN,NaN,12
-57,-41,-44,-33,-48,-51,-53,-57,-70,-69,NaN,-79,NaN,NaN,-76,-82,NaN,-75,NaN,NaN,NaN,-74,-84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12
-57,-41,-46,-30,-48,-51,-52,-57,-70,-71,-72,-79,NaN,-67,-75,NaN,NaN,-67,NaN,-77,NaN,NaN,-83,NaN,-83,NaN,NaN,NaN,NaN,NaN,NaN,12
-57,-41,-48,-31,-49,-51,-53,-59,-71,NaN,NaN,NaN,NaN,NaN,-75,-82,NaN,-67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12
-57,-41,-46,-30,-49,-52,-52,-59,-70,-71,-73,-80,NaN,-64,NaN,-80,NaN,-75,NaN,-77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12
-57,-42,-47,-30,-49,-51,-52,-58,-71,-71,-75,-78,NaN,-67,-77,-85,NaN,-68,NaN,NaN,NaN,NaN,-83,NaN,NaN,-83,NaN,NaN,NaN,NaN,NaN,12
-59,-42,-46,-31,-48,-51,-52,-57,-70,-70,-74,NaN,NaN,-68,-77,-82,NaN,-67,NaN,NaN,NaN,-73,-83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12
-59,-41,-46,-30,-48,-51,-52,-58,-71,-69,-73,-80,NaN,-67,-68,-81,NaN,-75,NaN,NaN,NaN,NaN,-85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12
-58,-41,-46,-30,NaN,-51,-53,-58,-71,-70,NaN,-79,NaN,-68,NaN,-79,NaN,-68,NaN,NaN,NaN,-74,-86,NaN,NaN,NaN,-79,NaN,NaN,NaN,NaN,12
-58,-40,-46,-31,-48,-51,NaN,-56,-71,-70,-74,NaN,NaN,-66,NaN,-80,NaN,-67,NaN,-73,NaN,NaN,NaN,-90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12
-57,-41,-46,-31,-48,-51,-52,-58,-71,-70,NaN,NaN,NaN,-66,NaN,-76,NaN,-68,NaN,-74,NaN,NaN,-87,NaN,NaN,NaN,-79,NaN,NaN,NaN,NaN,12
-59,-40,-46,-30,-49,-51,-52,-57,-71,-70,-75,NaN,NaN,-66,NaN,-82,NaN,NaN,NaN,-73,NaN,-75,-88,NaN,NaN,NaN,-78,NaN,NaN,NaN,NaN,12
-50,-40,-44,-30,-48,-51,-53,-58,-72,-71,-75,NaN,NaN,-67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12
-58,-41,-46,-31,-49,-51,-52,-58,-62,-71,-75,-81,NaN,-67,NaN,-83,NaN,-67,NaN,NaN,NaN,-74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12
-57,-41,-46,-30,-48,-51,-52,-57,-71,-67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12
-58,-44,-44,-30,-49,-51,-52,-81,-72,-71,-75,-78,NaN,-68,-76,NaN,NaN,-67,NaN,-73,NaN,-75,NaN,-87,NaN,NaN,-85,NaN,NaN,NaN,NaN,12
-57,-41,-46,-30,-49,-52,-52,-59,-71,-70,-75,-79,NaN,-65,-65,NaN,NaN,-67,NaN,NaN,NaN,-75,-83,NaN,-83,-66,NaN,NaN,NaN,NaN,NaN,12
-57,-42,-45,-30,-50,-51,-52,-57,-71,-81,-74,-81,NaN,-66,-76,-84,NaN,-65,NaN,-77,NaN,-76,-82,NaN,-70,-70,-80,NaN,NaN,NaN,NaN,12
-58,-40,-47,-30,-49,-51,-53,-57,-72,-70,-75,NaN,NaN,-66,-76,-84,NaN,-67,NaN,NaN,NaN,-75,NaN,NaN,-83,NaN,-82,NaN,NaN,NaN,NaN,12
-57,-41,-44,-30,-49,-51,-53,-58,-72,-70,NaN,-78,NaN,-68,-75,NaN,NaN,-68,NaN,NaN,NaN,-75,-83,NaN,-83,NaN,-79,NaN,NaN,NaN,NaN,12
-60,-41,-46,-30,-48,-51,-52,-57,-71,NaN,-75,-80,NaN,-68,-75,-81,NaN,-68,NaN,NaN,NaN,-77,-86,NaN,-82,NaN,NaN,NaN,NaN,NaN,NaN,12
-60,-41,-47,-31,-49,-48,-53,-57,-72,NaN,-74,-79,NaN,-67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-87,NaN,NaN,NaN,NaN,NaN,12
-58,-41,-46,-31,-50,-52,-52,-56,-64,NaN,NaN,NaN,NaN,-68,NaN,NaN,NaN,-69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12
-59,-41,-46,-30,-49,-51,-53,-57,-72,-70,NaN,NaN,NaN,-68,-75,-81,NaN,-68,NaN,-80,NaN,-74,-83,NaN,NaN,-87,NaN,NaN,NaN,NaN,NaN,12
-57,-41,-44,-30,-49,-51,-53,-57,-72,-70,-74,-77,NaN,-67,-76,-81,NaN,-69,NaN,-73,NaN,NaN,-82,NaN,-84,NaN,NaN,NaN,NaN,NaN,NaN,12
-60,-41,-44,-30,NaN,-51,-52,-57,-71,-70,-74,NaN,NaN,-67,NaN,-82,NaN,-68,NaN,NaN,NaN,-75,NaN,NaN,NaN,-88,NaN,NaN,NaN,NaN,NaN,12
-58,-41,-44,-30,-48,-50,-52,-57,-70,-69,-75,NaN,NaN,-69,NaN,-83,NaN,-67,NaN,NaN,NaN,NaN,NaN,-86,NaN,-69,-77,NaN,NaN,NaN,NaN,12
-59,-40,-46,-30,-49,-51,NaN,-58,-63,NaN,-73,NaN,NaN,NaN,-76,-85,NaN,NaN,NaN,NaN,NaN,-76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12
-57,-40,-46,-30,-49,-52,-53,-59,-67,NaN,-74,NaN,NaN,-67,NaN,-88,NaN,-66,NaN,-74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12
-58,-41,-44,-30,-47,-52,-53,-57,-70,-69,-73,NaN,NaN,-66,-75,-81,NaN,-67,NaN,-74,NaN,NaN,-84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12
-57,-41,-46,-33,-48,-51,-54,-56,-69,-68,-73,NaN,NaN,-69,NaN,-84,NaN,-67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-84,NaN,NaN,NaN,NaN,NaN,12
-57,-42,-46,-31,-48,-51,-54,-59,-69,NaN,-74,NaN,NaN,-66,-75,NaN,NaN,-67,NaN,-73,NaN,-75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12
-57,NaN,-44,-31,-48,-51,-53,-55,-70,-68,NaN,NaN,NaN,-66,NaN,NaN,NaN,-67,NaN,-73,NaN,NaN,NaN,NaN,-83,-88,NaN,NaN,NaN,NaN,NaN,12
-59,-41,-46,-31,-49,-51,-53,-56,-62,NaN,-74,-78,NaN,-66,NaN,NaN,NaN,-65,NaN,NaN,NaN,-75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12
-58,-41,-44,-31,-48,-51,-52,-55,-70,-68,-73,-75,NaN,-67,-68,-83,NaN,-68,NaN,-77,NaN,-74,-85,NaN,-84,NaN,NaN,NaN,NaN,NaN,NaN,12
-59,-41,-46,-30,-47,-52,-52,-59,-72,-68,-74,-77,NaN,-66,-77,-81,NaN,-66,NaN,-82,NaN,NaN,-81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12
-58,-42,-46,-30,-49,-51,-53,-55,-71,NaN,-73,NaN,NaN,-66,-75,-82,NaN,-67,NaN,-75,NaN,-74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12
-58,-40,-44,-31,-48,-50,-52,-56,-72,-69,NaN,-78,NaN,-66,NaN,-81,NaN,-67,NaN,NaN,NaN,-74,NaN,NaN,-83,NaN,-79,NaN,NaN,NaN,NaN,12
-59,-89,-46,-30,-48,-51,-52,-56,-70,NaN,NaN,NaN,NaN,-66,NaN,-83,NaN,-66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12
-58,-41,-46,-30,-47,-51,-52,NaN,-71,NaN,-73,NaN,NaN,-65,NaN,NaN,NaN,-76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12
-59,-41,-46,-31,-47,-52,-52,-62,-65,NaN,-71,NaN,NaN,-66,-76,NaN,NaN,-68,NaN,-76,NaN,-73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12
-60,-41,-46,-30,-46,-51,-53,-62,-70,-70,-73,NaN,NaN,-68,-76,-83,NaN,-68,NaN,NaN,NaN,NaN,NaN,-86,-83,-69,NaN,NaN,NaN,NaN,NaN,12
-59,-41,-44,-30,-49,-51,-52,-56,-70,NaN,-72,NaN,NaN,-65,NaN,-80,NaN,-76,NaN,-77,NaN,-75,-85,NaN,NaN,-83,NaN,NaN,NaN,NaN,NaN,12
-60,-41,-44,-30,-49,-51,-53,-56,-70,-67,NaN,NaN,NaN,-64,NaN,-83,NaN,-68,NaN,NaN,NaN,-75,NaN,NaN,NaN,-84,NaN,NaN,NaN,NaN,NaN,12
-58,-41,-44,-30,-48,-51,-52,-56,-70,-68,NaN,NaN,NaN,-65,NaN,-82,NaN,NaN,NaN,NaN,NaN,-75,-85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12
-59,-41,-44,-30,-48,-51,-53,-56,-72,NaN,-73,-79,NaN,-64,NaN,-79,NaN,-67,NaN,-78,NaN,NaN,-84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12
-58,-40,-46,-33,-48,-51,-53,-57,-73,NaN,-75,-81,NaN,-71,NaN,-82,NaN,-68,NaN,NaN,NaN,-76,NaN,NaN,NaN,-68,NaN,NaN,NaN,NaN,NaN,12
-59,-42,-46,-30,-48,-51,-53,-57,-71,-67,-72,NaN,NaN,-65,-70,NaN,NaN,NaN,NaN,-76,NaN,-78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12
-56,-41,-43,-31,-48,-51,-54,-57,-71,NaN,-72,NaN,NaN,-65,NaN,NaN,NaN,-66,NaN,NaN,NaN,-76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12
-58,-42,-46,-30,-48,-52,-53,-63,-72,NaN,-73,NaN,NaN,-67,NaN,-83,NaN,-67,NaN,NaN,NaN,-75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12
-58,-40,-46,-30,-48,-52,-53,-57,-71,NaN,-74,-79,NaN,-68,-77,-82,NaN,-68,NaN,-74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12
-63,-41,-44,-33,-47,-52,-53,-57,-71,-68,-72,-77,NaN,-68,-75,-82,NaN,-67,NaN,NaN,NaN,NaN,-84,NaN,NaN,-87,NaN,NaN,NaN,NaN,NaN,12
-59,-41,-44,-31,-48,-51,-54,-56,-72,NaN,-71,NaN,NaN,NaN,-77,NaN,NaN,-67,NaN,-78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12
-49,-35,-45,-36,-62,-46,-54,-56,-68,-67,-66,-79,NaN,-68,-75,-87,NaN,NaN,NaN,-77,NaN,-79,-84,NaN,-82,-77,NaN,NaN,NaN,NaN,NaN,13
-52,-32,-45,-30,-55,-51,-59,-55,-67,NaN,-61,-54,NaN,-70,-66,-79,NaN,-67,NaN,-71,NaN,-79,NaN,NaN,-80,NaN,NaN,NaN,NaN,NaN,NaN,13
-52,-32,-43,-31,-51,-52,-56,-55,-67,-69,-62,-70,NaN,NaN,-69,-84,NaN,-68,NaN,-71,NaN,NaN,NaN,NaN,NaN,-83,NaN,NaN,NaN,NaN,NaN,13
-52,-72,-45,NaN,-51,-52,-58,-55,-68,-68,-63,-73,NaN,-72,NaN,-86,NaN,-67,NaN,-71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13
-52,-32,-44,-30,-52,-52,-58,-56,-67,-67,-63,-72,NaN,-71,-66,-85,NaN,-67,NaN,-72,NaN,NaN,-86,NaN,NaN,-83,-85,NaN,NaN,NaN,NaN,13
-52,-32,-44,-31,-51,-52,-57,-55,-66,-68,-63,-74,NaN,-71,-73,NaN,NaN,-67,NaN,-71,NaN,-78,-85,-86,NaN,-83,NaN,NaN,NaN,NaN,NaN,13
-52,-32,-46,-31,-52,-52,-58,-60,-66,-69,-63,NaN,NaN,-71,-73,-85,NaN,-66,NaN,-72,NaN,-77,-83,-87,NaN,-82,-87,NaN,NaN,NaN,NaN,13
-52,-32,-45,-31,-50,-52,-57,-56,-67,-70,-63,-73,NaN,-70,NaN,-87,NaN,-67,NaN,-75,NaN,-78,-73,NaN,-79,NaN,-87,NaN,NaN,NaN,NaN,13
-48,-32,-45,-31,-51,-52,-58,-60,-67,-69,-63,-73,NaN,-72,NaN,NaN,NaN,-67,NaN,NaN,NaN,-79,NaN,NaN,NaN,-78,NaN,NaN,NaN,NaN,NaN,13
-52,-32,-45,-31,-49,-52,-57,-55,-68,NaN,-63,NaN,NaN,-71,NaN,NaN,NaN,NaN,NaN,-74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13
-52,-32,-43,-31,-51,-53,-59,-58,-67,NaN,-63,NaN,NaN,-69,NaN,-86,NaN,-67,NaN,-71,NaN,NaN,NaN,NaN,NaN,-83,NaN,NaN,NaN,NaN,NaN,13
-53,-32,-43,-31,-51,-52,-58,-58,-68,-68,-62,NaN,NaN,-68,-66,-87,NaN,-67,NaN,NaN,NaN,-79,-84,NaN,-67,-67,NaN,NaN,NaN,NaN,NaN,13
-53,-32,-44,-32,-50,-53,-59,-74,-67,-72,-63,NaN,NaN,-68,-74,-87,NaN,-67,NaN,-70,NaN,NaN,-84,NaN,NaN,-82,NaN,NaN,NaN,NaN,NaN,13
-53,-32,-43,-32,NaN,-53,-58,-56,-68,-69,-62,NaN,NaN,-69,NaN,-85,NaN,-68,NaN,NaN,NaN,-78,NaN,-86,NaN,-83,NaN,NaN,NaN,NaN,NaN,13
-53,-31,-45,-32,NaN,-52,-59,-58,-67,-68,-62,NaN,NaN,NaN,-73,-84,NaN,-68,NaN,-70,NaN,-80,NaN,NaN,-79,NaN,NaN,NaN,NaN,NaN,NaN,13
-53,-32,-46,NaN,-52,-53,-58,-55,-67,-69,-62,NaN,NaN,-68,NaN,-85,NaN,-67,NaN,-70,NaN,-81,-84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13
-53,-32,-43,-32,-51,-53,-58,-59,-68,NaN,-63,NaN,NaN,-69,NaN,-82,NaN,-67,NaN,-70,NaN,NaN,NaN,NaN,NaN,-78,NaN,NaN,NaN,NaN,NaN,13
-53,-31,-45,-32,-52,-53,-56,-58,-67,-69,NaN,-74,NaN,-68,NaN,-86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13
-53,-31,-45,NaN,-51,-55,-58,-55,-68,NaN,-61,NaN,NaN,-70,NaN,NaN,NaN,-68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13
-53,-31,-45,-31,-51,-53,-59,-59,-68,NaN,-61,-73,NaN,-67,NaN,NaN,NaN,-67,NaN,-71,NaN,-78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13
-53,-31,-45,-31,-51,-52,-57,-55,-68,-73,-62,-74,NaN,-69,NaN,-84,NaN,-67,NaN,-71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13
-52,-32,-45,-31,-51,-51,-57,-54,-68,-68,-66,NaN,NaN,-68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-78,NaN,NaN,NaN,NaN,NaN,13
-56,-31,-43,-31,-51,-53,-58,-53,-68,-70,-62,-76,NaN,-67,-71,NaN,NaN,-67,NaN,-72,NaN,-78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13
-52,-32,-45,-29,-51,-50,-58,-55,-68,-68,-60,-74,NaN,-69,-72,NaN,NaN,-67,NaN,-71,NaN,-79,NaN,NaN,NaN,-81,NaN,NaN,NaN,NaN,NaN,13
-52,-31,-43,-31,-52,-53,-58,-55,-68,-68,-62,-74,NaN,-69,NaN,NaN,NaN,-67,NaN,-71,NaN,NaN,-89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13
-53,-31,-45,-31,-52,-52,-58,-61,-69,-67,-62,NaN,NaN,-68,NaN,NaN,NaN,NaN,NaN,-72,NaN,-76,-84,NaN,NaN,-63,NaN,NaN,NaN,NaN,NaN,13
-53,-32,-46,-29,-54,-53,-57,-57,-69,NaN,NaN,NaN,NaN,-67,-72,NaN,NaN,NaN,NaN,-71,NaN,-78,NaN,-87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13
-55,-32,-46,NaN,-52,-53,-59,NaN,-68,NaN,-61,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13
-53,-31,-45,-29,-52,-52,-56,-57,-68,NaN,-60,NaN,NaN,-69,NaN,NaN,NaN,NaN,NaN,-67,NaN,NaN,NaN,NaN,-79,NaN,NaN,NaN,NaN,NaN,NaN,13
-51,-32,-48,-31,-52,-53,-60,-55,-68,-74,-63,-74,NaN,-68,-73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-84,-87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13
-50,-31,-48,-31,-52,-52,-57,-57,-68,-67,-62,-74,NaN,-70,-72,NaN,NaN,NaN,NaN,-70,NaN,-77,-83,NaN,-79,NaN,NaN,NaN,NaN,NaN,NaN,13
-51,-31,-48,-31,NaN,-52,-57,-57,-68,-68,-61,NaN,NaN,-69,NaN,NaN,NaN,-67,NaN,NaN,NaN,-77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13
-52,-32,-44,-31,-52,-53,-58,-59,-68,-71,-63,NaN,NaN,-69,-71,NaN,NaN,-67,NaN,-73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13
-53,-31,-43,NaN,-53,-52,NaN,-58,-68,-67,-61,-74,NaN,-69,-71,NaN,NaN,-67,NaN,-71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13
-52,-32,-43,NaN,-51,-53,-59,-55,-68,-68,-61,NaN,NaN,-69,-71,NaN,NaN,-67,NaN,-70,NaN,-79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13
-55,-31,-43,-35,-54,-53,NaN,-55,-68,-68,-61,-72,NaN,-69,-72,NaN,NaN,-68,NaN,NaN,NaN,-79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13
-48,-32,-47,-31,-53,-52,-57,-56,-69,-69,-62,NaN,NaN,NaN,-70,NaN,NaN,NaN,NaN,-71,NaN,NaN,-83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13
-56,-32,-45,-31,-52,-52,-58,-56,-68,-68,-60,NaN,NaN,-67,NaN,-86,NaN,-68,NaN,-74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13
-49,-31,-46,-31,-52,-53,-58,-55,-68,-68,-62,NaN,NaN,-67,-73,NaN,NaN,NaN,NaN,-76,NaN,-80,NaN,NaN,-73,NaN,NaN,NaN,NaN,NaN,NaN,13
