06:18:d6:c2:98:24_inonet,4c:5e:0c:71:aa:15_RFKON2014-Mesh,18:28:61:1c:0b:69_EVOSOFT,e8:37:7a:6c:7f:55_PYR,18:28:61:9e:ab:5c_MMD,c0:4a:00:0f:03:51_BilTAY Teknoloji,4c:5e:0c:70:52:5a_RFKON2014-Mesh,4c:5e:0c:6f:20:b2_RFKON2014-Mesh,00:26:5a:52:0b:8c_RFKON_115,04:18:d6:c1:98:24_inonet,4c:5e:0c:6f:20:fa_RFKON2014-Mesh,c8:d7:19:bc:98:31_,d4:ca:6d:c9:f1:c5_RFKON2014-Mesh,d4:ca:6d:bc:1d:73_RFKON2014-Mesh,dc:02:8e:c2:23:52_ILKSEM,e4:8d:8c:20:4d:c1_UPLAT,4c:5e:0c:23:44:33_RFKON2014-Mesh,64:66:b3:d0:4a:8d_Cisco_KRD,4c:5e:0c:71:a8:bf_RFKON2014-Mesh,REF_POINT
-62,-33,-55,-49,-58,-51,-35,-43,-80,-48,NaN,-70,-56,-63,-79,-73,NaN,NaN,-68,2
-62,-32,-54,-50,NaN,-51,-35,-44,-83,-50,-61,-69,-56,-64,NaN,NaN,NaN,NaN,-68,2
-62,-33,-54,-49,-56,-51,-36,-43,-81,-50,-62,NaN,-55,-62,-69,-75,-71,NaN,NaN,2
-62,-36,-55,-49,-57,-51,-36,-43,NaN,-51,-62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
-62,-33,-53,-49,-58,-52,-35,-43,NaN,-49,NaN,NaN,NaN,-62,NaN,NaN,NaN,NaN,-68,2
-62,-34,-56,-49,NaN,-51,-70,-43,-83,-51,NaN,NaN,NaN,-62,-69,NaN,NaN,NaN,NaN,2
-62,-33,-56,-49,-58,-51,-35,-43,NaN,-49,NaN,NaN,-55,NaN,-69,NaN,NaN,NaN,NaN,2
-61,-32,-56,-49,-57,-51,-36,-40,NaN,-50,NaN,-71,-55,NaN,-83,-75,-70,NaN,NaN,2
-62,-30,-56,-48,-57,-51,-36,NaN,-83,-49,NaN,-70,-55,NaN,NaN,NaN,NaN,NaN,NaN,2
-62,-33,-55,-49,NaN,-51,-35,-43,NaN,NaN,NaN,-70,-54,-62,-83,NaN,NaN,NaN,NaN,2
-62,-32,-56,-49,-57,-44,-36,-46,NaN,-48,NaN,-69,NaN,-63,-76,NaN,NaN,NaN,-68,2
-62,-32,-55,-49,NaN,-51,-36,-42,NaN,-51,NaN,-70,NaN,NaN,-76,-73,NaN,NaN,NaN,2
-62,NaN,-53,-49,NaN,-51,-35,-42,NaN,-52,NaN,NaN,-56,NaN,-68,-72,NaN,NaN,NaN,2
-62,-32,-55,-49,-57,-51,-36,-46,NaN,-49,NaN,-71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
-62,-32,-56,-50,-58,-53,-36,-43,NaN,-50,-58,NaN,NaN,-63,NaN,NaN,-69,NaN,NaN,2
-62,-33,-56,-52,-57,-51,-36,-43,NaN,-49,NaN,-69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
-62,-32,-56,-49,-58,-51,-35,-46,NaN,-50,NaN,-71,-55,-63,-72,NaN,NaN,NaN,NaN,2
-62,-32,-56,-49,-57,-51,-35,-42,NaN,-50,NaN,-70,NaN,-63,NaN,NaN,NaN,NaN,NaN,2
-61,-33,-57,-49,-56,-51,NaN,-43,NaN,-49,NaN,NaN,NaN,-63,NaN,NaN,NaN,NaN,NaN,2
-61,-33,-56,-50,-57,-51,-35,-42,NaN,-50,-61,NaN,-60,-65,-68,NaN,NaN,NaN,NaN,2
-62,-33,-56,-49,-58,-51,-35,-42,NaN,-49,-61,-69,-56,NaN,-69,NaN,NaN,NaN,NaN,2
-62,-31,-56,-50,NaN,-51,-35,-44,NaN,-51,NaN,NaN,-55,NaN,NaN,NaN,NaN,NaN,NaN,2
-61,-33,-56,-51,-57,NaN,NaN,NaN,NaN,-49,-61,NaN,-55,-64,NaN,NaN,NaN,NaN,-68,2
-62,-32,-56,-49,-57,-51,-36,-43,NaN,-49,-62,NaN,-54,NaN,NaN,NaN,NaN,NaN,NaN,2
-61,-32,-55,-49,-57,-50,-35,NaN,NaN,-50,-61,NaN,-54,NaN,NaN,NaN,NaN,NaN,NaN,2
-61,-33,-55,-51,-58,-51,-73,-43,NaN,-48,-61,-71,-55,NaN,-74,-73,NaN,NaN,-69,2
-62,-35,-56,-49,NaN,-51,-70,-43,-85,-50,NaN,-69,-55,NaN,-68,-74,NaN,NaN,NaN,2
-61,-32,-56,-49,-59,-51,-35,-43,NaN,-50,-62,-69,-56,-63,NaN,-72,-70,NaN,-68,2
-61,-32,-55,-49,-50,-52,-35,-42,-85,-50,-61,-56,-55,NaN,-73,-76,NaN,NaN,-67,2
-61,-32,-55,-49,-57,-52,-36,-42,NaN,NaN,-68,NaN,-55,-63,NaN,NaN,NaN,-84,NaN,2
-61,-32,-56,-53,NaN,-50,-36,-42,-74,-50,NaN,NaN,-54,-63,NaN,NaN,NaN,NaN,-68,2
-62,-34,-57,-76,-56,-52,-36,-42,NaN,-48,NaN,-69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
-61,-33,-56,-49,-56,-52,-36,-42,-83,-48,NaN,-70,-56,NaN,-71,NaN,NaN,NaN,NaN,2
-62,-33,-56,-53,-66,NaN,-36,-41,NaN,-52,NaN,-70,-54,NaN,NaN,NaN,NaN,NaN,NaN,2
-61,-33,-56,-49,-57,-52,-36,-42,-85,-49,NaN,-70,-54,NaN,NaN,-75,NaN,NaN,NaN,2
-62,-33,-56,-49,NaN,-53,-36,NaN,NaN,-49,-61,-71,NaN,-65,NaN,NaN,-73,NaN,NaN,2
-62,-33,-55,-52,-55,-52,-36,-42,NaN,-50,-61,NaN,-53,NaN,NaN,-75,NaN,NaN,NaN,2
-62,-33,-56,-49,NaN,-53,-40,-42,NaN,-49,NaN,NaN,NaN,-62,-73,-74,NaN,NaN,NaN,2
-62,-33,-56,-49,NaN,-53,NaN,-42,NaN,-50,-62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
-62,-33,-54,-51,NaN,-52,-36,-43,NaN,NaN,-62,NaN,-56,-63,-73,NaN,-73,NaN,NaN,2
-62,-33,-56,-49,NaN,NaN,NaN,-43,NaN,-52,-62,NaN,-56,-62,-71,NaN,NaN,NaN,NaN,2
-62,-36,-55,-49,-57,-52,NaN,-43,NaN,-52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-69,2
-61,-33,-56,-49,-57,-52,-35,-42,NaN,-50,-61,NaN,-55,NaN,NaN,NaN,NaN,NaN,-69,2
-61,-33,-56,-47,-57,-52,-75,-42,NaN,-51,-62,NaN,-56,-65,NaN,NaN,NaN,-83,NaN,2
-61,-33,-54,-50,-57,-52,-35,-43,-83,-51,NaN,-72,-55,NaN,-69,NaN,NaN,NaN,-69,2
-62,-32,-57,-52,NaN,-51,-35,-42,-82,-49,-61,-69,NaN,-63,NaN,NaN,NaN,NaN,NaN,2
-62,-33,-54,-49,-56,-53,-35,-42,-83,-52,NaN,-70,-55,-63,-72,NaN,NaN,NaN,-68,2
-62,NaN,-56,-49,-57,-45,-35,-43,-84,-50,-62,NaN,-57,NaN,NaN,NaN,NaN,NaN,-68,2
-62,-33,NaN,-49,-57,-51,-35,-42,NaN,-58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
-62,-33,NaN,-49,-56,-52,NaN,-43,NaN,-51,-61,NaN,-55,NaN,NaN,NaN,NaN,NaN,NaN,2
-62,-33,-55,-49,-57,-51,NaN,-44,NaN,-51,NaN,NaN,-57,-66,NaN,-74,NaN,NaN,NaN,2
-63,-33,-56,-49,-57,-52,-35,-47,NaN,-51,NaN,NaN,-55,NaN,NaN,NaN,-71,NaN,NaN,2
-61,-32,-55,-49,NaN,-52,-35,NaN,NaN,-52,NaN,-70,NaN,-62,NaN,NaN,NaN,NaN,NaN,2
-61,-33,-56,-49,-57,-52,-35,-42,NaN,-50,NaN,NaN,-56,NaN,NaN,NaN,NaN,NaN,NaN,2
-62,-33,-56,-49,-57,-53,NaN,-42,NaN,-51,-61,-70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
-62,-33,-56,-50,-57,NaN,-35,NaN,NaN,-50,NaN,NaN,-56,NaN,NaN,-73,NaN,NaN,NaN,2
-62,-33,-55,-49,NaN,-53,-35,-42,NaN,-49,-62,NaN,-56,-64,NaN,NaN,NaN,NaN,-66,2
-61,-32,-53,-48,NaN,-54,-35,NaN,NaN,-50,-61,-69,NaN,NaN,NaN,NaN,NaN,NaN,-69,2
-61,-33,NaN,-50,-55,-51,-35,-42,NaN,-51,NaN,NaN,-57,-63,NaN,NaN,NaN,NaN,NaN,2
-61,-33,-55,NaN,-58,-51,NaN,-42,NaN,-50,NaN,NaN,NaN,-63,NaN,NaN,NaN,NaN,NaN,2
-61,-33,-56,NaN,-56,-52,-35,-42,NaN,-50,-62,-69,NaN,NaN,NaN,NaN,NaN,NaN,-68,2
-62,-36,-42,-47,-58,-56,-38,-49,NaN,-53,NaN,NaN,-53,NaN,NaN,NaN,NaN,NaN,NaN,3
-64,-30,-41,-54,NaN,-50,-41,-47,NaN,-51,-67,-70,-51,-59,-69,-71,-76,-79,NaN,3
-65,-31,-41,-48,-58,-49,-41,-46,-79,-50,NaN,-78,-49,-60,-71,-69,NaN,NaN,NaN,3
-66,-31,-41,-50,-60,-48,-40,-45,-79,-44,-68,-71,-50,-59,-69,-70,NaN,NaN,NaN,3
