06:18:d6:c2:98:24_inonet,4c:5e:0c:71:aa:15_RFKON2014-Mesh,18:28:61:1c:0b:69_EVOSOFT,e8:37:7a:6c:7f:55_PYR,18:28:61:9e:ab:5c_MMD,c0:4a:00:0f:03:51_BilTAY Teknoloji,4c:5e:0c:70:52:5a_RFKON2014-Mesh,4c:5e:0c:6f:20:b2_RFKON2014-Mesh,00:26:5a:52:0b:8c_RFKON_115,04:18:d6:c1:98:24_inonet,4c:5e:0c:6f:20:fa_RFKON2014-Mesh,c8:d7:19:bc:98:31_,d4:ca:6d:c9:f1:c5_RFKON2014-Mesh,d4:ca:6d:bc:1d:73_RFKON2014-Mesh,dc:02:8e:c2:23:52_ILKSEM,e4:8d:8c:20:4d:c1_UPLAT,4c:5e:0c:23:44:33_RFKON2014-Mesh,64:66:b3:d0:4a:8d_Cisco_KRD,4c:5e:0c:71:a8:bf_RFKON2014-Mesh,REF_POINT
-63,-30,-49,-53,-56,-54,-35,-50,-74,-50,-68,NaN,-55,NaN,-64,NaN,NaN,-74,-73,5
-63,-30,-51,-54,-56,-52,-35,NaN,-78,-50,NaN,-77,-55,NaN,-64,-71,NaN,NaN,NaN,5
-62,-30,-51,-54,-56,-53,-35,-52,-78,-51,NaN,NaN,-54,NaN,-65,-70,NaN,-83,-73,5
-63,-31,-51,-60,-57,-53,-35,-55,-76,-51,NaN,-77,-84,NaN,NaN,-72,NaN,NaN,NaN,5
-63,-30,-51,-53,-56,-54,-34,-53,-78,-50,-68,-75,-54,-65,-63,-70,-73,-84,-73,5
-64,-31,-50,-52,-56,-56,-35,-51,-79,-50,-71,NaN,-54,-64,-65,-70,NaN,-84,NaN,5
-63,-32,-51,-55,-56,-55,-34,-50,-79,-49,NaN,-74,-54,NaN,NaN,-70,NaN,-82,NaN,5
-63,-32,-50,-60,-56,-54,-34,-51,-74,-51,NaN,NaN,-54,NaN,NaN,-71,NaN,NaN,NaN,5
-64,-31,-49,-52,-56,-54,-35,-50,NaN,-50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5
-62,-31,-49,-52,-55,-53,-34,-52,-78,-50,NaN,-77,-52,NaN,-59,NaN,NaN,NaN,NaN,5
-70,-28,-43,-53,-63,-53,-36,-54,NaN,-54,NaN,-68,-51,-65,-64,NaN,NaN,NaN,-71,6
-69,-23,-43,-59,-62,-55,-38,-58,-79,-57,-66,-69,-50,-67,-64,NaN,-73,-83,-71,6
-68,-24,-43,-59,-60,-59,-40,-63,NaN,-48,NaN,NaN,-51,NaN,-63,NaN,-72,NaN,NaN,6
-68,-25,-43,-59,-60,-58,-45,-57,NaN,-54,NaN,NaN,-51,-65,-62,-75,-72,NaN,NaN,6
-68,-24,-43,-59,-64,-57,-45,-54,NaN,-47,-68,NaN,-51,NaN,-64,-75,NaN,NaN,-70,6
-68,-42,-43,-60,-60,-57,-45,NaN,NaN,-55,-68,-70,-50,-65,-62,-75,-72,NaN,-70,6
-69,-25,-43,-59,-60,-57,-48,-54,-78,-56,-68,NaN,-49,-70,-62,-76,NaN,NaN,-71,6
-70,-25,-43,-58,-60,-57,-46,-53,-78,-53,-68,NaN,-49,NaN,-63,NaN,-71,NaN,-70,6
-69,-25,-43,-59,-61,-57,-46,-53,NaN,-54,-68,-72,-50,-66,-64,-76,-71,NaN,-70,6
-68,-25,-43,-58,-60,-57,-46,-53,NaN,-47,-68,-69,-53,NaN,-64,NaN,-71,NaN,-70,6
-68,-25,-43,-57,-60,-53,-48,-51,NaN,-57,NaN,NaN,NaN,-69,-66,NaN,-70,NaN,NaN,6
-68,-25,-43,-51,-59,-59,-47,-54,NaN,-55,NaN,NaN,-52,-66,-64,NaN,NaN,NaN,NaN,6
-67,-25,-42,-54,-60,-57,-47,-52,NaN,-56,NaN,NaN,-52,-67,-61,NaN,NaN,NaN,-71,6
-68,-25,-43,-57,-59,-59,-46,-51,NaN,-66,-67,NaN,-52,-66,-64,NaN,NaN,NaN,NaN,6
-67,-26,-44,-58,NaN,-56,-46,NaN,NaN,-48,NaN,NaN,-51,-66,-64,NaN,-72,NaN,NaN,6
-68,-24,-44,-54,-59,-58,-45,-51,-77,-49,-65,-69,-51,-67,-64,-75,-76,NaN,-71,6
-66,-25,-44,-60,-59,-56,-46,-51,-79,-54,-68,-69,-54,-65,-64,NaN,-76,NaN,NaN,6
-67,-25,-44,-61,-60,-52,-47,-51,NaN,-55,NaN,NaN,-51,-67,-63,NaN,NaN,NaN,-71,6
-66,-25,-43,-64,NaN,-57,-48,NaN,NaN,-56,-67,NaN,-50,-67,-61,NaN,NaN,NaN,NaN,6
-65,-25,-44,-59,-60,NaN,-48,NaN,NaN,-56,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-66,-29,-44,-58,-60,-58,-46,-52,NaN,-55,NaN,NaN,-52,NaN,NaN,NaN,NaN,NaN,NaN,6
-68,-26,-44,-57,-59,-57,-43,-52,NaN,-47,NaN,-68,-51,NaN,NaN,NaN,NaN,NaN,NaN,6
-68,-30,-44,-59,-60,-54,-44,-53,-78,-56,-69,-69,-51,-65,-63,NaN,-79,NaN,NaN,6
-68,-26,-44,-56,-59,-57,-45,-53,-77,-54,-69,NaN,-51,-67,NaN,NaN,-80,NaN,-70,6
-67,-26,-44,-59,-60,-52,-45,-52,-66,-54,-68,-68,-51,-66,NaN,-76,NaN,-80,NaN,6
-68,-26,-44,-58,-60,-56,-44,-51,NaN,-54,-69,-68,-50,-67,-65,NaN,NaN,NaN,-71,6
-67,-25,-44,-57,-59,-57,-41,-53,NaN,-55,-69,-69,-50,-68,-63,NaN,NaN,NaN,-71,6
-68,-25,-44,-58,NaN,-59,-44,-52,-78,-49,NaN,-69,-51,-68,NaN,NaN,-80,NaN,-70,6
-67,-25,-44,-58,-59,-59,-41,-51,NaN,-53,NaN,-73,-52,-67,-63,NaN,NaN,NaN,-71,6
-67,-25,-44,-58,-60,-58,-43,-53,NaN,-53,NaN,-69,-51,-68,-63,NaN,NaN,NaN,-70,6
-67,-25,-44,-61,-60,-57,-45,-55,NaN,-54,NaN,NaN,-51,-66,-64,NaN,-70,NaN,NaN,6
-67,-25,-42,-58,-60,-58,-45,-54,-77,-61,-66,-71,-51,-67,-64,NaN,-69,NaN,-70,6
-66,-25,-45,-59,NaN,-59,-42,-57,-76,-48,-67,-69,-52,-68,-66,-73,-70,-82,-70,6
-68,-25,-45,-59,-58,-59,-43,-54,NaN,-55,-64,NaN,-51,-70,-64,NaN,-70,NaN,NaN,6
-67,-24,-44,-58,-59,-58,-43,-52,-66,-48,-67,NaN,-52,-67,-65,-76,-70,-83,-71,6
-67,-25,-44,-58,-59,-56,-42,-52,-76,-54,NaN,-69,-52,NaN,-63,-72,NaN,NaN,NaN,6
-67,-25,-45,-58,-59,-56,-43,-53,NaN,-53,NaN,NaN,-50,NaN,NaN,NaN,NaN,NaN,NaN,6
-58,-25,-45,-54,-59,-62,-43,-54,NaN,-54,NaN,NaN,-51,-67,NaN,NaN,NaN,NaN,-67,6
-68,-24,-45,-58,-60,-59,-45,-52,NaN,-47,NaN,-69,-51,-67,-64,NaN,NaN,NaN,NaN,6
-67,-24,-44,-59,-60,-61,-47,-54,-76,-54,NaN,NaN,-51,-67,-64,NaN,NaN,NaN,-70,6
-67,-26,-43,-58,-59,-60,-44,-53,NaN,-54,NaN,-71,-55,-67,-62,-76,-70,NaN,NaN,6
-68,-25,-45,-54,-63,-58,-46,-66,-65,-53,-68,NaN,-50,-68,-64,-76,-70,NaN,NaN,6
-67,-24,-45,-58,-59,-58,-45,-52,NaN,-54,-75,NaN,-51,-68,-64,NaN,NaN,NaN,NaN,6
-68,-25,-43,-58,-60,-58,-44,-52,-76,-53,-66,-68,-50,-66,-67,NaN,-71,NaN,-72,6
-68,-25,-44,-60,-58,-58,-42,-56,NaN,-56,-67,-68,-50,-67,-63,-74,-71,NaN,-71,6
-68,-26,-44,-61,-59,-58,-42,-53,NaN,-48,-66,-70,-51,-70,NaN,-74,-72,NaN,NaN,6
-68,-26,-44,-57,-59,-58,-42,NaN,NaN,-55,-67,-68,-50,NaN,-64,NaN,NaN,NaN,NaN,6
-67,-26,-45,-57,-60,-58,-42,-54,NaN,-49,NaN,-68,-51,-69,-64,NaN,-72,NaN,NaN,6
-67,-25,-45,-57,-60,-54,-42,-52,NaN,-53,NaN,NaN,-49,NaN,NaN,-74,NaN,NaN,NaN,6
-67,-25,-44,-59,-60,-54,-43,-53,-65,-55,-68,-70,-50,-67,NaN,-73,NaN,NaN,NaN,6
-67,-30,-45,-60,-59,-58,-46,NaN,NaN,-49,NaN,-68,NaN,-65,-64,NaN,NaN,NaN,NaN,6
-67,-26,-45,-60,-59,-56,-45,-52,-77,-54,NaN,-69,-50,NaN,-64,-72,-70,NaN,-72,6
-68,-26,-44,-60,NaN,-55,-44,-53,NaN,-54,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-71,6
-67,-26,-44,-58,-60,-57,-42,-53,NaN,-53,-72,NaN,-51,-67,-64,-72,NaN,NaN,-72,6
-68,-26,-44,-60,NaN,-57,-45,-53,NaN,-48,NaN,-68,-50,-69,-63,NaN,-70,NaN,NaN,6
-68,NaN,-44,NaN,-59,-58,NaN,-52,NaN,-59,NaN,-68,-49,-67,-65,-70,-69,NaN,NaN,6
-69,-26,-44,-58,NaN,-58,-44,NaN,-77,-48,NaN,-68,NaN,-68,-63,-73,-70,NaN,NaN,6
-69,-26,-45,-59,-59,-58,-44,-53,-76,-54,-67,-69,-50,-67,-64,-73,NaN,NaN,-73,6
-69,-26,-45,-58,-60,-59,-44,-52,NaN,-53,-67,-69,-50,-67,-65,NaN,NaN,NaN,-73,6
-69,-26,-45,-58,-61,-58,-44,-52,-78,-53,NaN,-69,NaN,NaN,-67,NaN,-69,NaN,NaN,6
-68,-26,-45,-60,-59,-59,-45,NaN,-77,-53,-67,-69,-50,NaN,NaN,-78,NaN,-84,NaN,6
-68,-26,-45,-59,-59,-58,-45,-51,-78,-48,NaN,NaN,-53,-67,-67,-73,NaN,NaN,NaN,6
-67,-26,-45,-60,-60,-55,-44,-51,NaN,-48,-67,-69,-49,-68,-63,NaN,-70,NaN,-71,6
-68,-26,-45,-59,-60,-58,-87,-53,-75,-52,NaN,NaN,-49,NaN,-65,NaN,NaN,NaN,NaN,6
-68,-26,-45,-60,NaN,-58,-43,-53,NaN,-54,NaN,NaN,-49,-67,-65,-73,NaN,NaN,NaN,6
-67,-26,-45,-58,-60,-57,-44,-54,NaN,-49,NaN,NaN,-49,-67,-65,NaN,NaN,NaN,-72,6
-68,-26,-44,-58,-60,-57,-43,-54,NaN,-48,-67,NaN,-49,NaN,-64,NaN,-79,NaN,NaN,6
-67,-26,-45,-59,-59,-57,-44,-55,-74,-48,-68,NaN,-49,-67,-64,NaN,-78,NaN,NaN,6
-69,-26,-45,-60,-59,-53,-44,-55,NaN,-53,-67,-69,NaN,NaN,-63,NaN,NaN,NaN,-72,6
-67,-26,-45,-58,-59,-59,-44,-54,NaN,-48,NaN,NaN,-50,-67,-65,NaN,-80,NaN,-72,6
-66,-26,-45,-59,-59,-59,-44,-52,-78,-48,NaN,NaN,NaN,-64,NaN,NaN,NaN,NaN,NaN,6
-67,-26,-45,-58,NaN,-59,-45,-52,NaN,-54,-67,NaN,-48,-68,NaN,NaN,NaN,NaN,NaN,6
-68,-26,-44,-59,-60,-59,-44,-53,-78,-48,NaN,NaN,-50,NaN,NaN,NaN,NaN,NaN,NaN,6
-57,-26,-44,-57,-59,-57,-44,-52,-77,-58,-67,-70,-49,-68,-65,-73,-77,NaN,NaN,6
-67,-25,-44,-59,-59,-57,-44,-54,NaN,-53,NaN,NaN,-50,-68,-64,NaN,-80,NaN,NaN,6
-68,-25,-44,-58,-60,-58,-40,NaN,-74,-48,-67,NaN,-50,-68,-66,NaN,-78,NaN,NaN,6
-68,-25,-45,NaN,NaN,-59,-39,-54,NaN,-48,NaN,NaN,-50,NaN,-62,NaN,NaN,NaN,NaN,6
-68,-25,-44,-59,-60,-53,-41,-52,NaN,-48,NaN,NaN,-50,-68,-62,-70,NaN,NaN,NaN,6
-69,-25,-44,-58,NaN,-58,-44,-53,NaN,-55,NaN,NaN,-54,-69,-63,NaN,NaN,NaN,-70,6
-68,-25,-44,-59,-59,-58,-43,-55,NaN,-49,-68,NaN,-50,-67,-64,NaN,NaN,NaN,NaN,6
-64,-38,-47,-58,NaN,-59,-32,-57,NaN,-56,NaN,NaN,-57,NaN,NaN,NaN,NaN,NaN,NaN,7
-64,-33,-47,NaN,NaN,-55,-29,NaN,NaN,-55,-64,NaN,-55,NaN,NaN,NaN,NaN,NaN,NaN,7
-68,-36,-49,-57,NaN,NaN,-28,-48,NaN,-55,NaN,NaN,NaN,NaN,NaN,-75,NaN,NaN,NaN,7
-68,-33,-49,-57,NaN,-57,-26,-53,NaN,-56,NaN,-74,-63,NaN,-67,NaN,NaN,NaN,-78,7
-67,-36,-49,-59,-66,-59,-26,NaN,NaN,-55,NaN,NaN,-61,NaN,NaN,NaN,NaN,NaN,NaN,7
-68,-32,-49,-60,NaN,-58,-27,-48,NaN,-51,-62,NaN,-69,NaN,-63,-65,NaN,NaN,NaN,7
-65,-32,-49,NaN,NaN,-59,-29,NaN,NaN,-55,-63,NaN,-72,-68,NaN,NaN,NaN,NaN,NaN,7
-68,-34,-48,NaN,-65,-59,-28,NaN,NaN,-56,-62,NaN,-70,NaN,-66,-70,NaN,NaN,-82,7
-69,-33,-48,-66,-66,-57,-27,NaN,NaN,-54,NaN,NaN,-61,-70,-68,NaN,NaN,-85,NaN,7
-67,-35,-44,-60,-60,-57,-28,-48,NaN,-49,-62,NaN,-67,NaN,NaN,NaN,NaN,NaN,NaN,7
-67,-38,-47,NaN,-64,-59,-26,-50,NaN,-54,NaN,-72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7
-66,-32,-48,-56,NaN,NaN,-27,-49,NaN,-59,NaN,-73,-68,-68,-67,NaN,NaN,NaN,NaN,7
-68,-32,-48,-56,-63,-59,-25,-48,NaN,-57,-62,-74,-66,-68,NaN,-72,NaN,NaN,NaN,7
-69,-36,-44,-55,NaN,-60,-26,NaN,NaN,-60,-60,NaN,NaN,NaN,-65,NaN,NaN,NaN,NaN,7
-66,-34,-46,NaN,NaN,-59,-27,-48,NaN,-58,-59,NaN,NaN,-69,-66,-71,NaN,NaN,NaN,7
-68,-33,-46,-56,NaN,-58,-27,NaN,NaN,-58,-63,NaN,-71,NaN,NaN,-74,NaN,NaN,NaN,7
-67,-32,-45,-56,NaN,-62,-28,-50,NaN,-54,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7
-67,-32,-45,-65,-64,-61,-29,-46,NaN,-50,-60,NaN,-69,-70,-69,NaN,NaN,NaN,NaN,7
-68,-33,-45,-60,-63,-59,-28,NaN,NaN,-56,NaN,-73,-70,NaN,NaN,-72,NaN,NaN,NaN,7
-68,-32,-45,-59,NaN,-56,-29,-47,-82,-50,NaN,-77,-66,-65,-67,-70,NaN,NaN,NaN,7
-68,-32,-46,-59,-61,-58,-27,NaN,NaN,-52,-64,-73,-71,NaN,-68,NaN,NaN,NaN,NaN,7
-66,-34,-45,-56,-61,-59,-29,-51,NaN,-54,-64,-74,-62,NaN,-64,NaN,NaN,-80,-77,7
-66,-33,-45,NaN,-64,-58,-29,-50,-83,-50,-63,NaN,-73,-70,-64,NaN,-75,NaN,NaN,7
-66,-32,-46,NaN,NaN,-60,-29,NaN,NaN,-49,-60,NaN,-67,NaN,NaN,NaN,NaN,NaN,NaN,7
-68,-33,-43,-57,NaN,-59,-28,-46,NaN,-53,-64,NaN,-59,-67,-75,-74,NaN,NaN,NaN,7
-69,-34,-46,-57,-59,-59,-27,NaN,NaN,-53,NaN,-72,-63,-66,NaN,NaN,NaN,NaN,-82,7
-67,NaN,-47,-64,-64,-59,-26,-46,NaN,-56,NaN,-71,-62,-72,NaN,NaN,NaN,NaN,NaN,7
-67,-37,-44,-65,-65,-58,-26,-45,NaN,-56,-60,NaN,-64,NaN,-64,-74,NaN,-79,-80,7
-67,NaN,-46,-56,NaN,-62,-27,NaN,NaN,-51,-61,NaN,-63,NaN,-62,-78,NaN,-77,NaN,7
-69,-35,-48,-56,-62,-58,-27,-46,-82,-56,-63,NaN,-58,-66,NaN,-74,-81,NaN,-80,7
-68,-32,-46,-64,-65,-58,-26,-48,-83,-51,NaN,-72,-69,-68,NaN,NaN,NaN,NaN,NaN,7
-67,-35,-46,-54,-66,-59,-26,-44,-83,-55,NaN,NaN,NaN,NaN,NaN,-71,NaN,-80,NaN,7
-59,-34,-45,-56,-68,-59,-26,-45,NaN,-49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-78,7
-67,-34,-46,-57,NaN,-58,-27,-45,NaN,-55,-63,NaN,-63,NaN,NaN,NaN,NaN,NaN,NaN,7
-68,-35,-47,-56,NaN,-60,-29,-45,-84,-56,-62,NaN,-64,-70,NaN,NaN,NaN,NaN,NaN,7
-68,-37,-45,-58,-63,-59,NaN,-45,NaN,-52,NaN,-72,-63,NaN,NaN,-73,NaN,NaN,NaN,7
-68,-36,-46,-59,-63,-56,-25,-45,NaN,-59,NaN,-74,-59,NaN,NaN,NaN,NaN,NaN,NaN,7
-69,-36,-45,-59,NaN,-57,-25,-44,NaN,-57,-61,-71,-63,-69,-67,NaN,NaN,NaN,-78,7
-68,-37,-46,-59,NaN,-57,-26,NaN,NaN,-59,-61,-72,-69,-71,NaN,NaN,NaN,NaN,-80,7
-64,-36,-44,-62,NaN,-57,-25,-47,NaN,-55,NaN,NaN,-69,-69,-65,NaN,NaN,NaN,NaN,7
-67,-35,-45,-62,-65,-58,-26,-46,NaN,-55,NaN,NaN,-66,-69,-66,NaN,NaN,NaN,NaN,7
-67,-34,-47,-62,NaN,-56,-28,-45,NaN,-49,NaN,NaN,-69,-67,NaN,-71,NaN,NaN,-77,7
-70,-34,-46,-61,-64,-56,-27,NaN,NaN,-56,-62,-74,-62,-65,-65,-71,NaN,NaN,NaN,7
-68,-34,-43,-57,-63,-58,-27,-47,NaN,-50,-62,NaN,-64,-68,-65,NaN,NaN,NaN,-77,7
-67,-33,-45,-64,-62,-59,-28,-46,NaN,-53,-59,NaN,-72,-67,NaN,NaN,NaN,-81,-80,7
-70,-33,-45,-66,-60,-57,-27,-46,-81,-58,-63,-74,NaN,NaN,-65,NaN,NaN,NaN,NaN,7
-67,-34,-44,-57,-61,-57,-27,-50,-68,-56,NaN,NaN,-69,-68,-65,NaN,NaN,NaN,-77,7
-67,-38,-47,-57,NaN,-60,-27,NaN,NaN,-52,-62,NaN,NaN,NaN,-63,NaN,NaN,NaN,NaN,7
-67,-34,-45,-58,-67,-52,-25,-51,NaN,-59,NaN,-73,-68,-69,-65,-71,NaN,NaN,-78,7
-67,-37,-46,-60,NaN,-57,-27,-49,-82,-57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7
-66,-36,-45,NaN,NaN,NaN,-26,-53,NaN,-55,-63,NaN,-67,-74,-75,NaN,NaN,NaN,NaN,7
-66,-39,-47,-59,-61,-58,-25,-49,NaN,-50,-62,-72,NaN,-73,-72,-71,NaN,NaN,NaN,7
-66,-36,-47,-60,NaN,-56,-25,-51,NaN,-57,-61,-69,-68,-70,-65,-68,NaN,NaN,NaN,7
-65,-36,-47,-60,-63,-56,-25,-52,NaN,-51,-62,NaN,-67,-69,-66,NaN,NaN,NaN,NaN,7
-66,-36,-44,-60,-62,-56,-25,-54,-84,-56,-62,NaN,-65,NaN,-65,-70,NaN,-81,NaN,7
-65,-35,-45,-63,-62,-57,-25,-51,NaN,-56,-62,-76,-67,-68,-72,-71,NaN,NaN,NaN,7
-66,NaN,-45,-58,-61,-56,-25,NaN,NaN,-55,-63,NaN,-67,-69,NaN,NaN,NaN,NaN,-74,7
-66,-37,-47,-58,-63,-57,-25,-53,NaN,-55,-64,-75,-65,NaN,-65,-70,NaN,NaN,NaN,7
-64,-35,-47,-58,-70,-57,-26,NaN,NaN,-56,NaN,NaN,-63,NaN,NaN,NaN,NaN,NaN,NaN,7
-65,-35,-46,NaN,-62,-57,-26,-52,NaN,-52,NaN,NaN,NaN,-67,NaN,-73,NaN,NaN,-74,7
-64,-33,-44,-55,-67,-57,-25,-54,NaN,-51,NaN,NaN,-66,NaN,-66,NaN,NaN,NaN,NaN,7
-65,-35,-45,-57,-63,-52,-26,-54,NaN,-56,-65,NaN,-65,-69,-74,NaN,NaN,NaN,NaN,7
-65,-35,-45,-57,-63,-56,-25,-51,NaN,-56,NaN,-73,-62,-69,NaN,NaN,NaN,NaN,-72,7
-65,-36,-47,-56,-62,-55,-25,-51,NaN,-56,NaN,-74,-60,NaN,-67,-70,NaN,NaN,-74,7
-67,-36,-47,-56,-63,-56,-25,-52,NaN,-51,-62,NaN,NaN,-68,NaN,NaN,NaN,NaN,NaN,7
-66,-37,-47,-55,-62,-56,-28,-56,NaN,-56,-62,-72,-62,-73,-73,NaN,NaN,NaN,NaN,7
-65,-36,-45,NaN,NaN,NaN,-25,-55,NaN,-56,NaN,NaN,-61,NaN,-67,NaN,NaN,NaN,NaN,7
-67,-35,-47,-57,NaN,-57,-25,-55,NaN,-56,-61,NaN,-62,-69,-67,-73,NaN,NaN,NaN,7
-66,-36,-47,-62,NaN,-57,-25,-56,NaN,-52,-62,-74,-63,-69,-75,-73,NaN,NaN,-71,7
-67,-36,-48,-56,-60,-57,-62,-54,-84,-52,NaN,NaN,-62,-70,NaN,NaN,NaN,NaN,NaN,7
-66,-36,-47,-59,-61,-65,-29,-55,-84,-56,-62,NaN,NaN,-68,NaN,NaN,NaN,NaN,-73,7
-66,-35,-47,-57,-61,-58,-25,-55,-84,-53,NaN,NaN,-62,-70,-75,-76,NaN,-79,-76,7
-66,-35,-48,-56,-63,-56,-25,-55,NaN,-51,-61,NaN,-63,-70,-67,NaN,NaN,NaN,NaN,7
-67,-35,-48,-55,-62,-57,-25,-54,-83,-51,NaN,NaN,-61,-69,-66,NaN,NaN,NaN,-73,7
-65,-34,-43,NaN,-63,-58,-29,-47,NaN,-58,-63,NaN,-68,-67,-65,NaN,NaN,NaN,-76,7
-66,-36,-46,-55,-59,-59,-29,-48,NaN,-55,NaN,-74,-64,NaN,-70,NaN,NaN,NaN,NaN,7
-65,-34,-45,-55,-62,-59,-27,-46,NaN,-56,NaN,-72,-69,-68,-67,NaN,NaN,NaN,NaN,7
-66,-35,-44,-55,-63,-58,-29,-48,NaN,-55,NaN,-73,-64,-68,-67,-69,NaN,NaN,NaN,7
-64,-34,-45,-53,-61,-57,-26,-51,NaN,-56,-62,-72,-70,-69,NaN,-71,NaN,NaN,NaN,7
-64,-38,-46,-54,-63,-57,-27,-47,NaN,-56,-63,-71,-70,-74,-78,-69,NaN,-80,NaN,7
-69,-26,-40,-57,-61,-65,-32,-50,NaN,-56,-76,-72,-66,-62,-67,-69,NaN,NaN,NaN,8
-71,-26,-43,-54,-60,-55,-34,-49,NaN,-52,NaN,NaN,NaN,-69,-69,NaN,NaN,NaN,NaN,8
-69,-26,-40,-54,NaN,-56,-34,-48,NaN,-53,-68,NaN,-62,-72,-73,NaN,NaN,NaN,NaN,8
-70,-23,-44,-50,-62,-59,-28,-51,NaN,-53,-69,NaN,NaN,-69,-65,-68,-86,NaN,-74,8
-72,-26,-43,-55,-65,-57,-30,-57,-82,-55,-68,-77,-64,-71,-68,-68,-82,NaN,-82,8
-71,-27,-43,-48,NaN,-59,-29,-52,-82,-53,NaN,NaN,-64,-72,NaN,NaN,-78,NaN,NaN,8
-71,-26,-43,-51,-61,-57,-27,-52,NaN,-55,-68,-77,-63,-69,-70,NaN,NaN,NaN,-78,8
-68,-26,-43,-62,NaN,-59,-28,-47,-83,-56,-69,NaN,-61,-72,-71,-70,-79,NaN,-76,8
-67,-31,-41,-53,-61,-56,-32,-48,-80,-57,-68,NaN,-61,-68,-82,NaN,-79,NaN,-76,8
-68,-31,-42,-57,-62,NaN,-29,-48,NaN,-56,-76,NaN,-64,-64,-70,NaN,NaN,NaN,NaN,8
-68,-28,-43,-50,-60,-59,-29,-50,-82,-55,NaN,NaN,-61,-70,-71,-66,NaN,NaN,NaN,8
-67,-24,-43,-56,-61,-58,-28,-48,-77,-54,NaN,NaN,-62,-68,NaN,-69,-79,NaN,NaN,8
-65,-27,-43,-51,-61,-61,-33,-49,NaN,-54,-70,NaN,-63,-68,NaN,-68,NaN,NaN,-75,8
-66,-28,-43,-61,-58,-56,-27,-46,NaN,-54,-69,-78,-58,-67,-68,NaN,-76,-73,-74,8
-68,-46,-43,-51,-63,-59,-29,-52,-82,-54,NaN,-81,-61,-70,-66,-68,NaN,-52,-74,8
-67,-29,-41,-53,-62,-59,-29,-47,-82,-53,NaN,-78,-61,-69,-65,-69,NaN,NaN,NaN,8
-67,-27,-43,-51,-66,-58,-30,-49,NaN,-52,-67,-80,NaN,-68,-69,-68,NaN,NaN,NaN,8
-69,-27,-43,-53,-60,-57,-29,-52,NaN,-56,NaN,-77,-66,NaN,-64,-72,NaN,NaN,NaN,8
-68,-27,-43,-57,-60,-57,NaN,-48,NaN,-56,NaN,NaN,-64,-67,-67,NaN,NaN,NaN,NaN,8
-70,-24,-43,-52,NaN,-60,-30,-49,NaN,-59,NaN,NaN,-61,-66,NaN,-67,NaN,NaN,NaN,8
-68,-27,-43,-54,-62,-59,-31,-48,NaN,-53,NaN,NaN,-61,-66,NaN,-68,NaN,NaN,NaN,8
-71,-26,-43,-58,-61,-60,-30,-48,NaN,-55,-72,NaN,-65,-66,-68,-68,NaN,NaN,NaN,8
-69,-27,-42,-51,-58,-62,-30,-49,-85,-48,-71,-75,-63,-66,-66,-68,-82,NaN,-75,8
-70,-26,-43,NaN,NaN,-58,-30,-51,-83,-55,-72,NaN,-68,-66,-67,-62,-80,NaN,-76,8
-71,-27,-42,-53,-59,-62,-30,-49,-76,-59,-70,-78,-65,-60,-66,-68,NaN,NaN,-77,8
-72,-26,-42,-50,-60,-61,-29,-51,NaN,-54,NaN,NaN,-64,-68,NaN,-69,NaN,NaN,NaN,8
-68,-25,-43,-56,-57,-55,-30,-51,-82,-57,-74,-82,-62,-64,-69,NaN,NaN,NaN,NaN,8
-68,-26,-44,-58,-62,-56,-31,-53,NaN,-58,-75,-76,-64,-74,-68,-69,NaN,NaN,NaN,8
-65,-27,-42,-50,-61,-56,-31,-53,NaN,-44,NaN,NaN,-63,-69,-68,-68,-77,NaN,NaN,8
-70,-26,-43,-50,-60,-56,-30,-51,-81,-52,-69,NaN,-70,-70,NaN,-69,-79,NaN,NaN,8
-68,-27,-43,-50,-63,-55,-66,-50,-80,-52,-66,-81,-59,-70,-66,-68,-78,NaN,-73,8
-69,-26,-42,-55,-62,-57,-29,-51,-80,-51,NaN,-77,-63,-72,-67,-70,NaN,NaN,NaN,8
-70,-27,-42,-58,-61,-59,-30,NaN,NaN,-56,-67,-74,-63,-68,-67,-68,-82,NaN,-74,8
-70,-29,-43,-50,NaN,-56,-30,-51,NaN,-52,NaN,-81,-66,NaN,-67,-64,NaN,NaN,NaN,8
-68,-27,-43,-58,-59,-57,-30,-49,NaN,-52,-66,NaN,-62,NaN,-69,-69,NaN,NaN,NaN,8
-73,-27,-43,-51,NaN,-54,-30,-50,NaN,-53,-63,NaN,-60,-73,-67,NaN,-79,NaN,-71,8
-71,-27,-43,-53,NaN,NaN,-30,NaN,NaN,-55,-66,NaN,NaN,-68,NaN,NaN,NaN,NaN,NaN,8
-69,-31,-44,-61,-61,-49,NaN,-49,-81,-47,-68,NaN,-57,NaN,-69,-70,-79,NaN,NaN,8
