04:18:d6:c1:98:24_inonet,4c:5e:0c:71:aa:15_RFKON2014-Mesh,4c:5e:0c:70:52:5a_RFKON2014-Mesh,18:28:61:1c:0b:69_EVOSOFT,e8:37:7a:6c:7f:55_PYR,4c:5e:0c:6f:20:b2_RFKON2014-Mesh,c0:4a:00:0f:03:51_BilTAY Teknoloji,dc:02:8e:c2:23:52_ILKSEM,06:18:d6:c2:98:24_inonet,d4:ca:6d:c9:f1:c5_RFKON2014-Mesh,4c:5e:0c:6f:20:fa_RFKON2014-Mesh,d4:ca:6d:bc:1d:73_RFKON2014-Mesh,4c:5e:0c:23:44:33_RFKON2014-Mesh,4c:5e:0c:71:a8:bf_RFKON2014-Mesh,e4:8d:8c:20:4d:c1_UPLAT,00:26:5a:52:0b:8c_RFKON_115,4c:5e:0c:67:ab:cf_evarobot,64:66:b3:d0:4a:8d_Cisco_KRD,18:28:61:9e:ab:5c_MMD,18:28:61:13:0d:9d_EROGLU,18:28:61:58:78:6a_Dlink_DAP-1360,REF_POINT
-62,-29,-36,-43,-52,-51,-45,-66,-63,-50,-60,-58,-72,NaN,NaN,NaN,NaN,NaN,-63,NaN,NaN,5
-65,-29,-36,-42,-52,-53,-45,-64,-63,-50,NaN,-60,-73,NaN,-79,-61,-75,-82,-64,NaN,NaN,5
-62,-29,-35,-42,-55,-52,-48,-65,-64,-50,-62,-59,-71,-73,NaN,NaN,NaN,-80,-65,NaN,NaN,5
-61,-29,-34,-43,NaN,-51,-50,-63,-64,-50,-63,-58,-78,-71,-76,NaN,NaN,NaN,NaN,NaN,NaN,5
-63,-28,-34,-43,-56,NaN,-51,-64,-64,-51,-60,-57,-77,-73,NaN,-61,-76,-81,-66,NaN,NaN,5
-63,-30,-35,-41,NaN,-51,-50,-63,-64,-49,-62,-58,NaN,-73,NaN,NaN,NaN,NaN,-63,NaN,NaN,5
-63,-30,-36,-41,-54,-51,-45,-64,-65,-52,NaN,-69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5
-63,-27,-34,-43,-51,-51,-45,-65,-64,-50,-60,NaN,-77,-72,-77,-79,-74,NaN,NaN,-84,NaN,5
-65,-29,-35,-41,NaN,-53,-45,-64,-65,-50,-61,-57,-72,NaN,NaN,-82,-76,-80,-65,NaN,NaN,5
-64,-29,-35,-43,-56,-50,-50,-64,-66,-50,-62,-58,NaN,-73,-80,-79,NaN,NaN,-61,NaN,NaN,5
-65,-30,-34,-43,-61,-52,-44,-64,-64,-50,NaN,NaN,NaN,-71,-76,NaN,NaN,-80,-64,NaN,NaN,5
-65,-29,-35,-44,-54,-52,-44,-64,-64,-50,-62,-57,NaN,-72,-74,NaN,-74,-81,NaN,NaN,NaN,5
-64,-33,-35,-43,-52,-54,-50,-87,-65,-50,NaN,NaN,-74,-72,NaN,-80,NaN,NaN,-62,NaN,NaN,5
-65,-28,-34,-43,-53,-52,-50,-64,-59,-49,NaN,-57,NaN,-74,NaN,-80,-74,NaN,-61,NaN,NaN,5
-65,-29,-34,-43,-54,-66,-50,-63,-65,-51,-62,NaN,NaN,-73,NaN,-78,-76,NaN,-63,NaN,NaN,5
-66,-29,-35,-42,-53,-52,-45,-64,-65,-50,-60,-56,NaN,-79,NaN,-79,-78,NaN,-63,NaN,NaN,5
-66,-30,-35,-43,-53,-53,-50,-66,-66,-49,-62,-58,NaN,NaN,NaN,NaN,NaN,NaN,-63,NaN,NaN,5
-65,-29,-35,-43,-56,-52,-46,-63,-67,-53,-63,-57,NaN,-74,NaN,NaN,-74,NaN,NaN,NaN,-86,5
-67,-29,-35,-43,-53,-50,-46,-64,-64,-50,-62,-58,-77,NaN,-75,-80,NaN,-82,-65,-79,NaN,5
-63,-29,-35,-42,-57,-48,-50,-65,-65,-49,-58,-57,NaN,-74,-73,NaN,NaN,NaN,NaN,NaN,NaN,5
-62,-47,-34,-41,-56,-49,-45,-64,-61,-53,-62,-57,NaN,-73,NaN,NaN,-78,NaN,NaN,NaN,NaN,5
-63,-29,-34,-46,-56,-50,-50,-65,-66,-50,-62,-58,-73,NaN,NaN,NaN,NaN,-83,NaN,-81,NaN,5
-68,-29,-35,-43,-54,-49,-46,-64,-65,-50,NaN,-57,NaN,-74,-74,-78,-75,-81,-63,-82,NaN,5
-64,-27,-34,-41,-55,-49,-50,-66,-64,-50,-62,-57,-78,NaN,NaN,-79,-76,-83,-76,-81,-85,5
-64,-29,-34,-43,-56,-52,-50,NaN,-65,-50,-60,-58,NaN,NaN,NaN,NaN,-76,NaN,-63,-80,NaN,5
-65,-29,-35,-41,-56,-50,-50,-66,-65,-49,-62,-53,-72,-73,NaN,-81,-76,-83,-63,NaN,NaN,5
-66,-29,-34,-43,NaN,-51,-45,-66,-67,-50,-61,-57,NaN,-74,-73,-84,-74,NaN,-62,NaN,NaN,5
-66,-29,-34,-41,NaN,-48,-50,-64,-65,-50,-61,-57,-74,NaN,NaN,-82,NaN,-81,NaN,NaN,NaN,5
-67,-29,-34,-43,-57,-45,-45,-65,-66,-50,-61,-57,NaN,NaN,-71,NaN,NaN,-77,NaN,NaN,NaN,5
-66,-29,NaN,-41,-56,-49,-46,-65,-66,-87,-59,-57,NaN,NaN,NaN,-80,NaN,NaN,-83,NaN,NaN,5
-61,-29,-34,-41,-57,-49,-50,-64,-64,-50,-62,-57,NaN,NaN,-86,-80,NaN,NaN,-63,NaN,NaN,5
-64,-27,-34,-43,-56,-48,-50,-64,-64,-49,-62,-57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5
-63,-29,-34,-42,-56,-49,-50,-72,-64,-50,-61,-57,NaN,NaN,NaN,NaN,NaN,NaN,-63,NaN,NaN,5
-65,-29,-34,-43,-57,NaN,-46,NaN,-64,-50,-62,-58,NaN,NaN,-75,NaN,NaN,-81,NaN,NaN,NaN,5
-65,-29,-35,-43,-54,-50,-44,-65,-64,-50,NaN,-69,-79,-73,NaN,-81,NaN,NaN,NaN,NaN,NaN,5
-67,-29,-35,-43,-56,-49,-50,-65,-64,-50,-61,NaN,NaN,NaN,-75,-80,-77,NaN,-64,-80,NaN,5
-67,-29,-35,-42,-58,-48,-46,-65,-65,-50,NaN,-59,NaN,NaN,-73,-81,-77,-83,-63,NaN,NaN,5
-65,-29,-34,-41,-56,-50,-44,-65,-64,-50,-62,-59,-72,-75,NaN,-83,NaN,NaN,-64,NaN,NaN,5
-62,-29,-34,-40,-57,-49,-50,-66,-58,-50,-61,-58,NaN,-72,-72,NaN,-77,NaN,-63,-81,NaN,5
-64,-29,-34,-43,-56,-49,-50,-65,-64,-50,-60,-58,-71,-73,-73,-76,-76,-81,-63,-82,NaN,5
-64,-29,-35,-43,-56,NaN,-50,-66,-64,-50,-62,-59,-73,NaN,-74,NaN,NaN,NaN,-63,NaN,NaN,5
-62,-29,-35,-43,-56,-49,-45,-66,-64,-50,NaN,-58,NaN,NaN,NaN,-80,NaN,NaN,-63,NaN,NaN,5
-62,-29,-35,-43,-59,-49,-50,-65,-65,-51,-62,-57,NaN,NaN,-72,NaN,-77,-82,NaN,-83,NaN,5
-62,-29,-34,-43,-57,-48,-50,-65,-65,-50,-62,-70,NaN,NaN,NaN,-80,-78,-83,-64,NaN,NaN,5
-61,-30,-34,-42,-56,-49,-46,-65,-64,-50,-61,-58,NaN,-71,-87,NaN,-77,-96,-64,NaN,NaN,5
-46,-33,-40,-51,-43,-48,-62,-63,-61,-48,-66,-55,NaN,-72,-65,-80,-74,-83,-65,NaN,NaN,6
-47,-35,-46,-55,-43,-45,-60,-60,-59,-46,NaN,-54,-76,-77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-48,-36,-42,-52,-42,-46,-57,-59,-59,-45,NaN,-53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-46,-32,-44,-53,-42,-45,NaN,-61,-59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-47,-32,-44,-53,-45,NaN,-58,-62,-58,-46,-66,-53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-46,-32,-44,-54,-42,-45,-57,-62,-58,-46,NaN,NaN,NaN,-80,NaN,NaN,NaN,NaN,-65,NaN,NaN,6
-53,-36,-44,-50,-43,-45,-48,-62,-59,-46,-67,-53,NaN,-70,NaN,NaN,-78,NaN,-66,NaN,NaN,6
-49,-32,-44,-50,-45,-45,-57,-62,-59,-47,-67,-54,NaN,-72,NaN,-74,NaN,NaN,-65,NaN,NaN,6
-46,-32,-44,-52,-42,-45,-65,-60,-59,-46,NaN,-53,-67,NaN,NaN,-70,NaN,NaN,NaN,NaN,NaN,6
-46,-33,-44,-53,-41,-46,-47,-60,-59,-46,-66,NaN,NaN,-71,NaN,-74,NaN,NaN,-64,-79,NaN,6
-46,-32,-44,-53,-42,-46,-56,-61,-58,-55,-76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-65,NaN,NaN,6
-47,-33,-44,-50,-41,-45,NaN,-58,-59,-46,-67,-53,NaN,NaN,NaN,NaN,NaN,NaN,-66,NaN,NaN,6
-46,-33,-44,-52,-42,-45,-55,-62,-59,-46,-66,-54,NaN,NaN,-70,NaN,NaN,NaN,NaN,NaN,-87,6
-46,-33,-44,-53,-45,-45,-56,NaN,-59,-53,-66,-53,NaN,-70,-82,-75,-74,NaN,NaN,NaN,NaN,6
-48,-33,-45,-50,-44,NaN,-54,-58,-59,-46,NaN,-54,NaN,-71,NaN,-75,NaN,NaN,NaN,NaN,NaN,6
-46,-33,-44,-51,-42,-46,-57,-60,-59,-46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-65,NaN,NaN,6
-46,-32,-44,-52,-45,-46,-57,-60,-59,-46,NaN,-55,NaN,NaN,NaN,-76,NaN,NaN,NaN,NaN,NaN,6
-46,-33,-44,-52,-41,-45,NaN,-63,-58,-46,NaN,NaN,-73,-70,NaN,-83,NaN,NaN,NaN,NaN,NaN,6
-45,-33,-43,-52,-42,-47,-58,-62,-59,NaN,-66,-54,NaN,NaN,NaN,NaN,NaN,NaN,-62,NaN,NaN,6
-46,-33,-43,-52,-42,-45,-58,-60,-59,NaN,-65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-47,-33,-43,-52,-45,-45,-58,-58,-58,-46,-75,NaN,NaN,-71,NaN,-74,NaN,-81,-67,NaN,NaN,6
-46,-37,-43,-53,-44,-45,-57,-58,-59,-46,NaN,NaN,-72,-71,-82,-80,NaN,NaN,-66,-78,NaN,6
-46,-33,-43,-52,-41,-45,-84,-60,-59,-46,NaN,-53,-69,NaN,NaN,NaN,NaN,NaN,-65,NaN,NaN,6
-46,-33,-43,-52,-43,-45,-56,-59,-58,NaN,-77,-53,-70,NaN,-81,NaN,-75,NaN,-64,-80,NaN,6
-51,-33,-43,-53,-45,-46,-49,-61,-59,-47,NaN,-54,NaN,NaN,NaN,-75,-73,NaN,-66,NaN,NaN,6
-46,-33,-43,-51,-46,-46,-57,NaN,-59,-47,-67,-54,-70,-72,NaN,NaN,NaN,NaN,-88,NaN,NaN,6
-47,-33,-72,-53,-42,-45,NaN,-59,-59,-46,NaN,-66,NaN,NaN,NaN,-76,-74,NaN,-70,NaN,NaN,6
-47,-33,-42,-53,-42,-45,-56,-60,-59,-46,NaN,-53,NaN,NaN,NaN,-75,NaN,-83,-65,NaN,NaN,6
-47,-33,-43,-51,-42,-45,-48,-61,-56,-46,-66,NaN,NaN,-71,NaN,NaN,NaN,NaN,-65,NaN,NaN,6
-47,-33,-43,-53,-44,-46,-56,-62,-59,-46,NaN,-53,NaN,-70,-69,-76,NaN,-81,-64,NaN,NaN,6
-47,-33,-43,-51,-45,-46,-54,-60,-59,-46,-66,-53,-69,-79,NaN,-76,-65,NaN,-67,NaN,NaN,6
-47,-33,-45,-51,-45,-45,-57,-60,-59,-46,-66,-53,NaN,NaN,NaN,-84,NaN,NaN,-65,NaN,NaN,6
-48,-33,-43,-50,-42,NaN,-49,-61,-59,-47,-66,-53,NaN,-71,NaN,-75,NaN,NaN,NaN,NaN,NaN,6
-47,-33,-40,-51,-42,-45,-57,-59,-52,-46,-66,-53,-70,-82,NaN,-76,-75,NaN,NaN,-82,NaN,6
-52,-33,-43,-50,-43,-46,-57,-55,-59,-47,-75,-51,-77,-71,NaN,-73,NaN,NaN,NaN,NaN,NaN,6
-47,-33,-43,-52,-42,-49,-58,-60,-59,-46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-47,-33,-43,-54,-41,-45,-48,-59,-59,-46,-66,-54,-74,-72,NaN,-76,-75,NaN,-64,NaN,NaN,6
-47,-33,-43,-51,-43,-45,-57,-61,-60,-46,-66,-54,-67,-71,-65,-76,-75,NaN,-65,-80,NaN,6
-48,-33,-43,-53,-45,-45,-55,-60,-59,-46,-65,-54,-74,-71,NaN,-74,-75,NaN,-68,NaN,NaN,6
-47,-72,-44,-49,-43,NaN,-54,-61,-59,NaN,-76,NaN,NaN,-73,-43,-75,NaN,-82,-66,NaN,NaN,6
-46,-37,-43,-50,-48,NaN,-57,-59,-59,-46,-66,-53,-74,-70,-66,-75,-74,NaN,-67,NaN,NaN,6
-48,-33,-43,-53,-42,-45,-48,-59,-59,-46,-76,-53,-73,-70,-65,-75,-75,NaN,NaN,-78,NaN,6
-46,-33,-41,-50,-44,-43,-58,-60,-52,-47,-66,-54,NaN,-71,NaN,-74,NaN,NaN,-67,NaN,NaN,6
-47,-30,-40,-50,-49,-45,-57,-60,-60,-46,-66,-53,-69,-71,NaN,-74,-75,-84,-68,-79,NaN,6
-46,-32,-42,-53,-42,-46,-49,-60,-59,-46,-75,NaN,NaN,-70,NaN,-74,NaN,-83,NaN,NaN,NaN,6
-46,-32,-41,-53,-42,-46,-55,-60,-59,-46,-66,-53,-67,-70,NaN,NaN,-75,NaN,NaN,NaN,NaN,6
-47,-33,-65,-53,-45,-47,-57,-59,-59,-47,NaN,-54,-68,-79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-47,-33,-43,-52,-43,-49,-55,-62,-59,-46,-68,-54,-68,NaN,NaN,-73,NaN,NaN,NaN,-67,NaN,6
-47,-33,-43,-52,-42,-47,-50,-62,-59,-47,-67,-54,NaN,NaN,NaN,-73,-74,NaN,-77,-81,NaN,6
-47,NaN,-43,-52,-42,-43,-56,-62,-59,-46,-66,NaN,NaN,-72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-48,-33,-45,NaN,-42,-45,-56,-63,-59,-46,NaN,-54,NaN,NaN,NaN,-74,-75,-81,NaN,NaN,NaN,6
-46,-33,-45,-51,-43,-50,-57,-62,-59,-46,-67,-54,-69,-72,NaN,NaN,NaN,-81,-67,-80,NaN,6
-47,-32,NaN,-54,-42,-49,-54,-62,-59,-46,-66,-54,NaN,NaN,-71,-72,-75,-81,-65,NaN,NaN,6
-46,-33,-43,-51,-43,-48,-56,NaN,-59,-45,NaN,-55,NaN,NaN,NaN,-73,-77,-82,-64,-80,NaN,6
-47,-32,-44,-53,-45,-47,-56,-60,-58,-46,-75,-54,-69,-73,NaN,-73,-76,NaN,-68,NaN,NaN,6
-49,-33,-44,-52,-42,-49,-55,-60,-59,-46,-65,-54,-65,-71,NaN,-73,NaN,-79,-66,-78,NaN,6
-47,-33,-44,-52,-42,NaN,-58,-59,-59,-47,-68,-54,NaN,-74,NaN,-74,NaN,NaN,-70,NaN,NaN,6
-46,-33,-44,-53,-43,-48,-58,-61,-59,-46,NaN,-55,NaN,NaN,-69,NaN,-76,-83,NaN,NaN,NaN,6
-51,-33,-43,-52,-43,-48,-56,-59,-59,-46,NaN,-55,NaN,-71,-80,-74,-75,-81,NaN,-79,NaN,6
-46,-32,-44,-52,-45,-48,-56,-62,-59,-45,-66,-54,NaN,NaN,NaN,-74,-76,-80,NaN,NaN,NaN,6
-47,-33,NaN,-50,-43,-48,-56,-62,-59,NaN,-75,NaN,NaN,NaN,NaN,NaN,-72,NaN,NaN,NaN,NaN,6
-48,-32,-44,-53,-42,-50,-60,-60,-59,-46,-67,NaN,NaN,-72,NaN,-75,-76,-81,NaN,NaN,NaN,6
-47,-33,-44,-50,-42,-49,-60,-60,-59,-46,NaN,-56,NaN,NaN,NaN,-71,NaN,NaN,NaN,NaN,NaN,6
-47,-33,-44,-52,-43,-50,-60,-60,-59,-47,NaN,-55,NaN,NaN,NaN,-71,NaN,NaN,NaN,NaN,NaN,6
-47,-33,-44,-53,-42,-49,-56,-59,-59,-48,NaN,-56,NaN,-71,NaN,NaN,NaN,NaN,-66,NaN,NaN,6
-45,-33,-44,-52,-45,-49,-49,NaN,-58,-47,-65,-54,-65,-70,-78,NaN,NaN,NaN,-68,NaN,NaN,6
-45,-33,-44,-53,-45,-48,-60,-60,-59,-47,NaN,-55,NaN,-74,NaN,-73,NaN,-81,-68,NaN,NaN,6
-51,-32,-43,-51,-45,-48,-58,-62,-59,-46,-65,-56,NaN,-75,NaN,NaN,NaN,NaN,-64,-78,NaN,6
-47,-32,NaN,-50,-42,-47,-58,-59,-59,NaN,-65,-55,-67,-74,NaN,NaN,-74,NaN,-66,-78,NaN,6
-48,-32,-43,-50,-44,-47,-54,NaN,-59,-46,NaN,-55,-67,-73,-77,-72,NaN,NaN,NaN,NaN,NaN,6
-47,-31,-44,-51,-43,-46,-57,-59,-58,-46,-68,NaN,-70,-73,NaN,NaN,NaN,NaN,-67,NaN,NaN,6
-47,-32,-44,-51,-43,NaN,-48,-60,-58,-46,NaN,-55,NaN,NaN,NaN,-73,-76,NaN,-65,NaN,NaN,6
-47,-36,-43,-50,-42,-46,-56,-59,-59,-46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-63,NaN,NaN,6
-48,-33,-43,-53,-44,-49,-55,-62,-58,-46,NaN,NaN,NaN,-71,NaN,NaN,NaN,NaN,-63,NaN,NaN,6
-49,-32,-43,-51,-42,-46,-52,-59,-58,-46,-66,-52,-73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-47,-32,NaN,-53,-43,-46,-56,-60,-58,-47,-66,-54,NaN,-70,NaN,-73,NaN,NaN,-67,NaN,NaN,6
-46,-33,-44,-53,-46,-47,NaN,-59,-57,-47,NaN,-53,NaN,-70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-52,-33,-43,-54,-41,-46,-56,-60,-59,-47,NaN,NaN,NaN,-73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-45,-32,-43,-53,-42,-49,-57,NaN,-58,-47,NaN,-54,NaN,NaN,NaN,-74,-76,NaN,-65,-77,NaN,6
-45,-33,-44,-53,-42,-46,-48,-59,-58,-47,-65,-54,NaN,NaN,NaN,-76,NaN,NaN,NaN,NaN,NaN,6
-52,-33,-84,-35,-84,-45,-56,-69,-67,-64,NaN,-59,-78,NaN,NaN,NaN,-70,NaN,-64,NaN,NaN,7
-51,-34,-41,-34,-49,-44,-54,-63,-65,-58,NaN,-59,NaN,NaN,NaN,NaN,-68,NaN,-63,NaN,-86,7
-50,-33,-42,-35,-50,-44,-58,-65,-65,-68,NaN,-59,-68,NaN,NaN,NaN,NaN,NaN,-61,NaN,NaN,7
-49,-32,-43,-32,-48,-42,NaN,-62,-66,-69,-75,-57,-68,-71,NaN,NaN,-67,NaN,-61,NaN,NaN,7
-53,-33,-44,-32,-49,-43,-48,-63,-65,-58,-70,NaN,NaN,NaN,-72,-83,NaN,NaN,-63,NaN,NaN,7
-49,-32,NaN,-34,-48,-42,-55,-63,-64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-59,NaN,NaN,7
-50,NaN,-43,-32,-47,-42,-55,-62,-67,-61,NaN,-57,-68,-69,-71,-78,NaN,NaN,NaN,NaN,NaN,7
-50,NaN,-43,-34,-47,-44,NaN,-64,-64,-56,-69,-60,NaN,-72,-73,NaN,-71,NaN,-55,NaN,NaN,7
-51,-36,-43,-31,-46,NaN,-47,-64,-66,-57,-67,-61,-85,-74,-57,NaN,-67,NaN,-58,NaN,NaN,7
-52,NaN,-42,-34,-48,-43,-57,-61,-67,NaN,NaN,-59,NaN,-72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7
-52,-32,-43,-34,-48,-43,NaN,NaN,-67,NaN,NaN,-59,NaN,NaN,NaN,NaN,NaN,NaN,-63,NaN,NaN,7
-48,-32,-43,-35,-48,-47,-56,-63,-66,-56,-67,-57,-70,-72,-72,NaN,-68,NaN,-63,-78,NaN,7
-49,-33,-42,-35,-48,-44,-49,-60,-66,-56,NaN,NaN,-72,-70,NaN,NaN,-53,-78,NaN,NaN,NaN,7
-49,-38,-43,-34,-49,-44,-53,-64,-65,-57,-69,-56,-69,-70,NaN,-81,NaN,NaN,-62,NaN,NaN,7
-52,-31,-45,-32,-48,-46,-52,-64,-67,-52,-67,-61,-71,-65,NaN,NaN,NaN,-77,NaN,-77,NaN,7
-54,-33,-43,-34,-51,-43,-53,-64,-65,-51,-70,-55,NaN,-72,NaN,NaN,-68,-76,-59,NaN,NaN,7
-49,-32,-43,-34,-50,-46,-54,-58,-67,-53,-69,-61,NaN,-67,-77,-78,NaN,-78,-63,NaN,NaN,7
-50,-33,-42,-34,-47,NaN,-54,-62,-65,-59,NaN,-56,-71,NaN,NaN,-81,-69,NaN,-58,NaN,NaN,7
-49,-33,NaN,-34,-49,-46,-55,-67,-66,-58,-71,-60,NaN,-70,NaN,NaN,NaN,NaN,-60,NaN,NaN,7
-54,-33,-43,-34,-60,-43,-47,-62,-66,-68,NaN,-59,NaN,-70,-72,-83,NaN,NaN,-68,NaN,NaN,7
-50,-33,-42,-34,-49,-68,-54,-62,-67,-56,-69,-58,NaN,NaN,NaN,-82,NaN,NaN,-59,NaN,NaN,7
-48,-33,-42,-34,-86,NaN,-49,-61,-66,-58,-69,-60,NaN,-73,-72,-81,-68,NaN,NaN,NaN,NaN,7
-50,-33,NaN,-33,-63,-44,-54,-63,-66,-68,NaN,NaN,NaN,NaN,-71,NaN,-68,NaN,-58,NaN,NaN,7
-50,-33,-41,-33,-49,-44,-54,-65,-64,-63,NaN,-59,NaN,-72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7
-48,-33,-42,-34,-49,NaN,-54,NaN,-64,-51,NaN,-64,-73,NaN,-75,NaN,NaN,NaN,-57,NaN,NaN,7
-48,-33,-43,-34,-49,-43,-54,-63,-64,-54,NaN,-59,NaN,NaN,NaN,NaN,NaN,NaN,-60,NaN,NaN,7
-50,-34,-42,-34,-48,-42,-54,-64,-65,-58,-69,NaN,NaN,-72,NaN,NaN,NaN,NaN,-60,NaN,NaN,7
-48,-33,-42,-32,-51,-42,-47,-63,-55,-68,-68,-60,NaN,-74,NaN,NaN,NaN,NaN,-62,NaN,NaN,7
-52,-33,-43,-34,-49,-45,-52,NaN,-67,-59,-72,-59,NaN,NaN,NaN,NaN,NaN,-78,-60,NaN,NaN,7
-48,-34,-43,-34,-71,-43,-54,-62,-63,-53,NaN,-60,NaN,-70,NaN,NaN,-71,NaN,-63,NaN,NaN,7
-48,-33,-43,-34,NaN,-43,-53,-63,-64,-61,-70,-60,-70,NaN,NaN,-81,-70,-77,NaN,-77,NaN,7
-51,-35,-41,-32,-50,-45,-53,-65,-63,-52,-71,-60,NaN,-72,-74,-77,-69,-79,-60,-78,NaN,7
-50,-32,-43,-34,-49,-70,-54,NaN,-66,-61,-69,-56,NaN,NaN,NaN,NaN,-69,NaN,-61,NaN,NaN,7
-47,-34,-41,-34,-48,NaN,-55,-67,-67,-56,NaN,-60,-68,NaN,-69,NaN,NaN,-79,NaN,NaN,NaN,7
-52,-33,NaN,-32,-49,-45,-47,-60,-67,-56,-69,-57,-70,-71,-69,NaN,-67,NaN,-61,NaN,NaN,7
-47,-33,-43,-34,-49,-44,-55,-62,-66,-56,-67,-57,-69,-71,-68,NaN,NaN,-74,-60,NaN,NaN,7
-47,-33,-42,-34,-51,-46,-55,-67,-68,NaN,NaN,-57,NaN,NaN,-74,-81,-68,-78,-59,NaN,NaN,7
-47,-33,-84,-34,-52,-45,-54,-69,-68,NaN,-63,-57,-69,-72,NaN,NaN,-69,NaN,-59,NaN,NaN,7
-47,-33,-44,-34,-49,-48,-54,NaN,-68,NaN,-68,-59,NaN,-73,NaN,NaN,-69,NaN,NaN,NaN,NaN,7
-47,-33,-46,-34,-51,-44,-50,-66,-67,-67,-70,-57,-69,NaN,-71,NaN,-69,NaN,-59,NaN,NaN,7
-47,-33,-44,-32,-49,-44,-52,-60,-68,NaN,-69,-58,-69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-86,7
-48,-33,-45,-32,-48,-49,-54,-61,-67,-56,-68,NaN,NaN,-69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7
-48,-33,-45,-32,-49,-44,-55,-61,-67,NaN,-71,-58,NaN,-72,NaN,-81,-68,-80,NaN,-75,NaN,7
-48,-33,-43,-31,-48,-44,-54,-60,-67,-65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-60,-75,NaN,7
-47,-34,-43,-34,NaN,-43,-54,-63,-67,-56,NaN,NaN,NaN,-71,NaN,-81,-68,NaN,-78,NaN,NaN,7
-47,-33,-42,-34,-48,-43,-53,-60,-66,-55,-70,NaN,NaN,NaN,NaN,NaN,-67,-79,-60,NaN,NaN,7
-47,-34,-44,-34,-48,-43,-53,-64,-67,-56,NaN,-60,NaN,NaN,-69,NaN,NaN,NaN,-60,NaN,NaN,7
-48,-34,-45,-34,-47,-49,-53,-59,-66,-55,-70,-56,-70,-72,-72,NaN,NaN,NaN,-53,NaN,NaN,7
-47,-33,-41,-34,-48,-44,-53,-61,-67,-55,NaN,NaN,NaN,-71,NaN,NaN,-67,NaN,-59,NaN,NaN,7
-48,-34,-43,-34,-46,-44,-52,-62,-67,-57,-66,-58,NaN,-71,NaN,NaN,NaN,NaN,NaN,-76,NaN,7
-48,-34,NaN,-34,-47,-45,NaN,-62,-67,-58,-67,NaN,NaN,NaN,NaN,NaN,-68,NaN,-59,NaN,NaN,7
-52,-34,-44,-34,-47,-43,-53,NaN,-67,-55,-67,-58,-67,-70,NaN,-81,-68,NaN,-60,NaN,-85,7
-48,-33,-45,-34,-57,-44,-52,-59,-67,-55,-68,-58,-69,-69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7
-50,-33,-44,-34,-48,-45,-54,NaN,-53,-53,NaN,-66,NaN,-67,NaN,NaN,NaN,NaN,-60,NaN,NaN,7
-49,-33,-44,-34,-49,-42,-52,NaN,-67,-58,-70,NaN,-71,NaN,NaN,-82,-67,NaN,NaN,NaN,NaN,7
-48,-33,-43,-34,-50,-42,NaN,-61,-67,-56,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7
-49,-33,-43,-32,NaN,-45,-52,NaN,-65,NaN,NaN,-60,-70,-64,NaN,NaN,-68,NaN,NaN,NaN,NaN,7
-49,-33,-42,-34,-48,-43,-53,-66,-66,-58,NaN,-67,NaN,NaN,-69,-78,-66,NaN,-58,NaN,NaN,7
-49,-32,-44,-34,-48,-42,-51,-62,-67,-57,-66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-62,NaN,NaN,7
-49,-33,-43,-32,NaN,-43,-52,-65,-66,-57,-66,-59,-68,-70,NaN,NaN,-67,NaN,NaN,NaN,NaN,7
-48,-33,-46,-34,-52,-42,NaN,NaN,-66,-65,-65,-58,-72,-70,NaN,-84,-64,NaN,NaN,NaN,NaN,7
-49,-33,-45,-32,-54,-43,-53,-63,-66,NaN,NaN,-59,-71,NaN,NaN,NaN,-68,NaN,-57,NaN,NaN,7
