04:18:d6:c1:98:24_inonet,4c:5e:0c:71:aa:15_RFKON2014-Mesh,4c:5e:0c:70:52:5a_RFKON2014-Mesh,18:28:61:1c:0b:69_EVOSOFT,e8:37:7a:6c:7f:55_PYR,4c:5e:0c:6f:20:b2_RFKON2014-Mesh,c0:4a:00:0f:03:51_BilTAY Teknoloji,dc:02:8e:c2:23:52_ILKSEM,06:18:d6:c2:98:24_inonet,d4:ca:6d:c9:f1:c5_RFKON2014-Mesh,4c:5e:0c:6f:20:fa_RFKON2014-Mesh,d4:ca:6d:bc:1d:73_RFKON2014-Mesh,4c:5e:0c:23:44:33_RFKON2014-Mesh,4c:5e:0c:71:a8:bf_RFKON2014-Mesh,e4:8d:8c:20:4d:c1_UPLAT,00:26:5a:52:0b:8c_RFKON_115,4c:5e:0c:67:ab:cf_evarobot,64:66:b3:d0:4a:8d_Cisco_KRD,18:28:61:9e:ab:5c_MMD,18:28:61:13:0d:9d_EROGLU,18:28:61:58:78:6a_Dlink_DAP-1360,REF_POINT
-53,-42,-29,-45,-59,-49,-64,-65,-72,NaN,NaN,-71,NaN,NaN,NaN,-82,NaN,NaN,NaN,NaN,NaN,2
-50,-38,-29,-45,-59,-48,-53,-66,-69,-68,-69,-70,NaN,NaN,NaN,-84,NaN,NaN,-69,NaN,NaN,2
-54,NaN,-64,-44,-63,NaN,NaN,-68,-69,-65,NaN,NaN,NaN,-78,-74,-75,NaN,NaN,NaN,NaN,NaN,2
-53,-37,-28,-49,-58,-47,-59,-68,-69,NaN,-67,NaN,-73,-77,-75,NaN,-76,-79,NaN,NaN,NaN,2
-52,-35,-29,-45,-59,-48,-59,NaN,-69,-65,-68,-68,-72,NaN,NaN,NaN,NaN,NaN,-69,NaN,-83,2
-49,-37,-28,-44,-56,-47,-59,-67,-69,-60,-68,-72,-73,-77,-73,NaN,NaN,-78,NaN,NaN,-81,2
-50,-39,-29,-48,-59,-48,-58,-66,-69,-59,NaN,-70,-72,NaN,-75,-72,-75,-78,NaN,NaN,NaN,2
-50,-35,-29,-45,-59,-47,-52,-66,-68,-62,-71,-71,-75,-80,NaN,-82,-76,-78,-67,NaN,-83,2
-49,-36,-29,-45,-59,-48,-57,-66,-70,-60,-68,-71,NaN,NaN,NaN,-81,NaN,-80,-70,NaN,NaN,2
-53,-36,-29,-45,-56,-48,-59,-67,-69,-59,NaN,-70,-74,NaN,-71,-85,-76,NaN,-70,NaN,NaN,2
-50,-36,-33,-47,-58,-49,-58,-67,-68,-57,-69,-75,-83,-78,NaN,NaN,-75,NaN,NaN,NaN,NaN,2
-50,-37,-29,-46,-58,-50,-57,-66,-68,-57,-69,-71,-85,-77,-73,-85,-75,-80,-70,NaN,NaN,2
-49,-38,-29,-45,-58,-49,-60,-67,-70,-59,NaN,-72,NaN,NaN,NaN,NaN,NaN,-78,-68,NaN,NaN,2
-66,-34,-43,-42,-67,-49,-45,-63,-67,-72,-71,-73,NaN,NaN,NaN,NaN,NaN,NaN,-69,NaN,NaN,3
-65,-35,-47,-44,-57,-55,-56,-63,-68,-62,-75,-67,-77,NaN,NaN,NaN,-74,NaN,NaN,NaN,NaN,3
-65,-35,-47,-45,-53,NaN,-56,-63,-63,-67,NaN,NaN,NaN,-71,NaN,-75,-70,-81,NaN,NaN,NaN,3
-62,-36,-47,-44,-52,NaN,-48,-62,-63,-66,NaN,-65,-83,NaN,-68,NaN,-65,NaN,-66,NaN,NaN,3
-65,-36,-46,-43,-87,-51,-69,NaN,-64,-65,-68,-63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3
-62,NaN,-45,-43,-52,-50,-55,-63,-63,-66,-67,-63,-73,NaN,-69,NaN,NaN,NaN,NaN,-82,NaN,3
-66,-35,-48,-49,-52,NaN,-56,NaN,-63,NaN,NaN,NaN,NaN,NaN,-67,NaN,-71,NaN,NaN,NaN,NaN,3
-65,-36,-46,-45,-52,-50,-47,-62,-63,NaN,-68,NaN,-74,-72,NaN,NaN,NaN,NaN,NaN,NaN,-86,3
-62,-35,-44,-43,-87,-51,-54,-62,-63,-76,-68,-65,-72,-72,NaN,NaN,-71,NaN,NaN,NaN,NaN,3
