4c:5e:0c:70:52:5a_RFKON2014-Mesh,4c:5e:0c:71:aa:15_RFKON2014-Mesh,04:18:d6:c1:98:24_inonet,4c:5e:0c:6f:20:b2_RFKON2014-Mesh,06:18:d6:c2:98:24_inonet,4c:5e:0c:6f:20:fa_RFKON2014-Mesh,dc:02:8e:c2:23:52_ILKSEM,c0:4a:00:0f:03:51_BilTAY Teknoloji,d4:ca:6d:bc:1d:73_RFKON2014-Mesh,e8:37:7a:6c:7f:55_PYR,d4:ca:6d:c9:f1:c5_RFKON2014-Mesh,4c:5e:0c:71:a8:bf_RFKON2014-Mesh,18:28:61:9e:ab:5c_MMD,00:26:5a:52:0b:8c_RFKON_115,4c:5e:0c:23:44:33_RFKON2014-Mesh,64:66:b3:d0:4a:8d_Cisco_KRD,18:28:61:58:78:6a_Dlink_DAP-1360,e4:8d:8c:20:4d:c1_UPLAT,REF_POINT
-33,-37,-52,-47,-67,-65,-60,-47,-64,-51,-50,NaN,-66,NaN,NaN,NaN,NaN,NaN,6
-33,-38,-51,-47,-66,-64,-58,-51,-64,-54,-50,NaN,NaN,-80,NaN,NaN,NaN,NaN,6
-31,-37,-51,-46,-66,-65,-58,-51,NaN,-54,-49,NaN,NaN,-79,NaN,NaN,-86,NaN,6
-33,-38,-53,-47,-62,-65,-59,-52,-65,-51,-50,NaN,NaN,-79,NaN,NaN,-86,NaN,6
-33,-38,-53,-47,-66,-65,-59,-52,-63,-51,-50,NaN,-66,NaN,NaN,NaN,NaN,NaN,6
-33,-38,-53,-51,-67,-65,-59,-52,-63,-51,-50,NaN,-65,NaN,-75,NaN,NaN,NaN,6
-33,-38,-53,-46,-66,NaN,-61,-52,-65,-51,-49,NaN,-66,NaN,-75,NaN,NaN,NaN,6
-33,-37,-53,-46,-60,NaN,-61,-52,-65,-51,-49,-74,-66,-81,-75,NaN,NaN,NaN,6
-33,-37,-52,-48,-67,-65,-61,-52,-65,-50,-50,-74,-65,-81,-75,NaN,NaN,NaN,6
-33,-37,-51,-48,-67,-64,-60,-51,-65,-51,-49,NaN,-65,NaN,NaN,NaN,NaN,NaN,6
-33,-37,-46,-50,-67,-65,-60,-52,-64,-50,-49,-74,-66,NaN,-74,NaN,NaN,NaN,6
-36,-38,-52,-49,-67,-65,-60,-52,-66,-50,-49,-74,-66,-81,-74,NaN,NaN,-74,6
-33,-39,-52,-51,-66,NaN,-61,-51,-65,-51,-49,NaN,NaN,-81,-72,NaN,NaN,-74,6
-33,-37,-52,-49,-67,-64,-61,-51,-66,-51,-49,NaN,-66,-82,-81,NaN,NaN,-74,6
-33,-37,-51,-49,-67,-65,-59,-52,-64,-50,-50,NaN,-66,-82,-74,NaN,NaN,-72,6
-33,-37,-52,-48,-68,-65,-62,-52,-71,-49,-50,NaN,-66,-81,-73,NaN,NaN,-76,6
-33,-37,-51,-48,-68,-65,-60,-52,-71,-50,-49,NaN,-67,-83,-72,NaN,NaN,-76,6
-33,-37,-52,-48,-68,NaN,-60,-52,-64,-55,-49,NaN,-67,-83,-72,NaN,NaN,NaN,6
-33,-37,-51,-48,-67,-65,-61,-52,-64,-88,-50,NaN,NaN,-82,-71,NaN,NaN,NaN,6
-33,-37,-52,-47,-67,-65,-59,-52,-65,-50,-51,-74,NaN,-81,-71,NaN,NaN,-63,6
-33,-42,-51,-47,-67,-65,-59,-52,-65,-50,-51,-74,-68,-81,-71,NaN,NaN,-63,6
-33,-37,-52,-48,-67,NaN,-72,-52,NaN,-51,-51,-73,-67,NaN,-75,NaN,NaN,-76,6
-33,-37,-52,-51,-67,-64,-72,-52,-65,-50,-50,-73,-66,-83,-75,NaN,NaN,-75,6
-33,-37,-50,-48,-57,-65,-60,-52,-66,-50,-51,NaN,-66,-83,NaN,NaN,NaN,-75,6
-33,-38,-52,-48,-65,-65,-61,-52,-71,-50,-50,-73,-64,NaN,-71,NaN,NaN,NaN,6
-33,-38,-54,-48,-66,-65,-59,-52,-71,-49,-50,-73,-64,NaN,-74,-86,NaN,-74,6
-33,-37,-52,-52,-67,NaN,-58,-52,-67,-52,-50,-73,-67,NaN,-72,-86,NaN,-75,6
-33,-36,-52,-48,-67,-68,-60,-52,-65,-50,-50,NaN,-66,NaN,-75,NaN,NaN,-75,6
-32,-36,-51,-48,-66,-68,-59,-50,-63,-49,-50,NaN,-64,NaN,-72,NaN,-87,NaN,6
-33,-36,-52,-48,-68,NaN,-72,-52,-66,-54,-52,NaN,-64,-83,-72,NaN,-87,NaN,6
-32,-37,-52,-49,-68,NaN,-59,-52,-65,-50,-50,NaN,NaN,-89,-71,NaN,NaN,NaN,6
-33,-38,-51,-53,-68,-64,-60,-52,-65,-50,-50,NaN,-65,-89,-71,NaN,NaN,NaN,6
-32,-36,-50,-47,-67,-64,-59,-51,-64,-50,-48,NaN,-65,NaN,-67,NaN,NaN,NaN,6
-32,-36,-51,-45,-67,-64,-71,-51,-63,-50,-48,-73,NaN,NaN,-67,NaN,NaN,NaN,6
-33,-79,-53,-48,-62,NaN,-60,-50,-63,-51,NaN,-73,NaN,NaN,-70,NaN,NaN,-75,6
-33,-39,-53,-48,-68,NaN,-61,-52,-63,-51,-49,-73,-64,-82,-70,NaN,NaN,-75,6
-33,-37,-54,-47,-68,NaN,-60,-52,-63,-50,-49,-73,-66,-82,-71,NaN,NaN,-75,6
-33,-38,-52,-47,-67,NaN,-60,-52,-64,-54,-49,NaN,-66,-82,-71,NaN,NaN,NaN,6
-33,-37,-56,-47,-68,NaN,-62,-51,-65,-55,-48,NaN,-66,NaN,NaN,NaN,NaN,NaN,6
-33,-37,-53,-47,-67,NaN,-62,-51,-65,-50,-48,NaN,-66,NaN,-75,NaN,NaN,NaN,6
-33,-37,-54,-47,-66,-65,-60,-52,-64,-51,-48,-74,-67,-82,-75,NaN,NaN,NaN,6
-33,-84,-52,-47,-67,-65,-60,-52,-64,-50,-48,-79,-67,-82,NaN,NaN,NaN,NaN,6
-33,-38,-52,-47,-67,NaN,-60,-51,-65,-51,-48,-79,-67,-82,NaN,NaN,NaN,NaN,6
-32,-37,-52,-48,-67,-65,-75,-52,-66,-51,-48,NaN,-68,-82,NaN,NaN,NaN,-80,6
-33,-37,-52,-48,-67,-65,-63,-52,-65,-51,-49,NaN,-66,NaN,NaN,NaN,NaN,-74,6
-33,-37,-52,-49,-65,NaN,-60,-52,-64,-51,-51,NaN,-66,-81,NaN,NaN,NaN,-74,6
-33,-38,-52,-49,-66,NaN,-60,-52,-64,-51,-51,NaN,-66,-81,-70,NaN,NaN,NaN,6
-32,-38,-52,-48,-67,-65,-59,-52,-64,-55,-49,NaN,-66,NaN,-69,NaN,NaN,NaN,6
-33,-37,-52,-47,-65,-65,-60,-52,-66,-51,-49,NaN,-64,NaN,-71,NaN,NaN,NaN,6
-33,-37,-52,-47,-66,-65,-60,-52,-66,-51,-49,NaN,-67,NaN,-71,NaN,NaN,NaN,6
-33,-37,-52,-47,-65,-65,-60,-52,-66,-50,-50,NaN,-64,NaN,-78,NaN,NaN,NaN,6
-33,-37,-52,-48,-67,-65,-63,-52,NaN,-51,-49,NaN,-68,NaN,-72,-86,NaN,-77,6
-33,-37,-52,-49,-66,-65,-62,-52,-65,-51,-49,NaN,-67,NaN,-73,-86,-85,-75,6
-33,-38,-53,-49,-67,NaN,-61,-52,-66,-50,-49,NaN,-67,NaN,-75,NaN,-85,-75,6
-38,-34,-61,-50,-65,-72,-69,-63,-58,-54,-49,-68,-62,-79,-70,NaN,NaN,NaN,7
-38,-71,-59,-54,-65,-67,-64,-65,-59,-52,-50,-68,-59,-66,-67,NaN,NaN,-72,7
-37,-38,-57,-54,-66,-64,-64,-70,-56,-55,-49,-70,-60,-75,-67,NaN,NaN,-73,7
-35,-40,-58,-51,-69,-64,-66,-65,-58,-54,-49,-68,-59,-75,-55,NaN,NaN,-73,7
-35,-39,-49,-52,-68,-64,-66,-64,-58,-53,-48,-68,-60,NaN,-55,-83,NaN,NaN,7
-35,-38,-58,-51,-66,NaN,-65,-67,-58,-90,-48,NaN,-59,NaN,NaN,-83,NaN,-71,7
-35,-38,-59,-54,-67,-64,-64,-64,-58,-53,-48,NaN,-58,NaN,-68,NaN,NaN,-71,7
-35,-41,-58,-70,-68,-64,-64,-68,-59,-53,-49,-69,-60,-77,-68,NaN,NaN,NaN,7
-35,-80,-59,-54,-68,NaN,-65,-68,-57,-53,-48,-69,-59,-77,NaN,NaN,-84,NaN,7
-36,-40,-58,-54,-68,NaN,-65,-68,-58,-58,-49,NaN,-59,NaN,NaN,NaN,-84,NaN,7
-35,-41,-59,-51,-69,-68,-65,NaN,-56,-53,-48,-71,-59,-78,-68,NaN,NaN,NaN,7
-34,-39,-59,-51,-68,-68,-65,-64,-56,-56,-47,-69,NaN,-78,-65,NaN,NaN,NaN,7
-34,-39,-58,-51,-68,NaN,-65,-64,-56,-54,-48,-69,-60,-64,-68,NaN,NaN,-70,7
-34,-40,-56,-51,-64,-62,-65,-63,-57,-55,-47,-70,-60,-80,-68,NaN,NaN,-71,7
-35,-41,-50,-50,-69,-65,-65,-66,-58,-53,-46,-71,-60,-80,NaN,NaN,NaN,-71,7
-34,-41,-54,-50,-68,-65,-64,-62,-57,-56,-48,-71,-90,-78,-68,NaN,NaN,-71,7
-35,-41,-55,-50,-69,-66,-67,-62,-58,-52,-48,NaN,-90,-78,-68,NaN,NaN,NaN,7
-35,-39,-56,-47,-66,-66,-65,-62,-58,-55,-47,NaN,-59,-78,NaN,NaN,NaN,NaN,7
-35,-39,-48,-50,-66,-64,-64,NaN,-58,-53,-47,-71,-58,NaN,-69,NaN,NaN,NaN,7
-34,-39,-57,-52,-66,-65,-66,NaN,-59,-53,-47,-72,-59,-78,-69,NaN,NaN,NaN,7
-35,-41,-55,-51,-62,-65,-66,-69,-59,-57,-47,-70,-59,-78,-69,NaN,NaN,NaN,7
-35,-39,-57,-49,-67,NaN,-65,-69,-58,-55,-47,-70,-59,-77,-68,NaN,NaN,NaN,7
-35,-40,-57,-49,-67,-65,-66,-70,-58,-54,-47,-71,-59,-78,-69,NaN,NaN,-74,7
-35,-40,-58,-51,-67,-68,-65,-63,-58,-53,-47,-71,-59,-78,-70,NaN,NaN,-73,7
-35,-39,-55,-50,-67,-66,-66,-68,-58,-57,-47,-70,-59,-66,-69,-86,NaN,-72,7
-35,-43,-58,-50,-66,-66,-66,-72,-58,-53,-47,-70,-59,-66,-69,-86,NaN,-72,7
-35,-43,-57,-50,-67,-66,-66,-69,-57,-54,-48,-70,-58,-78,-76,NaN,NaN,NaN,7
-34,-40,-51,-50,-67,-65,-71,-68,-57,-56,-52,NaN,-59,-78,-68,NaN,NaN,NaN,7
-36,-41,-50,-49,-67,-65,-65,-69,-59,-53,-47,NaN,-59,NaN,-68,NaN,NaN,NaN,7
-36,-40,-57,-49,-67,NaN,-69,-68,-59,-56,-44,NaN,-60,NaN,-68,NaN,NaN,NaN,7
-36,-39,-55,-49,-67,NaN,-68,-68,-59,-54,-48,NaN,-60,NaN,-68,NaN,-84,NaN,7
-35,-39,-55,-50,-67,-65,-66,-67,-57,-53,-48,-70,NaN,-75,-69,NaN,-84,NaN,7
-36,-40,-55,-50,-67,-65,-67,-67,-57,-57,-47,-70,-59,-77,-75,NaN,NaN,NaN,7
-36,-39,-48,-51,-67,-65,-65,-63,-57,-54,-47,NaN,-58,-77,-67,NaN,NaN,-74,7
-35,-39,-52,-51,-67,-65,-67,-63,-57,-53,-47,NaN,-59,NaN,-67,NaN,NaN,-74,7
-35,-39,-48,-51,-67,-65,-66,-63,NaN,-53,-48,NaN,-60,NaN,NaN,NaN,NaN,-74,7
-35,-39,-57,-50,-67,NaN,-67,-66,NaN,-57,-48,-69,-60,NaN,NaN,NaN,NaN,-74,7
-35,-39,-56,-51,-67,-67,-68,-69,-58,-58,-48,-69,-60,NaN,-66,NaN,NaN,-75,7
-35,-41,-56,-51,-67,-65,-68,-70,-58,-58,-48,-69,-59,-76,-66,NaN,NaN,-75,7
-35,-40,-57,-49,-66,-65,NaN,-70,-58,-53,-48,NaN,-59,-76,NaN,NaN,NaN,NaN,7
-35,-39,-57,-56,-67,NaN,-66,-61,-58,-53,-47,-70,NaN,NaN,-67,NaN,-87,NaN,7
-36,-38,-57,-49,-67,NaN,-67,-68,-58,-54,-48,-70,-59,-77,-68,NaN,-87,NaN,7
-35,-41,-56,-50,-67,-68,-72,-59,-89,-54,-48,-70,-60,-77,-68,NaN,NaN,-69,7
-36,-41,-57,-50,-66,-68,-66,-59,-57,-56,-48,NaN,-59,NaN,NaN,NaN,NaN,-68,7
-36,-43,-58,-50,-67,NaN,-66,-67,-58,-56,-47,NaN,-60,NaN,NaN,NaN,NaN,-69,7
-36,-40,-57,-51,-67,-67,-72,-68,-58,-54,-48,NaN,-58,NaN,NaN,NaN,NaN,-69,7
-36,-41,-57,-50,-66,-67,-65,-68,-58,-52,-48,-70,-59,-65,-69,NaN,NaN,-69,7
-35,-38,-56,-50,-67,-64,-66,-59,-59,-57,-48,-70,-59,-65,-69,NaN,-85,-69,7
-35,-41,-56,-48,-66,-64,-68,-67,-57,-58,-47,NaN,-59,-78,NaN,NaN,-85,-69,7
-36,-41,-48,-49,-67,-64,-69,-63,-56,-52,-48,NaN,-59,-79,-67,NaN,NaN,-69,7
-35,-39,-56,-49,-67,-67,-65,-72,-58,-54,-48,NaN,-59,-79,-67,NaN,NaN,NaN,7
-36,-41,-54,-47,-67,-64,-65,-72,-58,-56,-48,NaN,-57,-78,-68,NaN,NaN,NaN,7
-35,-40,-57,-48,-63,-64,NaN,-63,-63,-55,-48,-73,-62,-78,-68,NaN,NaN,NaN,7
-35,-40,-48,-49,-64,NaN,-74,-63,-63,-53,-48,-73,-58,-77,NaN,NaN,NaN,NaN,7
-35,-42,-57,-49,-65,NaN,-66,-67,-55,-58,-46,NaN,-58,-77,-69,NaN,NaN,NaN,7
-34,-42,-57,-49,-65,NaN,-66,-62,-57,-53,-46,NaN,-58,NaN,-69,NaN,NaN,NaN,7
-35,-41,-57,-47,-66,-67,-66,-61,-56,-52,NaN,NaN,-60,-81,NaN,NaN,NaN,-71,7
-36,-41,-56,-48,-66,-64,-67,-62,-61,-57,-49,NaN,-59,-81,NaN,NaN,-85,-71,7
-35,-41,-56,-48,-66,-64,-73,-68,-59,-54,-47,NaN,-59,-81,NaN,NaN,-85,NaN,7
-35,-41,-56,NaN,-66,-64,-66,-69,-56,-53,-48,NaN,-57,NaN,NaN,NaN,NaN,NaN,7
-35,-42,-56,-48,-66,-64,-66,-69,-56,-54,-48,NaN,-57,NaN,-68,NaN,-84,NaN,7
-35,-41,-56,-49,-61,-64,-65,-64,-57,-54,-48,-64,NaN,-64,-69,NaN,-84,NaN,7
-35,-42,-56,-54,-65,-67,-65,-69,-56,-55,-47,-64,-57,-64,-70,NaN,NaN,NaN,7
-35,-41,-56,-48,-65,-64,-66,-70,-56,-53,-48,NaN,-59,NaN,-70,NaN,NaN,-68,7
-35,-42,-53,-48,-66,-65,-64,-68,-56,-53,-48,NaN,-59,NaN,-69,-84,NaN,-68,7
-35,-42,-56,-47,-66,-65,-65,-69,-57,-55,-48,NaN,NaN,NaN,-69,-84,NaN,NaN,7
-36,-41,-48,-48,-67,NaN,-65,-67,-57,-52,-48,NaN,-59,-77,NaN,NaN,NaN,NaN,7
-35,-42,-55,-48,-67,-64,-64,-68,-58,-57,-48,NaN,-58,-78,-68,NaN,NaN,NaN,7
-35,-42,-55,-49,-67,-64,-67,-69,-57,-57,-49,-73,-58,-78,-68,NaN,NaN,NaN,7
-36,-45,-54,-49,-66,-64,-66,-69,-57,-56,-48,-73,-58,NaN,-71,NaN,NaN,NaN,7
-36,-41,-56,-49,-67,NaN,-71,NaN,-57,-57,-48,-68,-58,NaN,-69,NaN,NaN,-69,7
-35,-42,-55,-49,-66,-64,-65,-62,-57,-54,-48,-68,-58,-79,-68,NaN,NaN,-69,7
-36,-42,-56,-49,-66,-66,-64,-69,-57,-53,-48,-68,-59,-79,-68,NaN,NaN,NaN,7
-35,-41,-48,-49,-67,-64,-72,-69,-56,-52,-48,-67,-57,-79,-69,NaN,NaN,NaN,7
-35,-41,-50,NaN,-67,-67,-71,-70,-56,-53,-48,-67,-57,-79,-71,NaN,NaN,-70,7
-34,-40,-55,-49,-67,-64,-65,-69,-56,-52,-48,NaN,-58,NaN,-71,NaN,NaN,-71,7
-35,-40,-55,-49,-67,-67,-65,-69,-57,-52,-48,NaN,-59,-78,-71,NaN,NaN,-70,7
-35,-42,-54,-48,-67,-67,-65,-68,-58,-52,-48,-68,-58,-77,-70,NaN,NaN,-70,7
-35,-42,-55,-49,-67,-62,-66,-68,-57,-53,-49,-68,-58,-77,-70,NaN,NaN,NaN,7
-35,-42,-54,-49,-68,-64,-65,-69,-56,-52,-48,NaN,-59,NaN,NaN,NaN,NaN,NaN,7
-46,-40,-47,-54,-62,NaN,-68,-58,-56,-47,-47,-68,-56,-74,NaN,-78,NaN,-71,8
-45,-70,-54,-51,-63,NaN,-63,-57,-58,-48,-46,NaN,-56,-74,-75,-78,NaN,-71,8
-46,-32,-52,-51,-62,NaN,-69,-59,-58,-48,-46,NaN,-55,NaN,-72,NaN,NaN,NaN,8
-45,-31,-55,-51,-63,NaN,-69,-60,-58,-47,NaN,-69,-55,NaN,-70,NaN,NaN,NaN,8
-43,-69,-54,-51,-63,-73,-69,-58,-59,-52,-47,-64,NaN,NaN,-72,NaN,NaN,NaN,8
-45,-31,-53,-51,-64,-73,-62,-59,-58,-46,-46,-64,NaN,-75,-72,NaN,NaN,NaN,8
-42,-31,-56,-50,-63,NaN,-62,-61,-57,-46,-46,NaN,NaN,-75,-73,NaN,NaN,NaN,8
-44,-31,-56,-52,-63,-71,-63,-58,-57,-48,-47,-66,-57,-75,-71,NaN,NaN,NaN,8
-45,-32,-54,-50,-63,-71,-70,-58,-58,-47,-48,-74,-61,-75,-71,NaN,NaN,NaN,8
-45,-31,-52,-48,-61,-71,-64,-59,-58,-48,-48,-74,-57,NaN,-78,NaN,NaN,-71,8
-49,-33,-51,-45,-62,-71,-69,-56,-56,-62,-48,-64,-57,-73,-76,NaN,NaN,-71,8
-44,-31,-52,-49,-63,NaN,-69,-81,-56,-60,-46,-64,-56,-70,-74,NaN,NaN,-71,8
-46,-31,-55,-43,-63,NaN,NaN,-55,-55,-46,-46,-64,-56,-74,-74,NaN,NaN,-72,8
-44,-31,-52,-51,-64,-73,-62,-56,-58,-47,-46,-63,-56,-74,-72,NaN,NaN,-72,8
-44,-31,-57,-55,-65,-73,-70,-56,-57,-60,-48,-65,-56,-73,-73,NaN,NaN,-72,8
-45,-32,-56,-50,-66,NaN,-63,-56,-57,-47,-47,-64,-57,-73,-73,NaN,NaN,NaN,8
-46,-31,-55,-51,-62,NaN,-63,-56,-57,-59,-47,-64,-57,-73,-73,NaN,NaN,NaN,8
-45,-69,-55,-51,-62,NaN,-63,-57,-58,-46,-44,-64,-56,-73,-78,-81,NaN,NaN,8
-45,-36,-55,-50,-62,-73,-63,-57,-58,-65,-47,-64,-56,-76,-75,-81,-85,NaN,8
-45,-31,-56,-51,-61,-74,-61,-57,NaN,-48,-46,-63,-56,-76,-73,-81,-85,NaN,8
-45,-31,-55,-50,-60,-74,-74,-57,NaN,-49,-47,-64,-64,-76,-69,-81,NaN,NaN,8
-43,-32,-55,-51,-61,NaN,-63,-55,-57,-48,-46,-63,-55,-72,-72,NaN,NaN,-71,8
-46,-31,-55,-51,-60,NaN,-63,-55,-63,-46,-45,-64,-57,-73,-72,NaN,NaN,-71,8
-44,-34,-54,-49,-62,NaN,-64,-56,-59,-47,-46,-65,-56,-73,-75,NaN,NaN,NaN,8
-44,-31,-55,-49,-62,NaN,-64,-56,-59,-61,-47,-65,-56,-75,-75,NaN,NaN,NaN,8
-45,-31,-54,-51,-61,-71,-63,-58,-60,-45,-47,-70,-56,-74,-78,-79,NaN,-72,8
-47,-31,-54,-49,-63,-71,-66,-56,-60,-46,-49,-70,-56,-74,-78,-79,NaN,-72,8
-48,-35,-55,-50,-63,-73,-62,-56,-61,-46,-49,NaN,-55,NaN,NaN,NaN,NaN,-72,8
-48,-30,-55,-50,-62,-73,-63,-56,-60,-47,-45,-63,-56,NaN,-75,NaN,NaN,-72,8
-49,-30,-54,-48,-62,-73,-64,-56,-59,-46,-47,-63,-55,-75,-76,NaN,NaN,NaN,8
-47,-31,-55,-49,-64,-74,-63,-55,-61,-45,-85,-63,-55,-75,-76,NaN,NaN,-73,8
-45,-30,-54,-50,-64,-73,-63,-57,-56,-45,-47,-64,-56,-74,NaN,-78,NaN,-72,8
-50,-30,-53,-50,-63,-73,-63,-57,-59,-45,-45,-64,-56,-75,NaN,-78,NaN,-71,8
-50,-31,-54,-45,-63,NaN,-69,-56,-59,-47,-47,NaN,-58,-73,NaN,-83,NaN,-73,8
-51,-30,-58,-49,-61,NaN,-64,-56,-56,-45,-46,-64,-58,-75,-75,-83,NaN,-78,8
-47,-31,-54,-49,-62,NaN,-64,-56,-56,-47,-50,-64,-57,-74,-75,NaN,NaN,-78,8
-50,-30,-56,-48,-59,NaN,-64,-56,-56,-52,-45,-64,-55,-75,-77,-82,NaN,NaN,8
-50,-31,-56,-48,-63,-74,-63,-56,-56,-46,-47,-64,-55,-73,-74,-82,NaN,NaN,8
-50,-31,-52,-49,-63,-74,-64,-55,-56,-60,-49,-64,NaN,-75,-73,NaN,NaN,-71,8
-48,-31,-57,-51,-61,-69,-62,-56,-60,-47,-46,-65,NaN,-75,-73,NaN,NaN,-71,8
-48,-31,-58,-52,-62,-69,-61,-56,-55,-45,-49,-65,NaN,NaN,-71,-80,NaN,-71,8
-50,-30,-53,-50,-62,-74,-61,-57,-58,-45,-48,-64,-58,NaN,-71,-80,NaN,-71,8
-47,-31,-53,-50,-60,-74,-64,-55,-58,-44,-49,-64,-58,-76,-71,-80,NaN,NaN,8
-46,-30,-54,-51,-61,-74,-73,-57,-58,-43,-49,-64,-57,-75,-70,-82,NaN,NaN,8
-46,-30,-52,-53,-62,NaN,-71,-56,-56,-45,-46,-65,-55,-75,-70,-82,NaN,NaN,8
-46,-31,-57,-50,-63,NaN,-63,-57,-57,-45,-50,-64,-59,NaN,-71,-80,NaN,-68,8
-45,-33,-53,-50,-61,NaN,-63,-57,-56,-44,-48,-64,-57,-79,-71,-80,NaN,-68,8
-43,-33,-55,-48,-59,-74,-66,-56,-59,-44,-47,NaN,-56,-79,NaN,NaN,NaN,-67,8
-45,-30,-56,-49,-62,-74,-66,-55,-56,-43,-48,-63,-58,-76,-74,NaN,NaN,-67,8
-45,-31,-56,-49,-61,NaN,-64,-55,-56,-44,-48,-65,-58,-76,-72,NaN,NaN,-69,8
-44,-32,-54,-49,-61,NaN,-63,-54,NaN,-43,-47,-61,-59,-75,-72,-82,NaN,-69,8
-39,-30,-53,-48,-63,NaN,-61,-56,-56,-45,-47,-61,-57,-75,-73,-82,NaN,NaN,8
-44,-30,-53,-44,-62,-73,-62,-56,-56,-44,-48,-66,-57,NaN,-73,NaN,NaN,NaN,8
-45,-30,-54,-49,-63,-73,-67,-56,-58,-43,-45,-66,-56,-75,-74,-82,NaN,-69,8
-45,-31,-55,-48,-62,NaN,-64,-56,-62,-59,-43,-62,-61,-75,-71,-82,NaN,-65,8
-44,-30,-56,-50,-62,-72,-64,-55,-62,-44,-47,-62,-59,-65,-69,NaN,NaN,-69,8
-44,-30,-58,-48,-63,-72,-67,-55,-56,-44,-47,NaN,-57,-75,-72,NaN,NaN,-75,8
-45,-31,-54,-50,-62,-72,-65,-55,-59,-44,-47,NaN,-59,-74,-72,NaN,NaN,-75,8
-54,-30,-53,-49,-62,NaN,-63,-55,-59,-44,-47,-63,-58,-74,-70,NaN,NaN,NaN,8
-45,-30,-55,-50,-63,-71,-63,-56,-56,-45,-48,-64,-58,NaN,-70,NaN,NaN,NaN,8
-45,-31,-54,-48,-62,-73,-68,-56,-57,-42,-47,-63,-58,-75,-70,NaN,NaN,-70,8
-44,-33,-54,-48,-63,-74,-62,-56,-56,-45,-47,-64,-58,-72,-77,NaN,NaN,-69,8
-46,-33,-53,-48,-64,-73,-62,-55,-56,-44,-46,-63,-58,-74,-75,NaN,NaN,-69,8
-39,-33,-55,-47,-63,-73,-63,-57,-56,-63,-47,-62,-57,-72,-72,-82,NaN,-76,8
-40,-36,-52,-48,-60,-73,-67,-55,-58,-46,-44,-63,-57,-74,-72,-82,NaN,-70,8
-43,-31,-53,-44,-61,-73,-64,-55,-62,-59,-48,-64,NaN,-73,NaN,-80,NaN,-72,8
-46,-30,-47,-51,-61,-72,-69,-57,-63,-44,-46,-68,NaN,-73,-76,-80,NaN,-71,8
-46,-30,-53,-50,-62,-73,-63,-55,-56,-43,-47,-68,-58,-75,-75,NaN,NaN,-69,8
-45,-31,-53,-47,-62,-73,-62,-56,-57,-44,-47,-63,-57,-73,-75,NaN,NaN,-69,8
-45,-30,-57,-49,-62,-74,-62,-56,-57,-44,-47,-63,-58,-73,-74,NaN,NaN,-69,8
-45,-30,-54,-50,NaN,-75,-61,-56,-52,-44,-47,-63,-58,-76,-74,-80,NaN,-70,8
-46,-31,-56,-49,-64,-73,-62,-55,-55,-44,-46,-64,-58,-76,-74,-80,NaN,-70,8
-46,-30,-53,-50,-64,-73,-63,-57,-56,-44,-46,-64,-58,-74,NaN,NaN,NaN,-71,8
-45,-31,-54,-53,NaN,-71,-69,-49,-56,-43,-46,NaN,-58,-74,-73,NaN,NaN,-71,8
-45,-31,-53,-44,-63,-71,-63,-56,-56,-57,-45,-60,-58,-72,-73,NaN,NaN,-71,8
-46,-30,-54,-50,-61,-71,-66,-56,-56,-61,-46,-64,-58,-74,NaN,NaN,NaN,-68,8
-46,-31,-55,-48,-60,-72,-66,-55,NaN,-44,-45,-65,-60,-72,NaN,NaN,NaN,-69,8
-45,-31,-51,-46,-62,-72,-65,-56,-57,-45,-45,-64,-60,-72,NaN,NaN,NaN,-68,8
-44,-31,-54,-50,-61,NaN,-66,-56,-55,-45,-45,-64,-58,-78,-72,NaN,NaN,-68,8
-44,-30,-55,-51,-63,NaN,-65,-57,-58,-44,-45,-63,-59,-78,-72,NaN,NaN,-71,8
-54,-37,-47,-45,-53,NaN,-58,-55,-56,-48,-35,-70,-54,NaN,-69,NaN,-74,NaN,9
-53,-34,-46,-44,-53,NaN,-60,-59,-53,-49,-38,-60,-52,NaN,-72,NaN,-74,NaN,9
-65,-34,-47,-48,-55,NaN,-59,-58,-55,-43,-38,-68,-53,NaN,-68,NaN,NaN,NaN,9
-51,-35,-49,-48,-54,-65,-61,-57,-66,-44,-38,-61,-51,NaN,-68,NaN,NaN,NaN,9
-55,-36,-47,-48,-54,-65,-62,-59,-54,-44,-37,-61,-51,NaN,-68,NaN,NaN,-70,9
-53,-35,-50,-49,-55,NaN,-60,-59,-56,-45,-38,NaN,-53,NaN,-68,-73,-71,-70,9
-52,-34,-47,-50,-54,NaN,-57,-59,-55,-47,-41,-60,-52,NaN,-68,-73,-71,-68,9
-51,-35,-48,-51,-54,NaN,-59,-59,-54,-45,-40,-60,-51,-75,-67,-79,NaN,-70,9
-49,-35,-49,-51,-55,-65,-58,-55,-55,-48,-40,-61,-51,-70,-67,-79,-72,-73,9
-49,-35,-47,-72,-53,-65,-60,-58,-67,-48,-37,-61,-51,-73,-69,-79,-72,-73,9
-49,-35,-47,-52,-55,NaN,-59,-59,-54,-44,-37,-68,-52,-73,-69,NaN,NaN,NaN,9
-51,-36,-48,-49,-55,NaN,-60,-58,-54,-44,-37,-61,-57,-74,-74,NaN,NaN,NaN,9
-50,-35,-47,-49,-54,-65,-60,-58,-54,-47,-37,-60,-52,-75,-67,NaN,NaN,NaN,9
