4c:5e:0c:70:52:5a_RFKON2014-Mesh,4c:5e:0c:71:aa:15_RFKON2014-Mesh,04:18:d6:c1:98:24_inonet,4c:5e:0c:6f:20:b2_RFKON2014-Mesh,06:18:d6:c2:98:24_inonet,4c:5e:0c:6f:20:fa_RFKON2014-Mesh,dc:02:8e:c2:23:52_ILKSEM,c0:4a:00:0f:03:51_BilTAY Teknoloji,d4:ca:6d:bc:1d:73_RFKON2014-Mesh,e8:37:7a:6c:7f:55_PYR,d4:ca:6d:c9:f1:c5_RFKON2014-Mesh,4c:5e:0c:71:a8:bf_RFKON2014-Mesh,18:28:61:9e:ab:5c_MMD,00:26:5a:52:0b:8c_RFKON_115,4c:5e:0c:23:44:33_RFKON2014-Mesh,64:66:b3:d0:4a:8d_Cisco_KRD,18:28:61:58:78:6a_Dlink_DAP-1360,e4:8d:8c:20:4d:c1_UPLAT,REF_POINT
-32,-41,-55,-58,-73,-79,-65,-68,-68,-60,-67,-75,-72,-89,-80,-90,-87,NaN,2
-33,-41,-55,-59,-71,-79,-64,-68,-68,-60,-64,NaN,-72,NaN,-80,-90,-87,NaN,2
-32,-41,-56,-57,-71,-79,-65,-68,-68,-58,-63,NaN,-72,NaN,NaN,NaN,NaN,NaN,2
-33,-44,-54,-60,-72,NaN,-65,-66,-67,-59,-65,-74,NaN,NaN,NaN,NaN,NaN,NaN,2
-34,-45,-55,-59,-73,-73,-65,-66,-67,-62,-65,-74,NaN,NaN,NaN,NaN,NaN,NaN,2
-33,-46,-54,-59,-72,-74,-63,-70,-65,-57,-62,NaN,-76,NaN,-82,NaN,NaN,NaN,2
-33,-47,-55,-56,-71,-74,-65,-65,-64,-56,-62,-76,-73,NaN,-82,-87,NaN,-84,2
-33,-45,-54,-59,-71,-75,-63,-65,-67,-66,-61,-75,-73,NaN,NaN,-86,NaN,-79,2
-33,-45,-54,-62,-71,-75,-63,-65,-65,-63,-59,-75,-73,NaN,-76,-88,NaN,-79,2
-33,-45,-55,-59,-71,-75,-65,-65,-67,-58,-58,-75,NaN,NaN,-77,-88,NaN,NaN,2
-33,-45,-55,-58,-72,-75,-64,-65,-65,-88,-61,-75,-72,-90,-76,NaN,NaN,NaN,2
-33,-45,-55,-55,-74,NaN,-65,-65,-66,-88,-60,NaN,-72,-90,-76,NaN,NaN,NaN,2
-33,-44,-55,-58,-61,-75,-63,-64,-66,-55,-64,-75,-73,NaN,NaN,NaN,NaN,NaN,2
-33,-45,-57,-56,-72,-76,-65,-65,-66,-63,-62,-75,-73,NaN,NaN,NaN,NaN,NaN,2
-33,-45,-55,-59,-73,-75,-64,-65,-66,-63,-62,-79,-73,NaN,NaN,NaN,NaN,NaN,2
-33,-45,-55,-57,-73,-75,-64,-65,-65,-60,-63,-79,-74,NaN,NaN,NaN,NaN,-82,2
-34,-45,-55,-57,-73,-76,-64,-57,-66,-58,-62,-76,-74,NaN,NaN,NaN,NaN,-82,2
-34,-46,-54,-60,-72,-75,-65,-42,-66,-57,-62,-76,NaN,NaN,-81,NaN,NaN,NaN,2
-34,-45,-56,-61,-72,-75,-63,-65,-66,-62,-61,-76,NaN,NaN,-81,NaN,NaN,-75,2
-34,-45,-55,-60,-72,-75,-64,-65,-65,-62,-59,-74,NaN,NaN,-82,NaN,NaN,-79,2
