GLOBAL MAGNETIC FIELD X,GLOBAL MAGNETIC FIELD Y,GLOBAL MAGNETIC FIELD Z,REF_POINT
3.98E-07,12.90377057,-28.81729574,5
-1.68E-07,12.41654913,-28.90031581,5
3.64E-07,11.97080756,-28.80447861,5
5.09E-07,12.24324202,-28.99271735,5
-1.97E-07,12.77305098,-28.36543235,5
1.08E-06,12.40876691,-28.54175306,5
6.78E-07,12.39326699,-29.08680432,5
8.70E-08,12.49106798,-28.81534578,5
-4.65E-07,12.63428484,-28.72081026,5
-4.38E-07,12.77952737,-29.08775136,5
3.10E-07,12.54411641,-28.81260831,5
-4.23E-07,9.766471773,-27.7451808,6
-7.60E-07,9.838416451,-27.19251791,6
-7.65E-07,10.15068371,-26.83270376,6
-2.45E-07,10.31760028,-27.20975649,6
1.69E-06,10.46985743,-27.21008047,6
-7.57E-07,10.27727926,-27.02278515,6
-1.56E-06,10.56316944,-27.11294782,6
-6.24E-07,10.8951576,-27.02441269,6
1.02E-06,10.77783591,-27.12278502,6
9.82E-07,10.63877398,-27.12357353,6
-9.81E-07,10.36979808,-27.12072645,6
7.11E-08,10.45511756,-26.75377221,6
-1.45E-07,10.31927664,-26.56626962,6
9.24E-07,10.1139223,-27.28687467,6
-1.46E-07,10.52420923,-27.30025384,6
-1.90E-07,10.8432037,-27.1150469,6
6.68E-08,10.84021324,-26.94586893,6
-8.60E-07,10.46163003,-27.11489127,6
-7.49E-07,9.970193082,-27.47233386,6
6.54E-08,10.42830074,-27.65620194,6
1.70E-07,10.90666857,-27.40234736,6
-6.23E-08,10.74273115,-27.4841021,6
-1.02E-06,10.39941956,-27.65853083,6
-9.66E-07,10.57745941,-27.11741241,6
-1.04E-06,10.36095311,-27.21406556,6
-9.04E-07,10.18683473,-27.5704021,6
1.14E-06,10.32724679,-27.38683797,6
1.03E-06,10.73592573,-27.75801667,6
8.15E-09,10.6346292,-27.57597006,6
-5.48E-07,10.48867552,-27.57258602,6
1.60E-07,10.38987827,-27.20981172,6
-5.63E-07,10.31019267,-27.20107726,6
8.56E-07,10.04943494,-27.38475616,6
9.26E-08,10.3805549,-27.20684861,6
3.23E-07,10.30877345,-27.20524988,6
2.42E-07,10.18782587,-27.38215404,6
7.14E-07,10.26456612,-27.75561991,6
-5.27E-07,10.84768473,-28.31022267,6
2.45E-07,10.3970186,-28.11588343,6
-8.46E-07,10.48673429,-27.38912152,6
-9.55E-08,10.40422736,-32.02447991,7
2.23E-07,10.0253289,-31.75547501,7
3.60E-07,9.525010844,-31.92371166,7
1.66E-07,9.723799192,-31.46919211,7
-4.96E-07,9.982595939,-30.8387342,7
1.03E-07,10.05547808,-31.11225247,7
-1.59E-07,9.802333294,-31.19879905,7
3.62E-07,9.942029249,-31.30070915,7
-5.70E-07,10.32403441,-31.02527436,7
1.80E-07,9.76823989,-31.56858243,7
-1.41E-07,10.0664686,-31.47235468,7
3.84E-07,10.25138727,-31.29325321,7
9.30E-08,9.945318197,-31.75349413,7
-3.70E-08,9.862310278,-31.20689407,7
-3.24E-07,9.775209817,-31.20438309,7
2.42E-08,9.936728002,-31.84473535,7
3.40E-07,10.16723673,-31.37858379,7
-1.78E-07,9.868019268,-31.20483678,7
-4.02E-07,9.87530861,-30.9312718,7
-5.95E-07,9.545890989,-30.64869026,7
-3.46E-07,9.847100314,-31.57267346,7
-4.76E-07,10.77185215,-32.11524967,7
3.32E-07,10.17740255,-31.58498996,7
3.23E-07,9.330501036,-31.11033275,7
4.62E-07,9.606161128,-30.92857251,7
1.77E-07,9.86756506,-31.20455281,7
8.50E-08,9.728222549,-31.19655831,7
-2.08E-07,10.15174619,-31.29589772,7
-3.42E-07,10.04100298,-31.29825793,7
-1.05E-07,10.03134818,-31.1208461,7
-4.17E-07,9.322193741,-31.20322819,7
-2.13E-07,9.525515746,-31.55958746,7
-1.13E-08,9.669096578,-30.93806229,7
-2.54E-07,9.579591983,-32.20423094,7
-4.07E-07,9.674158113,-31.75204319,7
3.87E-07,10.19168469,-31.49194388,7
5.01E-07,10.39000522,-31.21336998,7
-1.16E-07,10.11956444,-31.66550332,7
1.69E-07,10.0385786,-31.5702834,7
-2.42E-07,9.799987202,-31.65223961,7
4.65E-07,10.46613571,-33.84927161,8
-3.08E-07,10.61111555,-33.87745148,8
3.46E-07,10.59366537,-33.8036407,8
-5.63E-07,10.57802168,-33.77846228,8
-1.40E-07,10.31237784,-33.50095622,8
-2.09E-07,9.924619843,-33.49677727,8
-5.43E-07,10.33932189,-33.49270905,8
-4.61E-07,10.67811145,-33.95535576,8
-2.23E-07,10.31677719,-33.68510391,8
-3.48E-07,10.2147745,-33.49137708,8
8.34E-07,10.24876868,-33.76850152,8
1.52E-07,10.37905917,-33.68407973,8
-6.75E-07,10.60805008,-33.5992117,8
-8.19E-08,10.03626412,-33.67405864,8
3.25E-07,10.01508753,-33.67005742,8
6.56E-07,10.64963916,-33.41345152,8
3.48E-07,10.48586876,-33.86978204,8
1.31E-07,10.56032127,-33.95442922,8
-3.30E-07,9.949313397,-34.20303269,8
-1.22E-07,10.06880094,-33.94856556,8
-1.74E-07,10.97250229,-34.15169838,8
6.90E-07,10.68371197,-33.86341923,8
-1.54E-07,10.61875379,-33.5040834,8
-1.07E-07,10.56641088,-33.32423399,8
3.83E-07,10.69974989,-33.23643724,8
2.30E-09,10.55513023,-33.23164396,8
3.36E-08,10.49238428,-33.04541031,8
3.78E-07,10.25116632,-33.58232044,8
5.38E-07,10.57324427,-33.22914061,8
2.73E-07,11.09292211,-32.96494412,8
2.63E-07,10.79797993,-33.6848434,8
-7.27E-08,10.80923506,-33.87026643,8
-5.67E-07,10.20762585,-33.86655653,8
-7.78E-08,10.41123102,-33.59461509,8
3.65E-07,10.51524462,-32.86837559,8
6.46E-07,10.28879919,-32.94408634,8
-2.81E-07,10.42288532,-33.85992297,8
9.77E-08,10.61376844,-34.04629059,8
6.01E-08,10.94666273,-33.78856074,8
-4.99E-07,10.88877843,-33.60515787,8
-5.85E-07,12.2781038,-31.17739506,9
-1.24E-07,12.53363759,-31.19592241,9
4.91E-09,12.72865646,-30.92744271,9
-1.03E-07,12.24006871,-31.37532909,9
4.01E-09,12.17313356,-31.81286011,9
-1.98E-07,11.80072522,-31.5407083,9
-2.69E-08,11.89537092,-31.54298579,9
