@relation SamsungTablet_Train

@attribute 06:18:d6:c2:98:24_inonet numeric
@attribute 4c:5e:0c:71:aa:15_RFKON2014-Mesh numeric
@attribute 18:28:61:1c:0b:69_EVOSOFT numeric
@attribute e8:37:7a:6c:7f:55_PYR numeric
@attribute 18:28:61:9e:ab:5c_MMD numeric
@attribute 'c0:4a:00:0f:03:51_BilTAY Teknoloji' numeric
@attribute 4c:5e:0c:70:52:5a_RFKON2014-Mesh numeric
@attribute 4c:5e:0c:6f:20:b2_RFKON2014-Mesh numeric
@attribute 00:26:5a:52:0b:8c_RFKON_115 numeric
@attribute 04:18:d6:c1:98:24_inonet numeric
@attribute 4c:5e:0c:6f:20:fa_RFKON2014-Mesh numeric
@attribute c8:d7:19:bc:98:31_ numeric
@attribute d4:ca:6d:c9:f1:c5_RFKON2014-Mesh numeric
@attribute d4:ca:6d:bc:1d:73_RFKON2014-Mesh numeric
@attribute dc:02:8e:c2:23:52_ILKSEM numeric
@attribute e4:8d:8c:20:4d:c1_UPLAT numeric
@attribute 4c:5e:0c:23:44:33_RFKON2014-Mesh numeric
@attribute 64:66:b3:d0:4a:8d_Cisco_KRD numeric
@attribute 4c:5e:0c:71:a8:bf_RFKON2014-Mesh numeric
@attribute 18:28:61:58:78:6a_Dlink_DAP-1360 numeric
@attribute 18:28:61:13:0d:9d_EROGLU numeric
@attribute 04:18:d6:3e:4d:9f_ESOGU-WIFI numeric
@attribute e4:8d:8c:95:5c:60_evarobot_wifi numeric
@attribute c8:6c:87:46:62:1c_ZyXEL8908bS3 numeric
@attribute REF_POINT {1,2,3,4,5,6,7,8,9,10,11,12,13,50,51,52,53,54}

@data
-67,-36,-38,-54,-68,-63,-36,-52,100,100,100,-68,-61,-63,-71,-68,100,100,100,100,-84,100,100,100,3
-68,-37,-37,-55,100,100,-37,-56,100,-63,100,-66,-61,-64,-73,100,-73,100,-78,100,100,100,100,100,3
-67,-56,-38,-59,-72,-63,-37,-54,-81,-62,-70,100,-62,-60,100,100,100,100,-78,100,100,100,100,100,3
-67,-37,-38,-54,100,-62,-37,-51,-79,100,100,-66,-61,100,-75,100,-73,100,100,100,100,100,100,100,3
-68,-37,-38,-54,100,-62,-37,-55,100,100,100,100,-61,-64,100,100,-72,100,100,100,100,100,100,100,3
-67,-37,-38,-58,100,-60,-37,-53,100,-62,100,100,-60,-64,-71,100,100,100,100,100,100,100,100,100,3
-67,100,-38,-55,100,-62,-37,-52,100,-64,100,100,100,100,100,-61,100,-78,100,100,100,100,100,100,3
-63,-33,-55,-52,-58,-53,-37,-43,100,100,-60,100,100,100,100,100,100,100,100,100,100,100,100,100,4
-63,-33,-55,-49,100,-52,-35,-42,100,-48,100,100,-55,100,100,100,100,100,100,100,100,100,100,100,4
-63,-33,-53,-49,-56,-52,-35,100,-83,-48,100,-69,-54,100,-71,100,100,-84,100,100,100,100,100,100,4
-63,-33,-55,-49,-57,-53,-35,-42,100,-49,100,-68,-60,-61,-73,100,100,100,100,100,100,100,100,100,4
-63,-32,-55,-49,-57,-51,-36,-42,100,-49,-61,-64,-55,100,-74,-73,-72,100,-68,100,100,100,100,100,4
-62,-33,-55,-51,-56,-51,-35,100,-75,-48,-61,-70,-54,-63,-71,-72,100,100,100,100,100,100,100,100,4
-62,-33,-55,-50,-58,-52,-36,-42,100,-49,100,-69,-55,-60,-72,100,100,100,100,100,100,100,100,100,4
-62,100,-56,-49,-56,-51,-36,-42,100,-48,-61,100,-55,100,100,100,100,100,100,100,100,100,100,100,4
-62,-33,-56,-50,100,-52,100,-42,100,-50,100,100,-56,100,100,100,100,100,100,100,100,100,100,100,4
-62,-33,-56,-49,-57,-51,-36,-43,100,100,100,-69,-59,100,100,-74,100,100,-68,100,100,100,100,100,4
-62,-33,-55,-49,-56,-51,-36,-43,100,-51,-61,-69,-56,100,-69,-69,100,100,100,100,100,100,100,100,4
-62,-33,-56,-50,-57,-51,-36,-42,100,-49,100,-70,-60,-63,100,-75,100,100,-66,100,100,100,100,100,4
-62,-33,-55,-51,-57,-53,-36,-43,-81,-50,100,-70,-55,-66,100,100,100,100,100,100,100,100,100,100,4
-61,-32,-56,-49,-57,-51,-36,100,100,-48,100,100,-55,-61,100,100,100,100,100,100,100,100,100,100,4
-62,-33,-55,-49,-58,-51,-35,-43,-80,-48,100,-70,-56,-63,-79,-73,100,100,-68,100,100,100,100,100,4
-62,-32,-54,-50,100,-51,-35,-44,-83,-50,-61,-69,-56,-64,100,100,100,100,-68,100,100,100,100,100,4
-62,-33,-54,-49,-56,-51,-36,-43,-81,-50,-62,100,-55,-62,-69,-75,-71,100,100,100,100,100,100,100,4
-62,-36,-55,-49,-57,-51,-36,-43,100,-51,-62,100,100,100,100,100,100,100,100,100,100,100,100,100,4
-62,-33,-53,-49,-58,-52,-35,-43,100,-49,100,100,100,-62,100,100,100,100,-68,100,100,100,100,100,4
-62,-34,-56,-49,100,-51,-70,-43,-83,-51,100,100,100,-62,-69,100,100,100,100,100,100,100,100,100,4
-62,-33,-56,-49,-58,-51,-35,-43,100,-49,100,100,-55,100,-69,100,100,100,100,100,100,100,100,100,4
-61,-32,-56,-49,-57,-51,-36,-40,100,-50,100,-71,-55,100,-83,-75,-70,100,100,100,100,-95,100,100,4
-62,-30,-56,-48,-57,-51,-36,100,-83,-49,100,-70,-55,100,100,100,100,100,100,100,100,100,100,100,4
-62,-33,-55,-49,100,-51,-35,-43,100,100,100,-70,-54,-62,-83,100,100,100,100,100,100,100,100,100,4
-62,-32,-56,-49,-57,-44,-36,-46,100,-48,100,-69,100,-63,-76,100,100,100,-68,100,100,100,100,100,4
-62,-32,-55,-49,100,-51,-36,-42,100,-51,100,-70,100,100,-76,-73,100,100,100,100,100,100,100,100,4
-62,100,-53,-49,100,-51,-35,-42,100,-52,100,100,-56,100,-68,-72,100,100,100,100,100,100,100,100,4
-62,-32,-55,-49,-57,-51,-36,-46,100,-49,100,-71,100,100,100,100,100,100,100,100,100,100,100,100,4
