LOCAL MAGNETIC FIELD X,LOCAL MAGNETIC FIELD Y,LOCAL MAGNETIC FIELD Z,ORIENTATION X,ORIENTATION Y,ORIENTATION Z,GLOBAL MAGNETIC FIELD X,GLOBAL MAGNETIC FIELD Y,GLOBAL MAGNETIC FIELD Z,REF_POINT
-17.09442139,-0.900268555,-20.78151703,-1.282101212,-1.376084082,91.47090423,1.38436E-08,16.59589407,-21.20088385,2
-16.6519165,-0.991249084,-20.69034576,-1.266884938,-1.385517107,91.86150909,-6.02792E-07,16.15529202,-21.1036927,2
-16.91741943,-0.991249084,-20.23639679,-1.272452503,-1.376891325,91.85752026,-4.90933E-07,16.43491107,-20.65398528,2
-17.44842529,-0.355529785,-20.41835785,-1.266328278,-1.371594833,89.64551569,8.83431E-07,16.95500523,-20.83293262,2
-17.18292236,-0.62789917,-20.87211609,-1.273227409,-1.383332727,90.53218352,-9.55109E-07,16.6747524,-21.28955003,2
-16.6519165,-0.62789917,-20.59955597,-1.265883035,-1.3731074,90.58159311,4.50798E-08,16.15434095,-21.00141794,2
-16.82891846,-0.264930725,-20.14541626,-1.279934015,-1.379055214,89.31958589,-5.83538E-07,16.34036193,-20.54539007,2
-16.74041748,-0.537490845,-20.69072723,-1.281895773,-1.388463906,90.23130003,4.29117E-07,16.23427975,-21.09703364,2
-17.09442139,-0.628089905,-21.23565674,-1.276823397,-1.39356371,90.50341477,-7.07357E-08,16.57355649,-21.65373136,2
-17.09442139,-1.082229614,-21.41723633,-1.282260975,-1.384126416,92.05136786,-9.81797E-07,16.58272296,-21.84265952,2
-16.91741943,-0.628089905,-20.96290588,-1.287442954,-1.381118572,90.51649458,3.09309E-07,16.40790806,-21.37329066,2
-16.82891846,-0.991439819,-20.78113556,-1.272569043,-1.375390711,91.82732399,-4.71381E-08,16.33357081,-21.19588425,2
-16.91741943,-0.537109375,-20.87230682,-1.271667138,-1.370246298,90.22659403,-7.73818E-07,16.41359004,-21.27756614,2
-16.6519165,-0.173950195,-20.78132629,-1.271071738,-1.395971351,88.9496082,4.65508E-07,16.14341477,-21.17947743,2
-16.74041748,-0.90045929,-21.14467621,-1.286769433,-1.400035848,91.47052174,4.82387E-08,16.22413957,-21.56216667,2
-17.09442139,-0.718688965,-20.96309662,-1.281776138,-1.392560739,90.83078573,9.80279E-07,16.58166262,-21.38306902,2
-17.00592041,-0.80947876,-20.6905365,-1.284716321,-1.385260868,91.1675687,-4.05726E-07,16.50418306,-21.10845392,2
-16.6519165,-0.7188797,-21.05388641,-1.262819482,-1.385567373,90.87321487,-1.59038E-07,16.13983161,-21.46101302,2
-16.74041748,-0.62789917,-21.14467621,-1.260615572,-1.38093405,90.54314598,4.76594E-07,16.22670817,-21.55057096,2
-17.09442139,-0.99105835,-20.87211609,-1.266670961,-1.368086464,91.79700478,7.1102E-07,16.59938309,-21.29101102,2
-16.74041748,-1.172828674,-20.87230682,-1.262497929,-1.377036786,92.48289238,6.95557E-07,16.24924452,-21.28925431,2
-17.09442139,-1.082038879,-20.87230682,-1.263633555,-1.373670677,92.11477251,7.32958E-07,16.60044777,-21.29479694,2
-16.91741943,-0.446510315,-21.59881592,-1.28270419,-1.369457304,89.83920619,7.97468E-07,16.39645612,-22.00144376,2
-16.82891846,-0.355529785,-21.3262558,-1.279933161,-1.377823539,89.54396443,-6.16809E-07,16.31177448,-21.72726622,2
-16.6519165,-0.628089905,-20.96309662,-1.269060994,-1.39293085,90.54970296,8.89076E-07,16.13815007,-21.37036154,2
-16.82891846,-0.900650024,-20.78132629,-1.267944471,-1.398121367,91.51529363,-8.14895E-07,16.32256443,-21.20049716,2
-16.6519165,-0.7188797,-20.32699585,-1.279645333,-1.389444252,90.90745461,8.47733E-07,16.15615769,-20.73568036,2
-16.56341553,-0.62789917,-20.69034576,-1.276056175,-1.378506878,90.56448349,-2.41905E-07,16.0616503,-21.09158099,2
