@relation RFKON_train

@attribute 4c:5e:0c:71:a8:bf numeric
@attribute d4:ca:6d:bc:1d:73 numeric
@attribute 18:28:61:13:0d:9d numeric
@attribute 00:26:5a:52:0b:8c numeric
@attribute 18:28:61:58:78:6a numeric
@attribute 4c:5e:0c:6f:20:b2 numeric
@attribute 64:66:b3:d0:4a:8d numeric
@attribute dc:02:8e:c2:23:52 numeric
@attribute 4c:5e:0c:70:52:5a numeric
@attribute 18:28:61:9e:ab:5c numeric
@attribute 4c:5e:0c:6f:20:fa numeric
@attribute c8:6c:87:46:62:1c numeric
@attribute e4:8d:8c:20:4d:c1 numeric
@attribute 18:28:61:c7:6b:67 numeric
@attribute d4:ca:6d:c9:f1:c5 numeric
@attribute 4c:5e:0c:71:aa:15 numeric
@attribute 04:18:d6:3e:4d:9f numeric
@attribute 18:28:61:1c:0b:69 numeric
@attribute 18:28:61:c7:6b:40 numeric
@attribute 98:fc:11:d7:73:e4 numeric
@attribute 18:28:61:72:86:cc numeric
@attribute c0:4a:00:0f:03:51 numeric
@attribute 4c:5e:0c:23:44:33 numeric
@attribute 08:37:3d:c7:8d:ea numeric
@attribute 06:18:d6:c2:98:24 numeric
@attribute 04:18:d6:c1:98:24 numeric
@attribute 88:e3:ab:57:c1:14 numeric
@attribute 4c:5e:0c:6f:73:41 numeric
@attribute 64:70:02:a4:35:04 numeric
@attribute ba:b4:2e:cd:29:8a numeric
@attribute e8:37:7a:6c:7f:55 numeric
@attribute c8:d7:19:bc:98:31 numeric
@attribute 38:2d:d1:3e:15:9d numeric
@attribute 3c:33:00:50:6c:77 numeric
@attribute e4:8d:8c:95:5c:60 numeric
@attribute REF_POINT {1,2,3,4,5,6,7,8,9,10,11,12,13,50,51,52,53,54}

@data
100,-65,100,-82,100,-50,-80,-69,-51,-72,-67,100,-69,100,-59,-32,100,-45,100,100,100,-50,100,100,-66,-51,100,100,100,100,-53,100,100,100,100,5
100,100,100,100,100,-50,100,-67,-36,-64,100,100,-70,100,100,-29,100,-45,100,100,100,-56,100,100,-68,-53,100,100,100,100,100,-74,100,100,100,5
-69,-66,100,100,100,100,100,-70,-33,-73,100,100,-67,100,-66,-30,100,-45,100,100,100,-53,100,100,-67,-52,100,100,100,100,-57,100,100,100,100,5
-76,100,100,100,100,100,100,-67,-37,-58,100,100,100,100,-54,-24,100,-61,100,100,100,-57,-71,100,-65,-53,100,100,100,100,-64,-65,-57,100,100,12
100,100,100,100,100,-54,100,-69,-41,-60,100,100,100,100,-52,-25,100,-59,100,100,100,-54,-73,100,-64,-55,100,100,100,100,-63,100,-56,100,100,12
100,-69,100,100,100,-57,100,100,-38,-62,-72,100,-74,100,-51,-25,100,-62,100,100,100,-58,-73,100,-65,-54,100,100,100,100,-65,100,-57,100,100,12
-77,100,100,100,100,-54,-86,-71,-48,-59,100,100,100,100,-51,-25,100,-59,100,100,100,100,-73,100,-65,-54,100,100,100,100,100,-66,-56,100,100,12
100,-69,100,100,100,100,-67,-70,-39,-61,-74,100,100,100,-52,-24,100,-51,100,100,100,-56,-70,100,-64,-54,100,100,100,100,-61,-66,-57,100,100,12
100,-69,100,100,100,-52,100,-67,100,-63,-73,100,-73,100,-51,-24,100,-48,100,100,100,-56,-72,100,-65,-53,100,100,100,100,-64,-70,-56,100,100,12
100,-67,100,100,100,-55,100,-74,-41,-68,100,100,100,100,-53,-25,100,-49,100,100,100,-53,-71,100,-67,-55,100,100,100,100,-58,-67,-57,100,100,12
100,-67,100,100,100,-57,100,-67,-38,-66,100,100,100,100,-50,-25,100,-49,100,100,100,-59,-71,100,-67,-51,100,100,100,100,-57,-66,-56,100,100,12
100,-69,100,-80,100,-59,100,-68,-38,-72,100,100,100,100,-50,-25,100,-49,100,100,100,-58,100,100,-67,-52,100,100,100,100,-57,100,-57,100,100,12
-75,-73,100,100,100,-59,100,-75,-38,-69,100,100,100,100,-52,-25,100,-49,100,100,100,-67,-76,100,-68,-52,100,100,100,100,-57,-66,-56,100,100,12
-75,100,100,100,100,100,100,-68,-38,100,100,100,100,100,-49,-25,100,-48,100,100,100,-60,100,100,-68,-53,100,100,100,100,-58,100,-57,100,100,12
100,-70,100,100,100,-58,100,-72,-38,100,-71,100,100,100,-50,-26,100,-49,100,100,100,-61,-76,100,-68,-55,100,100,100,100,-57,100,-55,100,100,12
