@relation 'LogDosyasi_Samsung_Tablet_Train_WiFi_MF-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27'

@attribute 04:18:d6:c1:98:24_inonet numeric
@attribute 4c:5e:0c:71:aa:15_RFKON2014-Mesh numeric
@attribute 4c:5e:0c:70:52:5a_RFKON2014-Mesh numeric
@attribute d4:ca:6d:c9:f1:c5_RFKON2014-Mesh numeric
@attribute 18:28:61:1c:0b:69_EVOSOFT numeric
@attribute 'c0:4a:00:0f:03:51_BilTAY Teknoloji' numeric
@attribute 4c:5e:0c:6f:20:b2_RFKON2014-Mesh numeric
@attribute e8:37:7a:6c:7f:55_PYR numeric
@attribute dc:02:8e:c2:23:52_ILKSEM numeric
@attribute 06:18:d6:c2:98:24_inonet numeric
@attribute d4:ca:6d:bc:1d:73_RFKON2014-Mesh numeric
@attribute 18:28:61:9e:ab:5c_MMD numeric
@attribute 4c:5e:0c:23:44:33_RFKON2014-Mesh numeric
@attribute 4c:5e:0c:6f:20:fa_RFKON2014-Mesh numeric
@attribute 4c:5e:0c:71:a8:bf_RFKON2014-Mesh numeric
@attribute 64:66:b3:d0:4a:8d_Cisco_KRD numeric
@attribute 18:28:61:13:0d:9d_EROGLU numeric
@attribute 00:26:5a:52:0b:8c_RFKON_115 numeric
@attribute 18:28:61:58:78:6a_Dlink_DAP-1360 numeric
@attribute e4:8d:8c:20:4d:c1_UPLAT numeric
@attribute 00:66:4b:1f:08:23_TeknoTAM numeric
@attribute 1c:87:2c:7e:23:9d_EROGLU-PUB numeric
@attribute 1c:87:2c:7e:23:9c_EROGLU-PRI numeric
@attribute X numeric
@attribute Y numeric
@attribute Z numeric
@attribute REF_POINT {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}

@data
-53,-37,-32,-57,-57,-63,-50,-53,-67,-68,-67,?,?,-61,?,?,?,?,?,?,?,?,?,-4.98,-28.559999,-25.26,3
-52,-36,-31,-60,-60,-67,-51,?,-70,-67,-63,?,-71,?,?,?,?,?,?,?,?,?,?,-5.16,-28.199999,-24.779999,3
-53,-36,-30,-59,-59,-62,-51,-55,-68,-67,-66,?,-72,?,-71,?,?,?,?,?,?,?,?,-5.16,-28.439999,-25.139999,3
-53,-36,-30,-61,-58,-62,-50,-54,-69,-68,-68,-71,-71,-62,-70,?,?,-87,?,?,?,?,?,-5.46,-28.559999,-25.139999,3
-52,-36,-31,?,-59,-61,?,-53,-66,-67,-66,-74,?,-62,-71,?,?,?,-89,-72,?,?,?,-5.28,-27.959999,-25.559999,3
-53,-36,-31,-60,-59,-61,-51,-54,-67,-67,-66,-73,?,-62,?,-90,-81,-86,-90,-72,?,?,?,-5.28,-27.9,-25.32,3
-53,-37,-30,-60,-59,-63,-51,-53,-68,-67,-65,?,-73,?,-71,-87,-80,-86,?,-71,?,?,?,-4.68,-28.439999,-25.5,3
-52,-37,-31,-59,-60,-61,-52,-52,-68,-68,-85,-71,-72,-61,-71,?,?,?,?,?,?,?,?,-5.16,-28.74,-25.74,3
-51,-37,-31,-59,?,-63,-48,-54,-67,-68,-67,?,?,-62,-71,-83,?,?,?,-74,?,?,?,-5.64,-28.74,-25.619999,3
-51,-36,-31,-61,-67,-65,-49,-52,-69,-68,-68,-68,?,-62,?,?,?,?,?,-75,?,?,?,-4.68,-28.199999,-25.019999,3
-53,-37,?,-62,-73,-62,-53,-53,-66,-67,?,?,?,?,-70,?,?,?,-88,?,?,?,?,-4.92,-28.08,-24.66,3
-51,-38,-30,-63,-57,?,-54,-53,-69,-67,-67,?,?,-62,-71,?,?,-84,?,?,?,?,?,-5.22,-27.959999,-25.139999,3
-51,-37,-32,?,-59,-62,-54,-52,-70,-66,-72,-73,?,?,-71,?,?,?,-87,?,?,?,?,-5.1,-28.139999,-25.74,3
-50,-38,-31,-61,-59,-67,-52,-56,-69,-67,?,-71,-82,-61,-72,?,?,?,?,-74,?,?,?,-5.04,-27.48,-25.92,3
-53,-38,-31,?,-60,-66,-52,-54,-68,-67,-70,-70,?,-61,-72,?,?,?,?,-73,?,?,?,-5.16,-27.959999,-25.799999,3
-51,-38,-32,-59,-57,-64,-52,-54,-69,-67,-69,-72,?,-61,-72,?,?,-85,?,?,?,?,?,-4.68,-28.859999,-25.139999,3
-51,-38,-31,-87,-59,-64,-51,-52,-86,-65,?,?,?,?,?,?,?,-85,?,-71,?,?,?,-4.38,-27.9,-25.08,3
-51,-38,-31,?,-59,-61,-51,-52,-68,-67,-72,?,-80,-61,-71,?,?,?,?,?,?,?,?,-4.62,-28.08,-25.5,3
-51,-36,-30,-60,-59,-60,-50,-52,-68,-67,-66,?,-81,-62,-71,?,?,-85,-87,?,?,?,?,-4.8,-27.66,-24.779999,3
-51,-37,-31,-61,-58,?,-49,-54,-69,-68,-67,-74,?,-62,-71,?,-79,-84,?,-72,?,?,?,-4.74,-28.139999,-25.5,3
