@relation 'LogDosyasi_Samsung_Tablet_Train_WiFi_MF-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27'

@attribute 04:18:d6:c1:98:24_inonet numeric
@attribute 4c:5e:0c:71:aa:15_RFKON2014-Mesh numeric
@attribute 4c:5e:0c:70:52:5a_RFKON2014-Mesh numeric
@attribute d4:ca:6d:c9:f1:c5_RFKON2014-Mesh numeric
@attribute 18:28:61:1c:0b:69_EVOSOFT numeric
@attribute 'c0:4a:00:0f:03:51_BilTAY Teknoloji' numeric
@attribute 4c:5e:0c:6f:20:b2_RFKON2014-Mesh numeric
@attribute e8:37:7a:6c:7f:55_PYR numeric
@attribute dc:02:8e:c2:23:52_ILKSEM numeric
@attribute 06:18:d6:c2:98:24_inonet numeric
@attribute d4:ca:6d:bc:1d:73_RFKON2014-Mesh numeric
@attribute 18:28:61:9e:ab:5c_MMD numeric
@attribute 4c:5e:0c:23:44:33_RFKON2014-Mesh numeric
@attribute 4c:5e:0c:6f:20:fa_RFKON2014-Mesh numeric
@attribute 4c:5e:0c:71:a8:bf_RFKON2014-Mesh numeric
@attribute 64:66:b3:d0:4a:8d_Cisco_KRD numeric
@attribute 18:28:61:13:0d:9d_EROGLU numeric
@attribute 00:26:5a:52:0b:8c_RFKON_115 numeric
@attribute 18:28:61:58:78:6a_Dlink_DAP-1360 numeric
@attribute e4:8d:8c:20:4d:c1_UPLAT numeric
@attribute 00:66:4b:1f:08:23_TeknoTAM numeric
@attribute 1c:87:2c:7e:23:9d_EROGLU-PUB numeric
@attribute 1c:87:2c:7e:23:9c_EROGLU-PRI numeric
@attribute X numeric
@attribute Y numeric
@attribute Z numeric
@attribute REF_POINT {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}

@data
-58,-31,-40,-52,-45,-48,-48,-45,-68,-58,-49,-61,?,-64,-76,?,?,?,?,?,?,?,?,5.34,-24.42,-39,8
-58,-30,-74,-52,-45,-48,?,-44,-66,-58,?,-59,-68,?,?,?,?,?,?,?,?,?,?,5.1,-24.359999,-39.18,8
-59,-30,-40,-50,-45,-49,-47,-44,-64,-58,-46,-58,?,-65,-66,?,?,?,?,?,?,?,?,5.34,-23.879999,-39.239998,8
-58,-31,-40,-52,-44,-48,-47,-44,-64,-58,?,-59,-72,?,?,-86,?,?,?,?,?,?,?,5.94,-23.699999,-39.119999,8
-49,-31,-39,-52,-44,-49,-48,-43,-67,-58,-49,-58,-66,?,?,?,?,-73,?,?,?,?,?,6,-24,-38.639999,8
-61,-30,-41,-52,-45,-49,-48,-83,-69,-58,-64,-59,-66,?,?,?,?,?,?,?,?,?,?,5.82,-23.879999,-38.879997,8
-56,-30,-41,-51,-45,-48,-47,-45,-64,-58,-51,-59,-66,?,-66,?,-75,?,?,?,?,?,?,5.64,-23.519999,-39.119999,8
-59,-30,-40,-50,-44,-49,-46,-44,-68,-58,?,-59,?,?,-65,?,-75,-74,?,-70,?,?,?,5.7,-24.18,-39.48,8
-60,-33,-40,-52,-44,-49,-46,-45,-64,-58,-49,-60,-66,-64,?,?,?,-75,?,-69,?,-89,-92,5.16,-24.24,-39.48,8
-58,-30,-39,-51,-43,-49,-47,-43,-65,-58,-49,-57,?,?,-64,?,-73,?,?,-72,?,?,?,5.52,-23.699999,-39.239998,8
-59,-33,?,?,-45,-49,-48,-45,-64,-58,?,-59,-69,-65,?,?,?,-79,?,?,?,?,?,5.28,-24.18,-39.18,8
-58,-30,-39,-52,-45,-50,-47,-44,-64,-57,-49,-58,-70,-65,?,?,?,?,?,-70,?,?,?,5.1,-25.019999,-39.239998,8
-55,-30,-42,-52,-45,-49,-48,-44,-70,-58,-49,-60,?,?,?,?,?,?,?,?,?,?,?,5.34,-24.84,-38.82,8
-58,-30,-41,-52,-44,-49,-48,-44,-65,-58,-50,-57,-69,?,?,?,?,-73,?,?,?,?,?,5.16,-25.139999,-38.759998,8
-55,-30,-42,-52,-44,-49,-50,-44,-70,-58,?,-85,-68,?,-67,?,?,-73,?,?,?,?,?,4.62,-25.08,-38.759998,8
-58,-30,-41,-52,-44,-49,-48,-44,-65,-58,-49,-58,-71,?,-74,?,?,?,?,?,?,?,?,4.8,-24.719999,-39.059998,8
-58,-30,-41,-51,-44,-52,-48,-43,-64,-58,-49,-56,-66,-65,-65,?,?,-74,?,?,?,?,?,5.34,-25.019999,-39.059998,8
-58,-30,-40,?,-45,-49,-44,-44,-72,-59,-49,-52,-66,?,-72,?,?,-78,?,?,?,?,?,5.04,-25.08,-39.18,8
-58,-30,-40,-50,-45,-49,-45,-42,-66,-59,-48,?,?,-65,-66,?,?,?,?,?,?,?,?,4.8,-25.26,-39.419998,8
-59,-30,-40,-49,-45,-49,-44,-45,-68,-59,-48,-61,-68,-64,-75,?,?,?,?,?,?,-92,?,5.22,-24.779999,-39.059998,8
-55,-30,-38,-50,-44,-48,-46,-44,-64,-62,-50,-60,-67,-64,-64,?,?,-75,?,?,?,?,?,5.7,-24.6,-39.119999,8
-58,-30,-39,-51,-44,-40,-47,-43,-68,-59,-48,-55,-65,?,?,?,?,?,?,?,?,?,?,5.58,-24.359999,-39.360001,8
-64,-30,-40,-50,-44,-48,-46,-44,-65,-60,-49,-57,-70,?,-67,?,?,-77,?,?,?,?,?,5.1,-24.6,-39.239998,8
-59,-30,-39,-50,-42,-49,-47,?,-65,-61,-49,-57,-71,-64,-73,?,-74,?,?,?,?,?,?,5.34,-24.42,-38.52,8
-59,-30,-39,-50,-45,-49,-46,-44,-65,-60,-50,-56,-75,?,?,?,-73,?,?,-73,?,?,?,5.52,-24.18,-38.459999,8
-59,-30,-40,-51,-42,-49,-44,-44,-64,-59,-50,?,-70,?,?,?,?,?,?,?,?,?,?,5.76,-23.76,-38.759998,8
-59,-34,-42,-42,-42,-52,-38,-53,-71,-58,-58,-51,-70,-64,-65,?,?,-85,?,?,?,?,?,3.66,-25.26,-38.639999,9
-65,-33,-47,-49,-45,-53,?,-43,?,-58,?,?,-72,?,?,?,?,?,?,?,?,?,?,3.54,-25.26,-38.099998,9
-68,-33,-45,-48,-44,-49,?,-43,-65,-58,?,-50,?,?,?,-75,?,-72,?,?,?,?,?,4.08,-25.379999,-37.799999,9
-66,-33,-48,-47,-44,-54,?,-43,-66,-58,-56,-49,-71,?,-69,?,?,?,?,-66,?,?,?,3.96,-25.199999,-37.799999,9
-60,-32,-44,?,-44,-53,-39,-43,?,-58,?,-50,-64,?,-68,?,?,-72,?,?,?,?,?,4.02,-24.779999,-38.219997,9
-60,-33,-43,-48,-44,-53,-40,-44,-65,-59,-56,-51,-64,-69,-69,?,?,?,?,-70,?,?,?,3.6,-24.959999,-38.459999,9
-60,-33,-50,-47,-43,-53,-40,-42,-66,-59,-56,?,-65,-70,-70,?,?,?,?,?,?,?,?,3.36,-25.68,-38.040001,9
-57,-33,-43,-47,-42,-48,-40,-43,-71,-58,?,-50,-63,?,?,?,?,?,?,?,?,?,?,3.42,-25.379999,-38.34,9
-59,-33,-47,-47,-42,-54,-40,-43,-69,-59,-56,-50,-65,-70,-69,?,?,?,?,?,?,?,?,3.66,-25.08,-38.16,9
-57,-33,-48,-48,-44,-54,-39,-44,-70,-59,-72,-50,-71,?,-70,?,?,?,?,?,?,?,?,4.14,-24.42,-38.82,9
-62,-32,-43,-50,-44,-50,-42,-43,-62,-59,-59,-48,-76,-72,-69,-78,?,-81,?,-71,?,?,?,3.48,-24.059999,-39.059998,9
-65,-32,-44,-46,-43,-53,-39,-44,-71,-59,-54,-51,-73,?,-68,-75,-90,-71,?,?,?,?,?,4.08,-23.879999,-39,9
-57,-32,-44,-46,-44,-56,-42,-47,-66,-59,-63,?,?,?,?,-75,?,?,?,?,?,?,?,3.54,-24.84,-38.279999,9
-61,-33,-44,-47,-44,-50,-41,-80,-66,-57,-69,-49,-70,-69,?,?,?,?,?,?,?,?,?,3.48,-26.099998,-38.040001,9
-57,-31,-43,-45,-43,-50,-41,-45,-65,-59,-61,-50,-65,?,-71,?,?,-65,?,?,?,-84,-83,3.54,-26.76,-37.799999,9
-60,-32,-45,-46,-43,-55,-43,-43,-69,-59,-55,-49,-66,?,?,?,?,-71,?,?,?,?,?,3.66,-27.119999,-37.68,9
-61,-32,-70,-46,-59,-49,-41,-43,-65,-58,-54,?,?,?,-70,?,?,-65,?,?,?,?,?,3.24,-26.459999,-37.860001,9
-59,-33,?,-52,-43,-59,-41,-45,?,-56,-67,-50,-68,?,-69,?,?,?,?,-63,?,?,?,3.12,-26.099998,-37.919998,9
-58,-32,-44,-48,-41,-53,-40,-43,?,-57,-56,-52,-65,?,?,?,?,?,?,?,-83,?,?,3.06,-25.98,-38.279999,9
-56,-33,-46,-47,-43,-50,?,-44,-65,-60,-55,-50,-67,-72,-70,?,?,-72,?,-65,?,?,?,2.94,-26.459999,-38.34,9
-60,-32,-44,-45,-45,-47,?,-43,-63,-59,-56,-67,-73,-72,-77,?,?,?,?,?,?,?,?,3,-25.98,-37.559998,9
-60,-33,-49,-47,-43,-51,-40,-47,-63,-60,-55,?,?,?,?,?,?,-72,?,?,?,-81,?,2.88,-25.74,-37.619999,9
-57,-32,-48,-46,-42,-52,-39,?,-63,-60,-57,?,-75,-75,?,?,?,?,?,?,?,?,?,3.12,-25.98,-37.919998,9
-62,-33,-47,-47,-44,-53,-40,-45,-65,-60,-53,-48,?,-72,-70,?,?,?,?,?,?,?,?,3.06,-26.219999,-38.040001,9
-64,-33,-47,?,-44,-52,-40,-45,?,-59,?,-49,-70,?,-69,?,-80,-70,?,?,?,?,?,3.3,-25.98,-37.799999,9
-64,-33,-49,?,-44,-53,-39,-44,-82,-59,-54,-50,-68,-71,-68,?,?,?,?,?,?,?,?,3.18,-25.98,-37.739998,9
-63,-31,-42,-44,-48,-48,-39,-46,-61,-57,-56,-59,-68,?,-66,?,?,-72,?,-68,?,?,?,3.36,-26.459999,-37.98,9
-65,-33,-50,-48,-42,-52,-40,-45,-65,-57,-53,-49,-68,-69,?,?,?,-77,-85,?,?,-85,-85,3.36,-26.279999,-37.259998,9
-64,-33,-48,-45,-43,-53,?,-45,-73,-58,-55,-48,-68,?,?,?,?,-70,?,-63,?,?,?,3.12,-26.219999,-37.860001,9
-56,-33,-45,?,-44,-52,-41,-45,?,-58,-66,-48,-67,?,?,?,?,-73,?,?,?,?,?,4.02,-25.379999,-38.700001,9
-63,-33,-44,-48,-43,-53,?,-47,-65,-59,-55,-49,-65,?,?,?,?,?,?,-66,?,?,?,3.54,-25.32,-38.399998,9
-65,-33,-44,-48,-43,-52,-40,-47,-65,-58,-54,-50,-70,-69,-71,?,?,-72,?,-65,?,?,?,3.48,-25.799999,-38.219997,9
-56,-33,-48,-47,-42,-55,-40,-49,-66,-57,?,-48,?,?,?,?,?,?,?,?,?,?,-80,3.36,-26.34,-38.34,9
-63,-33,-44,-49,-44,-51,?,-44,-59,-57,-54,-49,?,-69,-76,?,?,-73,?,-66,?,-80,?,3.54,-26.099998,-38.16,9
-66,-34,-46,-55,-43,-51,-40,-45,?,-60,?,-49,-71,-70,-68,?,?,-73,?,?,?,?,?,3.84,-24.84,-38.040001,9
-64,-33,-46,-46,-43,-49,-40,-48,-63,-60,-53,?,-70,-70,-76,?,?,?,?,-65,?,?,?,4.44,-24.24,-38.459999,9
-63,-32,-44,-46,-43,-52,-41,-45,-65,-59,-54,-48,-73,-69,-70,-78,?,?,?,-66,?,?,?,4.26,-24.959999,-38.939999,9
-60,-33,-47,-47,-42,-51,-40,-49,-63,-59,?,-49,-80,-69,-70,?,?,-72,-85,-64,?,-82,-82,3.3,-25.74,-38.279999,9
-56,-33,-45,-46,-43,-51,-39,-42,-64,-60,-56,-49,-73,-65,-70,?,-81,?,?,?,?,-82,-81,3.54,-26.58,-38.52,9
-60,-32,-47,-47,-43,-51,-41,-45,-63,-59,-54,-48,-70,-70,?,?,?,-70,?,-64,?,-84,?,3.18,-27,-38.879997,9
-49,-41,-47,-96,-54,-47,-43,-42,-62,-54,-60,-45,-68,-68,-66,-77,-72,-64,?,-63,?,-85,-85,6,-22.26,-33.18,10
-50,-36,-50,-52,-48,-50,-43,-42,-65,-56,-53,-43,-65,-69,-61,?,?,-65,?,?,?,?,?,6.24,-22.859999,-32.939999,10
-52,-36,-48,-52,-50,-49,-43,-44,-66,-56,-54,?,-78,-70,-62,?,?,-64,?,?,?,?,?,6,-23.16,-32.52,10
-52,-34,-54,?,-46,-48,-42,-41,-69,-53,?,-52,-65,?,?,?,?,-63,?,?,?,?,?,5.94,-23.039999,-33.299999,10
-51,?,-47,-46,?,-48,-42,-41,-66,-55,-52,-42,?,-66,-65,?,?,?,?,?,?,?,?,5.46,-24.24,-33,10
-51,-33,-48,-52,-49,-48,?,-42,-68,-55,-52,-43,-64,?,-60,-73,?,?,?,?,?,?,?,5.46,-23.76,-32.759998,10
-52,-33,-51,-50,-49,-49,-43,-42,-66,-55,-53,-42,-65,-67,-59,?,?,-63,-76,?,?,?,?,5.46,-23.639999,-32.939999,10
-50,-33,-46,-50,?,-48,-41,-41,-69,-54,-52,?,-65,?,-68,?,-72,-65,?,?,?,?,?,5.64,-24.24,-32.459999,10
-55,-33,-48,-50,-48,-49,-41,-41,-65,-54,-53,-53,-64,?,-65,-73,?,-63,?,?,?,?,?,5.58,-22.859999,-33.239998,10
-51,-33,-48,-50,-46,-48,-41,-42,-67,-55,-52,?,-64,?,-62,-68,?,-64,-77,?,?,?,?,5.82,-23.219999,-33.239998,10
-52,-33,-47,-49,-45,-49,-43,-39,-70,-55,-53,-42,?,?,-61,-77,?,-63,?,-68,?,?,?,5.7,-23.519999,-33.059998,10
-52,-33,-48,-52,-48,-48,-41,-40,?,-54,-48,-42,-65,?,-61,?,?,-64,?,?,?,?,?,5.34,-23.58,-32.82,10
-51,-33,-48,-75,-46,-48,-41,-43,?,-55,-52,-42,-67,?,-67,?,-72,-63,?,?,?,?,?,5.4,-23.879999,-32.759998,10
-51,-33,-47,-49,-47,-47,-40,-41,-69,-55,-53,-42,-66,?,-60,?,?,-61,?,-65,?,?,?,5.4,-24,-33.059998,10
-53,-33,?,-49,-49,-48,-43,-41,?,-55,-53,-42,-65,?,-61,?,?,?,?,?,?,?,?,5.1,-24.119999,-33.299999,10
-56,-33,-52,-49,-48,-48,-42,-41,-65,-55,?,-42,-65,?,-61,?,?,?,?,?,?,?,?,5.64,-23.639999,-32.639999,10
-53,-33,-52,-50,-49,-49,-44,-43,?,-55,?,-53,-65,?,-61,?,-73,-63,?,?,?,?,?,5.7,-23.82,-32.759998,10
-52,-33,-46,?,-48,-48,-41,-42,-64,-55,-53,-41,-67,?,-61,?,?,-64,?,?,?,?,?,5.76,-24.119999,-32.700001,10
-52,-33,-46,-52,-49,-49,-42,-42,-64,-54,-55,-42,-68,-72,-59,?,?,?,?,?,?,?,?,6.12,-23.459999,-33.119999,10
-55,-33,-47,-51,-47,-49,?,-42,-67,-56,?,-44,?,?,-64,?,?,-65,?,?,?,?,?,5.16,-23.879999,-33,10
-50,-32,-44,-56,-51,-50,-41,-42,-67,-54,-54,-42,-70,-68,-63,?,-72,-64,?,?,?,?,?,5.34,-23.639999,-32.52,10
-51,-35,-47,-43,-49,-49,-46,-43,-66,-55,?,-42,-66,?,?,?,?,-64,?,-66,?,?,-83,6.3,-23.76,-32.82,10
-53,-34,-49,-49,-50,-49,-43,-43,-67,-55,?,-43,-66,?,-63,?,?,-64,?,?,?,?,?,5.64,-24.059999,-33.299999,10
-51,-34,-47,-49,-47,-50,?,-45,-68,-55,?,-52,-63,-67,-64,?,-70,-64,?,?,?,?,-84,6.24,-22.98,-33.419998,10
-51,-34,-49,-51,-49,-50,-42,-42,-67,-55,-55,-43,-66,?,-62,-79,?,-65,?,?,?,-84,?,5.58,-23.76,-32.700001,10
-53,-34,-49,-52,-49,-50,-41,-43,-67,-56,-55,-43,-66,?,-62,-78,?,-64,?,-65,?,-84,-83,5.58,-23.16,-32.399998,10
-53,-33,-47,-50,-48,-49,-41,-41,-65,-54,-53,-42,-66,-67,-62,?,-65,-62,-76,?,?,?,?,6.06,-22.5,-32.639999,10
-51,-33,-50,-49,-49,-48,-41,-41,?,-54,-53,-42,-66,-67,-62,?,?,-64,?,-68,?,?,?,6.48,-22.5,-33.779999,10
-52,-34,-49,-51,-50,-49,-43,-42,-66,-56,-57,-43,-66,?,?,?,?,-67,?,-69,?,?,?,6.36,-21.84,-33.719997,10
-52,-34,-48,-51,-46,-50,-42,-42,-66,-55,-55,-43,-69,?,-62,?,-78,-64,?,?,?,-84,?,6.24,-21.84,-32.399998,10
-50,-34,-50,-50,-50,-50,-44,-42,-63,-56,?,-42,?,?,-66,?,?,-64,?,-72,?,?,?,5.88,-22.98,-32.759998,10
-51,-33,?,-51,-49,-48,?,-45,-63,-54,-54,-42,?,?,?,-72,?,-63,?,-69,?,?,?,5.28,-23.639999,-32.82,10
-53,-33,-48,-49,-49,-49,-40,-41,-65,-54,-54,-42,-65,-71,-60,-72,?,-63,?,-67,?,?,?,4.74,-24.24,-32.639999,10
-50,-34,-49,-50,-48,-49,-44,-42,-66,-55,?,-43,-65,?,-61,?,?,-64,?,?,?,?,?,5.28,-24.119999,-32.219997,10
-51,-34,-49,-49,-49,-49,-42,-43,-65,-55,-55,?,-65,-73,-67,-78,-68,-65,?,-67,-92,-93,?,5.82,-24,-32.219997,10
-51,-34,-49,-49,-49,-48,-42,-42,-65,-54,-59,-44,-67,-68,-58,?,?,-64,-76,?,?,?,?,5.28,-23.879999,-32.82,10
-50,-35,-71,-49,-45,-49,-45,-47,-67,-55,-57,-42,-67,-72,-64,?,-72,-70,?,?,?,?,?,5.34,-24.18,-32.939999,10
-50,-34,-50,-51,-47,-48,-42,-42,-65,-50,-59,-42,-67,?,-50,-74,?,-65,-75,-67,?,?,?,5.64,-23.939999,-32.639999,10
-50,-35,-47,-51,-47,-48,-41,-42,-65,-55,?,-44,-65,?,-62,?,?,?,-76,?,?,?,-81,5.16,-23.4,-32.639999,10
-52,-34,-49,-50,-48,-49,-43,-45,-64,-54,?,-44,-66,-67,-63,?,?,?,-76,?,?,?,?,5.28,-23.82,-32.459999,10
-51,-38,-43,-36,-55,-43,-39,-42,-56,-51,-54,-43,-66,-68,-57,?,?,-76,-77,-59,?,?,?,3,-25.019999,-33,11
-54,-37,-44,-35,?,-43,-40,-40,-60,-52,-56,-45,?,?,-58,?,-70,-69,?,?,?,?,?,2.58,-26.34,-32.759998,11
-52,-38,-43,?,-58,-41,-43,-42,-59,-46,-52,-50,-65,?,-59,?,?,?,-77,-61,?,-80,?,2.1,-26.879999,-33.119999,11
-52,-38,-42,?,-57,-41,-40,-42,-75,-51,-51,-47,?,?,-61,?,?,?,?,?,?,?,?,2.1,-26.039999,-33.360001,11
-51,-34,-41,-37,-54,-42,-42,-39,-61,-53,-51,?,?,?,-58,-73,?,-70,?,?,?,?,?,2.28,-25.799999,-33.360001,11
-52,-34,-44,-39,-49,-43,-43,-38,-58,-53,-51,?,-66,?,-61,?,?,?,?,?,?,?,?,2.04,-26.459999,-33.66,11
-50,-36,?,?,-56,-42,-41,-37,-58,-52,-57,-47,-67,?,-57,?,?,?,?,-61,?,?,?,2.34,-26.4,-33.239998,11
-51,-34,?,-37,-55,-41,-41,-39,-58,-51,-56,-46,-61,?,-56,-73,?,-67,?,-64,?,?,-81,1.92,-26.82,-33.119999,11
-51,-34,-68,-36,?,-41,-40,-37,-59,-51,-51,-47,-64,?,-57,?,?,-68,?,-59,?,?,?,2.34,-26.58,-33.599998,11
-53,-35,-43,-53,-59,-42,?,-39,-60,-52,-57,-45,-62,?,-65,?,?,?,?,?,?,?,?,2.1,-26.4,-32.579998,11
-53,-35,-44,-35,-54,-47,-42,-40,-62,-51,-52,-45,-60,?,?,?,?,?,-74,?,?,?,?,1.98,-26.639999,-32.459999,11
-50,-39,-45,-35,-56,-41,-61,-39,-55,-53,?,-44,-60,?,?,-75,-72,-70,-77,-60,?,-81,?,1.92,-26.459999,-32.82,11
-51,-35,-42,-35,?,-42,?,-39,-61,-52,-54,-54,?,?,-59,?,?,-67,-75,?,?,?,?,1.44,-26.639999,-32.82,11
-50,-37,-44,?,-62,-42,-43,-39,?,-53,?,-51,-65,?,-58,-75,?,-65,?,-59,?,?,?,1.26,-26.58,-32.939999,11
-52,-40,-47,-35,?,-43,-46,-40,-56,-53,-53,-49,-64,?,?,?,?,?,?,-60,?,?,?,1.14,-27,-32.880001,11
-51,-40,-47,-34,-63,-43,-39,-39,-56,-52,-51,-50,-63,?,-59,?,?,-65,?,-62,?,?,?,1.98,-27.24,-33.119999,11
-52,-41,-50,-39,-60,-42,?,-40,?,-44,-56,-49,?,?,-57,?,?,-65,?,?,?,?,-83,2.22,-27.059999,-33.119999,11
-53,-37,-47,-35,?,-42,-40,-40,-57,-54,-57,-48,-69,?,?,?,-70,-67,-72,?,?,?,?,2.28,-26.58,-33.779999,11
-50,-38,-47,-34,-59,-42,-40,-39,-61,-55,-55,-49,?,?,?,?,?,?,?,?,?,?,?,2.46,-25.859999,-34.380001,11
-52,-37,-49,-34,?,-42,-44,-42,-57,-52,-52,-45,-68,?,-62,?,?,?,?,?,?,?,?,2.28,-25.799999,-33.18,11
-51,-39,-50,-34,-61,-42,-37,-43,-61,-53,-52,-49,-65,?,-58,?,?,-64,-75,?,?,?,?,2.1,-26.639999,-33.360001,11
-50,-39,?,?,-59,-43,-39,-38,-61,-44,-52,-55,-64,?,?,?,?,-65,?,?,?,?,?,1.92,-27.42,-32.880001,11
-52,-36,-43,-36,-55,-43,?,-44,-61,-46,-54,-47,-66,?,-56,-71,?,?,-74,-61,?,?,?,1.92,-27.119999,-32.82,11
-52,-38,-46,?,-57,-42,-42,-39,-70,-54,-53,-65,-62,?,?,?,?,-66,?,?,?,?,?,2.04,-26.639999,-32.579998,11
-53,-36,-43,-36,-52,-41,-42,-37,-60,-51,-52,?,-62,-75,-58,?,?,-65,?,?,?,?,-79,1.92,-26.279999,-32.82,11
-52,-37,-48,-35,?,-41,-40,-39,-58,-50,-53,-45,-60,?,?,?,?,?,?,?,?,?,?,2.04,-26.099998,-33.299999,11
-51,-37,-47,-36,-60,-42,-41,-35,-60,-51,-52,-46,-60,?,-56,?,?,-59,?,-63,?,-78,-77,2.28,-26.099998,-33.48,11
-53,-36,?,-34,-58,-42,-39,-41,-58,-49,-53,-46,-64,?,-58,?,?,-64,?,?,?,?,?,1.86,-25.92,-33.540001,11
-46,-36,-45,-34,-59,-42,-46,-40,?,-54,-52,?,-66,-71,?,?,?,-65,?,-64,?,?,?,1.92,-26.4,-33.48,11
-52,-41,-49,-33,-62,-42,-39,-40,-58,-53,-50,-47,?,?,-57,?,?,-64,-75,?,?,?,?,2.28,-26.76,-33.059998,11
-51,-39,-49,-33,-57,-41,-38,-40,-55,-51,-52,-45,-69,?,-57,?,?,-65,-72,-59,?,?,?,2.7,-26.639999,-32.700001,11
-54,-34,-42,-32,-53,-42,-42,-82,-56,-49,-53,-45,-65,-65,-59,?,?,-65,?,-60,?,?,?,2.28,-26.099998,-33,11
-55,-37,-45,-37,-58,-42,?,-40,-58,-50,-51,?,-66,?,-57,-73,?,-67,?,?,?,?,?,2.22,-26.82,-32.700001,11
-52,-35,-44,-35,?,-43,-56,-39,-59,-52,-54,-45,-69,-66,-69,?,?,?,?,?,?,?,?,1.98,-26.639999,-32.459999,11
-53,-32,-46,-33,-58,-43,-39,-46,-63,-50,-53,-48,-63,-67,-61,?,?,-64,?,?,?,?,?,1.98,-27.24,-32.700001,11
-53,-34,-44,-36,-57,-43,-43,-46,-61,-47,-51,-50,-69,-71,?,?,?,-67,?,?,?,?,?,2.04,-27,-32.639999,11
-54,-34,-46,-36,?,-43,-41,-40,-56,-49,-52,?,?,-71,-58,-71,?,?,?,?,?,?,?,2.28,-26.4,-33,11
-50,-42,-43,-35,-58,-39,-43,-40,?,-51,-50,-47,-64,?,-57,?,-71,?,?,?,?,?,?,1.92,-26.459999,-33,11
-51,-36,-45,-36,-57,-42,?,-38,-63,-51,-53,-51,?,-68,?,?,?,-67,?,-56,?,?,?,2.28,-26.639999,-33.119999,11
-53,-34,-43,-36,-57,-41,-42,-40,-60,-57,-51,-42,-71,?,?,-75,-70,-67,?,-58,?,?,-80,1.86,-26.82,-33,11
-51,-38,-43,-37,-61,-58,-42,-45,-60,-49,-54,-42,-62,?,-57,?,?,?,?,-66,?,?,?,5.22,-24,-35.34,12
-51,-40,-43,-40,-67,-63,-41,-48,-58,-50,-46,-45,-54,-67,?,?,?,?,?,?,?,?,?,4.8,-24.48,-35.040001,12
-55,-36,-43,-41,-59,-58,-38,-47,-51,-49,-45,?,-60,?,-55,?,?,?,?,?,?,?,?,4.86,-24.24,-35.040001,12
-54,-34,-42,-40,-61,?,-42,?,-52,-45,-47,-46,?,?,-58,?,?,-60,-73,?,?,?,?,5.1,-25.019999,-34.919998,12
-50,-36,-43,-39,-62,-59,-39,-59,-54,-45,-48,-46,?,?,-52,-75,?,-62,?,-56,?,?,?,4.62,-25.26,-35.579998,12
-49,-36,-42,-40,-60,-67,-38,-52,-55,-45,-48,-46,-60,-68,?,?,?,?,-74,-57,?,?,?,4.68,-25.379999,-35.399998,12
-51,-36,-43,-39,-60,-59,-39,-52,-54,-45,-48,-46,-60,-68,-54,?,?,-61,?,-80,?,?,?,4.62,-24.9,-34.860001,12
-49,-36,-42,-40,-63,-60,-37,-51,-54,-45,-48,-46,-59,-68,?,-68,?,-60,-73,-65,?,?,?,4.8,-23.82,-35.639999,12
-54,-34,?,-39,-64,-60,-37,-51,-64,-45,-49,-45,-61,?,?,?,?,-62,?,?,?,?,?,4.74,-24.059999,-35.579998,12
-50,?,-42,-40,-58,-61,-37,-48,-54,-45,-48,-46,-61,-69,?,?,?,-62,-73,-66,?,?,?,4.98,-24.84,-34.919998,12
-50,-37,-42,-40,?,-61,?,-48,-54,-45,-48,-46,-60,?,-55,-75,?,-62,?,?,?,?,?,5.1,-24.66,-35.399998,12
-50,?,?,-37,?,-60,-38,-49,-55,-45,-48,-44,-60,?,?,-74,?,-62,-74,-58,?,?,?,4.92,-24.359999,-34.860001,12
-51,-36,-68,-40,?,?,-37,-49,-54,-45,-49,-44,?,?,?,?,?,?,?,?,?,?,?,4.92,-24.959999,-35.219997,12
-54,?,-42,-38,-60,-61,-36,?,-54,-45,-48,-86,-60,?,?,?,?,-62,?,-65,?,?,?,4.86,-24.359999,-34.860001,12
-51,-43,-43,-39,-59,-62,?,-87,-53,-45,-50,-47,-59,?,?,-75,?,-62,?,-57,?,?,?,4.74,-24.059999,-34.439999,12
-50,-43,-41,-41,-63,-58,-38,-46,-53,-46,-46,-45,?,?,?,?,-85,-63,?,?,?,?,?,4.8,-24.42,-34.739998,12
-49,-35,-42,-45,-65,-60,-37,-50,-55,-44,-52,-46,?,?,-60,?,?,?,?,?,?,?,?,5.16,-24.119999,-35.34,12
-50,?,-45,-39,-60,-61,?,-49,-53,-45,-49,-45,-61,?,?,?,?,-62,-74,?,?,?,-83,5.28,-23.699999,-36.059998,12
-50,-36,-42,-39,-64,-52,-36,-50,-53,-44,?,?,?,?,-57,?,?,-48,-74,?,?,?,?,5.28,-23.639999,-35.459999,12
-50,-38,-42,-41,-63,-59,?,-50,-54,-42,-49,-44,-64,-80,-54,-75,?,-59,-73,-62,?,?,?,5.04,-23.939999,-34.98,12
-51,-38,-41,-42,-66,-53,-74,-49,-53,-44,-48,-46,-63,-68,-54,?,?,-58,?,?,?,?,?,5.4,-23.219999,-34.98,12
