4c:5e:0c:6f:20:b2_RFKON2014-Mesh,4c:5e:0c:71:aa:15_RFKON2014-Mesh,e8:37:7a:6c:7f:55_PYR,e4:8d:8c:20:4d:c1_UPLAT,dc:02:8e:c2:23:52_ILKSEM,06:18:d6:c2:98:24_inonet,04:18:d6:c1:98:24_inonet,c0:4a:00:0f:03:51_BilTAY Teknoloji,4c:5e:0c:70:52:5a_RFKON2014-Mesh,d4:ca:6d:c9:f1:c5_RFKON2014-Mesh,18:28:61:1c:0b:69_EVOSOFT,64:66:b3:d0:4a:8d_DLink_D01,d4:ca:6d:bc:1d:73_RFKON2014-Mesh,4c:5e:0c:71:a8:bf_RFKON2014-Mesh,c4:6e:1f:58:40:d2_DLink_D01,4c:5e:0c:6f:20:fa_RFKON2014-Mesh,4c:5e:0c:23:44:33_RFKON2014-Mesh,00:26:5a:52:0b:8c_RFKON_115,18:28:61:9e:ab:5c_MMD,18:28:61:58:78:6a_Dlink_DAP-1360,18:28:61:13:0d:9d_EROGLU,REF_POINT
-59,-41,-61,-80,-69,-69,-58,-54,-38,-59,-57,-80,-69,-84,-74,-72,-82,NaN,-73,NaN,NaN,1
-58,-40,-61,NaN,-68,-69,-61,-53,-38,-64,-60,-82,-68,-82,-73,-72,NaN,NaN,-73,NaN,NaN,1
-57,-40,-62,NaN,-67,-68,-58,-53,-36,-65,-59,-82,-67,-82,-73,NaN,NaN,NaN,NaN,NaN,NaN,1
-59,-42,-67,NaN,-67,-68,-60,-53,-39,-63,-61,NaN,-68,NaN,-73,-72,-74,NaN,NaN,-87,NaN,1
-58,-38,-60,NaN,-68,-70,-59,-53,-38,-61,-57,-81,-67,NaN,NaN,-73,-76,NaN,NaN,-87,NaN,1
-59,-42,-60,-76,-72,-69,-60,-53,-37,-61,-57,-81,-68,NaN,-79,-73,-76,NaN,NaN,NaN,NaN,1
-60,-42,-66,-76,-68,-69,-57,-53,-38,-60,-56,-85,-69,NaN,-77,-75,NaN,NaN,NaN,NaN,NaN,1
-63,-43,-66,NaN,-67,-69,-60,-53,-39,-60,-56,-85,-69,-84,-77,-75,NaN,NaN,NaN,NaN,NaN,1
-60,-41,-60,NaN,-68,-69,-60,-53,-39,-58,NaN,NaN,-69,-84,NaN,-75,NaN,NaN,NaN,NaN,NaN,1
-58,-40,-61,NaN,-69,-70,-60,-54,-40,-60,-61,-82,-67,NaN,NaN,-75,NaN,-87,-77,NaN,NaN,1
