4c:5e:0c:6f:20:b2_RFKON2014-Mesh,4c:5e:0c:71:aa:15_RFKON2014-Mesh,e8:37:7a:6c:7f:55_PYR,e4:8d:8c:20:4d:c1_UPLAT,dc:02:8e:c2:23:52_ILKSEM,06:18:d6:c2:98:24_inonet,04:18:d6:c1:98:24_inonet,c0:4a:00:0f:03:51_BilTAY Teknoloji,4c:5e:0c:70:52:5a_RFKON2014-Mesh,d4:ca:6d:c9:f1:c5_RFKON2014-Mesh,18:28:61:1c:0b:69_EVOSOFT,64:66:b3:d0:4a:8d_DLink_D01,d4:ca:6d:bc:1d:73_RFKON2014-Mesh,4c:5e:0c:71:a8:bf_RFKON2014-Mesh,c4:6e:1f:58:40:d2_DLink_D01,4c:5e:0c:6f:20:fa_RFKON2014-Mesh,4c:5e:0c:23:44:33_RFKON2014-Mesh,00:26:5a:52:0b:8c_RFKON_115,18:28:61:9e:ab:5c_MMD,18:28:61:58:78:6a_Dlink_DAP-1360,18:28:61:13:0d:9d_EROGLU,REF_POINT
-66,-41,-54,-81,-72,-69,-59,-59,-39,-62,-53,-78,-61,NaN,NaN,-65,-79,-79,-68,-88,NaN,5
-63,-39,-54,-79,-72,-70,-60,-63,-38,-60,-54,-78,-60,NaN,NaN,-65,-78,-79,-67,-88,NaN,5
-64,-39,-56,-79,-73,-69,-56,-62,-38,-61,-53,NaN,-61,-74,NaN,NaN,-78,-79,-67,-88,NaN,5
-64,-40,-55,-85,-72,-70,-60,-62,-38,-61,-49,NaN,-61,-74,NaN,NaN,NaN,NaN,-67,NaN,NaN,5
-61,-40,-55,-79,-72,-70,-59,-63,-37,-62,-50,-80,-60,-74,-87,NaN,NaN,-79,-67,NaN,-88,5
-66,-40,-56,-79,-72,-69,-57,-88,-44,-60,-52,-80,-60,-73,-87,-65,-85,-79,-67,NaN,-88,5
-64,-41,-56,-80,-69,-70,-60,-61,-38,-62,-48,-80,-60,-75,NaN,-65,-80,-79,-67,NaN,NaN,5
-64,-41,-56,-80,-69,-71,-57,-63,-38,-67,-51,-76,-60,-75,NaN,NaN,-80,-79,-67,NaN,NaN,5
-65,-39,-56,NaN,-73,-70,-60,-61,-36,-62,-54,-76,-61,-74,NaN,NaN,-80,NaN,NaN,NaN,NaN,5
-64,-41,-57,NaN,-72,-70,-63,-62,-38,-61,-55,NaN,-61,-75,NaN,NaN,-78,-80,-67,NaN,NaN,5
-65,-41,-55,NaN,-72,-70,-57,-61,-39,-62,-52,-80,-61,-75,-89,-66,-78,-80,-67,NaN,NaN,5
-65,-39,-55,NaN,-73,-70,-59,-63,-39,-62,-55,-80,-60,NaN,-89,-66,-80,NaN,-67,NaN,NaN,5
-65,-40,NaN,-79,-73,-70,-55,-62,-38,-62,-52,-80,-62,NaN,NaN,-65,-80,-78,NaN,NaN,NaN,5
-64,-40,-54,-80,-72,-70,-56,-59,-38,-64,-54,-79,-61,-74,-88,-65,-83,-79,-68,NaN,-87,5
-62,-40,-54,-78,-74,-70,-60,-60,-38,-63,-54,-80,-60,-74,-90,-65,-83,-79,-67,-89,-87,5
-64,-40,-54,-78,-74,-70,-61,-61,-37,-63,-54,-80,-59,-75,-90,-65,NaN,-79,-68,-89,NaN,5
-63,-40,-53,-78,-73,-71,-61,-60,-38,-65,-53,-78,-61,-74,NaN,NaN,NaN,-79,-68,NaN,NaN,5
-63,-41,-54,NaN,-73,-71,-63,-60,-37,-63,-52,-78,-61,-74,NaN,-65,NaN,-76,-67,NaN,NaN,5
-64,-40,-55,-83,-74,-70,-56,-61,-38,-63,-54,-80,-60,-75,NaN,-65,-78,-76,-67,-89,NaN,5
-64,-40,-54,-83,-74,-70,-60,-59,-38,-63,-52,-80,-59,-74,-91,NaN,-78,NaN,-67,-89,NaN,5
-61,-41,-57,NaN,-73,-69,-60,-64,-37,-59,-53,-79,-64,-75,-84,-66,-77,-78,-66,NaN,NaN,5
-62,-42,-57,-80,-72,-70,-60,-65,-41,-60,-54,-81,-60,-75,-83,-66,-77,-78,-67,NaN,NaN,5
-58,-41,-54,-78,-72,-69,-55,-65,-37,-61,-54,-78,-60,NaN,-82,NaN,NaN,-79,-67,NaN,NaN,5
-61,-40,-54,-78,-73,-69,-55,-65,-38,-62,-53,-78,-60,NaN,-82,-68,NaN,-79,NaN,NaN,NaN,5
-61,-40,-54,NaN,-73,-70,NaN,-64,-38,-62,-55,-81,-61,-73,-83,-68,NaN,NaN,-67,NaN,NaN,5
-61,-40,-54,NaN,-73,-70,-55,-66,-38,-58,-54,-79,-61,-77,-81,NaN,NaN,NaN,-63,NaN,NaN,5
-60,-40,-54,NaN,NaN,-71,-55,-66,-38,-60,-54,-79,-61,-77,-81,NaN,NaN,NaN,-67,NaN,NaN,5
-65,-40,-54,-80,-73,-71,-57,-66,-36,-60,-52,NaN,-61,NaN,-82,-65,NaN,-75,-67,NaN,NaN,5
-57,-43,-57,-80,-73,-70,-59,-65,-38,-59,-53,-81,-62,-74,-82,-65,NaN,-79,-67,NaN,NaN,5
-60,-41,-57,-81,-73,-70,-59,-66,-38,-59,-52,-80,-60,-75,-81,-64,NaN,-78,-68,NaN,NaN,5
-59,-41,-54,-81,-73,-70,-60,-65,-41,-60,-53,-80,-62,-78,-87,-66,-75,-78,-68,NaN,-85,5
-57,-40,-54,NaN,-73,-70,-58,-64,-38,-62,-55,-82,-62,-75,-81,-65,-76,-78,NaN,-87,-85,5
-59,-40,-53,-77,-73,-70,-59,-64,-38,-61,-53,-83,-60,-78,-81,-65,-76,NaN,-67,-88,NaN,5
-60,-40,-57,-77,-76,-70,-57,-64,-40,-61,-53,-83,-61,-76,-81,-65,NaN,NaN,-67,-88,NaN,5
-58,-41,-54,NaN,-76,-69,-56,-63,-39,-60,-55,-81,-61,-76,NaN,NaN,NaN,-68,NaN,NaN,NaN,5
-58,-40,-54,-79,NaN,-70,-60,-63,-41,-62,-55,-81,-61,NaN,NaN,-64,NaN,-77,NaN,NaN,NaN,5
-58,-40,-55,-79,-73,-70,-62,-65,-46,-60,-53,-81,-62,NaN,-82,-63,NaN,-79,NaN,NaN,NaN,5
-61,-41,-55,-79,-74,-69,-62,-65,-40,-60,-53,-81,-60,NaN,-82,-63,NaN,-79,NaN,NaN,NaN,5
-60,-40,NaN,NaN,-75,-70,-56,-64,-43,-60,-52,-78,-61,NaN,-80,NaN,NaN,NaN,NaN,NaN,NaN,5
-60,-41,-56,NaN,-74,-70,-62,-64,-37,-60,-55,-78,-61,-75,-81,-64,NaN,-78,-68,NaN,NaN,5
-66,-41,-54,NaN,-74,-70,-63,-64,-39,-67,-55,-78,-63,-75,-81,-64,-75,-79,-68,NaN,NaN,5
-58,-41,-54,NaN,-75,-70,-61,-65,-38,-60,-55,NaN,-62,NaN,-76,NaN,-75,-79,NaN,NaN,NaN,5
-59,-40,-56,NaN,-73,-70,-57,-65,-39,-61,-54,-79,-63,-74,-81,-64,-77,-79,-66,NaN,NaN,5
-61,-41,-56,-77,-74,-70,-60,-64,-37,-60,-53,-76,-63,-74,-81,-64,-77,NaN,-67,NaN,NaN,5
-61,-40,-55,-78,-75,-70,-65,-65,-34,-60,-52,-81,-63,-74,NaN,NaN,-81,-78,-67,NaN,NaN,5
-44,-35,-52,-75,-70,-65,-59,-50,-40,-53,-64,-79,-65,-81,-80,-71,-81,-78,-67,NaN,NaN,6
-48,-44,-52,-79,-77,-67,-62,-51,-46,-54,-57,-81,-66,-82,-80,-68,NaN,NaN,NaN,NaN,NaN,6
-47,-42,-53,-75,-77,-67,-59,-50,-46,-54,-57,-81,-66,-82,NaN,-68,NaN,NaN,NaN,NaN,NaN,6
-46,-41,-52,-75,NaN,-67,-55,-51,-48,-55,-62,-79,-65,NaN,NaN,-69,NaN,NaN,-73,NaN,NaN,6
-47,-40,-51,NaN,-71,-67,-55,-50,-48,-55,-59,-79,-70,NaN,NaN,-69,NaN,NaN,-73,NaN,NaN,6
-47,-39,-54,-73,-72,-67,-62,-50,-47,-55,-58,-77,-69,NaN,NaN,-69,-74,NaN,-72,-89,NaN,6
-48,-41,-52,-73,-71,-67,-57,-49,-46,-55,-56,-77,-65,-83,-79,-71,-75,NaN,-72,-89,NaN,6
-48,-40,-52,-76,-71,-66,-55,-49,-47,-55,-54,-78,-66,-82,-79,-71,-80,NaN,NaN,NaN,-85,6
-48,-40,-52,-74,-70,-66,-64,-50,-47,-55,-58,-74,-66,-82,-80,-69,-80,-85,-73,NaN,-85,6
-48,-40,-53,-74,-71,-67,-63,-50,-48,-55,-57,-78,-67,-84,-81,-69,NaN,-85,-76,NaN,NaN,6
-48,-41,-52,-76,-71,-67,-56,-50,-92,-59,-57,-76,-67,-80,-81,-68,NaN,NaN,-72,NaN,NaN,6
-48,-41,-52,-76,-70,-66,-57,-50,-47,-55,-60,-78,-67,-80,-80,-68,NaN,NaN,-71,NaN,NaN,6
-48,-40,-53,NaN,-71,-66,-56,-50,-43,-55,-59,-78,-72,NaN,-80,NaN,NaN,NaN,-71,NaN,NaN,6
-43,-82,-52,NaN,-71,-66,-56,-50,-55,-55,-59,-79,-67,-80,-79,NaN,-80,NaN,-74,NaN,NaN,6
-48,-37,-53,NaN,-70,-67,-63,-50,-47,-54,-59,-77,-66,-80,-79,-68,-80,-88,-74,NaN,NaN,6
-45,-40,-52,NaN,-71,-67,-60,-50,-49,-55,-60,-78,-66,-80,-79,-68,NaN,-86,-72,NaN,-89,6
-48,-40,-52,NaN,-71,-67,-57,-50,-49,-55,-61,-78,-70,-83,NaN,-68,NaN,-86,-72,NaN,-89,6
-48,-40,-53,-75,-71,-67,-57,-50,-48,-55,-58,-79,-65,-80,NaN,-67,NaN,-85,NaN,NaN,NaN,6
-45,-41,-53,-75,-74,-67,-57,-50,-50,-55,-61,-79,-66,-80,NaN,-68,NaN,-85,NaN,NaN,NaN,6
-47,-41,-52,-76,-71,-67,-56,-50,-48,-59,-60,-80,-66,-80,NaN,-68,NaN,-86,NaN,NaN,NaN,6
-47,-42,-53,-76,-71,-66,-62,-50,-49,-55,-61,-80,-67,-80,NaN,-68,-80,-86,-74,NaN,NaN,6
-46,-40,-53,NaN,-71,-67,-55,-49,-48,-55,-61,NaN,-67,NaN,-78,-68,-80,NaN,-74,NaN,NaN,6
-49,-41,-53,NaN,-71,-66,-55,-50,-49,-55,-63,-79,-66,-81,-81,-68,-78,NaN,NaN,NaN,NaN,6
-47,-41,-53,NaN,-71,-67,-62,-50,-50,-55,-62,-79,-66,-81,-81,-68,-78,-85,NaN,NaN,-85,6
-48,-41,-53,-76,-71,-67,-60,-50,-49,-54,-60,-78,-67,-79,-81,-68,-79,-85,-73,NaN,-84,6
-48,-41,-53,-76,-71,-67,-56,-50,-49,-55,-56,-78,-67,-81,-81,-68,-79,NaN,-73,NaN,-84,6
-47,-44,-54,-77,-71,-66,-56,-50,-48,-55,-64,-79,-66,-85,-81,-68,-79,NaN,-74,NaN,NaN,6
-47,-44,-54,-77,-72,-67,-56,-50,-50,-55,-61,-78,-67,-86,-82,-67,NaN,NaN,-73,NaN,NaN,6
-47,-43,-53,-77,-72,-67,-55,-50,-50,-54,-60,-80,-67,-82,-82,-67,NaN,NaN,-74,NaN,NaN,6
-46,-43,-53,NaN,-71,-67,-55,-50,-49,-54,-65,-79,-67,-82,-82,-68,-80,NaN,-74,NaN,-84,6
-45,-43,-53,NaN,-72,-67,-56,-50,-48,-53,-60,-80,-67,-83,-81,-68,-76,NaN,NaN,NaN,-84,6
-46,-44,-52,-73,-70,-67,-56,-50,-48,-54,-60,-77,-68,-82,-72,-68,-76,NaN,NaN,NaN,-83,6
-48,-43,-52,-76,-70,-67,-56,-50,-48,-54,-61,-77,-67,-82,-72,-68,-75,NaN,-72,NaN,-83,6
-48,-43,-55,-76,NaN,-67,-60,-50,-48,NaN,-63,-77,-67,-82,NaN,-68,-75,NaN,-72,NaN,NaN,6
-48,-43,-54,NaN,NaN,-66,-61,-50,-48,-54,-64,NaN,-70,NaN,NaN,-68,-75,NaN,NaN,NaN,NaN,6
-45,-41,-52,-74,-71,-67,-61,-50,-48,-54,-63,NaN,-70,-82,NaN,NaN,-75,NaN,NaN,NaN,NaN,6
-48,-43,-52,-74,-71,-68,-64,-49,-48,-55,-60,NaN,-66,-82,-83,NaN,NaN,-85,-73,NaN,NaN,6
-48,-43,-52,NaN,-71,-67,-56,-50,-46,-54,-60,NaN,-66,NaN,-83,NaN,NaN,-87,-73,NaN,NaN,6
-45,-43,-54,-75,NaN,-66,-62,-50,-47,-50,-61,-87,-67,-82,-84,NaN,NaN,-87,-73,NaN,NaN,6
-45,-43,-52,-77,NaN,-66,-63,-50,-48,-53,-92,-87,-67,-82,-84,-70,NaN,NaN,NaN,NaN,NaN,6
-45,-43,-53,-77,-75,-66,-63,-49,-48,-53,-92,-78,-66,NaN,-81,-68,NaN,NaN,NaN,NaN,NaN,6
-47,-43,-54,NaN,-71,-65,-61,-49,-48,-54,-56,-78,-71,NaN,-81,-68,-74,NaN,NaN,NaN,NaN,6
-46,-41,-52,NaN,-71,-66,-61,-49,-48,-54,-60,-82,-66,NaN,-81,-68,-74,NaN,-74,NaN,NaN,6
-46,-42,-54,NaN,-80,-67,NaN,-50,-48,-55,-63,-80,-67,-84,-81,-68,NaN,NaN,-74,NaN,NaN,6
-47,-43,-52,NaN,-71,-67,-55,-50,-48,-54,-63,-80,-66,-84,NaN,-68,-75,-85,-77,NaN,NaN,6
-47,-40,-55,-78,-70,-67,-55,-50,-47,-56,-62,-80,-67,-82,-83,-68,-75,-85,-77,NaN,-82,6
-46,-43,-55,-78,-71,-67,-56,-50,-48,-55,-59,-83,-66,-82,-81,NaN,NaN,NaN,-73,NaN,-82,6
-47,-38,-52,-76,-71,-67,-70,-49,-47,-54,-62,-79,-67,-84,-82,-69,-76,NaN,-73,NaN,NaN,6
-47,-42,-55,-73,-70,-68,-62,-49,-48,-54,-59,-80,-67,-88,-83,-69,-76,NaN,NaN,NaN,NaN,6
-47,-44,-55,-73,-70,-67,-56,-51,-47,NaN,-61,-80,-70,-88,-83,NaN,-76,NaN,NaN,NaN,NaN,6
-47,-42,-56,NaN,-79,-67,-56,-50,-48,-55,-63,-79,-63,NaN,-88,NaN,NaN,NaN,-75,NaN,NaN,6
-49,-44,-53,NaN,-79,-66,-56,-49,-47,-54,-63,-81,-66,-84,-88,NaN,NaN,NaN,-75,NaN,NaN,6
-48,-44,-53,-76,-70,-67,-63,-52,-47,-53,-60,-80,-69,-80,NaN,NaN,-83,-84,-73,NaN,NaN,6
-48,-42,-56,-74,-70,-67,-56,-47,-48,-53,-59,-79,-74,-80,-83,-69,-81,-84,-73,NaN,NaN,6
-47,-43,-55,-74,-71,-67,-57,-50,-48,-54,-59,-80,-74,NaN,-82,-69,-80,NaN,-73,NaN,NaN,6
-49,-41,-53,NaN,-72,-66,-55,-51,-45,-53,-61,-78,-70,NaN,-82,NaN,-79,-86,-73,NaN,NaN,6
-47,-44,-52,NaN,-70,-67,-57,-50,-48,-54,-63,-79,-69,NaN,-81,-68,-79,-86,-73,NaN,-84,6
-49,-75,-53,-76,-70,-66,-54,-51,-47,-54,-61,-79,-72,NaN,-81,-67,-79,NaN,NaN,NaN,-84,6
-45,-44,-53,-74,-79,-66,-55,-50,-47,-54,-63,NaN,-68,NaN,-83,-67,-79,NaN,NaN,NaN,NaN,6
-91,-44,-53,-74,-70,-67,-60,-50,-45,-53,-60,-86,-67,-80,-81,NaN,-79,-85,-74,NaN,NaN,6
-48,-44,-55,-75,-72,-68,-60,-48,-44,-54,-60,-87,-67,-81,-79,NaN,-79,-85,-72,NaN,NaN,6
-47,-41,-54,-75,-71,-68,NaN,-48,-45,-54,-62,-85,-66,-81,-79,-68,NaN,NaN,-72,NaN,NaN,6
-47,-42,-54,NaN,-77,-68,-54,-48,-44,-54,-62,-84,-66,NaN,-81,-68,NaN,-84,NaN,NaN,NaN,6
-47,-40,-53,-78,-70,-68,-56,-48,-46,-54,-62,-84,-66,NaN,-81,-68,NaN,-84,NaN,NaN,NaN,6
-47,-42,-54,-78,-70,-68,-55,-45,-42,NaN,NaN,-86,-65,-81,-81,-68,NaN,NaN,NaN,NaN,NaN,6
-47,-41,-53,-74,-69,-68,-56,-48,-45,-54,-61,-86,-66,-81,-81,NaN,NaN,-83,NaN,NaN,NaN,6
-47,-42,-55,-74,-75,-69,-56,-48,-45,-53,-61,NaN,-66,NaN,-81,NaN,NaN,-84,-64,NaN,NaN,6
-48,-39,-54,NaN,-70,-68,-56,-48,-41,-54,-60,-84,-65,-85,-81,-68,NaN,-83,-64,NaN,-84,6
-48,-41,-54,NaN,-70,-69,-58,-48,-46,-54,-60,-83,-65,-78,-79,-68,NaN,-83,-71,NaN,-84,6
-48,-41,-54,NaN,-70,-68,-57,-48,-45,-53,-64,-84,-65,-78,-79,-68,NaN,NaN,-71,NaN,-85,6
-80,-42,-55,-73,-70,-68,-56,-48,-44,-54,-64,-84,-65,NaN,-82,-68,-78,-85,NaN,NaN,-85,6
-48,-42,-53,-73,-79,-68,-53,-48,-46,-55,-62,-84,-65,NaN,-81,-68,-78,-85,-71,NaN,NaN,6
-48,-42,-53,NaN,-74,-68,-53,-49,-45,-54,-60,-84,-63,-79,-81,-67,NaN,NaN,-71,NaN,NaN,6
-48,-41,-53,NaN,-75,-68,-54,-48,-43,-55,-59,-85,-64,-80,-81,-67,-78,NaN,-91,NaN,NaN,6
-47,-42,-53,-73,-71,-68,-52,-48,-46,-55,-61,-86,-65,-81,-81,-69,-78,-85,-91,NaN,NaN,6
-44,-40,-54,-78,-77,-69,-57,-46,-45,-54,-61,-86,-65,-81,-83,-69,NaN,-85,-71,NaN,NaN,6
-47,-43,-54,-78,-71,-69,-53,-48,-49,-54,NaN,-86,-67,NaN,-79,-68,NaN,NaN,-71,NaN,-88,6
-45,-43,-54,NaN,-71,-69,-53,-48,-48,-54,-58,-86,-67,NaN,-78,-68,NaN,-81,-71,NaN,-88,6
-48,-43,-54,-78,-72,-70,-53,-49,-49,-54,-59,-85,-68,NaN,-75,-68,NaN,-86,-71,NaN,NaN,6
-47,-39,-53,-78,-72,-68,-54,-48,-50,-54,-58,-84,-68,NaN,-75,-68,NaN,-86,-70,NaN,NaN,6
-54,-41,-50,-74,-69,-69,-59,-52,-46,-56,-45,-71,-60,NaN,-76,-68,-71,NaN,-70,-87,NaN,7
-47,-37,-51,-74,-71,-70,-53,-56,-48,-52,-43,-72,-60,NaN,-69,NaN,-71,-82,-65,-87,NaN,7
-48,-38,-51,NaN,-71,-70,-54,-55,-47,-53,-45,-70,-60,NaN,-71,NaN,-71,-82,-67,NaN,NaN,7
-48,-38,-52,NaN,-71,-69,-47,-55,-48,-52,-44,-71,-60,-64,-71,NaN,NaN,-81,-67,NaN,-81,7
-49,-38,-55,NaN,-71,-70,-53,-55,-47,-52,-44,-69,NaN,-64,-72,NaN,NaN,-81,-67,NaN,-81,7
-49,-37,-51,NaN,-70,-70,-53,-54,-50,-52,-46,-70,-87,-66,-73,-70,-73,-82,-67,NaN,NaN,7
-88,-38,-51,NaN,-70,-70,-54,-55,-45,-51,-46,-68,-61,-66,-73,-67,-73,-82,-68,NaN,NaN,7
-47,-38,-57,-70,NaN,-70,-55,-56,-46,-52,-46,-70,-59,NaN,-73,-67,NaN,-79,-68,NaN,NaN,7
-47,-37,-52,-70,-71,-70,-53,-55,-45,-52,-44,-69,-63,-63,-73,-68,-78,-79,-67,NaN,-79,7
-48,-38,-51,NaN,-71,-70,-54,-55,-47,-51,-44,-70,-60,-68,-70,-71,-72,-83,-67,NaN,-75,7
-49,-37,-53,NaN,NaN,-70,-55,-56,-46,-51,-44,-70,-60,-65,-73,-67,-73,-83,-67,-83,-75,7
-48,-40,-53,NaN,NaN,-70,-54,-55,-45,-51,-44,-69,-60,-65,-73,-66,-72,NaN,-67,-83,NaN,7
-48,-38,-57,NaN,-72,-70,-54,-56,-46,-51,-88,-70,-60,-64,-73,-66,-73,NaN,NaN,NaN,NaN,7
-48,-38,-56,NaN,-71,-70,-54,-56,-45,-53,-44,-70,-59,-65,-69,NaN,-74,NaN,-68,NaN,NaN,7
-48,-38,-56,-75,-71,-70,-53,-55,-45,-52,-45,-70,-60,-72,-69,NaN,-74,-82,-68,NaN,NaN,7
-48,-37,-56,-75,-72,-70,-54,-55,-45,-51,-44,-70,-59,-66,NaN,-66,NaN,-82,-68,NaN,NaN,7
-48,-38,-52,-71,-72,-70,-54,-55,-45,-52,-46,-70,-77,-65,-70,-72,NaN,-82,-67,NaN,NaN,7
-48,-40,-53,-71,-72,-70,-47,-55,-44,-52,-44,-70,-59,-65,-72,-67,-70,-81,-67,NaN,NaN,7
-48,-38,-52,NaN,-72,-71,-54,-56,-46,-52,-46,-71,-59,-65,-71,-67,-70,-81,-67,NaN,NaN,7
-48,-37,-51,NaN,-72,-70,-58,-55,-46,-52,-46,-70,-60,-67,-70,NaN,NaN,NaN,-67,NaN,NaN,7
-48,-38,-52,NaN,NaN,-70,-53,-55,-45,-52,-45,-72,-59,-64,-70,-66,NaN,NaN,NaN,NaN,NaN,7
-48,-38,-57,NaN,-71,-70,-53,-56,-44,-52,-44,-68,-61,-66,-72,-66,NaN,NaN,NaN,NaN,NaN,7
-48,-38,-52,NaN,-73,-70,-53,-55,-47,-51,-44,-67,-60,-65,-72,-72,NaN,NaN,-67,NaN,NaN,7
-49,-38,-51,NaN,-72,-70,-54,-56,-45,-52,-46,-70,-59,-65,-73,-72,NaN,-81,-68,NaN,NaN,7
-49,-38,-51,NaN,-71,-69,-54,-56,-46,-51,-46,-65,-59,-65,-73,-66,NaN,-81,-67,NaN,NaN,7
-49,-37,-51,NaN,-72,-69,-54,-56,-46,-52,-45,-69,-60,-65,-72,-66,NaN,NaN,-67,NaN,NaN,7
-48,-37,-51,NaN,-72,-70,-47,-55,-45,-51,-46,-69,-59,-65,-72,-69,-70,NaN,-69,NaN,-80,7
-48,-36,-51,NaN,-72,-70,-54,-56,-45,-52,-47,-70,-59,-66,-73,-66,-70,-81,-69,NaN,-80,7
-48,-37,-51,-70,-72,-70,-53,-56,-45,-52,-46,-70,-58,-66,-69,-66,NaN,-81,-68,NaN,NaN,7
-48,-37,-51,-71,-72,-69,-53,-56,-46,-52,-46,-70,-60,-64,-73,NaN,NaN,NaN,-68,NaN,NaN,7
-48,-37,-50,-74,NaN,-68,-54,-56,-45,-50,-45,-69,-60,-72,-74,NaN,NaN,NaN,NaN,NaN,NaN,7
-51,-37,-51,-70,NaN,-69,-54,-55,-46,-56,-46,-70,NaN,-73,-69,-66,NaN,-85,NaN,NaN,-81,7
-48,-41,-51,-70,-70,-72,-53,-53,-45,-52,-44,-70,-60,-68,-71,-66,NaN,-85,-70,NaN,-81,7
-48,-36,-52,NaN,-70,-69,-54,-55,-45,-52,-46,-70,-60,-68,-73,NaN,-77,-81,-86,NaN,NaN,7
-48,-39,-51,NaN,NaN,-70,-53,-55,-45,-52,-45,-69,NaN,NaN,-72,-66,-73,-81,-86,NaN,NaN,7
-48,-37,-56,NaN,-72,-70,-53,-56,-46,-51,-45,-66,-59,NaN,-72,-66,-73,-81,NaN,NaN,NaN,7
-48,-38,-51,-70,-72,-70,-53,-56,-47,-51,-44,-70,-59,-77,-72,NaN,-73,-81,NaN,NaN,NaN,7
-48,-38,-51,-70,-73,-70,-53,-56,-46,-51,-46,-69,-59,-77,-73,NaN,-73,-81,NaN,NaN,NaN,7
-49,-38,-51,-70,-71,-70,-54,-55,-47,-52,-47,-69,-59,-67,-73,NaN,-73,NaN,-67,NaN,-81,7
-47,-37,-51,-70,-71,-69,-54,-55,-47,-52,-46,-69,-60,-67,-73,-66,-72,NaN,-67,NaN,-81,7
-49,-38,-52,-70,-74,-69,-54,-58,-46,-52,-45,-70,-60,-70,-74,-66,-72,NaN,-67,NaN,NaN,7
-48,-38,-60,-71,-72,-70,-54,-56,-46,-51,-46,-68,-59,-70,-72,NaN,-74,-80,-67,-82,NaN,7
-48,-38,-51,-71,-71,-69,-53,-56,-46,-51,-46,-69,-60,-67,-73,-67,-74,-77,NaN,-82,-78,7
-50,-38,-51,-71,-74,-69,-53,-56,-46,-50,-49,-69,-59,-63,-72,-67,NaN,-77,NaN,NaN,-78,7
-48,-35,-51,-69,-70,-70,-54,-61,-46,-51,-44,-68,-61,-67,-73,-71,-70,-81,-67,NaN,-78,7
-49,-38,-56,-70,-71,-69,-54,-59,-46,-52,-46,-69,-60,-64,-73,-87,-70,-83,-67,NaN,-78,7
-47,-38,-50,-70,-74,-69,-52,-67,-45,-52,-44,-69,-59,-65,-73,-68,-70,-80,-67,NaN,NaN,7
-47,-38,-54,-70,-73,-69,-52,-58,-45,-51,-45,-68,-60,-66,-73,-68,-70,-80,NaN,NaN,NaN,7
-49,-38,-51,-70,-71,-69,-53,-56,-46,-52,-45,-70,-61,-66,-73,-65,NaN,-82,NaN,-84,-81,7
-48,-38,-56,-71,-72,-69,-53,-56,-46,-51,-45,-70,-61,-63,NaN,-67,NaN,-82,NaN,-84,-80,7
-48,-38,-52,-71,-72,-69,-52,-55,-47,-51,-44,-69,-61,-63,NaN,-67,NaN,NaN,NaN,NaN,-80,7
-48,-38,-55,NaN,-71,-69,-53,-56,-66,-52,-44,-69,-60,NaN,-70,-70,NaN,-82,NaN,NaN,NaN,7
-49,-37,-51,-73,-73,-69,-52,-56,-66,-52,-46,-68,-60,-61,-72,-67,-69,-82,-88,NaN,-79,7
-49,-37,-51,-73,-71,-69,-53,-56,-46,-52,-46,-69,-60,-67,-72,-67,-69,-82,-68,NaN,-79,7
-48,-37,-51,NaN,-69,-70,-54,-56,-46,-52,-43,-69,-58,-61,-72,-71,-68,-83,-68,-82,NaN,7
-48,-38,-51,NaN,-73,-70,-53,-55,-48,-51,-43,-69,-58,-62,-74,-71,-69,-83,NaN,-82,NaN,7
-49,-38,-51,-74,-72,-70,-47,-55,-46,-51,-45,-69,-60,-63,-70,-67,-69,NaN,-68,-83,-80,7
-47,-37,-54,-79,-72,-69,-53,-55,-46,-51,-44,-67,-60,-64,-73,-66,-69,NaN,-68,-83,-80,7
-48,-38,-57,-79,-71,-70,-54,-55,-47,-52,-43,-69,-60,-69,-69,-66,-69,NaN,NaN,NaN,NaN,7
-48,-36,-55,NaN,-71,-70,-54,-56,-46,-51,-44,-69,-61,-69,-73,NaN,-73,NaN,-68,NaN,-79,7
-47,-37,-51,NaN,-71,-70,-53,-55,-51,-51,-43,-69,-63,-67,-73,-66,-73,NaN,-68,NaN,-79,7
-48,-37,-51,NaN,-73,-70,-53,-55,-47,-51,-45,-73,-63,-67,-72,-66,-77,-85,-69,-83,NaN,7
-48,-38,-50,-70,-71,-69,-53,-56,-47,-52,-44,-69,NaN,-63,-72,-66,-70,-85,-69,-83,NaN,7
-49,-40,-50,-71,-70,-70,-54,-56,-47,-51,-45,-70,-61,-63,-72,-67,-69,-81,-67,-82,NaN,7
-83,-88,NaN,-76,-90,-70,-54,-56,-47,-52,-45,-69,-61,-63,-71,-66,-69,-81,-67,-82,NaN,7
-49,-88,-51,-76,-73,-70,NaN,-56,-48,-52,-45,-69,-61,NaN,-70,-66,-71,NaN,-73,NaN,NaN,7
-49,NaN,-51,NaN,-73,-70,-54,-56,-51,-52,-45,-68,-59,-64,-72,-67,-71,-69,-68,-85,NaN,7
-50,-38,-57,-78,-73,-70,-54,-54,-49,-52,-45,-67,-60,-64,-72,-67,NaN,-81,-68,-85,NaN,7
-51,-37,-56,-78,-74,-70,-53,-55,-89,-51,-44,-70,-59,-64,-70,-67,NaN,-81,NaN,NaN,NaN,7
-49,-38,-51,NaN,-72,-70,-53,-54,-45,-52,-43,-69,-60,-65,-70,-67,-72,NaN,-68,NaN,NaN,7
