@relation '20.01.2016.train-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,1'

@attribute 4c:5e:0c:71:aa:15_RFKON2014-Mesh numeric
@attribute 4c:5e:0c:70:52:5a_RFKON2014-Mesh numeric
@attribute 4c:5e:0c:6f:20:b2_RFKON2014-Mesh numeric
@attribute d4:ca:6d:c9:f1:c5_RFKON2014-Mesh numeric
@attribute d4:ca:6d:bc:1d:73_RFKON2014-Mesh numeric
@attribute 4c:5e:0c:6f:20:fa_RFKON2014-Mesh numeric
@attribute 4c:5e:0c:23:44:33_RFKON2014-Mesh numeric
@attribute 4c:5e:0c:71:a8:bf_RFKON2014-Mesh numeric
@attribute REF_POINT {1,2,3,4,5,6,7,8,9,10,11,12,13,50,51,52,53,54}

@data
-31,-32,-51,-55,-64,-69,-75,-73,5
-31,-32,?,-54,?,-70,-75,?,5
-30,-32,-51,-56,?,?,?,-76,5
-30,-33,-50,-56,-63,-69,?,-74,5
-30,-33,-51,-55,-64,-69,-77,?,5
-31,-33,-52,?,-63,-68,?,-74,5
-31,-33,-51,-56,-63,-69,-79,-74,5
-31,-33,-50,-55,-64,?,?,-75,5
-30,-33,-50,-55,-64,-69,-73,-73,5
-30,-33,-51,-55,-66,-69,?,-78,5
-31,-33,-51,-56,-62,?,?,?,5
-31,-33,-50,-56,-63,-69,-74,-73,5
-31,-33,-51,-55,?,-69,?,-73,5
-30,?,-51,-56,-63,-69,-73,?,5
-31,-33,-51,-55,?,-69,-75,-75,5
-31,-36,-52,-56,?,?,?,-73,5
-31,-33,-52,-55,?,?,?,?,5
-30,-32,-51,-55,-64,-68,-74,-73,5
-28,-33,-51,-55,-63,-69,-73,-73,5
-31,-33,-52,-55,-64,-68,?,-78,5
-30,-33,-52,-55,-64,-69,?,?,5
-30,-33,-51,-56,-64,-70,-78,-77,5
-31,-34,-52,-55,-63,-69,?,-73,5
-30,-33,-50,-55,?,?,?,?,5
-27,-33,-51,-55,-64,?,-78,-72,5
-31,-33,-51,-55,-64,?,?,-72,5
-30,-33,-51,?,-64,?,?,?,5
-31,-34,-51,-56,?,-65,-77,?,5
-31,-33,-51,-55,-65,-70,?,?,5
-30,-33,-52,-54,-64,-69,?,-72,5
-31,-33,-53,-55,?,-69,-74,?,5
-31,-33,-52,-55,-64,-70,-74,-73,5
-29,-33,-53,-55,?,-68,?,?,5
-30,-33,-54,-56,?,-69,-76,?,5
-31,-33,-54,-55,-58,-68,-77,?,5
-31,-33,-53,-55,-64,?,?,-71,5
-29,-39,-53,-51,-64,-63,-71,?,12
-28,-39,-57,-52,-63,?,-70,-74,12
-28,-41,-55,-52,?,?,?,-77,12
-29,-39,-59,-52,?,?,?,-73,12
-28,-39,-61,-51,-63,?,-70,?,12
-28,-38,-55,-49,-63,-66,-70,?,12
-28,-39,-61,?,-63,-66,?,-73,12
-28,-39,-56,-51,-64,?,?,?,12
-27,-41,-57,?,-63,?,-79,?,12
-27,-41,-57,-51,-62,?,-77,-75,12
-26,-40,-58,-51,-63,-65,?,-75,12
-27,-41,-60,-51,-64,-65,-76,-73,12
-27,-40,-64,-51,-63,-65,-75,-74,12
-27,-41,-64,-51,-63,?,-75,?,12
-27,-41,-57,-51,?,-65,-74,-74,12
-27,-41,-61,-51,-62,?,?,-75,12
-27,-40,-60,-51,-63,-65,-69,-75,12
-29,-41,-65,-51,-60,-65,-69,-74,12
-27,-41,-56,-51,-63,?,-70,-75,12
-28,-41,-55,-52,-62,-65,?,?,12
-27,-41,-57,-51,-61,-65,-70,-74,12
?,-40,-60,-51,-63,?,?,?,12
-28,-40,?,-50,-63,-64,-79,-73,12
-27,-41,-60,-52,-63,-65,-75,-73,12
-26,-41,-54,-50,-63,-66,-75,-72,12
-27,-40,-60,-52,-62,-64,-76,-72,12
-26,-42,-55,-49,?,?,?,?,12
-27,-41,-56,-49,?,-65,?,?,12
-29,-42,-55,-51,-64,-69,-72,-73,12
-27,-41,-59,-50,?,?,-72,?,12
-28,-41,-55,?,-64,?,-71,?,12
-33,-41,-58,-54,-66,?,-77,?,12
-29,-42,-56,-53,-63,-63,-77,-72,12
-29,-43,-58,-52,-65,?,-78,-76,12
-29,-41,-54,-50,-65,?,-77,-73,12
-27,-41,-63,-53,-65,-65,?,-73,12
-28,-41,-61,-49,-64,-60,-77,-73,12
-27,-41,-64,-50,-62,-64,?,?,12
-28,-42,-62,-50,?,-65,-76,-72,12
-28,-42,-59,-53,?,-66,?,-73,12
-28,-42,-66,-51,-61,-65,?,?,12
-28,-41,-58,-51,?,-65,-77,-77,12
-29,-42,-59,-51,-60,-66,?,?,12
-29,-41,-59,-53,-64,-66,-69,-73,12
-28,-42,-60,-51,-64,?,-68,-86,12
-28,-42,-60,-51,-64,-66,?,-73,12
-29,-43,-57,?,-66,-66,-69,-74,12
-28,-42,-58,-49,-64,?,-70,?,12
-28,-42,-61,-51,-63,-66,-69,?,12
-28,-42,-60,-50,-64,-66,-70,?,12
-28,-41,-61,?,-63,?,-70,-73,12
-29,-42,-57,-50,-64,-66,-68,-73,12
-27,-42,-57,-50,-64,?,?,-73,12
-27,-41,-56,-51,-66,-66,?,?,12
-28,-41,-59,-52,-64,-66,-76,-74,12
-26,-41,?,-51,-64,-65,-76,-73,12
-28,-41,-59,-51,-65,-65,?,?,12
-29,-41,-60,-51,-64,?,-76,?,12
-28,-41,-62,-51,-63,-66,-75,-73,12
-29,-42,-68,-51,-63,?,-77,?,12
-28,-41,-60,-51,-62,-66,-70,-77,12
-29,-41,-61,-51,-63,-65,?,-73,12
-28,-41,-63,-51,-63,-65,-70,-73,12
-28,-42,-62,-52,-64,?,-70,-72,12
-28,-41,-63,-51,-64,?,-70,-77,12
-28,-43,-60,-51,-64,-65,-69,-73,12
-27,-40,-65,-51,-65,-65,-70,-73,12
-28,-42,-65,-51,-64,?,?,-73,12
