@relation '20.01.2016.train-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,1'

@attribute 4c:5e:0c:71:aa:15_RFKON2014-Mesh numeric
@attribute 4c:5e:0c:70:52:5a_RFKON2014-Mesh numeric
@attribute 4c:5e:0c:6f:20:b2_RFKON2014-Mesh numeric
@attribute d4:ca:6d:c9:f1:c5_RFKON2014-Mesh numeric
@attribute d4:ca:6d:bc:1d:73_RFKON2014-Mesh numeric
@attribute 4c:5e:0c:6f:20:fa_RFKON2014-Mesh numeric
@attribute 4c:5e:0c:23:44:33_RFKON2014-Mesh numeric
@attribute 4c:5e:0c:71:a8:bf_RFKON2014-Mesh numeric
@attribute REF_POINT {1,2,3,4,5,6,7,8,9,10,11,12,13,50,51,52,53,54}

@data
-42,-21,?,-56,-67,-72,-78,?,10
-42,-25,-54,-60,-68,-71,?,?,10
-40,-22,-55,-55,-69,-71,-77,?,10
-40,-21,-52,?,-73,-71,-80,?,10
-39,-21,-53,-57,-68,-71,-77,-73,10
-41,-21,?,-58,-68,-72,?,?,10
-41,-21,-54,-58,?,-71,-82,?,10
-41,-21,-53,-56,-69,-72,?,-75,10
-41,-22,-55,-60,-67,?,-81,?,10
-42,-21,-56,-59,-77,-73,-70,-73,10
-42,-22,-54,-59,-69,-72,?,?,10
-44,-22,-50,?,-75,-72,-71,-74,10
-44,-22,-52,-60,?,-72,?,-75,10
-43,-21,-52,-59,-69,-72,-70,-75,10
-42,-22,-53,-62,-78,?,?,?,10
-42,-22,-52,-60,-77,-73,?,-74,10
-42,-22,-57,-60,-66,-72,-70,-73,10
-41,-25,-54,-60,-70,-72,-69,-75,10
-42,-21,-54,?,-70,-73,?,?,10
-42,-21,-52,-58,-70,-72,-71,-74,10
-42,-21,-54,-58,-70,?,-71,-74,10
-42,-21,-58,-63,-69,-72,-71,?,10
-42,-21,-55,-60,?,?,-77,-74,10
-43,-21,-53,-61,-71,-72,?,-73,10
-42,-21,-54,?,-71,?,?,-73,10
-42,-21,-56,-59,-72,-73,-76,?,10
-42,-25,-82,-59,-72,-72,?,-73,10
-42,-22,-55,-59,?,-72,?,-73,10
-42,-21,?,-58,-74,-73,-69,-74,10
-42,-21,-56,-59,-72,?,-70,?,10
-43,-21,-52,-58,?,?,-70,?,10
-42,-22,-55,-58,-76,?,?,?,10
-42,-21,-53,-56,?,?,-79,?,10
-41,-40,-56,-59,-73,-73,-71,?,10
-40,-21,-56,-58,-72,?,-69,?,10
-40,-22,-57,-57,-73,-71,?,?,10
-41,-21,-56,?,?,-73,?,-74,10
-41,-25,-55,?,-73,-72,?,-74,10
-41,-21,-58,?,?,-72,?,-73,10
-41,-21,-60,-57,?,-72,-76,-72,10
-41,-73,-57,-58,-73,-71,-82,-72,10
-41,-21,-62,-58,-73,-72,?,?,10
-41,-22,-57,-57,?,-72,-69,?,10
-40,-21,-53,-56,-73,-71,-70,?,10
-40,-21,-54,-56,?,?,-77,-73,10
-40,-22,-54,-57,-73,-71,?,?,10
-40,-21,-54,-57,?,?,?,?,10
-40,-21,-53,-59,-74,?,-70,-69,10
-40,-21,-52,-57,?,?,-69,-72,10
-39,-21,-57,-55,-68,-71,-69,-74,10
-43,-21,-52,-57,-71,-71,-69,?,10
-42,-21,-50,?,?,?,-69,?,10
-48,-21,-51,-58,-74,-72,-68,?,10
-42,-21,-50,-69,?,-73,-68,?,10
-43,-21,-50,-61,-70,-71,-67,-73,10
-44,-21,-49,-59,-75,-70,-77,-73,10
-56,-21,-50,-57,?,?,-77,-74,10
-42,-21,-49,-56,?,?,?,?,10
-47,-21,-50,-64,-72,?,-78,-74,10
-46,-21,-51,-58,-74,?,-78,?,10
-43,-84,-49,-57,?,?,-76,-73,10
-46,-21,-50,-57,-70,-71,?,-75,10
-42,-21,-51,-57,-73,-72,-78,?,10
-42,-22,-51,-67,-72,?,?,?,10
-46,-21,-50,-67,-70,-71,?,-73,10
-40,-22,-51,-58,?,-69,-77,-72,10
-41,-21,-50,-59,?,-71,-77,-74,10
-41,-22,-49,-61,-72,-70,-77,-72,10
-39,-21,-50,-60,-72,-69,?,-77,10
-39,-22,-49,-63,?,-70,?,-73,10
-46,-21,-51,?,-71,-72,?,?,10
-45,-22,-50,-59,-66,-72,-79,-72,10
-46,-21,-50,-57,-75,-71,-76,?,10
-46,-21,-50,-56,?,-72,-79,?,10
-36,-34,-50,-56,-64,?,?,?,50
-37,-33,-47,-56,?,?,?,-74,50
?,-34,?,-58,-67,?,?,?,50
-36,-34,-48,-55,-67,?,-79,-78,50
-37,?,-50,-56,-65,-59,?,-76,50
-37,-34,-48,-57,-66,-59,-79,-74,50
-37,-34,-49,-57,-67,?,-78,?,50
-37,-34,-48,-57,-68,?,?,?,50
-37,-32,-49,-57,-68,-59,?,-74,50
-36,-34,-48,-56,-69,-59,?,?,50
-36,-34,-48,-56,?,-59,?,?,50
-36,-34,-48,-57,?,?,?,?,50
-36,-34,-48,-57,?,?,-68,-75,50
-37,-35,-51,-57,-68,?,-67,?,50
-37,-34,-49,-57,-67,-59,-68,-74,50
-37,-34,-50,-56,-68,-59,-68,-78,50
-36,-34,-48,-56,-67,-59,-68,?,50
-41,-33,-51,-57,?,-60,?,-76,50
-36,-34,-48,-57,?,-59,?,?,50
-36,-34,-48,-57,?,-59,?,-78,50
-36,-33,-49,-57,-67,-58,?,-75,50
-36,-34,-47,-57,-66,-59,?,-74,50
-36,-34,-48,-56,-66,-59,-83,?,50
-36,-33,-49,?,-66,-59,-82,-75,50
-37,-33,-49,-56,-69,-59,-82,-75,50
-36,-33,-49,-57,-66,-59,?,-75,50
-37,-33,-49,-57,-67,?,-81,-76,50
-36,-33,-48,?,-68,-59,?,-76,50
-36,-33,-47,-57,?,?,-69,-75,50
-37,-34,-48,?,?,-59,?,?,50
-36,-34,-51,-56,-66,?,-72,?,50
-36,-34,-48,-57,-66,?,-68,?,50
-36,-34,-49,-59,?,-59,-70,-79,50
-36,-34,-49,-57,-66,-59,-68,-75,50
-36,-34,-47,-57,-65,-59,-68,-76,50
-36,-34,-48,-57,-65,-59,-83,?,50
-36,-34,-48,-57,?,-59,?,?,50
-37,-34,-47,-56,-66,?,?,?,50
-36,-32,-49,-57,-66,-56,-81,-77,50
-36,-32,-51,-57,-66,-57,-79,-78,50
-36,-34,-47,-57,-66,?,-78,-76,50
-36,-33,-47,?,?,?,-78,-77,50
-36,-34,?,-58,-65,-59,-69,?,50
-72,-34,-48,-58,-65,?,-68,?,50
-36,-34,-47,-63,-66,-59,-68,-77,50
-36,-32,-47,-63,-65,?,-68,-77,50
-36,-34,-48,-58,?,?,-68,?,50
-36,-34,-47,-59,-66,-59,-68,-76,50
-36,-34,-48,-58,?,-60,-68,-76,50
-37,-39,-48,-59,-65,?,?,?,50
-36,-34,-46,-58,-65,-59,?,-76,50
-36,-34,-48,-58,?,-59,-72,?,50
-36,-33,-48,?,-65,-59,?,-77,50
-36,-34,-46,-58,?,-59,?,-75,50
-36,-34,-49,-58,?,-59,-69,?,50
-36,-34,-48,-59,-65,-60,?,-76,50
-36,-34,-48,-58,-65,-60,-68,-76,50
-36,-34,-48,-58,-64,-59,?,-76,50
-36,-30,-47,-58,?,-59,?,?,50
-36,-34,-48,-58,?,-59,-81,?,50
-36,-34,-49,-59,?,?,-83,-80,50
-36,-34,-48,-58,-65,?,-83,-76,50
-36,-34,-48,?,-65,?,-82,-76,50
-36,-34,-48,-62,?,-58,-85,?,50
-36,-33,-48,-58,-65,-59,?,?,50
-38,-35,-48,-59,?,-59,-68,?,50
-38,-34,-49,-57,-66,?,?,-76,50
-36,-34,-49,-57,?,?,-69,-76,50
-37,-34,-48,-57,-65,-60,?,-77,50
-37,-34,-48,-56,-65,?,-67,-77,50
-37,-34,-48,?,-65,?,-69,?,50
-36,-34,-48,-57,?,?,-68,-76,50
-36,-39,-49,-56,-65,?,?,?,50
-36,-33,-49,-58,-65,-59,-71,?,50
-36,-32,-48,-52,-65,-59,-74,?,50
-36,-32,-49,-57,-66,-59,-69,?,50
-36,-34,-48,-57,?,-60,-68,?,50
-36,-34,-49,?,-65,?,-72,?,50
-41,-36,-51,-63,?,?,-69,-73,9
-42,-37,-52,-67,-67,-67,-68,-72,9
-41,-38,-50,-61,-66,-66,-68,?,9
-41,-38,-55,-63,-66,?,-68,?,9
-42,-38,-54,-63,?,?,-69,-73,9
-42,-38,-53,-62,-64,-66,-68,-72,9
-43,-39,-53,-61,-66,-65,-68,-74,9
-41,-37,-54,-61,?,-66,?,-72,9
-44,-37,-51,-61,-68,-66,-68,-72,9
-39,-37,-55,-64,-66,-67,-68,-72,9
-41,-37,-50,?,-65,-65,?,-73,9
-40,-37,-51,-65,-66,-66,?,-82,9
-37,-36,-50,-63,-69,-66,-77,-81,9
-38,-36,-48,-68,-65,-66,-77,-72,9
-38,-34,-49,?,-66,-65,-77,-71,9
-42,-37,-50,-63,-69,-65,?,?,9
-40,-36,-50,-63,-65,-65,?,-71,9
-41,-35,-51,?,-64,-65,-67,-73,9
-40,-36,-53,-65,-66,-66,-67,-72,9
-43,-35,-51,-63,-65,-65,?,-72,9
-43,-36,-54,-66,-66,-66,-67,-73,9
-41,-37,-52,-65,-65,-64,?,-72,9
-40,-36,-52,-64,-66,-64,-67,-73,9
-38,-35,-51,?,-67,-64,-68,-72,9
-41,-37,-53,-68,?,-69,-67,?,9
-40,-37,-53,-63,?,-64,?,?,9
-42,-36,-51,-66,-65,-73,-67,?,9
-42,-36,-51,-65,-65,-68,-69,-73,9
-41,-37,-53,-62,-65,-64,-69,-73,9
-42,-36,-52,-65,-65,?,-69,-72,9
-41,-35,-52,-66,-69,-67,?,?,9
-41,-36,-50,-64,-63,?,?,-71,9
-41,-34,-50,-65,-63,-64,?,-72,9
-40,-35,-51,-66,-63,-60,-68,-72,9
-41,-36,-51,-65,?,-63,-70,-73,9
-39,-36,-50,-66,-65,-64,?,-72,9
-41,-36,-51,-68,-70,-67,-73,?,9
-39,-38,-51,-65,-67,-63,-75,-72,9
-42,-35,-51,-67,-69,-65,-75,-72,9
-42,-33,-54,-68,?,-66,-75,-72,9
-35,-36,-52,-67,?,-71,-74,-74,9
-40,-35,-53,?,?,?,-80,?,9
-39,-35,-49,-63,-63,-65,?,-71,9
-42,-37,-49,-63,-66,-68,-75,?,9
-38,-36,-50,-68,-64,-65,-76,-72,9
-36,-36,-60,-66,-66,?,-72,?,9
-41,-34,-53,-70,-71,-64,-73,?,9
-39,-35,-51,?,?,?,-75,?,9
-42,-35,-51,-64,-64,-65,?,-71,9
-39,-36,-53,?,-63,-64,-73,-71,9
-41,-35,-51,-63,-63,-65,?,?,9
-40,-35,-52,-57,-63,-65,?,?,9
-40,-35,-52,-62,-68,-65,-74,-72,9
-40,-33,-50,-64,-63,-65,-74,?,9
-40,-35,-47,-59,-68,-65,-73,-71,9
-39,-35,-47,-67,-63,-64,-73,-71,9
-36,-69,-47,-64,-66,-66,?,?,9
-42,-36,-47,-64,-63,-65,?,-72,9
-42,-36,-48,-66,-64,-65,-69,-72,9
-45,-37,-50,-66,?,-65,?,-72,9
-43,-35,-45,-66,-64,-65,-68,-71,9
-41,-35,-49,?,-67,-65,-69,?,9
-37,-36,-48,-63,-69,-67,-75,?,9
-40,-33,-47,-66,-66,-65,?,-81,9
-41,-35,-47,-63,-64,-64,-79,-72,9
-43,-33,-46,-69,-66,-65,-77,-82,9
-39,-37,-47,-66,-65,-67,?,?,9
-39,-34,-47,-64,-64,-68,-74,-71,9
-40,-34,-47,-60,-63,-64,-79,-71,9
-40,-34,-46,-62,-61,-65,?,?,9
-41,-35,-46,-63,-65,-64,-73,-71,9
-41,-32,-49,-60,?,?,?,?,9
-40,-36,-46,-60,?,-64,-73,?,9
-41,-35,-46,?,-65,-64,-73,-71,9
-40,-35,-45,-84,-65,-64,-74,-72,9
-41,-39,-44,?,-67,-63,-69,-72,9
-40,-36,-47,-61,-66,-64,?,-71,9
-39,-33,-45,-63,?,-74,-66,?,9
-39,-34,-47,-68,-73,-66,-78,-75,54
-42,-34,-47,-62,-72,-66,?,-78,54
-42,-34,-47,-64,-72,-66,?,?,54
-42,-34,-47,-69,-74,-66,-77,-77,54
-40,-35,-47,-65,-72,-65,-78,-78,54
-40,-33,-47,?,-73,-66,?,-77,54
-41,-34,-47,-63,-72,?,-77,-76,54
-41,-35,-47,-63,-73,-65,-79,?,54
-42,-33,?,-65,-73,-65,-77,-76,54
-41,-35,-46,-65,-70,-64,-77,-77,54
-41,-34,-46,-64,-73,?,-77,-77,54
-40,-34,?,-63,?,?,-75,-77,54
-40,-33,-47,-62,?,-66,-77,?,54
-85,-34,-47,-63,-66,-66,-76,-76,54
-41,-34,-48,-64,-74,-67,-75,-76,54
-41,-34,-47,-62,?,?,?,?,54
-41,-75,-48,-62,-73,-64,?,-78,54
-42,-34,-48,-62,-74,?,?,-75,54
-42,-34,-48,-62,-74,-66,-75,-76,54
-41,-34,-49,-61,-74,-67,-77,-76,54
-42,-34,-48,-63,-75,-66,-76,-75,54
-43,-34,-48,-61,?,-66,?,?,54
-42,-34,-48,-63,-75,-66,-77,-75,54
-65,-34,-48,-60,-74,-66,?,-76,54
-41,-34,-47,-63,-75,-66,?,-76,54
-42,-34,-48,-64,-74,?,-77,-75,54
-42,-34,-48,-65,?,-66,-74,-78,54
-42,-34,-49,-62,?,-66,-75,-76,54
-42,-33,-47,-64,-75,-66,-76,-77,54
-42,-34,-52,-66,-72,-66,-74,-76,54
-42,-34,-52,-70,-73,?,?,?,54
-41,-33,-53,?,-72,-66,?,-76,54
-41,-34,-53,-71,-72,-66,?,?,54
-42,-34,-54,-67,?,?,?,?,54
-41,-33,-51,-68,-75,?,?,?,54
-42,-33,-52,-66,-74,-66,?,-76,54
-42,-34,-52,-64,-76,-66,-77,-76,54
-41,-33,-52,-65,-73,-66,-74,?,54
-41,-33,-51,-63,?,?,?,?,54
-42,-33,-58,-66,-73,-71,?,-76,54
-41,-33,-52,-64,-74,-66,-74,-76,54
-41,-34,-54,-64,-73,-66,?,?,54
-41,-34,-54,-61,?,-66,-74,-76,54
-41,-33,-52,-68,-74,-66,-74,-76,54
-41,-34,-57,-67,-75,?,-80,-77,54
-41,-34,?,-65,?,-66,-78,-77,54
-41,-34,-53,-76,?,?,-77,-77,54
-40,-35,-52,?,?,?,-82,-79,54
-40,-33,-53,-68,?,-66,-78,-79,54
-42,-34,-50,-68,-71,?,?,-77,54
-43,-34,-53,?,?,-66,?,?,54
-40,-33,-53,-68,-70,-66,-76,-76,54
-42,-35,-52,-64,-71,-66,?,-77,54
-45,-33,-53,-60,-73,-66,-76,-77,54
-42,-33,-51,-62,?,-67,-76,-77,54
-43,-33,-52,-65,-70,?,-79,-77,54
-41,-35,-52,-65,?,?,-81,-77,54
-41,-33,-53,-65,-72,-67,?,-78,54
-43,-34,-53,?,-70,-67,?,?,54
-40,-33,-53,-66,?,?,?,?,54
-41,-34,-52,-64,-71,-67,-82,-76,54
-40,-34,-53,-65,-72,?,?,-77,54
-40,-34,-52,-67,-71,-67,?,-76,54
-40,-34,-52,-64,-71,-68,-74,-76,54
-40,-34,-52,?,?,-66,?,?,54
-40,-34,-51,-71,?,?,?,?,54
-40,-34,-51,-65,?,-67,-81,?,54
-40,-34,-52,?,-71,-68,?,-77,54
-40,-34,-53,-65,-73,-68,?,?,54
-40,-34,-53,-66,?,-68,?,-74,54
-40,-34,-54,-65,-73,-68,-74,-76,54
-40,-33,-56,-66,?,-67,?,-77,54
-38,-33,-50,-67,-77,-68,-75,?,54
-37,-33,-50,-69,-72,-67,-77,?,54
-43,?,-54,-61,-68,?,?,?,54
-44,-31,-48,-66,?,-65,?,?,54
-41,-33,-49,-65,-69,-66,?,-77,54
-43,-34,-52,-63,-69,-66,-76,-76,54
-30,-40,?,-61,-66,-66,?,-70,3
-29,-38,-48,-63,-67,?,?,-71,3
-29,-39,-53,-58,-67,-64,?,?,3
-29,-40,-49,-58,-66,?,-75,-70,3
-29,-39,-49,-60,-66,-66,-78,-70,3
-29,-39,-51,-60,?,-64,-76,?,3
-29,-38,-49,-60,-67,?,?,-70,3
-29,-38,-52,-59,-66,?,?,?,3
-29,-38,-53,-60,-65,-65,?,?,3
-30,-38,-53,-61,?,-65,?,?,3
-28,-38,-53,-62,-67,-65,-72,?,3
-28,-39,-53,-61,?,?,?,-70,3
-29,-38,-53,-62,-67,?,?,?,3
-30,-39,-52,?,-67,?,?,?,3
-29,-38,-66,-61,-66,?,?,?,3
-30,-39,-51,-60,-66,?,?,-69,3
-29,-38,-52,-59,-66,?,-72,-69,3
-28,-38,-49,-60,-66,?,-72,?,3
-29,-42,-52,-59,-70,-65,?,?,3
-29,-38,-51,-61,-68,?,?,-70,3
-29,?,-51,-60,?,-65,?,?,3
-29,-37,-50,-61,?,?,-78,-70,3
-29,-37,-51,-60,-67,?,?,?,3
-29,-37,-50,-60,?,?,-77,?,3
-29,?,-54,-61,-66,?,?,-69,3
-30,-39,-52,-59,-66,-69,-75,?,3
-30,-38,-50,-60,?,?,-76,?,3
-30,-38,-51,-61,-66,?,-75,-69,3
-30,-44,-52,-60,?,?,-74,-70,3
-30,-43,-51,-60,-67,-66,?,-69,3
-29,-38,-51,-60,?,-65,?,?,3
?,-38,-51,-58,?,?,?,?,3
-29,-38,-52,-59,?,-65,?,?,3
-30,-37,-51,-59,-66,?,-74,?,3
-33,-38,-51,-59,?,?,-74,?,3
-30,-37,-52,-59,?,-65,-73,?,3
-29,-38,-52,-59,-66,-66,-77,?,3
-29,-39,-55,-60,?,-65,-75,-69,3
-29,-38,-52,-59,-66,?,-75,?,3
-29,-38,-51,-59,?,?,?,?,3
-29,-39,-51,-59,-66,-66,-72,?,3
