@relation 'Sony_Xperia_Train_WiFi-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Remove-R18,25-30'

@attribute 4c:5e:0c:70:52:5a_RFKON2014-Mesh numeric
@attribute 4c:5e:0c:71:aa:15_RFKON2014-Mesh numeric
@attribute 04:18:d6:c1:98:24_inonet numeric
@attribute 4c:5e:0c:6f:20:b2_RFKON2014-Mesh numeric
@attribute 06:18:d6:c2:98:24_inonet numeric
@attribute 4c:5e:0c:6f:20:fa_RFKON2014-Mesh numeric
@attribute dc:02:8e:c2:23:52_ILKSEM numeric
@attribute 'c0:4a:00:0f:03:51_BilTAY Teknoloji' numeric
@attribute d4:ca:6d:bc:1d:73_RFKON2014-Mesh numeric
@attribute e8:37:7a:6c:7f:55_PYR numeric
@attribute d4:ca:6d:c9:f1:c5_RFKON2014-Mesh numeric
@attribute 4c:5e:0c:71:a8:bf_RFKON2014-Mesh numeric
@attribute 18:28:61:9e:ab:5c_MMD numeric
@attribute 00:26:5a:52:0b:8c_RFKON_115 numeric
@attribute 4c:5e:0c:23:44:33_RFKON2014-Mesh numeric
@attribute 64:66:b3:d0:4a:8d_Cisco_KRD numeric
@attribute 18:28:61:58:78:6a_Dlink_DAP-1360 numeric
@attribute e4:8d:8c:20:4d:c1_UPLAT numeric
@attribute 18:28:61:13:0d:9d_EROGLU numeric
@attribute 18:28:61:1c:0b:69_EVOSOFT numeric
@attribute 00:66:4b:1f:08:23_TeknoTAM numeric
@attribute 1c:87:2c:7e:23:9c_EROGLU-PRI numeric
@attribute 1c:87:2c:7e:23:9d_EROGLU-PUB numeric
@attribute REF_POINT {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}

@data
-31,-37,-54,-50,-67,-69,-69,-62,-76,-70,-60,-79,-68,-88,-80,-85,?,-80,?,?,?,?,?,1
-30,-38,-53,-50,-67,-69,-72,-62,-76,-62,-61,-79,-69,-88,-80,?,?,?,?,?,?,?,?,1
-29,-38,-54,-49,-66,-69,-70,-62,-77,-62,-61,-80,-69,?,-77,-84,-86,-80,?,?,?,?,?,1
-31,-37,-54,-50,-67,-69,-70,-61,-74,-62,-60,-80,-69,-87,-77,-84,-86,-80,?,?,?,?,?,1
-30,-38,-54,-51,-67,-70,-69,-60,-74,-62,-61,-80,-71,-87,?,-84,?,?,?,?,?,?,?,1
-30,-37,-56,-51,-68,-70,-70,-60,-74,-63,-59,-81,-69,-84,?,-86,?,-79,-89,?,?,?,?,1
-30,-37,-55,-50,-67,-70,-70,-59,-78,-62,-62,-81,-70,-87,?,-85,?,-79,-89,?,?,?,?,1
-31,-38,-55,-50,-68,-70,-73,-59,-78,-62,-58,-78,-68,-82,?,-83,?,?,?,?,?,?,?,1
-30,-39,-54,-50,-68,-68,-71,-62,-75,-62,-60,-82,-68,-82,?,-83,?,?,?,?,?,?,?,1
-31,-36,-56,-50,-67,-74,-71,-61,-75,?,-59,-81,?,?,?,-85,?,?,?,?,?,?,?,1
-31,-37,-55,-51,-67,-74,-70,-61,-72,-62,-59,-81,-71,?,?,-85,?,?,?,?,?,?,?,1
-30,-37,-54,-50,-67,-70,-72,-59,-73,-63,-61,?,-69,?,?,-84,?,?,?,?,?,?,?,1
-30,-36,-54,-50,-67,-68,-70,-60,-73,-63,-59,?,-71,?,-77,-84,?,?,-87,?,?,?,?,1
-31,-39,-54,-49,-67,-74,-69,-61,-70,-62,-59,?,-71,-87,-77,?,?,?,-87,?,?,?,?,1
-30,-36,-57,-51,-67,-70,-69,-61,-76,-63,?,?,?,-89,-79,-86,?,-81,?,?,?,?,?,1
-30,-37,-55,-50,-67,-70,-69,-61,-76,-63,-62,-82,-70,-89,-79,-86,?,-81,?,?,?,?,?,1
-30,-36,-55,-51,-68,-70,-68,-61,-70,-63,-62,-82,-71,?,?,-86,?,?,?,?,?,?,?,1
-30,-36,-54,-50,-68,-70,-70,-61,-72,-62,-59,-79,-71,?,-76,-86,?,?,?,?,?,?,?,1
-30,-39,-55,-53,-66,-70,-74,-60,-72,-63,-59,-79,-69,-88,-76,-85,?,-78,-89,?,?,?,?,1
-30,-44,-54,-49,-68,-70,-70,-61,-72,-62,-61,-79,-69,-88,?,-85,?,-75,-89,?,?,?,?,1
-31,-37,-55,-49,-67,-70,-69,-62,-74,-63,-59,-80,-68,-86,-78,?,?,-75,?,?,?,?,?,1
-30,-36,-54,-50,-67,-71,-69,-61,-74,-63,-60,-80,-68,-86,-78,?,?,?,?,?,?,?,?,1
-30,-37,-54,-50,-68,-75,-69,-62,-74,-62,-60,?,-70,?,?,?,?,-79,?,?,?,?,?,1
-31,-36,-56,-49,-67,-75,-68,-62,-74,-62,-59,-79,-69,-87,?,?,?,-79,?,?,?,?,?,1
-30,-37,-55,-49,-67,-69,-76,-62,-72,-63,-60,-81,-69,-87,?,-85,?,-81,?,?,?,?,?,1
-31,-36,-54,-49,-68,-71,-70,-61,-74,-69,-59,-81,-69,-88,?,-85,?,-81,?,?,?,?,?,1
-31,-37,-55,-50,-67,-70,-70,-62,-74,-62,-61,?,-71,-88,?,-85,?,?,?,?,?,?,?,1
-30,-39,-53,-50,-68,-70,-70,-60,-74,-62,-59,?,-71,?,?,-86,?,?,?,?,?,?,?,1
-30,-38,-54,-50,-68,-70,-74,-61,-73,-62,-61,?,-70,-83,?,-84,?,-76,?,?,?,?,?,1
-30,-36,-53,-52,-68,-70,-77,-61,-73,-62,-59,?,-70,-83,?,-85,-87,-76,?,?,?,?,?,1
-40,-51,-54,-59,-73,-75,-64,-70,-73,-58,-68,-75,-78,?,-83,-85,-87,?,?,-58,?,?,?,2
-33,-47,-52,-59,-62,-75,-70,-66,-68,-57,-67,-75,-78,?,-83,?,?,?,?,-63,?,?,?,2
-32,-46,-55,-64,-74,?,-64,-68,-70,-57,-67,-76,?,-90,?,?,?,-82,?,-60,?,?,?,2
-32,-49,-55,-56,-73,?,-64,-68,-67,-59,-66,-77,-88,-90,-78,?,?,-82,?,-60,?,?,?,2
-33,-48,-55,-77,-73,-77,-65,-65,-67,-59,-68,-76,-88,?,-77,?,?,?,?,-59,?,?,?,2
-33,-50,-55,-58,-62,-77,-65,-66,-67,-59,-66,-76,?,?,-77,?,?,?,?,-60,?,?,?,2
-33,-49,-53,-57,-73,-78,-64,-67,-67,-70,-66,?,?,?,-80,-89,?,?,?,-58,?,?,?,2
-34,-46,-55,-57,-72,-75,-63,-68,-69,-59,-70,?,?,-79,-84,-89,?,?,?,-65,-90,?,?,2
-33,-43,-55,-57,-72,-75,-64,-67,-67,-59,-65,-76,?,-79,-84,-87,?,-82,?,-55,-90,?,?,2
-33,-41,-55,-59,-73,?,-64,-68,-68,-60,-64,-76,-73,?,-84,-87,?,-82,?,-55,?,?,?,2
-33,-42,-55,-57,-73,?,-63,-68,-67,-66,-64,-76,-73,?,-83,-90,?,?,?,-58,?,?,?,2
-32,-42,-55,-57,-73,?,-64,-67,-68,-60,-64,-76,-73,?,-83,-90,?,?,?,-58,?,?,?,2
-33,-41,-54,-56,-72,-77,-64,-67,-67,-60,-66,-76,-73,?,?,-89,?,?,?,-57,?,?,?,2
-32,-43,-54,-56,-72,-80,-63,-68,-67,-59,-66,-76,-73,?,?,-89,?,?,?,-59,?,?,?,2
-32,-45,-55,-57,-72,-80,-63,-68,-68,-62,-69,-76,-75,?,?,?,?,?,?,-57,?,?,?,2
-32,-43,-54,-55,-71,?,-64,-67,-68,-66,-64,-76,-75,?,-77,?,?,?,?,-59,-91,?,?,2
-33,-42,-54,-56,-71,-78,-63,-68,-68,-66,-71,?,?,?,-77,-86,?,-74,?,-57,-91,?,?,2
-34,-43,-55,-57,-71,-78,-63,-69,-67,-58,-65,?,?,-88,?,-86,?,-75,?,-56,?,?,?,2
-33,-43,-55,-57,-71,?,-62,-69,-67,-59,-67,-76,?,-90,-77,?,?,-75,?,-59,?,?,?,2
-33,-45,-55,-58,-71,-75,-63,-68,-66,-63,-67,-76,?,-90,-77,?,?,?,?,-61,?,?,?,2
-33,-40,-54,-58,-72,-75,-63,-69,-67,-63,-64,?,?,?,-76,?,?,?,?,-59,?,?,?,2
-32,-40,-54,-54,-72,?,-63,-67,-67,-58,-64,?,-73,?,-76,?,?,-75,?,-62,?,?,?,2
-32,-39,-54,-56,-72,-78,-64,-68,-68,-58,-67,-76,-73,?,?,?,?,-75,?,-62,?,?,?,2
